2023-05-09 06:19:26,824 INFO Starting...
2023-05-09 06:19:26,824 INFO Tickers: ['ABT']
2023-05-09 06:20:41,567 INFO in_r2: 0.09797877003361553 , std 0.1601545777793052 
2023-05-09 06:20:41,567 INFO os_r2: -0.08762293977073218 , std 0.03735628613519426 
2023-05-09 06:20:41,567 INFO intercept: 3.282400637026268e-06 , std 0.0002405068816409245 
2023-05-09 06:20:41,567 INFO ofi_1_1: -1.365615960374271e-07 , std 1.5484514838707283e-05 
2023-05-09 06:20:41,567 INFO ofi_2_1: -2.0007209870977264e-07 , std 1.0973210970294033e-05 
2023-05-09 06:20:41,567 INFO ofi_3_1: -2.5240405607202565e-07 , std 1.2472041479167039e-05 
2023-05-09 06:20:41,567 INFO ofi_4_1: -3.7474500543285324e-07 , std 1.3748394992687144e-05 
2023-05-09 06:20:41,567 INFO ofi_5_1: -1.854131957289733e-07 , std 1.0879885846262328e-05 
2023-05-09 06:20:41,567 INFO ofi_6_1: -1.358108903325344e-07 , std 8.291482502496425e-06 
2023-05-09 06:20:41,567 INFO ofi_7_1: -7.689991125100832e-08 , std 9.559304770547125e-06 
2023-05-09 06:20:41,567 INFO ofi_8_1: -5.076754270325905e-08 , std 6.204074522696066e-06 
2023-05-09 06:20:41,567 INFO ofi_9_1: -4.002861006674885e-08 , std 5.717183564120246e-06 
2023-05-09 06:20:41,567 INFO ofi_10_1: -1.2746676096830332e-08 , std 7.692557465195476e-06 
2023-05-09 06:20:41,567 INFO ofi_1_2: -2.4724642273564037e-07 , std 1.5477030339696475e-05 
2023-05-09 06:20:41,567 INFO ofi_2_2: -3.4371310271001597e-07 , std 1.4349828205809898e-05 
2023-05-09 06:20:41,567 INFO ofi_3_2: -4.4875666520265356e-07 , std 1.3805889879378628e-05 
2023-05-09 06:20:41,567 INFO ofi_4_2: -5.386639678694891e-07 , std 1.5371576238346165e-05 
2023-05-09 06:20:41,567 INFO ofi_5_2: -2.589876337574634e-07 , std 1.1160229106830356e-05 
2023-05-09 06:20:41,567 INFO ofi_6_2: -1.628372894843644e-07 , std 1.2316830553845902e-05 
2023-05-09 06:20:41,567 INFO ofi_7_2: -1.255993809322821e-07 , std 8.134944622356026e-06 
2023-05-09 06:20:41,567 INFO ofi_8_2: -5.3500717868349646e-08 , std 8.250509124988058e-06 
2023-05-09 06:20:41,567 INFO ofi_9_2: -3.9932627336803594e-08 , std 4.699337383237052e-06 
2023-05-09 06:20:41,567 INFO ofi_10_2: -3.455185513602234e-08 , std 6.6781090351639995e-06 
2023-05-09 06:20:41,567 INFO ofi_1_3: -3.293636345293246e-07 , std 1.6866743977891965e-05 
2023-05-09 06:20:41,567 INFO ofi_2_3: -3.7595418768722787e-07 , std 1.4642050612952492e-05 
2023-05-09 06:20:41,567 INFO ofi_3_3: -6.255581125518712e-07 , std 1.3949759432149541e-05 
2023-05-09 06:20:41,568 INFO ofi_4_3: -7.161917234139652e-07 , std 1.5999141673737822e-05 
2023-05-09 06:20:41,568 INFO ofi_5_3: -3.323046605526433e-07 , std 1.2825332441712557e-05 
2023-05-09 06:20:41,568 INFO ofi_6_3: -1.4754574561986585e-07 , std 9.360982429515649e-06 
2023-05-09 06:20:41,568 INFO ofi_7_3: -8.308033264522765e-08 , std 7.931905347269247e-06 
2023-05-09 06:20:41,568 INFO ofi_8_3: -5.729003716649996e-08 , std 7.189334289183935e-06 
2023-05-09 06:20:41,568 INFO ofi_9_3: -3.054902228610047e-08 , std 9.128581190071971e-06 
2023-05-09 06:20:41,568 INFO ofi_10_3: -2.3369873328542235e-08 , std 1.1505497082207155e-05 
2023-05-09 06:20:41,568 INFO ofi_1_5: -7.214490176452399e-07 , std 1.7626096488338458e-05 
2023-05-09 06:20:41,568 INFO ofi_2_5: -6.968887824975587e-07 , std 1.5783048210673e-05 
2023-05-09 06:20:41,568 INFO ofi_3_5: -1.0818110095626967e-06 , std 1.4973318763331235e-05 
2023-05-09 06:20:41,568 INFO ofi_4_5: -1.0737251876692572e-06 , std 1.4909874150288248e-05 
2023-05-09 06:20:41,568 INFO ofi_5_5: -4.883411143197995e-07 , std 1.2290709101205274e-05 
2023-05-09 06:20:41,568 INFO ofi_6_5: -3.265925990065235e-07 , std 9.738622698996459e-06 
2023-05-09 06:20:41,568 INFO ofi_7_5: -1.2839319806920752e-07 , std 8.275718058542742e-06 
2023-05-09 06:20:41,568 INFO ofi_8_5: -9.384111315602559e-08 , std 7.611457289300537e-06 
2023-05-09 06:20:41,568 INFO ofi_9_5: -4.9725239433431593e-08 , std 8.531902939944629e-06 
2023-05-09 06:20:41,568 INFO ofi_10_5: -4.321007430585975e-08 , std 6.951484501619095e-06 
2023-05-09 06:20:41,568 INFO ofi_1_10: -1.2101148293831782e-06 , std 1.8478334631297855e-05 
2023-05-09 06:20:41,568 INFO ofi_2_10: -1.0814353025806882e-06 , std 1.7178056295555403e-05 
2023-05-09 06:20:41,568 INFO ofi_3_10: -1.4007343109770556e-06 , std 1.714076679793041e-05 
2023-05-09 06:20:41,568 INFO ofi_4_10: -1.48280134146367e-06 , std 1.7138433161977462e-05 
2023-05-09 06:20:41,568 INFO ofi_5_10: -8.925181026415252e-07 , std 1.5269164689540162e-05 
2023-05-09 06:20:41,568 INFO ofi_6_10: -3.7985979596034876e-07 , std 1.0905664801748832e-05 
2023-05-09 06:20:41,568 INFO ofi_7_10: -1.990673427359676e-07 , std 1.1007768742550487e-05 
2023-05-09 06:20:41,568 INFO ofi_8_10: -8.659092797012633e-08 , std 6.354979541939553e-06 
