2023-05-09 07:42:07,071 INFO Starting...
2023-05-09 07:42:07,071 INFO Tickers: ['AGN']
2023-05-09 07:43:00,402 INFO in_r2: 0.1012009200488272 , std 0.16691853342966168 
2023-05-09 07:43:00,402 INFO os_r2: -0.09198447099170257 , std 0.044434496762431684 
2023-05-09 07:43:00,402 INFO intercept: 5.087101402397397e-07 , std 0.0003257346784256333 
2023-05-09 07:43:00,402 INFO ofi_1_1: -4.251490806743327e-07 , std 1.5260924498216327e-05 
2023-05-09 07:43:00,402 INFO ofi_2_1: -4.0879557923830765e-07 , std 1.2357503217371087e-05 
2023-05-09 07:43:00,402 INFO ofi_3_1: -2.1714493916392927e-07 , std 1.144947156191579e-05 
2023-05-09 07:43:00,402 INFO ofi_4_1: -1.2771353533467305e-07 , std 9.399620545169116e-06 
2023-05-09 07:43:00,402 INFO ofi_5_1: -9.749375507651236e-08 , std 8.579781220671944e-06 
2023-05-09 07:43:00,402 INFO ofi_6_1: -9.43985075152998e-08 , std 8.685432693218485e-06 
2023-05-09 07:43:00,402 INFO ofi_7_1: -1.1244773773133289e-07 , std 9.071157352508746e-06 
2023-05-09 07:43:00,402 INFO ofi_8_1: -1.2226343691799576e-07 , std 1.2341563579208869e-05 
2023-05-09 07:43:00,402 INFO ofi_9_1: -1.9126438222346734e-08 , std 8.798826721705621e-06 
2023-05-09 07:43:00,402 INFO ofi_10_1: -9.56840997040129e-08 , std 9.474232911818678e-06 
2023-05-09 07:43:00,402 INFO ofi_1_2: -3.5466836465932804e-07 , std 1.2685159624676756e-05 
2023-05-09 07:43:00,402 INFO ofi_2_2: -3.033809892309369e-07 , std 1.1807830203224562e-05 
2023-05-09 07:43:00,402 INFO ofi_3_2: -3.7007003392558836e-07 , std 1.2040505044504707e-05 
2023-05-09 07:43:00,402 INFO ofi_4_2: -3.642304723948053e-07 , std 1.0974617225572944e-05 
2023-05-09 07:43:00,402 INFO ofi_5_2: -2.560581874091189e-07 , std 9.22610620909843e-06 
2023-05-09 07:43:00,402 INFO ofi_6_2: -1.6643366591462265e-07 , std 8.413203327797755e-06 
2023-05-09 07:43:00,402 INFO ofi_7_2: -1.5949955315911785e-07 , std 9.307821283217426e-06 
2023-05-09 07:43:00,402 INFO ofi_8_2: -1.5926983620824306e-07 , std 8.953476611339959e-06 
2023-05-09 07:43:00,402 INFO ofi_9_2: -1.0354059208632993e-07 , std 8.70602221568448e-06 
2023-05-09 07:43:00,402 INFO ofi_10_2: -1.6799708066186897e-07 , std 1.07096426948565e-05 
2023-05-09 07:43:00,402 INFO ofi_1_3: -4.861510558210058e-07 , std 1.2773941078315884e-05 
2023-05-09 07:43:00,402 INFO ofi_2_3: -3.153279227408808e-07 , std 1.0696889534221292e-05 
2023-05-09 07:43:00,402 INFO ofi_3_3: -4.384456624694819e-07 , std 1.0074344816003947e-05 
2023-05-09 07:43:00,402 INFO ofi_4_3: -4.696783143035588e-07 , std 1.0788710257508097e-05 
2023-05-09 07:43:00,402 INFO ofi_5_3: -3.262629990481248e-07 , std 9.341103896661129e-06 
2023-05-09 07:43:00,402 INFO ofi_6_3: -2.761684759129723e-07 , std 7.748597282747149e-06 
2023-05-09 07:43:00,402 INFO ofi_7_3: -2.2569400334676795e-07 , std 9.202960214761543e-06 
