2023-05-09 06:23:20,147 INFO Starting...
2023-05-09 06:23:20,148 INFO Tickers: ['AMGN']
2023-05-09 06:24:39,933 INFO in_r2: 0.10000015417725815 , std 0.16347698268155803 
2023-05-09 06:24:39,933 INFO os_r2: -0.08820404261517303 , std 0.032911213560033674 
2023-05-09 06:24:39,933 INFO intercept: 5.953447694719537e-07 , std 0.00029221923920324166 
2023-05-09 06:24:39,933 INFO ofi_1_1: -2.4415356384638167e-07 , std 8.49214649625412e-06 
2023-05-09 06:24:39,933 INFO ofi_2_1: -1.2179799396673132e-07 , std 6.510021115608106e-06 
2023-05-09 06:24:39,933 INFO ofi_3_1: -6.64482538830748e-08 , std 6.583887712371683e-06 
2023-05-09 06:24:39,933 INFO ofi_4_1: -1.1076086053435053e-07 , std 5.2679059764984125e-06 
2023-05-09 06:24:39,933 INFO ofi_5_1: -1.0989894260099579e-07 , std 6.581319052898427e-06 
2023-05-09 06:24:39,933 INFO ofi_6_1: -7.781466834134816e-08 , std 5.5454354757354486e-06 
2023-05-09 06:24:39,934 INFO ofi_7_1: -9.370905003707449e-08 , std 5.409859762512686e-06 
2023-05-09 06:24:39,934 INFO ofi_8_1: -6.569859083145219e-08 , std 4.958858285854551e-06 
2023-05-09 06:24:39,934 INFO ofi_9_1: -8.573183492735628e-08 , std 5.47825969262545e-06 
2023-05-09 06:24:39,934 INFO ofi_10_1: -8.629406642837617e-08 , std 5.755647344852642e-06 
2023-05-09 06:24:39,934 INFO ofi_1_2: -2.4321614953166663e-07 , std 8.166017206853992e-06 
2023-05-09 06:24:39,934 INFO ofi_2_2: -1.7817661647863662e-07 , std 6.676202267466658e-06 
2023-05-09 06:24:39,934 INFO ofi_3_2: -1.685935717067449e-07 , std 5.888203188318308e-06 
2023-05-09 06:24:39,934 INFO ofi_4_2: -1.833114087474229e-07 , std 6.436621481598329e-06 
2023-05-09 06:24:39,934 INFO ofi_5_2: -1.3640648466358956e-07 , std 5.747608928112215e-06 
2023-05-09 06:24:39,934 INFO ofi_6_2: -1.4291264127230177e-07 , std 5.513043948619917e-06 
2023-05-09 06:24:39,934 INFO ofi_7_2: -9.018349060738136e-08 , std 5.058539753006876e-06 
2023-05-09 06:24:39,934 INFO ofi_8_2: -9.819196645407752e-08 , std 5.07635013026554e-06 
2023-05-09 06:24:39,934 INFO ofi_9_2: -1.1119965090370373e-07 , std 5.3848327765367326e-06 
2023-05-09 06:24:39,934 INFO ofi_10_2: -1.0355984905218566e-07 , std 6.4050548088932575e-06 
2023-05-09 06:24:39,934 INFO ofi_1_3: -4.437138016004044e-07 , std 9.188492017241732e-06 
2023-05-09 06:24:39,934 INFO ofi_2_3: -2.8784582841711733e-07 , std 7.0829443593343155e-06 
2023-05-09 06:24:39,934 INFO ofi_3_3: -2.535740878629082e-07 , std 7.465726031330864e-06 
2023-05-09 06:24:39,934 INFO ofi_4_3: -2.1432210223392705e-07 , std 6.424417510563188e-06 
2023-05-09 06:24:39,934 INFO ofi_5_3: -2.1868945747254994e-07 , std 5.717279877607691e-06 
2023-05-09 06:24:39,934 INFO ofi_6_3: -2.1026384413081505e-07 , std 5.708976817549307e-06 
2023-05-09 06:24:39,934 INFO ofi_7_3: -1.540641730831095e-07 , std 5.484033711317093e-06 
2023-05-09 06:24:39,934 INFO ofi_8_3: -1.3884124001416542e-07 , std 4.928535733648187e-06 
2023-05-09 06:24:39,934 INFO ofi_9_3: -1.4322643496276817e-07 , std 5.7396562016413455e-06 
2023-05-09 06:24:39,934 INFO ofi_10_3: -1.3257787133705148e-07 , std 5.801409404890399e-06 
2023-05-09 06:24:39,934 INFO ofi_1_5: -5.599597405159261e-07 , std 9.463070987945933e-06 
2023-05-09 06:24:39,934 INFO ofi_2_5: -4.4459151182433285e-07 , std 7.937173823793633e-06 
2023-05-09 06:24:39,934 INFO ofi_3_5: -3.3089763138989606e-07 , std 6.823301416570289e-06 
2023-05-09 06:24:39,934 INFO ofi_4_5: -3.554604283104855e-07 , std 6.721135881631539e-06 
2023-05-09 06:24:39,934 INFO ofi_5_5: -3.9449743234169234e-07 , std 6.703589928618293e-06 
2023-05-09 06:24:39,934 INFO ofi_6_5: -3.2471530442058905e-07 , std 6.582129507494281e-06 
2023-05-09 06:24:39,934 INFO ofi_7_5: -2.0801520185957646e-07 , std 5.793572923313609e-06 
2023-05-09 06:24:39,934 INFO ofi_8_5: -2.079271551822871e-07 , std 6.079402647449877e-06 
2023-05-09 06:24:39,934 INFO ofi_9_5: -1.96381647926964e-07 , std 5.363151857505685e-06 
2023-05-09 06:24:39,934 INFO ofi_10_5: -2.5613132748083387e-07 , std 6.6884966431858596e-06 
2023-05-09 06:24:39,934 INFO ofi_1_10: -6.540582858553941e-07 , std 9.625701946235516e-06 
2023-05-09 06:24:39,934 INFO ofi_2_10: -4.940065536604718e-07 , std 7.032726586543174e-06 
2023-05-09 06:24:39,934 INFO ofi_3_10: -4.921802212739114e-07 , std 7.915095059009073e-06 
2023-05-09 06:24:39,934 INFO ofi_4_10: -5.158925692629047e-07 , std 7.212170589140106e-06 
2023-05-09 06:24:39,934 INFO ofi_5_10: -5.580675048658377e-07 , std 6.82062880211493e-06 
2023-05-09 06:24:39,934 INFO ofi_6_10: -5.503512556269832e-07 , std 7.234736228650898e-06 
2023-05-09 06:24:39,934 INFO ofi_7_10: -3.409675923422999e-07 , std 5.8346354555942304e-06 
2023-05-09 06:24:39,934 INFO ofi_8_10: -3.1985488026854445e-07 , std 5.6758879011675535e-06 
2023-05-09 06:24:39,934 INFO ofi_9_10: -2.2654267908289985e-07 , std 5.159949942590161e-06 
2023-05-09 06:24:39,934 INFO ofi_10_10: -2.7797348804600775e-07 , std 6.9028284886709215e-06 
2023-05-09 06:24:39,934 INFO ofi_1_20: -8.531951366507845e-07 , std 1.0030906580339657e-05 
2023-05-09 06:24:39,934 INFO ofi_2_20: -5.991856682897902e-07 , std 8.260192585617591e-06 
2023-05-09 06:24:39,934 INFO ofi_3_20: -5.883467351029572e-07 , std 7.623410777445793e-06 
2023-05-09 06:24:39,934 INFO ofi_4_20: -6.614899179392799e-07 , std 7.353106493974463e-06 
2023-05-09 06:24:39,934 INFO ofi_5_20: -6.382951567845899e-07 , std 7.124135382256059e-06 
2023-05-09 06:24:39,934 INFO ofi_6_20: -6.976302084257967e-07 , std 7.765185534761363e-06 
2023-05-09 06:24:39,934 INFO ofi_7_20: -4.102736360914328e-07 , std 6.5258394308828975e-06 
2023-05-09 06:24:39,934 INFO ofi_8_20: -3.247810417606656e-07 , std 6.2355041473331005e-06 
2023-05-09 06:24:39,935 INFO ofi_9_20: -2.7569428035690995e-07 , std 6.391449472648196e-06 
2023-05-09 06:24:39,935 INFO ofi_10_20: -3.4075439716041924e-07 , std 7.494245695264946e-06 
2023-05-09 06:24:39,935 INFO ofi_1_30: -1.0417595935028396e-06 , std 1.018508519688633e-05 
