2023-05-09 07:04:51,033 INFO Starting...
2023-05-09 07:04:51,033 INFO Tickers: ['BKNG']
2023-05-09 07:05:34,748 INFO in_r2: 0.08679722803019113 , std 0.15729112026469425 
2023-05-09 07:05:34,749 INFO os_r2: -0.10763751041888395 , std 0.04951693555865666 
2023-05-09 07:05:34,749 INFO intercept: -5.6869650607966e-06 , std 0.0003109782587500458 
2023-05-09 07:05:34,749 INFO ofi_1_1: 1.965979994590434e-07 , std 1.222359388348507e-05 
2023-05-09 07:05:34,749 INFO ofi_2_1: -1.4285517289318466e-07 , std 8.350285522130715e-06 
2023-05-09 07:05:34,749 INFO ofi_3_1: -4.23312118762947e-08 , std 5.745027780076104e-06 
2023-05-09 07:05:34,749 INFO ofi_4_1: -7.696631943654572e-09 , std 5.824252317807885e-06 
2023-05-09 07:05:34,749 INFO ofi_5_1: -4.086256140527066e-08 , std 5.057459364580417e-06 
2023-05-09 07:05:34,749 INFO ofi_6_1: -6.46724292105232e-08 , std 5.555632073811184e-06 
2023-05-09 07:05:34,749 INFO ofi_7_1: -3.418158302371955e-08 , std 5.262775727517953e-06 
2023-05-09 07:05:34,749 INFO ofi_8_1: -8.157329354372103e-08 , std 5.690101527179275e-06 
2023-05-09 07:05:34,749 INFO ofi_9_1: -7.723763503495084e-08 , std 4.818893859480937e-06 
2023-05-09 07:05:34,749 INFO ofi_10_1: -1.0398760699257835e-07 , std 6.793794814407897e-06 
2023-05-09 07:05:34,749 INFO ofi_1_2: -2.6492800245855276e-07 , std 8.993061453089011e-06 
2023-05-09 07:05:34,749 INFO ofi_2_2: -2.1766032237585455e-07 , std 8.620880467483167e-06 
2023-05-09 07:05:34,749 INFO ofi_3_2: -2.320309846216606e-07 , std 6.612776913285746e-06 
2023-05-09 07:05:34,749 INFO ofi_4_2: -1.0481885777518893e-07 , std 5.135005523103995e-06 
2023-05-09 07:05:34,749 INFO ofi_5_2: -1.0883788094744321e-07 , std 5.562327273693557e-06 
2023-05-09 07:05:34,749 INFO ofi_6_2: -1.0577550831051222e-07 , std 5.481991384373951e-06 
2023-05-09 07:05:34,749 INFO ofi_7_2: -1.2165973300997532e-07 , std 5.87599573505446e-06 
2023-05-09 07:05:34,749 INFO ofi_8_2: -8.734363101087499e-08 , std 5.023669586438831e-06 
2023-05-09 07:05:34,749 INFO ofi_9_2: -1.0599888694663581e-07 , std 6.189072936387965e-06 
2023-05-09 07:05:34,749 INFO ofi_10_2: -1.2002191477995296e-07 , std 6.6707864576444625e-06 
2023-05-09 07:05:34,749 INFO ofi_1_3: -2.7132992232715553e-07 , std 8.866716107225643e-06 
2023-05-09 07:05:34,749 INFO ofi_2_3: -2.535385112952079e-07 , std 7.265030145576453e-06 
2023-05-09 07:05:34,749 INFO ofi_3_3: -3.098640588894718e-07 , std 7.811896289273455e-06 
2023-05-09 07:05:34,749 INFO ofi_4_3: -1.9527141050370946e-07 , std 6.153380987057795e-06 
2023-05-09 07:05:34,749 INFO ofi_5_3: -1.50900781246934e-07 , std 5.6886473082990434e-06 
2023-05-09 07:05:34,749 INFO ofi_6_3: -1.7663128317726217e-07 , std 7.478830083224457e-06 
2023-05-09 07:05:34,749 INFO ofi_7_3: -1.2369537764122338e-07 , std 5.849400043390903e-06 
2023-05-09 07:05:34,749 INFO ofi_8_3: -1.076363315727903e-07 , std 4.972179912855323e-06 
2023-05-09 07:05:34,749 INFO ofi_9_3: -9.630072553914729e-08 , std 5.47989460540572e-06 
2023-05-09 07:05:34,749 INFO ofi_10_3: -1.7939934607619936e-07 , std 6.475087388088967e-06 
2023-05-09 07:05:34,749 INFO ofi_1_5: -5.808761428008875e-07 , std 9.060661404363898e-06 
2023-05-09 07:05:34,749 INFO ofi_2_5: -3.814796175954299e-07 , std 7.529536249144576e-06 
2023-05-09 07:05:34,749 INFO ofi_3_5: -3.158651570442459e-07 , std 8.340722781825984e-06 
2023-05-09 07:05:34,749 INFO ofi_4_5: -2.774935172103249e-07 , std 6.768812337838141e-06 
2023-05-09 07:05:34,749 INFO ofi_5_5: -2.93663850482525e-07 , std 7.699208689754199e-06 
2023-05-09 07:05:34,749 INFO ofi_6_5: -1.628811850017685e-07 , std 5.451548189765875e-06 
2023-05-09 07:05:34,749 INFO ofi_7_5: -1.8933159019877098e-07 , std 5.858911294797295e-06 
2023-05-09 07:05:34,749 INFO ofi_8_5: -8.987515575675982e-08 , std 1.0781812923815513e-05 
2023-05-09 07:05:34,749 INFO ofi_9_5: -1.8780982395548538e-07 , std 5.732395786005883e-06 
2023-05-09 07:05:34,749 INFO ofi_10_5: -1.7595339217887587e-07 , std 5.807647542417146e-06 
2023-05-09 07:05:34,750 INFO ofi_1_10: -8.401746175757191e-07 , std 9.438389885632861e-06 
2023-05-09 07:05:34,750 INFO ofi_2_10: -5.033516906918451e-07 , std 7.529124346906257e-06 
2023-05-09 07:05:34,750 INFO ofi_3_10: -5.171891005991474e-07 , std 8.338576710625502e-06 
2023-05-09 07:05:34,750 INFO ofi_4_10: -2.8999291930052164e-07 , std 6.39372218831486e-06 
2023-05-09 07:05:34,750 INFO ofi_5_10: -2.916776898880294e-07 , std 6.314328456243819e-06 
2023-05-09 07:05:34,750 INFO ofi_6_10: -2.2249473245987895e-07 , std 6.126659211582976e-06 
2023-05-09 07:05:34,750 INFO ofi_7_10: -2.082094636680424e-07 , std 7.436436310467797e-06 
2023-05-09 07:05:34,750 INFO ofi_8_10: -1.5609995213833976e-07 , std 5.910925001074141e-06 
2023-05-09 07:05:34,750 INFO ofi_9_10: -1.7823685954264922e-07 , std 6.044986752373846e-06 
2023-05-09 07:05:34,750 INFO ofi_10_10: -2.5710756532156935e-07 , std 7.262390832863646e-06 
2023-05-09 07:05:34,750 INFO ofi_1_20: -9.945085495322911e-07 , std 9.473562179448002e-06 
2023-05-09 07:05:34,750 INFO ofi_2_20: -7.570132075624437e-07 , std 8.762089607727392e-06 
2023-05-09 07:05:34,750 INFO ofi_3_20: -6.598218161834408e-07 , std 1.024511441255379e-05 
2023-05-09 07:05:34,750 INFO ofi_4_20: -4.2169212688762313e-07 , std 7.6801219091042e-06 
2023-05-09 07:05:34,750 INFO ofi_5_20: -3.131980382071604e-07 , std 7.977414459622655e-06 
2023-05-09 07:05:34,750 INFO ofi_6_20: -2.5193231405955333e-07 , std 6.718773793042493e-06 
2023-05-09 07:05:34,750 INFO ofi_7_20: -2.32048170829696e-07 , std 6.1359731737341685e-06 
2023-05-09 07:05:34,750 INFO ofi_8_20: -1.8648385485828365e-07 , std 6.315852825798645e-06 
2023-05-09 07:05:34,750 INFO ofi_9_20: -2.273671254506914e-07 , std 5.7261746259789694e-06 
2023-05-09 07:05:34,750 INFO ofi_10_20: -2.984295680614646e-07 , std 9.410563680244497e-06 
2023-05-09 07:05:34,750 INFO ofi_1_30: -1.301548942089878e-06 , std 9.978446455996696e-06 
2023-05-09 07:05:34,750 INFO ofi_2_30: -8.413139891698309e-07 , std 9.376605598441628e-06 
2023-05-09 07:05:34,750 INFO ofi_3_30: -6.992573129294343e-07 , std 9.271927083222944e-06 
2023-05-09 07:05:34,750 INFO ofi_4_30: -5.270370711543402e-07 , std 8.091489948001413e-06 
2023-05-09 07:05:34,750 INFO ofi_5_30: -4.5363066707641805e-07 , std 8.695467274348593e-06 
2023-05-09 07:05:34,750 INFO ofi_6_30: -3.592638186974453e-07 , std 7.203947913499484e-06 
2023-05-09 07:05:34,750 INFO ofi_7_30: -3.2403483054796337e-07 , std 6.6856827862221245e-06 
2023-05-09 07:05:34,750 INFO ofi_8_30: -1.9775073347992357e-07 , std 6.057356099466688e-06 
2023-05-09 07:05:34,750 INFO ofi_9_30: -2.783594998734842e-07 , std 6.962170139245257e-06 
2023-05-09 07:05:34,750 INFO ofi_10_30: -2.6840026915542733e-07 , std 7.3632148384973285e-06 
2023-05-09 07:05:34,750 INFO used_intercept: 0.9893543333058464 , std 0.10262717220497956 
2023-05-09 07:05:34,750 INFO used_ofi_1_1: 0.02961985651851241 , std 0.16953619265022776 
2023-05-09 07:05:34,750 INFO used_ofi_2_1: 0.007025645254391029 , std 0.08352416155311278 
2023-05-09 07:05:34,750 INFO used_ofi_3_1: 0.004246722190154201 , std 0.06502835951178419 
2023-05-09 07:05:34,750 INFO used_ofi_4_1: 0.0037024820648140513 , std 0.06073527551080823 
2023-05-09 07:05:34,750 INFO used_ofi_5_1: 0.003084027376927517 , std 0.0554483196505167 
2023-05-09 07:05:34,750 INFO used_ofi_6_1: 0.0032407025645254392 , std 0.0568348520840313 
2023-05-09 07:05:34,750 INFO used_ofi_7_1: 0.002688216376680135 , std 0.051778276037275375 
2023-05-09 07:05:34,750 INFO used_ofi_8_1: 0.0032242104395151317 , std 0.05669051866544221 
2023-05-09 07:05:34,750 INFO used_ofi_9_1: 0.0029273521893295952 , std 0.05402576050819852 
2023-05-09 07:05:34,750 INFO used_ofi_10_1: 0.004139523377587202 , std 0.06420582312994369 
2023-05-09 07:05:34,750 INFO used_ofi_1_2: 0.04268986558918116 , std 0.20215697110205924 
2023-05-09 07:05:34,750 INFO used_ofi_2_2: 0.010431269069019544 , std 0.10159949652743985 
2023-05-09 07:05:34,750 INFO used_ofi_3_2: 0.007561639317226024 , std 0.08662829173002437 
2023-05-09 07:05:34,750 INFO used_ofi_4_2: 0.0048569308155355815 , std 0.06952223413116616 
2023-05-09 07:05:34,750 INFO used_ofi_5_2: 0.004106539127566587 , std 0.0639505704740806 
2023-05-09 07:05:34,750 INFO used_ofi_6_2: 0.0037354663148346664 , std 0.06100420154583946 
2023-05-09 07:05:34,750 INFO used_ofi_7_2: 0.003603529314752206 , std 0.05992114727898596 
2023-05-09 07:05:34,750 INFO used_ofi_8_2: 0.0038591572524119735 , std 0.062002130267541034 
2023-05-09 07:05:34,750 INFO used_ofi_9_2: 0.004296198565185124 , std 0.06540444360342518 
