2023-05-09 06:22:02,475 INFO Starting...
2023-05-09 06:22:02,475 INFO Tickers: ['BMY']
2023-05-09 06:23:19,480 INFO in_r2: 0.09804949959467167 , std 0.16070164800942524 
2023-05-09 06:23:19,481 INFO os_r2: -0.09119014176335864 , std 0.04736734832848371 
2023-05-09 06:23:19,481 INFO intercept: 4.514692960413326e-06 , std 0.00031523694648908236 
2023-05-09 06:23:19,481 INFO ofi_1_1: 8.16769560803629e-08 , std 2.1057453800268317e-05 
2023-05-09 06:23:19,481 INFO ofi_2_1: -6.59735028768751e-08 , std 1.7586656910636033e-05 
2023-05-09 06:23:19,481 INFO ofi_3_1: -2.7656261453952223e-07 , std 1.3683713183296827e-05 
2023-05-09 06:23:19,481 INFO ofi_4_1: -2.7741391345875304e-07 , std 1.4866890737015425e-05 
2023-05-09 06:23:19,481 INFO ofi_5_1: -2.0229736407712928e-07 , std 1.3326773305820934e-05 
2023-05-09 06:23:19,481 INFO ofi_6_1: -2.1405322898226157e-07 , std 1.3846426636215093e-05 
2023-05-09 06:23:19,481 INFO ofi_7_1: -1.4626333870469007e-07 , std 1.1233041020559192e-05 
2023-05-09 06:23:19,481 INFO ofi_8_1: -1.214800664244045e-07 , std 9.562395745318746e-06 
2023-05-09 06:23:19,481 INFO ofi_9_1: -1.893267648093218e-07 , std 1.737537426273514e-05 
2023-05-09 06:23:19,481 INFO ofi_10_1: -6.550864916307714e-08 , std 9.913781323749412e-06 
2023-05-09 06:23:19,481 INFO ofi_1_2: -4.961809389476027e-07 , std 2.103348473534263e-05 
2023-05-09 06:23:19,481 INFO ofi_2_2: -1.8668052716117235e-07 , std 1.7234475408300317e-05 
2023-05-09 06:23:19,481 INFO ofi_3_2: -5.256942409320019e-07 , std 1.789473496132908e-05 
2023-05-09 06:23:19,481 INFO ofi_4_2: -4.314815763164654e-07 , std 1.5648786725449316e-05 
2023-05-09 06:23:19,481 INFO ofi_5_2: -2.970970060531061e-07 , std 1.2423228514582244e-05 
2023-05-09 06:23:19,481 INFO ofi_6_2: -2.534734198560754e-07 , std 1.5705033497400416e-05 
2023-05-09 06:23:19,481 INFO ofi_7_2: -1.3156677980065392e-07 , std 1.649276898462546e-05 
2023-05-09 06:23:19,481 INFO ofi_8_2: -7.338781558127408e-08 , std 1.044807054993737e-05 
2023-05-09 06:23:19,481 INFO ofi_9_2: -1.313794123508196e-07 , std 1.2393692544009696e-05 
2023-05-09 06:23:19,481 INFO ofi_10_2: -1.2827607127625963e-07 , std 1.2835835990782183e-05 
2023-05-09 06:23:19,481 INFO ofi_1_3: -5.602662386078965e-07 , std 2.2403479614617683e-05 
2023-05-09 06:23:19,481 INFO ofi_2_3: -4.4972275077424063e-07 , std 1.9154081262919526e-05 
2023-05-09 06:23:19,481 INFO ofi_3_3: -6.441784681291747e-07 , std 1.6395850980375273e-05 
2023-05-09 06:23:19,481 INFO ofi_4_3: -6.755817295782796e-07 , std 1.5871955267508092e-05 
2023-05-09 06:23:19,481 INFO ofi_5_3: -4.13345014714563e-07 , std 1.3933449726627873e-05 
2023-05-09 06:23:19,481 INFO ofi_6_3: -3.9489824494527003e-07 , std 1.5191318555619816e-05 
2023-05-09 06:23:19,481 INFO ofi_7_3: -2.7505591636984115e-07 , std 1.3326391881013111e-05 
2023-05-09 06:23:19,481 INFO ofi_8_3: -1.7295026456755882e-07 , std 1.220446066577102e-05 
2023-05-09 06:23:19,481 INFO ofi_9_3: -1.9682676892825602e-07 , std 1.6687248012073025e-05 
2023-05-09 06:23:19,481 INFO ofi_10_3: -3.530621780514844e-08 , std 1.0593555935023548e-05 
2023-05-09 06:23:19,481 INFO ofi_1_5: -1.5500901179682326e-06 , std 2.3922452029808738e-05 
