2023-05-09 07:13:31,678 INFO Starting...
2023-05-09 07:13:31,678 INFO Tickers: ['CHTR']
2023-05-09 07:14:50,028 INFO in_r2: 0.08861521913790431 , std 0.1553880477426072 
2023-05-09 07:14:50,028 INFO os_r2: -0.09462610057697024 , std 0.040528046471318004 
2023-05-09 07:14:50,028 INFO intercept: 3.07083807647519e-07 , std 0.0003291089971808058 
2023-05-09 07:14:50,029 INFO ofi_1_1: 9.368293562134745e-08 , std 1.1196647029795284e-05 
2023-05-09 07:14:50,029 INFO ofi_2_1: -1.1179518365223856e-07 , std 7.639982160840248e-06 
2023-05-09 07:14:50,029 INFO ofi_3_1: -1.47087860820763e-07 , std 6.574967377911023e-06 
2023-05-09 07:14:50,029 INFO ofi_4_1: -7.114013821967626e-08 , std 6.51564375954223e-06 
2023-05-09 07:14:50,029 INFO ofi_5_1: -5.847799491740212e-08 , std 6.132181862001764e-06 
2023-05-09 07:14:50,029 INFO ofi_6_1: -3.3497943519316176e-08 , std 5.976350571358345e-06 
2023-05-09 07:14:50,029 INFO ofi_7_1: -6.4669074229554916e-09 , std 4.29841361433736e-06 
2023-05-09 07:14:50,029 INFO ofi_8_1: -3.0184379309906306e-08 , std 3.864725704943702e-06 
2023-05-09 07:14:50,029 INFO ofi_9_1: -2.885243126092218e-08 , std 4.765980962220018e-06 
2023-05-09 07:14:50,029 INFO ofi_10_1: -3.10703234726328e-08 , std 5.692026391200869e-06 
2023-05-09 07:14:50,029 INFO ofi_1_2: -8.7049202471512e-08 , std 9.196893199862402e-06 
2023-05-09 07:14:50,029 INFO ofi_2_2: -2.363122465771261e-07 , std 8.338774199568866e-06 
2023-05-09 07:14:50,029 INFO ofi_3_2: -2.0245165610160305e-07 , std 7.355909279624861e-06 
2023-05-09 07:14:50,029 INFO ofi_4_2: -1.552016440132241e-07 , std 6.648720974114055e-06 
2023-05-09 07:14:50,029 INFO ofi_5_2: -1.0141999851434146e-07 , std 6.322099186860615e-06 
2023-05-09 07:14:50,029 INFO ofi_6_2: -1.2534293291900907e-07 , std 5.832042061393735e-06 
2023-05-09 07:14:50,029 INFO ofi_7_2: -5.187670621767355e-08 , std 4.305496056430623e-06 
2023-05-09 07:14:50,029 INFO ofi_8_2: -6.192399750934412e-08 , std 5.280640553183395e-06 
2023-05-09 07:14:50,029 INFO ofi_9_2: -5.474288910270041e-08 , std 4.345367209710508e-06 
2023-05-09 07:14:50,029 INFO ofi_10_2: -6.893718574303459e-08 , std 6.075790107260641e-06 
2023-05-09 07:14:50,029 INFO ofi_1_3: -2.0952721817667383e-07 , std 9.61156425617729e-06 
2023-05-09 07:14:50,029 INFO ofi_2_3: -2.945820697708669e-07 , std 8.04902534423408e-06 
2023-05-09 07:14:50,029 INFO ofi_3_3: -2.3847281962796106e-07 , std 7.263076717478289e-06 
2023-05-09 07:14:50,029 INFO ofi_4_3: -2.3109447996668745e-07 , std 6.807774920655381e-06 
2023-05-09 07:14:50,029 INFO ofi_5_3: -1.971029958469914e-07 , std 7.266064520179408e-06 
2023-05-09 07:14:50,029 INFO ofi_6_3: -1.387203827208649e-07 , std 6.3176785687151786e-06 
2023-05-09 07:14:50,029 INFO ofi_7_3: -1.2999997398711873e-07 , std 5.718885289584605e-06 
2023-05-09 07:14:50,029 INFO ofi_8_3: -5.987428531677507e-08 , std 5.157014449845829e-06 
2023-05-09 07:14:50,029 INFO ofi_9_3: -7.970384648625735e-08 , std 5.297446802902312e-06 
2023-05-09 07:14:50,029 INFO ofi_10_3: -7.667132814832313e-08 , std 5.95513332227015e-06 
2023-05-09 07:14:50,029 INFO ofi_1_5: -4.824116753154799e-07 , std 1.0532866345354597e-05 
2023-05-09 07:14:50,029 INFO ofi_2_5: -5.604991090231515e-07 , std 8.743299643689834e-06 
2023-05-09 07:14:50,029 INFO ofi_3_5: -4.4672719223039705e-07 , std 7.663175183271424e-06 
2023-05-09 07:14:50,029 INFO ofi_4_5: -3.3090705175843694e-07 , std 7.062338664307201e-06 
2023-05-09 07:14:50,029 INFO ofi_5_5: -2.705854863396427e-07 , std 7.0177856188956925e-06 
2023-05-09 07:14:50,029 INFO ofi_6_5: -2.404230311853216e-07 , std 6.447538650339135e-06 
2023-05-09 07:14:50,029 INFO ofi_7_5: -1.5818385598209144e-07 , std 5.992188288928677e-06 
2023-05-09 07:14:50,029 INFO ofi_8_5: -1.3868115039757756e-07 , std 6.111611858755526e-06 
2023-05-09 07:14:50,029 INFO ofi_9_5: -9.083854632068545e-08 , std 4.9439816796716e-06 
2023-05-09 07:14:50,029 INFO ofi_10_5: -1.4060140508617696e-07 , std 5.9253196550678055e-06 
2023-05-09 07:14:50,029 INFO ofi_1_10: -7.654033606314789e-07 , std 9.987406751519103e-06 
2023-05-09 07:14:50,029 INFO ofi_2_10: -6.050695262163081e-07 , std 8.5979479939907e-06 
2023-05-09 07:14:50,029 INFO ofi_3_10: -5.243211880854498e-07 , std 8.309784191938061e-06 
2023-05-09 07:14:50,029 INFO ofi_4_10: -5.154065140267786e-07 , std 8.245605003070955e-06 
2023-05-09 07:14:50,029 INFO ofi_5_10: -3.980257329745758e-07 , std 7.83614615438848e-06 
2023-05-09 07:14:50,029 INFO ofi_6_10: -2.831896848976981e-07 , std 6.743644313931825e-06 
2023-05-09 07:14:50,029 INFO ofi_7_10: -2.0698528570010158e-07 , std 6.872109147907726e-06 
2023-05-09 07:14:50,029 INFO ofi_8_10: -1.8708972506120768e-07 , std 5.724840315049959e-06 
2023-05-09 07:14:50,029 INFO ofi_9_10: -1.5664171421679414e-07 , std 6.10468182033341e-06 
