2023-05-09 07:17:38,909 INFO Starting...
2023-05-09 07:17:38,909 INFO Tickers: ['CI']
2023-05-09 07:18:55,165 INFO in_r2: 0.09590049366083964 , std 0.16399223875277089 
2023-05-09 07:18:55,166 INFO os_r2: -0.09460696711845314 , std 0.04228118645635274 
2023-05-09 07:18:55,166 INFO intercept: 1.7881700429051551e-06 , std 0.0003010940548762818 
2023-05-09 07:18:55,166 INFO ofi_1_1: -6.935266504737218e-07 , std 1.6857815890806008e-05 
2023-05-09 07:18:55,166 INFO ofi_2_1: -3.061479175527033e-07 , std 1.2580163419869506e-05 
2023-05-09 07:18:55,166 INFO ofi_3_1: -2.6883449279474994e-07 , std 1.1275983831389784e-05 
2023-05-09 07:18:55,166 INFO ofi_4_1: -2.3279640305704184e-07 , std 9.514157734533164e-06 
2023-05-09 07:18:55,166 INFO ofi_5_1: -1.5058164402108556e-07 , std 9.95519290768808e-06 
2023-05-09 07:18:55,166 INFO ofi_6_1: -1.5317523023405e-07 , std 9.849196924733442e-06 
2023-05-09 07:18:55,166 INFO ofi_7_1: -1.605331471738086e-07 , std 1.2009324860934362e-05 
2023-05-09 07:18:55,166 INFO ofi_8_1: -8.795488218435835e-08 , std 8.180860371962476e-06 
2023-05-09 07:18:55,166 INFO ofi_9_1: -1.924673753050087e-07 , std 1.53598709988847e-05 
2023-05-09 07:18:55,166 INFO ofi_10_1: -1.3220687296328123e-07 , std 1.2504936446631367e-05 
2023-05-09 07:18:55,166 INFO ofi_1_2: -7.252448467391928e-07 , std 1.6710057556860344e-05 
2023-05-09 07:18:55,166 INFO ofi_2_2: -5.63289154498514e-07 , std 1.4027600185766739e-05 
2023-05-09 07:18:55,166 INFO ofi_3_2: -2.9860973647158463e-07 , std 1.0397410318108133e-05 
2023-05-09 07:18:55,166 INFO ofi_4_2: -3.1256357953098696e-07 , std 9.88391481966778e-06 
2023-05-09 07:18:55,166 INFO ofi_5_2: -1.6357348467125073e-07 , std 1.069477197618211e-05 
2023-05-09 07:18:55,166 INFO ofi_6_2: -2.0017987023793967e-07 , std 9.222807265610588e-06 
2023-05-09 07:18:55,166 INFO ofi_7_2: -2.217122142108657e-07 , std 8.691229440052258e-06 
2023-05-09 07:18:55,166 INFO ofi_8_2: -1.7548762750745105e-07 , std 9.27226845507627e-06 
2023-05-09 07:18:55,166 INFO ofi_9_2: -2.0760698324488734e-07 , std 1.251098365490223e-05 
2023-05-09 07:18:55,166 INFO ofi_10_2: -2.704656714907196e-07 , std 1.1965963926291157e-05 
2023-05-09 07:18:55,166 INFO ofi_1_3: -7.394529146478809e-07 , std 1.6053558809873564e-05 
2023-05-09 07:18:55,166 INFO ofi_2_3: -5.133346656230196e-07 , std 1.3410778988646075e-05 
2023-05-09 07:18:55,166 INFO ofi_3_3: -4.378599520352131e-07 , std 1.0827148384186364e-05 
2023-05-09 07:18:55,166 INFO ofi_4_3: -3.9041270955621657e-07 , std 1.0149772193938724e-05 
2023-05-09 07:18:55,166 INFO ofi_5_3: -2.4706558609576753e-07 , std 9.915085690923698e-06 
2023-05-09 07:18:55,166 INFO ofi_6_3: -2.519638373821259e-07 , std 1.119432661060131e-05 
2023-05-09 07:18:55,166 INFO ofi_7_3: -2.3106038712292376e-07 , std 9.72197329043844e-06 
2023-05-09 07:18:55,166 INFO ofi_8_3: -2.2080433730409634e-07 , std 9.501449568717893e-06 
2023-05-09 07:18:55,166 INFO ofi_9_3: -1.6412234036986176e-07 , std 1.1256533020132928e-05 
2023-05-09 07:18:55,166 INFO ofi_10_3: -2.73960939561569e-07 , std 1.160899404597249e-05 
2023-05-09 07:18:55,166 INFO ofi_1_5: -1.1007319137725836e-06 , std 1.688352092133765e-05 
2023-05-09 07:18:55,166 INFO ofi_2_5: -8.132497768965086e-07 , std 1.3860984538526329e-05 
2023-05-09 07:18:55,166 INFO ofi_3_5: -7.185012015080493e-07 , std 1.3821263186583482e-05 
2023-05-09 07:18:55,166 INFO ofi_4_5: -5.128416307554558e-07 , std 1.1257220541933637e-05 
2023-05-09 07:18:55,166 INFO ofi_5_5: -4.189646409405853e-07 , std 9.402157315676522e-06 
2023-05-09 07:18:55,167 INFO ofi_6_5: -3.0554277353533083e-07 , std 9.864436123167457e-06 
2023-05-09 07:18:55,167 INFO ofi_7_5: -2.5712408727571173e-07 , std 8.675771610048755e-06 
2023-05-09 07:18:55,167 INFO ofi_8_5: -2.5920833068559777e-07 , std 1.0346325141756733e-05 
2023-05-09 07:18:55,167 INFO ofi_9_5: -3.1536111556449654e-07 , std 1.1715028436534315e-05 
2023-05-09 07:18:55,167 INFO ofi_10_5: -3.3092592545653853e-07 , std 1.2558524648269679e-05 
2023-05-09 07:18:55,167 INFO ofi_1_10: -1.311405312099567e-06 , std 1.6089991706857613e-05 
2023-05-09 07:18:55,167 INFO ofi_2_10: -9.59116334001432e-07 , std 1.3543370813173465e-05 
2023-05-09 07:18:55,167 INFO ofi_3_10: -8.215200429608613e-07 , std 1.2914720116936595e-05 
2023-05-09 07:18:55,167 INFO ofi_4_10: -7.532656657330795e-07 , std 1.159604959559902e-05 
2023-05-09 07:18:55,167 INFO ofi_5_10: -5.851353938432071e-07 , std 1.1039411147111027e-05 
2023-05-09 07:18:55,167 INFO ofi_6_10: -5.232854738018722e-07 , std 1.1203846884762627e-05 
2023-05-09 07:18:55,167 INFO ofi_7_10: -4.231303749850645e-07 , std 1.1677794100830799e-05 
2023-05-09 07:18:55,167 INFO ofi_8_10: -3.506411724764917e-07 , std 1.1690218305267985e-05 
2023-05-09 07:18:55,167 INFO ofi_9_10: -3.100515551974173e-07 , std 1.0590458260118407e-05 
2023-05-09 07:18:55,167 INFO ofi_10_10: -3.792029839211691e-07 , std 1.157844537161782e-05 
2023-05-09 07:18:55,167 INFO ofi_1_20: -1.7259917694508966e-06 , std 1.7137146706887197e-05 
2023-05-09 07:18:55,167 INFO ofi_2_20: -1.3771139401556701e-06 , std 1.4797205066262127e-05 
2023-05-09 07:18:55,167 INFO ofi_3_20: -1.1442057804579615e-06 , std 1.3903324986721574e-05 
