2023-05-09 07:22:52,796 INFO Starting...
2023-05-09 07:22:52,796 INFO Tickers: ['CME']
2023-05-09 07:24:10,302 INFO in_r2: 0.09502071399657984 , std 0.160378343028627 
2023-05-09 07:24:10,303 INFO os_r2: -0.09599509213816394 , std 0.04373785807454194 
2023-05-09 07:24:10,303 INFO intercept: -2.1045291619283474e-06 , std 0.00025934164155337375 
2023-05-09 07:24:10,303 INFO ofi_1_1: -1.9881625143105992e-07 , std 9.92920963649868e-06 
2023-05-09 07:24:10,303 INFO ofi_2_1: -1.5203618715132123e-07 , std 8.232567215732112e-06 
2023-05-09 07:24:10,303 INFO ofi_3_1: -1.4001585131328415e-07 , std 7.526341335129182e-06 
2023-05-09 07:24:10,303 INFO ofi_4_1: -1.234528230481431e-07 , std 6.395760315728025e-06 
2023-05-09 07:24:10,303 INFO ofi_5_1: -1.1779628870202119e-07 , std 6.941771683075377e-06 
2023-05-09 07:24:10,303 INFO ofi_6_1: -1.0897674810647852e-07 , std 1.009699429930055e-05 
2023-05-09 07:24:10,303 INFO ofi_7_1: -4.684106769660912e-08 , std 5.6236215041726955e-06 
2023-05-09 07:24:10,303 INFO ofi_8_1: -4.782791752869412e-08 , std 5.232363980663323e-06 
2023-05-09 07:24:10,303 INFO ofi_9_1: -2.7724323489495375e-08 , std 5.7196527169480015e-06 
2023-05-09 07:24:10,303 INFO ofi_10_1: -4.411592097222154e-08 , std 6.9388288884907905e-06 
2023-05-09 07:24:10,303 INFO ofi_1_2: -2.3954509776425697e-07 , std 9.113031747394121e-06 
2023-05-09 07:24:10,303 INFO ofi_2_2: -1.85456213852636e-07 , std 7.709180689219763e-06 
2023-05-09 07:24:10,303 INFO ofi_3_2: -2.5939659321906017e-07 , std 7.110294167299409e-06 
2023-05-09 07:24:10,303 INFO ofi_4_2: -1.6463621454520986e-07 , std 7.796912005089729e-06 
2023-05-09 07:24:10,303 INFO ofi_5_2: -2.2254231418366256e-07 , std 7.320693985125415e-06 
2023-05-09 07:24:10,303 INFO ofi_6_2: -1.613744647866329e-07 , std 6.122002514241064e-06 
2023-05-09 07:24:10,303 INFO ofi_7_2: -9.94572738309127e-08 , std 5.8317230416580765e-06 
2023-05-09 07:24:10,303 INFO ofi_8_2: -6.246841682965935e-08 , std 5.6864420476564235e-06 
2023-05-09 07:24:10,303 INFO ofi_9_2: -6.976512505639701e-08 , std 5.662654663570936e-06 
2023-05-09 07:24:10,303 INFO ofi_10_2: -1.0566072383837776e-07 , std 6.4380321191353145e-06 
2023-05-09 07:24:10,303 INFO ofi_1_3: -3.537253893767438e-07 , std 9.549724572824523e-06 
2023-05-09 07:24:10,303 INFO ofi_2_3: -3.243931054435264e-07 , std 8.933558138114531e-06 
2023-05-09 07:24:10,303 INFO ofi_3_3: -3.360317202759261e-07 , std 8.055936223677332e-06 
2023-05-09 07:24:10,303 INFO ofi_4_3: -2.5111608589631584e-07 , std 7.319698014207086e-06 
2023-05-09 07:24:10,303 INFO ofi_5_3: -2.109975378257293e-07 , std 6.687237878022579e-06 
2023-05-09 07:24:10,303 INFO ofi_6_3: -1.422949814949385e-07 , std 6.654635749498034e-06 
2023-05-09 07:24:10,303 INFO ofi_7_3: -1.0607165510277514e-07 , std 6.569061892585501e-06 
2023-05-09 07:24:10,303 INFO ofi_8_3: -7.701570765608928e-08 , std 6.04727167822565e-06 
2023-05-09 07:24:10,303 INFO ofi_9_3: -1.160762658930831e-07 , std 6.023004914815472e-06 
2023-05-09 07:24:10,303 INFO ofi_10_3: -1.0180803348831932e-07 , std 6.135589311004363e-06 
2023-05-09 07:24:10,303 INFO ofi_1_5: -6.085020850317801e-07 , std 1.0348265342517958e-05 
2023-05-09 07:24:10,303 INFO ofi_2_5: -5.012459518801447e-07 , std 8.761188865869004e-06 
2023-05-09 07:24:10,303 INFO ofi_3_5: -4.239871481940771e-07 , std 7.283896012299198e-06 
2023-05-09 07:24:10,303 INFO ofi_4_5: -4.2115847308276466e-07 , std 8.020333885148141e-06 
2023-05-09 07:24:10,303 INFO ofi_5_5: -3.885968745126578e-07 , std 7.2251306312968236e-06 
2023-05-09 07:24:10,303 INFO ofi_6_5: -3.526411115224733e-07 , std 7.207086538170485e-06 
2023-05-09 07:24:10,303 INFO ofi_7_5: -1.6812097602716047e-07 , std 6.163217059681024e-06 
2023-05-09 07:24:10,303 INFO ofi_8_5: -1.1168932251342298e-07 , std 6.193992732469764e-06 
2023-05-09 07:24:10,303 INFO ofi_9_5: -1.2956187563743428e-07 , std 5.5298552655792935e-06 
2023-05-09 07:24:10,303 INFO ofi_10_5: -1.4616965422544513e-07 , std 6.483522124588179e-06 
2023-05-09 07:24:10,303 INFO ofi_1_10: -7.742238694020454e-07 , std 1.0606325364989975e-05 
2023-05-09 07:24:10,303 INFO ofi_2_10: -6.048450356567087e-07 , std 9.54981649198121e-06 
2023-05-09 07:24:10,303 INFO ofi_3_10: -6.160099562459864e-07 , std 8.873997240635669e-06 
2023-05-09 07:24:10,303 INFO ofi_4_10: -6.51957500716603e-07 , std 8.719536393344398e-06 
2023-05-09 07:24:10,303 INFO ofi_5_10: -5.13795858608301e-07 , std 8.720607602764137e-06 
2023-05-09 07:24:10,303 INFO ofi_6_10: -4.1208212145160995e-07 , std 7.0298149633017675e-06 
2023-05-09 07:24:10,303 INFO ofi_7_10: -2.88868136682857e-07 , std 7.172653727362041e-06 
2023-05-09 07:24:10,303 INFO ofi_8_10: -1.8819627520833704e-07 , std 6.551579463057138e-06 
2023-05-09 07:24:10,303 INFO ofi_9_10: -1.756830973043273e-07 , std 6.488861842133456e-06 
2023-05-09 07:24:10,304 INFO ofi_10_10: -2.1924394867049955e-07 , std 6.041544254419402e-06 
2023-05-09 07:24:10,304 INFO ofi_1_20: -1.0485416056901921e-06 , std 1.1021457125763715e-05 
2023-05-09 07:24:10,304 INFO ofi_2_20: -8.273095145019262e-07 , std 9.699495569219922e-06 
2023-05-09 07:24:10,304 INFO ofi_3_20: -7.805214241479556e-07 , std 1.0413515581862123e-05 
2023-05-09 07:24:10,304 INFO ofi_4_20: -8.53322522862543e-07 , std 1.0449487406277439e-05 
2023-05-09 07:24:10,304 INFO ofi_5_20: -7.114330024897555e-07 , std 9.366162369207551e-06 
