2023-05-09 07:26:48,625 INFO Starting...
2023-05-09 07:26:48,625 INFO Tickers: ['COP']
2023-05-09 07:27:43,577 INFO in_r2: 0.09933069883662696 , std 0.1595538719658554 
2023-05-09 07:27:43,578 INFO os_r2: -0.08619088802312797 , std 0.03227206998430086 
2023-05-09 07:27:43,578 INFO intercept: -6.9381272340757265e-06 , std 0.0003504661926733478 
2023-05-09 07:27:43,578 INFO ofi_1_1: 2.6645876826097677e-08 , std 1.968784493887903e-05 
2023-05-09 07:27:43,578 INFO ofi_2_1: -1.2614458437919168e-07 , std 1.380195268046038e-05 
2023-05-09 07:27:43,578 INFO ofi_3_1: -1.1550026455895185e-07 , std 1.5409290638618056e-05 
2023-05-09 07:27:43,578 INFO ofi_4_1: -3.4640571680150796e-07 , std 1.5623681902593015e-05 
2023-05-09 07:27:43,578 INFO ofi_5_1: -2.3251524461188675e-07 , std 1.3229746646764401e-05 
2023-05-09 07:27:43,578 INFO ofi_6_1: -8.654143481134174e-08 , std 1.2778037837671012e-05 
2023-05-09 07:27:43,578 INFO ofi_7_1: -1.58540882463893e-07 , std 1.1521046740755526e-05 
2023-05-09 07:27:43,578 INFO ofi_8_1: -1.9114144966225974e-07 , std 1.913190111771779e-05 
2023-05-09 07:27:43,578 INFO ofi_9_1: -2.986568688662476e-08 , std 1.2199007273206037e-05 
2023-05-09 07:27:43,578 INFO ofi_10_1: -5.255611338394143e-08 , std 1.3246411190066762e-05 
2023-05-09 07:27:43,578 INFO ofi_1_2: -2.740577387238438e-07 , std 1.9760660728833277e-05 
2023-05-09 07:27:43,578 INFO ofi_2_2: -2.327653509083346e-07 , std 1.4327949789475386e-05 
2023-05-09 07:27:43,578 INFO ofi_3_2: -4.048549873858424e-07 , std 1.5098448177168725e-05 
2023-05-09 07:27:43,578 INFO ofi_4_2: -4.937648886598827e-07 , std 1.3124550599482669e-05 
2023-05-09 07:27:43,578 INFO ofi_5_2: -3.03866709687338e-07 , std 1.3325239123974137e-05 
2023-05-09 07:27:43,578 INFO ofi_6_2: -1.6480103652740387e-07 , std 1.1118087970378863e-05 
2023-05-09 07:27:43,578 INFO ofi_7_2: -1.1797946172202901e-07 , std 1.23207265113204e-05 
2023-05-09 07:27:43,578 INFO ofi_8_2: -9.777885472939445e-08 , std 1.0701961342226656e-05 
