2023-05-09 06:24:40,579 INFO Starting...
2023-05-09 06:24:40,579 INFO Tickers: ['CRM']
2023-05-09 06:26:01,448 INFO in_r2: 0.10286472724695198 , std 0.16487409820962962 
2023-05-09 06:26:01,448 INFO os_r2: -0.08983003726532865 , std 0.03692721327696513 
2023-05-09 06:26:01,448 INFO intercept: 4.805041044191271e-06 , std 0.0003255117272589486 
2023-05-09 06:26:01,448 INFO ofi_1_1: -1.4577826270960415e-07 , std 8.474134099367797e-06 
2023-05-09 06:26:01,448 INFO ofi_2_1: -1.3783267520414307e-07 , std 7.958659288969317e-06 
2023-05-09 06:26:01,448 INFO ofi_3_1: -1.8469082650514906e-07 , std 7.297567148468233e-06 
2023-05-09 06:26:01,448 INFO ofi_4_1: -1.8501775881966395e-07 , std 7.981305249260303e-06 
2023-05-09 06:26:01,448 INFO ofi_5_1: -2.0236768439937108e-07 , std 7.4716600554775254e-06 
2023-05-09 06:26:01,448 INFO ofi_6_1: -1.4407643013139185e-07 , std 6.422551211240609e-06 
2023-05-09 06:26:01,448 INFO ofi_7_1: -1.3060487510481654e-07 , std 5.954556093913502e-06 
2023-05-09 06:26:01,448 INFO ofi_8_1: -8.51621786230181e-08 , std 6.376131572728782e-06 
2023-05-09 06:26:01,448 INFO ofi_9_1: -5.488021373561854e-08 , std 5.750613648839368e-06 
2023-05-09 06:26:01,448 INFO ofi_10_1: -1.2990447262350372e-07 , std 6.8425734168573765e-06 
2023-05-09 06:26:01,448 INFO ofi_1_2: -2.1614887866280738e-07 , std 9.54021739125548e-06 
2023-05-09 06:26:01,448 INFO ofi_2_2: -2.260979195695013e-07 , std 8.90874471007663e-06 
2023-05-09 06:26:01,448 INFO ofi_3_2: -2.1844768215735898e-07 , std 7.1203095485061155e-06 
2023-05-09 06:26:01,448 INFO ofi_4_2: -2.730072537389406e-07 , std 7.554474985001684e-06 
2023-05-09 06:26:01,448 INFO ofi_5_2: -2.7484788179899987e-07 , std 7.301774725810956e-06 
2023-05-09 06:26:01,448 INFO ofi_6_2: -2.165076782165556e-07 , std 6.67314949659957e-06 
2023-05-09 06:26:01,449 INFO ofi_7_2: -1.842204453337558e-07 , std 6.590654978175564e-06 
2023-05-09 06:26:01,449 INFO ofi_8_2: -1.5745344988586971e-07 , std 6.3444621941240334e-06 
2023-05-09 06:26:01,449 INFO ofi_9_2: -1.3873335874415238e-07 , std 7.398014048550344e-06 
2023-05-09 06:26:01,449 INFO ofi_10_2: -1.814060218347171e-07 , std 7.139822521076473e-06 
2023-05-09 06:26:01,449 INFO ofi_1_3: -1.9193325421258044e-07 , std 9.704510380427575e-06 
2023-05-09 06:26:01,449 INFO ofi_2_3: -3.3688987411317293e-07 , std 9.947674765314516e-06 
2023-05-09 06:26:01,449 INFO ofi_3_3: -3.7521388466874717e-07 , std 8.252850437456029e-06 
2023-05-09 06:26:01,449 INFO ofi_4_3: -3.4330445734592887e-07 , std 8.483325015322684e-06 
2023-05-09 06:26:01,449 INFO ofi_5_3: -3.907112410324286e-07 , std 8.581908690298569e-06 
2023-05-09 06:26:01,449 INFO ofi_6_3: -3.202139454980527e-07 , std 7.316865732921922e-06 
2023-05-09 06:26:01,449 INFO ofi_7_3: -2.889850152255161e-07 , std 7.3585147805611345e-06 
2023-05-09 06:26:01,449 INFO ofi_8_3: -1.865331083550841e-07 , std 6.8045283847479024e-06 
2023-05-09 06:26:01,449 INFO ofi_9_3: -1.9636136011797353e-07 , std 7.3394996798239996e-06 
2023-05-09 06:26:01,449 INFO ofi_10_3: -1.696875847270804e-07 , std 7.929451578394544e-06 
2023-05-09 06:26:01,449 INFO ofi_1_5: -4.3366104166261767e-07 , std 1.0834475428100058e-05 
2023-05-09 06:26:01,449 INFO ofi_2_5: -5.634286265122898e-07 , std 1.045996915242935e-05 
2023-05-09 06:26:01,449 INFO ofi_3_5: -5.640191931105021e-07 , std 9.347110339719548e-06 
2023-05-09 06:26:01,449 INFO ofi_4_5: -5.18322415242518e-07 , std 8.235195117410003e-06 
2023-05-09 06:26:01,449 INFO ofi_5_5: -4.920530731681491e-07 , std 8.240966946975576e-06 
2023-05-09 06:26:01,449 INFO ofi_6_5: -4.822799465630643e-07 , std 8.439036143503448e-06 
2023-05-09 06:26:01,449 INFO ofi_7_5: -3.687438169618803e-07 , std 7.3606549418596466e-06 
2023-05-09 06:26:01,449 INFO ofi_8_5: -3.096510374632079e-07 , std 7.506965624429329e-06 
2023-05-09 06:26:01,449 INFO ofi_9_5: -2.2360395493735743e-07 , std 7.12249613289955e-06 
2023-05-09 06:26:01,449 INFO ofi_10_5: -3.210816700930555e-07 , std 8.18132286277509e-06 
2023-05-09 06:26:01,449 INFO ofi_1_10: -6.325563585317412e-07 , std 1.2245611489541008e-05 
2023-05-09 06:26:01,449 INFO ofi_2_10: -6.393215954539084e-07 , std 1.0090713524636816e-05 
2023-05-09 06:26:01,449 INFO ofi_3_10: -6.698976596545613e-07 , std 9.013999623828327e-06 
2023-05-09 06:26:01,449 INFO ofi_4_10: -7.619091309517111e-07 , std 9.445955359945302e-06 
2023-05-09 06:26:01,449 INFO ofi_5_10: -7.238025716218952e-07 , std 8.79928773345821e-06 
2023-05-09 06:26:01,449 INFO ofi_6_10: -6.677771990801321e-07 , std 8.539729830408084e-06 
2023-05-09 06:26:01,449 INFO ofi_7_10: -4.5142276865440197e-07 , std 7.894832897511034e-06 
2023-05-09 06:26:01,449 INFO ofi_8_10: -3.5884526223832747e-07 , std 7.695029792007254e-06 
2023-05-09 06:26:01,449 INFO ofi_9_10: -3.4100284379429343e-07 , std 8.361276618146768e-06 
2023-05-09 06:26:01,449 INFO ofi_10_10: -4.279472719063353e-07 , std 9.40359648755847e-06 
2023-05-09 06:26:01,449 INFO ofi_1_20: -7.740905039890311e-07 , std 1.2128017085753176e-05 
2023-05-09 06:26:01,449 INFO ofi_2_20: -8.84334764985587e-07 , std 1.0910333652438447e-05 
2023-05-09 06:26:01,449 INFO ofi_3_20: -1.0099396054946203e-06 , std 1.0480496628881509e-05 
2023-05-09 06:26:01,449 INFO ofi_4_20: -1.0704339785333228e-06 , std 9.812338401270364e-06 
2023-05-09 06:26:01,449 INFO ofi_5_20: -9.031300189015887e-07 , std 9.297521149747915e-06 
2023-05-09 06:26:01,449 INFO ofi_6_20: -8.743079571684817e-07 , std 9.78006969566648e-06 
2023-05-09 06:26:01,449 INFO ofi_7_20: -6.313705042096498e-07 , std 8.74764301803977e-06 
