2023-05-09 06:55:47,144 INFO Starting...
2023-05-09 06:55:47,145 INFO Tickers: ['CVS']
2023-05-09 06:57:04,922 INFO in_r2: 0.10171376748199104 , std 0.16525769317379538 
2023-05-09 06:57:04,922 INFO os_r2: -0.09338868930684031 , std 0.045995313209672185 
2023-05-09 06:57:04,922 INFO intercept: 3.162047723976176e-06 , std 0.00030488267803116455 
2023-05-09 06:57:04,922 INFO ofi_1_1: -2.622596487852426e-07 , std 1.5697965968058575e-05 
2023-05-09 06:57:04,922 INFO ofi_2_1: -2.0207669695337433e-07 , std 1.1429570344547158e-05 
2023-05-09 06:57:04,922 INFO ofi_3_1: -2.8185001350566686e-07 , std 1.1685765647524128e-05 
2023-05-09 06:57:04,922 INFO ofi_4_1: -2.3667511732548236e-07 , std 1.0084804010949581e-05 
2023-05-09 06:57:04,922 INFO ofi_5_1: -2.311489852531909e-07 , std 1.0407742899351908e-05 
2023-05-09 06:57:04,922 INFO ofi_6_1: -1.7527848366257405e-07 , std 1.123651946788891e-05 
2023-05-09 06:57:04,922 INFO ofi_7_1: -1.7273574733365655e-07 , std 1.0017146690900443e-05 
2023-05-09 06:57:04,922 INFO ofi_8_1: -8.8424452873832e-08 , std 8.773404521494263e-06 
2023-05-09 06:57:04,922 INFO ofi_9_1: -9.444095592839623e-08 , std 9.68587982189384e-06 
2023-05-09 06:57:04,922 INFO ofi_10_1: -6.132863825053354e-08 , std 8.995071950452367e-06 
2023-05-09 06:57:04,922 INFO ofi_1_2: -4.856434912615661e-07 , std 1.6222181998508683e-05 
2023-05-09 06:57:04,922 INFO ofi_2_2: -4.1726752682231415e-07 , std 1.354024860255204e-05 
2023-05-09 06:57:04,922 INFO ofi_3_2: -3.8513648141345024e-07 , std 1.052192967983552e-05 
2023-05-09 06:57:04,922 INFO ofi_4_2: -4.053730936188368e-07 , std 1.0574969603709534e-05 
2023-05-09 06:57:04,922 INFO ofi_5_2: -4.7507697778098305e-07 , std 1.2229482121076678e-05 
2023-05-09 06:57:04,922 INFO ofi_6_2: -2.8393447780145285e-07 , std 1.0824408026575985e-05 
2023-05-09 06:57:04,922 INFO ofi_7_2: -1.8444925457553195e-07 , std 9.799844577409722e-06 
2023-05-09 06:57:04,922 INFO ofi_8_2: -1.8363624726620328e-07 , std 9.032505261237865e-06 
2023-05-09 06:57:04,922 INFO ofi_9_2: -1.313130630169576e-07 , std 8.955645209705972e-06 
2023-05-09 06:57:04,922 INFO ofi_10_2: -1.1663923039399617e-07 , std 1.0008058388421268e-05 
2023-05-09 06:57:04,922 INFO ofi_1_3: -4.882448737366983e-07 , std 1.731963271965204e-05 
2023-05-09 06:57:04,922 INFO ofi_2_3: -5.466587483598918e-07 , std 1.326809584014992e-05 
2023-05-09 06:57:04,922 INFO ofi_3_3: -5.197802865539957e-07 , std 1.4171910056339676e-05 
2023-05-09 06:57:04,922 INFO ofi_4_3: -5.013123519440282e-07 , std 1.3198292238765898e-05 
2023-05-09 06:57:04,922 INFO ofi_5_3: -4.441293876712087e-07 , std 1.2089904927861427e-05 
2023-05-09 06:57:04,922 INFO ofi_6_3: -2.6682122293891145e-07 , std 1.130593959942955e-05 
2023-05-09 06:57:04,922 INFO ofi_7_3: -2.121985749855002e-07 , std 1.1156962243166716e-05 
2023-05-09 06:57:04,922 INFO ofi_8_3: -1.6233321239296453e-07 , std 1.2647715653156083e-05 
2023-05-09 06:57:04,922 INFO ofi_9_3: -6.233106908989422e-08 , std 1.2133666490929865e-05 
2023-05-09 06:57:04,922 INFO ofi_10_3: -7.240455860372771e-08 , std 9.1381393762687e-06 
2023-05-09 06:57:04,922 INFO ofi_1_5: -1.0492672255338282e-06 , std 1.81234940395826e-05 
2023-05-09 06:57:04,922 INFO ofi_2_5: -8.426724557301617e-07 , std 1.4646123215273168e-05 
2023-05-09 06:57:04,922 INFO ofi_3_5: -9.20210307657715e-07 , std 1.4092230079432626e-05 
