2023-05-09 06:04:11,300 INFO Starting...
2023-05-09 06:04:11,301 INFO Tickers: ['CVX']
2023-05-09 06:05:33,479 INFO in_r2: 0.09929390211638776 , std 0.16049653175735565 
2023-05-09 06:05:33,479 INFO os_r2: -0.08793724184203439 , std 0.039676337775876466 
2023-05-09 06:05:33,479 INFO intercept: -5.0107226480964094e-06 , std 0.00024196518323547876 
2023-05-09 06:05:33,479 INFO ofi_1_1: 2.8210315569225887e-09 , std 9.32376916204939e-06 
2023-05-09 06:05:33,479 INFO ofi_2_1: -8.820460152200296e-08 , std 6.872225253607854e-06 
2023-05-09 06:05:33,479 INFO ofi_3_1: -1.5636461857393897e-07 , std 6.470227732449518e-06 
2023-05-09 06:05:33,479 INFO ofi_4_1: -2.0755716137779314e-07 , std 6.567569122289981e-06 
2023-05-09 06:05:33,479 INFO ofi_5_1: -1.5959363302866e-07 , std 7.2857458107975064e-06 
2023-05-09 06:05:33,479 INFO ofi_6_1: -1.2472245997448549e-07 , std 7.156532323834061e-06 
2023-05-09 06:05:33,479 INFO ofi_7_1: -5.183296210387698e-08 , std 5.922904194900466e-06 
2023-05-09 06:05:33,479 INFO ofi_8_1: -7.525001153790812e-08 , std 6.13767118367039e-06 
2023-05-09 06:05:33,479 INFO ofi_9_1: -4.965892489559545e-08 , std 4.910722240482546e-06 
2023-05-09 06:05:33,479 INFO ofi_10_1: -4.926542237179482e-08 , std 5.2581053926803536e-06 
2023-05-09 06:05:33,479 INFO ofi_1_2: -6.140735334152726e-08 , std 8.636120625376399e-06 
2023-05-09 06:05:33,479 INFO ofi_2_2: -8.771594061703945e-08 , std 7.87811441892604e-06 
2023-05-09 06:05:33,479 INFO ofi_3_2: -1.6696542999856964e-07 , std 8.226747608183819e-06 
2023-05-09 06:05:33,479 INFO ofi_4_2: -2.948648010814923e-07 , std 7.800294386937226e-06 
2023-05-09 06:05:33,479 INFO ofi_5_2: -2.53869049650731e-07 , std 7.288559093785408e-06 
2023-05-09 06:05:33,479 INFO ofi_6_2: -1.7805296005174651e-07 , std 7.66195443237435e-06 
2023-05-09 06:05:33,479 INFO ofi_7_2: -1.5088343271803874e-07 , std 7.08650573532812e-06 
2023-05-09 06:05:33,479 INFO ofi_8_2: -1.1859648509550624e-07 , std 7.198068148854372e-06 
2023-05-09 06:05:33,479 INFO ofi_9_2: -7.521628490909088e-08 , std 5.463828204807922e-06 
