2023-05-09 06:57:05,568 INFO Starting...
2023-05-09 06:57:05,568 INFO Tickers: ['DHR']
2023-05-09 06:58:24,456 INFO in_r2: 0.0998272277427288 , std 0.16325852796839996 
2023-05-09 06:58:24,456 INFO os_r2: -0.0874940081932645 , std 0.0353918253865326 
2023-05-09 06:58:24,456 INFO intercept: 3.0513620384895667e-06 , std 0.00021128089637780805 
2023-05-09 06:58:24,456 INFO ofi_1_1: -1.090097643155934e-07 , std 1.0013427072896305e-05 
2023-05-09 06:58:24,456 INFO ofi_2_1: -1.8363667282557074e-07 , std 8.532314570391786e-06 
2023-05-09 06:58:24,456 INFO ofi_3_1: -2.797580353875283e-07 , std 8.876088139312514e-06 
2023-05-09 06:58:24,456 INFO ofi_4_1: -1.7715497755568524e-07 , std 7.436890493329938e-06 
2023-05-09 06:58:24,456 INFO ofi_5_1: -2.295789938186622e-07 , std 8.167611904578756e-06 
2023-05-09 06:58:24,456 INFO ofi_6_1: -1.8513574051806074e-07 , std 8.209969945280759e-06 
2023-05-09 06:58:24,456 INFO ofi_7_1: -6.967905914221719e-08 , std 6.326208606980169e-06 
2023-05-09 06:58:24,456 INFO ofi_8_1: -7.068487914932804e-08 , std 6.209868246004694e-06 
2023-05-09 06:58:24,456 INFO ofi_9_1: -7.371957936774985e-08 , std 6.825787882887128e-06 
2023-05-09 06:58:24,456 INFO ofi_10_1: -6.045205154776192e-08 , std 6.767637072023247e-06 
2023-05-09 06:58:24,456 INFO ofi_1_2: -1.4934652789985768e-07 , std 9.833188421349433e-06 
2023-05-09 06:58:24,456 INFO ofi_2_2: -2.2841025168266112e-07 , std 9.510613851478785e-06 
2023-05-09 06:58:24,456 INFO ofi_3_2: -2.853285162876322e-07 , std 9.091644948629587e-06 
2023-05-09 06:58:24,456 INFO ofi_4_2: -3.205640163309566e-07 , std 8.043244448544584e-06 
2023-05-09 06:58:24,457 INFO ofi_5_2: -2.973140866386371e-07 , std 8.41506423693395e-06 
2023-05-09 06:58:24,457 INFO ofi_6_2: -1.6114799762011774e-07 , std 9.023973515486186e-06 
2023-05-09 06:58:24,457 INFO ofi_7_2: -1.405750070116105e-07 , std 7.798816434146982e-06 
2023-05-09 06:58:24,457 INFO ofi_8_2: -9.567247834339613e-08 , std 6.3290835144288945e-06 
2023-05-09 06:58:24,457 INFO ofi_9_2: -1.1652665248026358e-07 , std 6.56858166525983e-06 
2023-05-09 06:58:24,457 INFO ofi_10_2: -1.0069154334614332e-07 , std 7.92789853482498e-06 
2023-05-09 06:58:24,457 INFO ofi_1_3: -1.6544042234554092e-07 , std 1.0165364324380289e-05 
2023-05-09 06:58:24,457 INFO ofi_2_3: -3.285646151820566e-07 , std 1.024203043894643e-05 
2023-05-09 06:58:24,457 INFO ofi_3_3: -4.13428554149636e-07 , std 9.385678577018184e-06 
2023-05-09 06:58:24,457 INFO ofi_4_3: -4.340351310612245e-07 , std 8.612555655806675e-06 
2023-05-09 06:58:24,457 INFO ofi_5_3: -3.913457675720326e-07 , std 8.349501495469249e-06 
2023-05-09 06:58:24,457 INFO ofi_6_3: -3.027438947264403e-07 , std 7.633068756528274e-06 
2023-05-09 06:58:24,457 INFO ofi_7_3: -1.696942615763668e-07 , std 7.785356017502158e-06 
2023-05-09 06:58:24,457 INFO ofi_8_3: -1.4945304580198828e-07 , std 7.424775152826427e-06 
2023-05-09 06:58:24,457 INFO ofi_9_3: -1.0671485508827909e-07 , std 6.5297719019158656e-06 
2023-05-09 06:58:24,457 INFO ofi_10_3: -6.488437576635872e-08 , std 6.815172655951967e-06 
2023-05-09 06:58:24,457 INFO ofi_1_5: -2.975077498252405e-07 , std 1.196284920217988e-05 
2023-05-09 06:58:24,457 INFO ofi_2_5: -6.041847808629002e-07 , std 1.0312935923017957e-05 
2023-05-09 06:58:24,457 INFO ofi_3_5: -7.223999891470834e-07 , std 1.051834086088735e-05 
2023-05-09 06:58:24,457 INFO ofi_4_5: -6.848146219887346e-07 , std 9.749767731029645e-06 
2023-05-09 06:58:24,457 INFO ofi_5_5: -6.18666494527376e-07 , std 9.24134808449943e-06 
2023-05-09 06:58:24,457 INFO ofi_6_5: -4.791995703589365e-07 , std 9.262352137384727e-06 
2023-05-09 06:58:24,457 INFO ofi_7_5: -2.734750042751096e-07 , std 8.009257071076175e-06 
2023-05-09 06:58:24,457 INFO ofi_8_5: -1.7200079066662413e-07 , std 7.0965318326244285e-06 
2023-05-09 06:58:24,457 INFO ofi_9_5: -1.5517305327241804e-07 , std 8.153465879766461e-06 
2023-05-09 06:58:24,457 INFO ofi_10_5: -1.784449461774928e-07 , std 8.20460862429115e-06 
2023-05-09 06:58:24,457 INFO ofi_1_10: -4.596824856608389e-07 , std 1.1561227813584866e-05 
2023-05-09 06:58:24,457 INFO ofi_2_10: -7.014733957024682e-07 , std 1.1080578910302128e-05 
2023-05-09 06:58:24,457 INFO ofi_3_10: -8.148287988070234e-07 , std 1.0585159133922959e-05 
2023-05-09 06:58:24,457 INFO ofi_4_10: -8.91565880642269e-07 , std 9.538996350688097e-06 
2023-05-09 06:58:24,457 INFO ofi_5_10: -8.253670606735316e-07 , std 1.0511613030299681e-05 
2023-05-09 06:58:24,457 INFO ofi_6_10: -6.356806493714404e-07 , std 1.0303023639394507e-05 
2023-05-09 06:58:24,457 INFO ofi_7_10: -3.550088847521292e-07 , std 9.747496866166564e-06 
2023-05-09 06:58:24,457 INFO ofi_8_10: -2.8944128361785185e-07 , std 8.254864009130381e-06 
2023-05-09 06:58:24,457 INFO ofi_9_10: -2.735359847861097e-07 , std 8.838473905423395e-06 
2023-05-09 06:58:24,457 INFO ofi_10_10: -2.110372353357485e-07 , std 8.449689732930282e-06 
2023-05-09 06:58:24,457 INFO ofi_1_20: -6.923711257305146e-07 , std 1.3709252174112697e-05 
2023-05-09 06:58:24,457 INFO ofi_2_20: -9.646440989850042e-07 , std 1.2422552404748672e-05 
2023-05-09 06:58:24,457 INFO ofi_3_20: -1.1968510385167542e-06 , std 1.1154943604393924e-05 
2023-05-09 06:58:24,457 INFO ofi_4_20: -1.3519638798436186e-06 , std 1.1539296526276033e-05 
2023-05-09 06:58:24,457 INFO ofi_5_20: -1.1381888592278236e-06 , std 1.1141765216217088e-05 
2023-05-09 06:58:24,457 INFO ofi_6_20: -7.900818747508451e-07 , std 9.408428056397657e-06 
2023-05-09 06:58:24,457 INFO ofi_7_20: -4.81585161385631e-07 , std 9.4457122355137e-06 
2023-05-09 06:58:24,457 INFO ofi_8_20: -3.051307186630385e-07 , std 1.0037133919018631e-05 
2023-05-09 06:58:24,457 INFO ofi_9_20: -2.4337142340977936e-07 , std 8.937131042591962e-06 
2023-05-09 06:58:24,457 INFO ofi_10_20: -2.677020053467718e-07 , std 9.060205392237988e-06 
2023-05-09 06:58:24,457 INFO ofi_1_30: -8.668299999228253e-07 , std 1.408987518323527e-05 
2023-05-09 06:58:24,457 INFO ofi_2_30: -1.2221301680261152e-06 , std 1.2526628917514474e-05 
2023-05-09 06:58:24,457 INFO ofi_3_30: -1.5385218025777953e-06 , std 1.1936804106543726e-05 
