2023-05-09 05:56:18,717 INFO Starting...
2023-05-09 05:56:18,717 INFO Tickers: ['DIS']
2023-05-09 05:57:39,145 INFO in_r2: 0.09774431514502259 , std 0.15950461205958114 
2023-05-09 05:57:39,146 INFO os_r2: -0.08965604566870859 , std 0.04706596346013049 
2023-05-09 05:57:39,146 INFO intercept: 1.8279922663425156e-06 , std 0.0002242835459951367 
2023-05-09 05:57:39,146 INFO ofi_1_1: -2.5006862356797537e-08 , std 9.392830673975783e-06 
2023-05-09 05:57:39,146 INFO ofi_2_1: -7.219156310110233e-08 , std 7.381196954675687e-06 
2023-05-09 05:57:39,146 INFO ofi_3_1: -9.421383838203152e-08 , std 7.059747534342547e-06 
2023-05-09 05:57:39,146 INFO ofi_4_1: -2.428845173420333e-07 , std 7.247559224715247e-06 
2023-05-09 05:57:39,146 INFO ofi_5_1: -2.0404431524602482e-07 , std 6.611305764209678e-06 
2023-05-09 05:57:39,146 INFO ofi_6_1: -1.5182459264180915e-07 , std 6.626199874613712e-06 
2023-05-09 05:57:39,146 INFO ofi_7_1: -6.546188624351373e-08 , std 6.037526072943422e-06 
2023-05-09 05:57:39,146 INFO ofi_8_1: -8.210373223328875e-08 , std 5.264534319814091e-06 
2023-05-09 05:57:39,146 INFO ofi_9_1: -1.7159720837482743e-08 , std 5.0076102333493734e-06 
2023-05-09 05:57:39,146 INFO ofi_10_1: -2.702380175131182e-08 , std 5.818081558031562e-06 
2023-05-09 05:57:39,146 INFO ofi_1_2: -7.20831658693471e-08 , std 9.105653425625152e-06 
2023-05-09 05:57:39,146 INFO ofi_2_2: -1.8484338704780578e-07 , std 8.092995490165563e-06 
2023-05-09 05:57:39,146 INFO ofi_3_2: -1.936973915026445e-07 , std 7.832997470270415e-06 
2023-05-09 05:57:39,146 INFO ofi_4_2: -3.296629431841601e-07 , std 7.820562131343746e-06 
2023-05-09 05:57:39,146 INFO ofi_5_2: -1.7135488824585558e-07 , std 6.4333701365657225e-06 
2023-05-09 05:57:39,146 INFO ofi_6_2: -2.2130975325895e-07 , std 6.987941062089167e-06 
2023-05-09 05:57:39,146 INFO ofi_7_2: -1.519565383081958e-07 , std 7.0892265987318635e-06 
2023-05-09 05:57:39,146 INFO ofi_8_2: -6.128746348383052e-08 , std 5.528643467394894e-06 
2023-05-09 05:57:39,146 INFO ofi_9_2: -8.25230957558311e-08 , std 4.98325583474847e-06 
2023-05-09 05:57:39,146 INFO ofi_10_2: -8.677492243286559e-08 , std 6.0256281624761814e-06 
2023-05-09 05:57:39,146 INFO ofi_1_3: -1.5933814048214285e-07 , std 1.1043928348442171e-05 
2023-05-09 05:57:39,146 INFO ofi_2_3: -1.9412951874381968e-07 , std 9.06506465730986e-06 
2023-05-09 05:57:39,146 INFO ofi_3_3: -3.7037574811785944e-07 , std 8.649298709628043e-06 
2023-05-09 05:57:39,146 INFO ofi_4_3: -4.2602824403499294e-07 , std 8.103630739806867e-06 
2023-05-09 05:57:39,146 INFO ofi_5_3: -3.426844928413126e-07 , std 7.516864773820403e-06 
2023-05-09 05:57:39,146 INFO ofi_6_3: -2.5361591600808506e-07 , std 6.9514960948586135e-06 
2023-05-09 05:57:39,146 INFO ofi_7_3: -1.3387413716772834e-07 , std 7.084745540721104e-06 
2023-05-09 05:57:39,146 INFO ofi_8_3: -9.831398039877309e-08 , std 5.93546875426836e-06 
2023-05-09 05:57:39,146 INFO ofi_9_3: -7.044342312785192e-08 , std 6.300802483077374e-06 
2023-05-09 05:57:39,146 INFO ofi_10_3: -7.68602508433828e-08 , std 5.583361508266698e-06 
2023-05-09 05:57:39,146 INFO ofi_1_5: -3.177641631270487e-07 , std 1.1143932785956711e-05 
2023-05-09 05:57:39,146 INFO ofi_2_5: -3.9152778496337316e-07 , std 1.0107163300080716e-05 
2023-05-09 05:57:39,146 INFO ofi_3_5: -5.224101211409778e-07 , std 8.753807356486584e-06 
2023-05-09 05:57:39,146 INFO ofi_4_5: -6.731049154095932e-07 , std 9.210308359516232e-06 
2023-05-09 05:57:39,146 INFO ofi_5_5: -5.645247004665861e-07 , std 8.594977434182152e-06 
2023-05-09 05:57:39,146 INFO ofi_6_5: -4.356514207791453e-07 , std 8.369936019167901e-06 
2023-05-09 05:57:39,146 INFO ofi_7_5: -2.562461158825163e-07 , std 7.328348876522654e-06 
2023-05-09 05:57:39,146 INFO ofi_8_5: -1.8869790794698262e-07 , std 6.863685765962332e-06 
2023-05-09 05:57:39,146 INFO ofi_9_5: -1.1103285818328949e-07 , std 6.483912731281044e-06 
2023-05-09 05:57:39,146 INFO ofi_10_5: -8.630195762158562e-08 , std 5.5022278606982705e-06 
2023-05-09 05:57:39,146 INFO ofi_1_10: -3.4541842495226216e-07 , std 1.2427178145406856e-05 
2023-05-09 05:57:39,146 INFO ofi_2_10: -4.5816521782360454e-07 , std 9.552405422830101e-06 
2023-05-09 05:57:39,146 INFO ofi_3_10: -7.395088170548648e-07 , std 9.605939402071215e-06 
2023-05-09 05:57:39,146 INFO ofi_4_10: -8.367952318604519e-07 , std 9.551470933946244e-06 
2023-05-09 05:57:39,146 INFO ofi_5_10: -7.079046486519263e-07 , std 8.371197534539752e-06 
2023-05-09 05:57:39,146 INFO ofi_6_10: -5.75839634929736e-07 , std 8.94063850379787e-06 
2023-05-09 05:57:39,146 INFO ofi_7_10: -3.4767425276361096e-07 , std 7.87946892204443e-06 
2023-05-09 05:57:39,147 INFO ofi_8_10: -1.8909843599496705e-07 , std 6.555214112963407e-06 
2023-05-09 05:57:39,147 INFO ofi_9_10: -1.2439096798268192e-07 , std 5.417579135760847e-06 
2023-05-09 05:57:39,147 INFO ofi_10_10: -9.60308470238094e-08 , std 7.299176559589068e-06 
2023-05-09 05:57:39,147 INFO ofi_1_20: -6.570851426208914e-07 , std 1.242270651181049e-05 
2023-05-09 05:57:39,147 INFO ofi_2_20: -7.502221320122936e-07 , std 1.1447164897353161e-05 
2023-05-09 05:57:39,147 INFO ofi_3_20: -9.888268384089516e-07 , std 1.1310209715588257e-05 
2023-05-09 05:57:39,147 INFO ofi_4_20: -1.1428214203142205e-06 , std 9.792216973704757e-06 
2023-05-09 05:57:39,147 INFO ofi_5_20: -8.528959702552169e-07 , std 9.940686468074353e-06 
2023-05-09 05:57:39,147 INFO ofi_6_20: -7.158717153532736e-07 , std 9.092197462928398e-06 
2023-05-09 05:57:39,147 INFO ofi_7_20: -4.437426861702469e-07 , std 8.355227527885988e-06 
2023-05-09 05:57:39,147 INFO ofi_8_20: -2.512600390986106e-07 , std 7.604055754680742e-06 
2023-05-09 05:57:39,147 INFO ofi_9_20: -1.8520030343340228e-07 , std 6.719093453428793e-06 
2023-05-09 05:57:39,147 INFO ofi_10_20: -1.6241675702616181e-07 , std 7.424619982682721e-06 
2023-05-09 05:57:39,147 INFO ofi_1_30: -7.118425615270384e-07 , std 1.3058315185161781e-05 
2023-05-09 05:57:39,147 INFO ofi_2_30: -8.896307526787803e-07 , std 1.0702199353669027e-05 
2023-05-09 05:57:39,147 INFO ofi_3_30: -1.2990643328341631e-06 , std 1.0745926492606884e-05 
2023-05-09 05:57:39,147 INFO ofi_4_30: -1.3790012443909827e-06 , std 1.0248660630401314e-05 
2023-05-09 05:57:39,147 INFO ofi_5_30: -1.028347967527124e-06 , std 9.465446186676939e-06 
2023-05-09 05:57:39,147 INFO ofi_6_30: -8.087074700700566e-07 , std 9.851012093994496e-06 
2023-05-09 05:57:39,147 INFO ofi_7_30: -6.034447286263058e-07 , std 9.139424611146038e-06 
2023-05-09 05:57:39,147 INFO ofi_8_30: -3.1267763275947717e-07 , std 7.567102829416307e-06 
2023-05-09 05:57:39,147 INFO ofi_9_30: -2.073033994843733e-07 , std 6.531078180610954e-06 
2023-05-09 05:57:39,147 INFO ofi_10_30: -1.8135262151739197e-07 , std 7.276058417251643e-06 
2023-05-09 05:57:39,147 INFO used_intercept: 0.9866467799606283 , std 0.11478201755480595 
