2023-05-09 07:34:14,382 INFO Starting...
2023-05-09 07:34:14,382 INFO Tickers: ['DUK']
2023-05-09 07:35:35,289 INFO in_r2: 0.10244551975336338 , std 0.16321960172789518 
2023-05-09 07:35:35,289 INFO os_r2: -0.08801926990504691 , std 0.036580590865840305 
2023-05-09 07:35:35,289 INFO intercept: 4.5778048045126545e-06 , std 0.00019230081441608027 
2023-05-09 07:35:35,289 INFO ofi_1_1: -1.1533663598649577e-07 , std 1.2497512767608589e-05 
2023-05-09 07:35:35,289 INFO ofi_2_1: -1.375380337773008e-07 , std 9.509398200768337e-06 
2023-05-09 07:35:35,289 INFO ofi_3_1: -2.973861398362567e-07 , std 9.395963351176982e-06 
2023-05-09 07:35:35,289 INFO ofi_4_1: -3.1392462345806206e-07 , std 1.063255179617629e-05 
2023-05-09 07:35:35,289 INFO ofi_5_1: -2.1864094019795898e-07 , std 9.31409037289648e-06 
2023-05-09 07:35:35,289 INFO ofi_6_1: -2.0845458337408373e-07 , std 7.738943275457162e-06 
2023-05-09 07:35:35,289 INFO ofi_7_1: -1.195973972178084e-07 , std 9.631720933029623e-06 
2023-05-09 07:35:35,289 INFO ofi_8_1: -9.838132564496928e-08 , std 9.55797397723175e-06 
2023-05-09 07:35:35,289 INFO ofi_9_1: -8.856416453081155e-08 , std 7.955772681275766e-06 
2023-05-09 07:35:35,289 INFO ofi_10_1: -9.662146372838032e-08 , std 8.693625944030982e-06 
2023-05-09 07:35:35,289 INFO ofi_1_2: -1.5305898958168511e-07 , std 1.1778265451697803e-05 
2023-05-09 07:35:35,289 INFO ofi_2_2: -2.40775927953568e-07 , std 1.1742871608887816e-05 
2023-05-09 07:35:35,289 INFO ofi_3_2: -3.798636278758574e-07 , std 1.0866834452060607e-05 
2023-05-09 07:35:35,289 INFO ofi_4_2: -3.8659104549284316e-07 , std 9.070214605022297e-06 
2023-05-09 07:35:35,289 INFO ofi_5_2: -3.3944396480414244e-07 , std 8.970790979161144e-06 
2023-05-09 07:35:35,289 INFO ofi_6_2: -2.420807313100489e-07 , std 8.713098414067615e-06 
2023-05-09 07:35:35,289 INFO ofi_7_2: -2.0759990944251793e-07 , std 1.0510892294322585e-05 
2023-05-09 07:35:35,289 INFO ofi_8_2: -1.013066264828476e-07 , std 6.8488984055487e-06 
2023-05-09 07:35:35,289 INFO ofi_9_2: -1.487188517363887e-07 , std 8.820058269926279e-06 
2023-05-09 07:35:35,289 INFO ofi_10_2: -4.4887718281032596e-08 , std 9.667769659238868e-06 
2023-05-09 07:35:35,289 INFO ofi_1_3: -1.189876567289e-07 , std 1.390421142041548e-05 
2023-05-09 07:35:35,289 INFO ofi_2_3: -3.2506537375298035e-07 , std 1.2340753774198245e-05 
2023-05-09 07:35:35,289 INFO ofi_3_3: -5.912534307873317e-07 , std 1.1919080704961173e-05 
2023-05-09 07:35:35,289 INFO ofi_4_3: -5.143684849587529e-07 , std 1.0072675107536117e-05 
2023-05-09 07:35:35,289 INFO ofi_5_3: -3.6978741989125224e-07 , std 9.254228900441992e-06 
2023-05-09 07:35:35,289 INFO ofi_6_3: -4.1230922197480374e-07 , std 1.0565255173330772e-05 
2023-05-09 07:35:35,289 INFO ofi_7_3: -2.1637095610135612e-07 , std 1.0209793659454102e-05 
2023-05-09 07:35:35,290 INFO ofi_8_3: -1.686773028711145e-07 , std 9.666972514332008e-06 
2023-05-09 07:35:35,290 INFO ofi_9_3: -8.526044287081746e-08 , std 8.90694270805769e-06 
2023-05-09 07:35:35,290 INFO ofi_10_3: -1.170385289694483e-07 , std 7.383709391970122e-06 
2023-05-09 07:35:35,290 INFO ofi_1_5: -4.6644729445627423e-07 , std 1.4314545122665908e-05 
2023-05-09 07:35:35,290 INFO ofi_2_5: -6.617227905939216e-07 , std 1.3107306061515572e-05 
2023-05-09 07:35:35,290 INFO ofi_3_5: -9.908011170845852e-07 , std 1.3346704472421789e-05 
2023-05-09 07:35:35,290 INFO ofi_4_5: -8.202765243613316e-07 , std 1.0501051573326784e-05 
2023-05-09 07:35:35,290 INFO ofi_5_5: -6.219966205556973e-07 , std 1.1034113856999143e-05 
2023-05-09 07:35:35,290 INFO ofi_6_5: -4.473573384135828e-07 , std 9.405037119269586e-06 
2023-05-09 07:35:35,290 INFO ofi_7_5: -2.4931754687169574e-07 , std 9.840695795677763e-06 
2023-05-09 07:35:35,290 INFO ofi_8_5: -1.5506269966227665e-07 , std 8.451754686239975e-06 
2023-05-09 07:35:35,290 INFO ofi_9_5: -1.6351733854408828e-07 , std 8.053362643581192e-06 
2023-05-09 07:35:35,290 INFO ofi_10_5: -1.5325673180492804e-07 , std 8.457017949107252e-06 
2023-05-09 07:35:35,290 INFO ofi_1_10: -7.090694705223653e-07 , std 1.4867355133732192e-05 
2023-05-09 07:35:35,290 INFO ofi_2_10: -1.0202804553107208e-06 , std 1.4336449988751774e-05 
2023-05-09 07:35:35,290 INFO ofi_3_10: -1.2947469873423279e-06 , std 1.2379729460819016e-05 
2023-05-09 07:35:35,290 INFO ofi_4_10: -1.1032309189126124e-06 , std 1.1370235028420762e-05 
2023-05-09 07:35:35,290 INFO ofi_5_10: -9.513167963917358e-07 , std 1.0738624270739889e-05 
2023-05-09 07:35:35,290 INFO ofi_6_10: -7.313727671984572e-07 , std 1.111434122034797e-05 
2023-05-09 07:35:35,290 INFO ofi_7_10: -4.242841089317455e-07 , std 9.118347257560407e-06 
2023-05-09 07:35:35,290 INFO ofi_8_10: -2.303860557742248e-07 , std 7.957322535076045e-06 
2023-05-09 07:35:35,290 INFO ofi_9_10: -1.7762089197956732e-07 , std 9.749931160545013e-06 
2023-05-09 07:35:35,290 INFO ofi_10_10: -2.079024949632911e-07 , std 9.383247630424244e-06 
2023-05-09 07:35:35,290 INFO ofi_1_20: -8.168058738407778e-07 , std 1.5566637447951293e-05 
2023-05-09 07:35:35,290 INFO ofi_2_20: -1.2393854814671659e-06 , std 1.4818941795768936e-05 
2023-05-09 07:35:35,290 INFO ofi_3_20: -1.555379193939159e-06 , std 1.3717105271423312e-05 
2023-05-09 07:35:35,290 INFO ofi_4_20: -1.5048093929050646e-06 , std 1.2051846548102892e-05 
2023-05-09 07:35:35,290 INFO ofi_5_20: -1.119365494468452e-06 , std 1.2532538314110715e-05 
2023-05-09 07:35:35,290 INFO ofi_6_20: -8.644860118839214e-07 , std 1.2892315135235294e-05 
2023-05-09 07:35:35,290 INFO ofi_7_20: -5.255585537392731e-07 , std 1.1126190514159268e-05 
2023-05-09 07:35:35,290 INFO ofi_8_20: -2.462025195546185e-07 , std 9.28073542289692e-06 
2023-05-09 07:35:35,290 INFO ofi_9_20: -2.2342200437648837e-07 , std 1.1176588444141932e-05 
2023-05-09 07:35:35,290 INFO ofi_10_20: -2.850581520504179e-07 , std 1.1941669255254568e-05 
2023-05-09 07:35:35,290 INFO ofi_1_30: -1.137992330674339e-06 , std 1.6086437811535616e-05 
2023-05-09 07:35:35,290 INFO ofi_2_30: -1.7355771616718848e-06 , std 1.5843068682694966e-05 
2023-05-09 07:35:35,290 INFO ofi_3_30: -2.0426466694328333e-06 , std 1.435663341283979e-05 
2023-05-09 07:35:35,290 INFO ofi_4_30: -1.8444551622898082e-06 , std 1.4284712986856378e-05 
2023-05-09 07:35:35,290 INFO ofi_5_30: -1.331101377682266e-06 , std 1.4117228925534227e-05 
2023-05-09 07:35:35,290 INFO ofi_6_30: -1.1670372723959065e-06 , std 1.3173494251121691e-05 
2023-05-09 07:35:35,290 INFO ofi_7_30: -6.392059959789557e-07 , std 1.2039135387763642e-05 
2023-05-09 07:35:35,290 INFO ofi_8_30: -3.7016039968647133e-07 , std 1.1029504413124573e-05 
2023-05-09 07:35:35,290 INFO ofi_9_30: -2.604064080255754e-07 , std 9.960965911109795e-06 
2023-05-09 07:35:35,290 INFO ofi_10_30: -2.091849386664146e-07 , std 1.115101784988831e-05 
2023-05-09 07:35:35,290 INFO used_intercept: 0.9863354224418465 , std 0.11609417245628982 
2023-05-09 07:35:35,290 INFO used_ofi_1_1: 0.008677835362179101 , std 0.0927498276850476 
2023-05-09 07:35:35,290 INFO used_ofi_2_1: 0.008115383070186012 , std 0.0897191374669315 
2023-05-09 07:35:35,291 INFO used_ofi_3_1: 0.011033104334900165 , std 0.10445752698410664 
2023-05-09 07:35:35,291 INFO used_ofi_4_1: 0.009893134064521313 , std 0.09897100566783545 
2023-05-09 07:35:35,291 INFO used_ofi_5_1: 0.009024346149210558 , std 0.09456694626448392 
2023-05-09 07:35:35,291 INFO used_ofi_6_1: 0.0067644931903097505 , std 0.0819678889699375 
2023-05-09 07:35:35,291 INFO used_ofi_7_1: 0.004082801012414126 , std 0.06376622733318284 
2023-05-09 07:35:35,291 INFO used_ofi_8_1: 0.002762042505323209 , std 0.05248250781471858 
2023-05-09 07:35:35,291 INFO used_ofi_9_1: 0.0023150938090072716 , std 0.048059693607666355 
2023-05-09 07:35:35,291 INFO used_ofi_10_1: 0.002415531718291752 , std 0.04908866391347067 
2023-05-09 07:35:35,291 INFO used_ofi_1_2: 0.011570447149572135 , std 0.10694190900826064 
2023-05-09 07:35:35,291 INFO used_ofi_2_2: 0.011530271985858343 , std 0.10675825407803592 
2023-05-09 07:35:35,291 INFO used_ofi_3_2: 0.014834679201317745 , std 0.12089090740958038 
2023-05-09 07:35:35,291 INFO used_ofi_4_2: 0.013940781808685871 , std 0.11724519781743081 
2023-05-09 07:35:35,291 INFO used_ofi_5_2: 0.011424812181109637 , std 0.10627457761730227 
2023-05-09 07:35:35,291 INFO used_ofi_6_2: 0.007628259210156281 , std 0.08700614272325227 
2023-05-09 07:35:35,291 INFO used_ofi_7_2: 0.005092202000723153 , std 0.07117774567592726 
2023-05-09 07:35:35,291 INFO used_ofi_8_2: 0.003394801333815435 , std 0.05816594070174883 
2023-05-09 07:35:35,291 INFO used_ofi_9_2: 0.003269253947209835 , std 0.05708384995634483 
2023-05-09 07:35:35,291 INFO used_ofi_10_2: 0.0033797356474227634 , std 0.05803716942077984 
2023-05-09 07:35:35,291 INFO used_ofi_1_3: 0.014528343578000081 , std 0.11965479852843203 
2023-05-09 07:35:35,291 INFO used_ofi_2_3: 0.015146036720099634 , std 0.1221336738650444 
2023-05-09 07:35:35,291 INFO used_ofi_3_3: 0.02063999035796071 , std 0.14217588106280193 
2023-05-09 07:35:35,291 INFO used_ofi_4_3: 0.01811899883492025 , std 0.13338178554862884 
2023-05-09 07:35:35,291 INFO used_ofi_5_3: 0.013393395203085452 , std 0.11495221689040808 
2023-05-09 07:35:35,291 INFO used_ofi_6_3: 0.01102808243943594 , std 0.10443401666672092 
2023-05-09 07:35:35,291 INFO used_ofi_7_3: 0.006553573580812342 , std 0.08068843940821524 
2023-05-09 07:35:35,291 INFO used_ofi_8_3: 0.004735647422763248 , std 0.06865290282464771 
2023-05-09 07:35:35,291 INFO used_ofi_9_3: 0.003289341529066731 , std 0.057258377215669384 
2023-05-09 07:35:35,291 INFO used_ofi_10_3: 0.003891968984773613 , std 0.0622641274105337 
2023-05-09 07:35:35,291 INFO used_ofi_1_5: 0.02295508416696798 , std 0.14976030274360225 
2023-05-09 07:35:35,291 INFO used_ofi_2_5: 0.025435900526294644 , std 0.15744496019470133 
2023-05-09 07:35:35,291 INFO used_ofi_3_5: 0.03398316660640392 , std 0.18118584656039036 
2023-05-09 07:35:35,291 INFO used_ofi_4_5: 0.029609095657064804 , std 0.16950633354372216 
2023-05-09 07:35:35,291 INFO used_ofi_5_5: 0.022081274356193 , std 0.14694792165593748 
2023-05-09 07:35:35,291 INFO used_ofi_6_5: 0.015050620706279378 , std 0.1217542587453724 
2023-05-09 07:35:35,291 INFO used_ofi_7_5: 0.009079586999317022 , std 0.0948532977773512 
2023-05-09 07:35:35,291 INFO used_ofi_8_5: 0.00563958860632357 , std 0.07488513635345133 
2023-05-09 07:35:35,291 INFO used_ofi_9_5: 0.004785866377405488 , std 0.06901421491564697 
2023-05-09 07:35:35,291 INFO used_ofi_10_5: 0.0052579245510425456 , std 0.07232066634412386 
2023-05-09 07:35:35,291 INFO used_ofi_1_10: 0.03401329797918926 , std 0.18126332651633684 
2023-05-09 07:35:35,291 INFO used_ofi_2_10: 0.04191776143987787 , std 0.2004012542768816 
2023-05-09 07:35:35,291 INFO used_ofi_3_10: 0.05150455988108152 , std 0.22102452396179384 
2023-05-09 07:35:35,291 INFO used_ofi_4_10: 0.04386625687999678 , std 0.2047974813989052 
2023-05-09 07:35:35,291 INFO used_ofi_5_10: 0.03457575027118236 , std 0.18270267585442523 
2023-05-09 07:35:35,291 INFO used_ofi_6_10: 0.024803141697802417 , std 0.1555247435610204 
2023-05-09 07:35:35,291 INFO used_ofi_7_10: 0.013353220039371661 , std 0.11478201755480598 
2023-05-09 07:35:35,291 INFO used_ofi_8_10: 0.008019967056365755 , std 0.08919443471865586 
2023-05-09 07:35:35,291 INFO used_ofi_9_10: 0.0064531356715278616 , std 0.0800717972293161 
2023-05-09 07:35:35,291 INFO used_ofi_10_10: 0.00643806998513519 , std 0.07997887996216058 
2023-05-09 07:35:35,291 INFO used_ofi_1_20: 0.043454461451930416 , std 0.20387783408662433 
2023-05-09 07:35:35,292 INFO used_ofi_2_20: 0.05217749387328753 , std 0.2223848083983944 
2023-05-09 07:35:35,292 INFO used_ofi_3_20: 0.06406934233257 , std 0.244876421293766 
2023-05-09 07:35:35,292 INFO used_ofi_4_20: 0.05644108312241372 , std 0.23077150443324346 
2023-05-09 07:35:35,292 INFO used_ofi_5_20: 0.0436804467478205 , std 0.20438313364789015 
2023-05-09 07:35:35,292 INFO used_ofi_6_20: 0.03138182475593588 , std 0.17434737116149357 
2023-05-09 07:35:35,292 INFO used_ofi_7_20: 0.01870656060423446 , std 0.1354866236740534 
2023-05-09 07:35:35,292 INFO used_ofi_8_20: 0.010656462175083363 , std 0.10267863453023897 
2023-05-09 07:35:35,292 INFO used_ofi_9_20: 0.008657747780322205 , std 0.0926433547735321 
2023-05-09 07:35:35,292 INFO used_ofi_10_20: 0.00847695954361014 , std 0.09167933627871733 
2023-05-09 07:35:35,292 INFO used_ofi_1_30: 0.05098228275280222 , std 0.21996156391086952 
2023-05-09 07:35:35,292 INFO used_ofi_2_30: 0.06054397171668475 , std 0.2384919269188247 
2023-05-09 07:35:35,292 INFO used_ofi_3_30: 0.07726688361255073 , std 0.26701444213629205 
2023-05-09 07:35:35,292 INFO used_ofi_4_30: 0.06627395444136434 , std 0.24876036140042154 
2023-05-09 07:35:35,292 INFO used_ofi_5_30: 0.04853661966172512 , std 0.2148972224425857 
2023-05-09 07:35:35,292 INFO used_ofi_6_30: 0.037930376441284 , std 0.1910279115320756 
2023-05-09 07:35:35,292 INFO used_ofi_7_30: 0.021709654091840423 , std 0.14573381560589518 
2023-05-09 07:35:35,292 INFO used_ofi_8_30: 0.013443614157727693 , std 0.11516459263204919 
2023-05-09 07:35:35,292 INFO used_ofi_9_30: 0.009797718050701057 , std 0.09849732367785444 
2023-05-09 07:35:35,292 INFO used_ofi_10_30: 0.009923265437306657 , std 0.09912010008251311 
2023-05-09 07:35:35,919 INFO Grouping by horizont:
2023-05-09 07:35:35,919 INFO 1: 0.06508376521634326
2023-05-09 07:35:35,919 INFO 2: 0.08606524446587119
2023-05-09 07:35:35,919 INFO 3: 0.11132537865091802
2023-05-09 07:35:35,919 INFO 5: 0.17387810855329236
2023-05-09 07:35:35,919 INFO 10: 0.2649451609015307
2023-05-09 07:35:35,919 INFO 20: 0.33770238238720823
2023-05-09 07:35:35,919 INFO 30: 0.39640834036398703
2023-05-09 07:35:35,919 INFO Grouping by level:
2023-05-09 07:35:35,919 INFO 1: 0.1861817524406412
2023-05-09 07:35:35,919 INFO 2: 0.2148668193322888
2023-05-09 07:35:35,919 INFO 3: 0.2733317263267848
2023-05-09 07:35:35,919 INFO 4: 0.23814330480896712
2023-05-09 07:35:35,919 INFO 5: 0.18271664457032663
2023-05-09 07:35:35,919 INFO 6: 0.13458679844120364
2023-05-09 07:35:35,919 INFO 7: 0.07857759832871318
2023-05-09 07:35:35,919 INFO 8: 0.04865212325740227
2023-05-09 07:35:35,919 INFO 9: 0.038568157165240445
2023-05-09 07:35:35,919 INFO 10: 0.03978345586758266
2023-05-09 07:35:35,919 INFO Grouping by level and horizont:
2023-05-09 07:35:35,919 INFO 1_1: 0.008677835362179101
2023-05-09 07:35:35,919 INFO 2_1: 0.008115383070186012
2023-05-09 07:35:35,919 INFO 3_1: 0.011033104334900165
2023-05-09 07:35:35,919 INFO 4_1: 0.009893134064521313
2023-05-09 07:35:35,919 INFO 5_1: 0.009024346149210558
2023-05-09 07:35:35,919 INFO 6_1: 0.0067644931903097505
2023-05-09 07:35:35,920 INFO 7_1: 0.004082801012414126
2023-05-09 07:35:35,920 INFO 8_1: 0.002762042505323209
2023-05-09 07:35:35,920 INFO 9_1: 0.0023150938090072716
2023-05-09 07:35:35,920 INFO 10_1: 0.002415531718291752
2023-05-09 07:35:35,920 INFO 1_2: 0.011570447149572135
2023-05-09 07:35:35,920 INFO 2_2: 0.011530271985858343
2023-05-09 07:35:35,920 INFO 3_2: 0.014834679201317745
2023-05-09 07:35:35,920 INFO 4_2: 0.013940781808685871
2023-05-09 07:35:35,920 INFO 5_2: 0.011424812181109637
2023-05-09 07:35:35,920 INFO 6_2: 0.007628259210156281
2023-05-09 07:35:35,920 INFO 7_2: 0.005092202000723153
2023-05-09 07:35:35,920 INFO 8_2: 0.003394801333815435
2023-05-09 07:35:35,920 INFO 9_2: 0.003269253947209835
2023-05-09 07:35:35,920 INFO 10_2: 0.0033797356474227634
2023-05-09 07:35:35,920 INFO 1_3: 0.014528343578000081
2023-05-09 07:35:35,920 INFO 2_3: 0.015146036720099634
2023-05-09 07:35:35,920 INFO 3_3: 0.02063999035796071
2023-05-09 07:35:35,920 INFO 4_3: 0.01811899883492025
2023-05-09 07:35:35,920 INFO 5_3: 0.013393395203085452
2023-05-09 07:35:35,920 INFO 6_3: 0.01102808243943594
2023-05-09 07:35:35,920 INFO 7_3: 0.006553573580812342
2023-05-09 07:35:35,920 INFO 8_3: 0.004735647422763248
2023-05-09 07:35:35,920 INFO 9_3: 0.003289341529066731
2023-05-09 07:35:35,920 INFO 10_3: 0.003891968984773613
2023-05-09 07:35:35,920 INFO 1_5: 0.02295508416696798
2023-05-09 07:35:35,920 INFO 2_5: 0.025435900526294644
2023-05-09 07:35:35,920 INFO 3_5: 0.03398316660640392
2023-05-09 07:35:35,920 INFO 4_5: 0.029609095657064804
2023-05-09 07:35:35,920 INFO 5_5: 0.022081274356193
2023-05-09 07:35:35,920 INFO 6_5: 0.015050620706279378
2023-05-09 07:35:35,920 INFO 7_5: 0.009079586999317022
2023-05-09 07:35:35,920 INFO 8_5: 0.00563958860632357
2023-05-09 07:35:35,920 INFO 9_5: 0.004785866377405488
2023-05-09 07:35:35,920 INFO 10_5: 0.0052579245510425456
2023-05-09 07:35:35,920 INFO 1_10: 0.03401329797918926
2023-05-09 07:35:35,920 INFO 2_10: 0.04191776143987787
2023-05-09 07:35:35,920 INFO 3_10: 0.05150455988108152
2023-05-09 07:35:35,920 INFO 4_10: 0.04386625687999678
2023-05-09 07:35:35,920 INFO 5_10: 0.03457575027118236
2023-05-09 07:35:35,920 INFO 6_10: 0.024803141697802417
2023-05-09 07:35:35,920 INFO 7_10: 0.013353220039371661
2023-05-09 07:35:35,920 INFO 8_10: 0.008019967056365755
2023-05-09 07:35:35,920 INFO 9_10: 0.0064531356715278616
2023-05-09 07:35:35,920 INFO 10_10: 0.00643806998513519
2023-05-09 07:35:35,920 INFO 1_20: 0.043454461451930416
2023-05-09 07:35:35,920 INFO 2_20: 0.05217749387328753
2023-05-09 07:35:35,920 INFO 3_20: 0.06406934233257
2023-05-09 07:35:35,920 INFO 4_20: 0.05644108312241372
2023-05-09 07:35:35,920 INFO 5_20: 0.0436804467478205
2023-05-09 07:35:35,920 INFO 6_20: 0.03138182475593588
2023-05-09 07:35:35,921 INFO 7_20: 0.01870656060423446
2023-05-09 07:35:35,921 INFO 8_20: 0.010656462175083363
2023-05-09 07:35:35,921 INFO 9_20: 0.008657747780322205
2023-05-09 07:35:35,921 INFO 10_20: 0.00847695954361014
2023-05-09 07:35:35,921 INFO 1_30: 0.05098228275280222
2023-05-09 07:35:35,921 INFO 2_30: 0.06054397171668475
2023-05-09 07:35:35,921 INFO 3_30: 0.07726688361255073
2023-05-09 07:35:35,921 INFO 4_30: 0.06627395444136434
2023-05-09 07:35:35,921 INFO 5_30: 0.04853661966172512
2023-05-09 07:35:35,921 INFO 6_30: 0.037930376441284
2023-05-09 07:35:35,921 INFO 7_30: 0.021709654091840423
2023-05-09 07:35:35,921 INFO 8_30: 0.013443614157727693
2023-05-09 07:35:35,921 INFO 9_30: 0.009797718050701057
2023-05-09 07:35:35,921 INFO 10_30: 0.009923265437306657
2023-05-09 07:35:35,929 INFO Non empty regressions: 0.49057390221365155 --- 97687 / 199128
