2023-05-09 05:40:21,653 INFO Starting...
2023-05-09 05:40:21,653 INFO Tickers: ['FB']
2023-05-09 05:41:48,458 INFO in_r2: 0.09819051978635725 , std 0.15809296773434722 
2023-05-09 05:41:48,458 INFO os_r2: -0.09002041860641498 , std 0.03716939594600344 
2023-05-09 05:41:48,458 INFO intercept: -3.58136563569335e-06 , std 0.00031984685891216474 
2023-05-09 05:41:48,458 INFO ofi_1_1: -1.984773087321042e-08 , std 7.709532154881327e-06 
2023-05-09 05:41:48,458 INFO ofi_2_1: -5.2784066783079954e-08 , std 5.757463725875806e-06 
2023-05-09 05:41:48,458 INFO ofi_3_1: -4.580980733329295e-08 , std 4.411870134080311e-06 
2023-05-09 05:41:48,458 INFO ofi_4_1: -6.764047455421218e-08 , std 3.744267807448297e-06 
2023-05-09 05:41:48,458 INFO ofi_5_1: -6.849714845858332e-08 , std 4.050467910720452e-06 
2023-05-09 05:41:48,459 INFO ofi_6_1: -1.7701198924390376e-08 , std 5.73002375894149e-06 
2023-05-09 05:41:48,459 INFO ofi_7_1: -4.6299006783491293e-08 , std 3.875388062430807e-06 
2023-05-09 05:41:48,459 INFO ofi_8_1: -7.965069969433937e-08 , std 4.981630902071638e-06 
2023-05-09 05:41:48,459 INFO ofi_9_1: -6.671970213064714e-08 , std 5.4668223039427435e-06 
2023-05-09 05:41:48,459 INFO ofi_10_1: -8.920432545498875e-08 , std 5.562572826966653e-06 
2023-05-09 05:41:48,459 INFO ofi_1_2: -3.4380299226147236e-08 , std 7.092024927628329e-06 
2023-05-09 05:41:48,459 INFO ofi_2_2: -5.664345990715288e-08 , std 5.6494463708674625e-06 
2023-05-09 05:41:48,459 INFO ofi_3_2: -7.407587948124221e-08 , std 4.890781808688178e-06 
2023-05-09 05:41:48,459 INFO ofi_4_2: -9.994647933401469e-08 , std 4.34790223032351e-06 
2023-05-09 05:41:48,459 INFO ofi_5_2: -6.80470495574487e-08 , std 4.835600091345084e-06 
2023-05-09 05:41:48,459 INFO ofi_6_2: -1.244343493352035e-07 , std 4.009994154236657e-06 
2023-05-09 05:41:48,459 INFO ofi_7_2: -9.288630011267971e-08 , std 3.998342753825181e-06 
2023-05-09 05:41:48,459 INFO ofi_8_2: -1.206005887495481e-07 , std 4.084614720183075e-06 
2023-05-09 05:41:48,459 INFO ofi_9_2: -8.768423779230412e-08 , std 4.476652910885248e-06 
2023-05-09 05:41:48,459 INFO ofi_10_2: -1.23222144806375e-07 , std 5.016665488287163e-06 
2023-05-09 05:41:48,459 INFO ofi_1_3: -9.441633017888655e-08 , std 7.5918798720339575e-06 
2023-05-09 05:41:48,459 INFO ofi_2_3: -1.3260544322604335e-07 , std 5.367699836132092e-06 
2023-05-09 05:41:48,459 INFO ofi_3_3: -1.6378377874423062e-07 , std 4.710296349883474e-06 
2023-05-09 05:41:48,459 INFO ofi_4_3: -1.616692321078059e-07 , std 4.375919294492699e-06 
2023-05-09 05:41:48,459 INFO ofi_5_3: -1.4136961842045354e-07 , std 4.634422477104459e-06 
2023-05-09 05:41:48,459 INFO ofi_6_3: -1.483710853717158e-07 , std 4.99901963710708e-06 
2023-05-09 05:41:48,459 INFO ofi_7_3: -1.3480239025901304e-07 , std 4.220634019559356e-06 
2023-05-09 05:41:48,459 INFO ofi_8_3: -1.8038181392445297e-07 , std 5.3222391928208015e-06 
2023-05-09 05:41:48,459 INFO ofi_9_3: -1.5271822097821313e-07 , std 4.807981453899636e-06 
2023-05-09 05:41:48,459 INFO ofi_10_3: -1.6251290655293588e-07 , std 5.519457773484189e-06 
2023-05-09 05:41:48,459 INFO ofi_1_5: -1.9403136982748527e-07 , std 8.646446907250522e-06 
2023-05-09 05:41:48,459 INFO ofi_2_5: -2.3491268288225365e-07 , std 6.008495407634166e-06 
2023-05-09 05:41:48,459 INFO ofi_3_5: -2.329656667450852e-07 , std 5.46843620338568e-06 
2023-05-09 05:41:48,459 INFO ofi_4_5: -2.3596558954414246e-07 , std 5.366954447438247e-06 
2023-05-09 05:41:48,459 INFO ofi_5_5: -2.7015385002059223e-07 , std 4.729059509727235e-06 
2023-05-09 05:41:48,459 INFO ofi_6_5: -2.941390373516754e-07 , std 5.664998628054711e-06 
2023-05-09 05:41:48,459 INFO ofi_7_5: -2.660736063912971e-07 , std 4.7209847426269095e-06 
2023-05-09 05:41:48,459 INFO ofi_8_5: -2.4435557699705566e-07 , std 5.009890462067452e-06 
2023-05-09 05:41:48,459 INFO ofi_9_5: -2.5127602793188617e-07 , std 4.9627757227039614e-06 
2023-05-09 05:41:48,459 INFO ofi_10_5: -2.1884617156388395e-07 , std 5.750133494272636e-06 
2023-05-09 05:41:48,459 INFO ofi_1_10: -2.6784511729203444e-07 , std 8.861261609000685e-06 
2023-05-09 05:41:48,459 INFO ofi_2_10: -3.155428399299057e-07 , std 6.854290670599634e-06 
2023-05-09 05:41:48,459 INFO ofi_3_10: -2.7039793074923754e-07 , std 5.2953209494703926e-06 
2023-05-09 05:41:48,459 INFO ofi_4_10: -2.715774007226993e-07 , std 5.22691399110581e-06 
2023-05-09 05:41:48,459 INFO ofi_5_10: -3.1385803539125373e-07 , std 5.203356976718173e-06 
2023-05-09 05:41:48,459 INFO ofi_6_10: -3.9743087828928614e-07 , std 5.301013842985171e-06 
2023-05-09 05:41:48,459 INFO ofi_7_10: -2.990671654924397e-07 , std 5.183365784877566e-06 
2023-05-09 05:41:48,459 INFO ofi_8_10: -2.871692073069195e-07 , std 4.946081580147358e-06 
2023-05-09 05:41:48,459 INFO ofi_9_10: -2.670464783395847e-07 , std 4.74557106078906e-06 
2023-05-09 05:41:48,459 INFO ofi_10_10: -3.4409963771132543e-07 , std 6.025831615472448e-06 
2023-05-09 05:41:48,459 INFO ofi_1_20: -3.5061986229389637e-07 , std 8.665376541471945e-06 
2023-05-09 05:41:48,459 INFO ofi_2_20: -4.6333876054032943e-07 , std 7.39405742919752e-06 
2023-05-09 05:41:48,459 INFO ofi_3_20: -3.9460564094474966e-07 , std 5.7737110719864515e-06 
2023-05-09 05:41:48,459 INFO ofi_4_20: -4.0139788260983585e-07 , std 5.605945608451287e-06 
2023-05-09 05:41:48,459 INFO ofi_5_20: -4.120165320438368e-07 , std 5.852966584245981e-06 
2023-05-09 05:41:48,459 INFO ofi_6_20: -5.253245430199411e-07 , std 5.794885066336323e-06 
2023-05-09 05:41:48,460 INFO ofi_7_20: -3.985338315246437e-07 , std 5.4721554362555986e-06 
2023-05-09 05:41:48,460 INFO ofi_8_20: -4.087077296424239e-07 , std 5.177861875251657e-06 
2023-05-09 05:41:48,460 INFO ofi_9_20: -3.756362716953783e-07 , std 5.792397470858069e-06 
2023-05-09 05:41:48,460 INFO ofi_10_20: -3.7801642878400084e-07 , std 5.956044733203327e-06 
2023-05-09 05:41:48,460 INFO ofi_1_30: -5.082990134998282e-07 , std 9.06206513758218e-06 
2023-05-09 05:41:48,460 INFO ofi_2_30: -5.241865078649562e-07 , std 7.184332731679718e-06 
2023-05-09 05:41:48,460 INFO ofi_3_30: -5.409630889244995e-07 , std 6.486579592989544e-06 
2023-05-09 05:41:48,460 INFO ofi_4_30: -5.088618658400566e-07 , std 6.819525082905984e-06 
2023-05-09 05:41:48,460 INFO ofi_5_30: -4.889752160936742e-07 , std 6.062039133257323e-06 
2023-05-09 05:41:48,460 INFO ofi_6_30: -5.382922793034327e-07 , std 6.217059177234395e-06 
2023-05-09 05:41:48,460 INFO ofi_7_30: -4.7519339077855713e-07 , std 5.864347655380511e-06 
2023-05-09 05:41:48,460 INFO ofi_8_30: -4.4774994987798506e-07 , std 6.294414890686229e-06 
2023-05-09 05:41:48,460 INFO ofi_9_30: -4.402050420169758e-07 , std 6.378038897064852e-06 
2023-05-09 05:41:48,460 INFO ofi_10_30: -5.252295780135409e-07 , std 7.780857041860696e-06 
2023-05-09 05:41:48,460 INFO used_intercept: 0.9901922381583705 , std 0.09854729650927713 
2023-05-09 05:41:48,460 INFO used_ofi_1_1: 0.006217106584709333 , std 0.0786031435148983 
2023-05-09 05:41:48,460 INFO used_ofi_2_1: 0.005117311478044273 , std 0.07135211700630156 
2023-05-09 05:41:48,460 INFO used_ofi_3_1: 0.003902012775702061 , std 0.06234410214286768 
2023-05-09 05:41:48,460 INFO used_ofi_4_1: 0.004956610823189105 , std 0.07022850441477842 
2023-05-09 05:41:48,460 INFO used_ofi_5_1: 0.004871238600297296 , std 0.06962405930995601 
2023-05-09 05:41:48,460 INFO used_ofi_6_1: 0.005463822265075731 , std 0.07371545910683455 
2023-05-09 05:41:48,460 INFO used_ofi_7_1: 0.005443734683218834 , std 0.0735805710491401 
2023-05-09 05:41:48,460 INFO used_ofi_8_1: 0.005383471937648146 , std 0.07317438190750028 
2023-05-09 05:41:48,460 INFO used_ofi_9_1: 0.005589369651681331 , std 0.07455285774923855 
2023-05-09 05:41:48,460 INFO used_ofi_10_1: 0.0067293399220601825 , std 0.08175607565357788 
2023-05-09 05:41:48,460 INFO used_ofi_1_2: 0.007733719014904986 , std 0.08760084819853906 
