2023-05-09 07:06:56,640 INFO Starting...
2023-05-09 07:06:56,640 INFO Tickers: ['FIS']
2023-05-09 07:08:12,332 INFO in_r2: 0.09776745057916873 , std 0.1652498174066698 
2023-05-09 07:08:12,332 INFO os_r2: -0.09203251520309541 , std 0.04488106333701145 
2023-05-09 07:08:12,332 INFO intercept: 2.099734387298505e-06 , std 0.0002125297712907241 
2023-05-09 07:08:12,332 INFO ofi_1_1: -4.2923273019443656e-07 , std 1.624694667504073e-05 
2023-05-09 07:08:12,332 INFO ofi_2_1: -2.4433775035678396e-07 , std 1.1008373595315534e-05 
2023-05-09 07:08:12,332 INFO ofi_3_1: -3.052831331388809e-07 , std 1.2971582512928449e-05 
2023-05-09 07:08:12,332 INFO ofi_4_1: -2.937973414856495e-07 , std 1.2886926000974706e-05 
2023-05-09 07:08:12,332 INFO ofi_5_1: -2.4608746259123583e-07 , std 2.1383448583556573e-05 
2023-05-09 07:08:12,333 INFO ofi_6_1: -2.546852547113567e-07 , std 1.0103428637154587e-05 
2023-05-09 07:08:12,333 INFO ofi_7_1: -1.3365990901923067e-07 , std 7.788118405755406e-06 
2023-05-09 07:08:12,333 INFO ofi_8_1: -1.1774093493505614e-07 , std 8.105296312063312e-06 
2023-05-09 07:08:12,333 INFO ofi_9_1: -1.5002492074065434e-07 , std 1.0669131821721035e-05 
2023-05-09 07:08:12,333 INFO ofi_10_1: -2.5492958033293126e-07 , std 1.2340380292122182e-05 
2023-05-09 07:08:12,333 INFO ofi_1_2: -4.252319693838079e-07 , std 1.3133250497016192e-05 
2023-05-09 07:08:12,333 INFO ofi_2_2: -2.5611000004624406e-07 , std 1.208720738304935e-05 
2023-05-09 07:08:12,333 INFO ofi_3_2: -3.7724180521281247e-07 , std 1.2266808228471416e-05 
2023-05-09 07:08:12,333 INFO ofi_4_2: -3.714303797138795e-07 , std 1.5589774361483443e-05 
2023-05-09 07:08:12,333 INFO ofi_5_2: -1.9534607548115398e-07 , std 2.442609321055707e-05 
2023-05-09 07:08:12,333 INFO ofi_6_2: -2.465239706455365e-07 , std 9.849649038461703e-06 
2023-05-09 07:08:12,333 INFO ofi_7_2: -2.579305717155893e-07 , std 9.180981186201962e-06 
