2023-05-09 07:32:55,041 INFO Starting...
2023-05-09 07:32:55,042 INFO Tickers: ['FISV']
2023-05-09 07:34:13,749 INFO in_r2: 0.09559509875376024 , std 0.16117391401776066 
2023-05-09 07:34:13,749 INFO os_r2: -0.08916954229753739 , std 0.03679881404400069 
2023-05-09 07:34:13,749 INFO intercept: 1.2958657078704788e-07 , std 0.00023139305355811968 
2023-05-09 07:34:13,749 INFO ofi_1_1: -1.8412044410597423e-07 , std 1.0132958380230657e-05 
2023-05-09 07:34:13,749 INFO ofi_2_1: -1.5438557463845368e-07 , std 9.738233177306572e-06 
2023-05-09 07:34:13,749 INFO ofi_3_1: -1.1600727375235072e-07 , std 8.910015986767763e-06 
2023-05-09 07:34:13,749 INFO ofi_4_1: -1.4036561985545682e-07 , std 9.171107460520069e-06 
2023-05-09 07:34:13,749 INFO ofi_5_1: -1.118068259244445e-07 , std 7.472439185981848e-06 
2023-05-09 07:34:13,749 INFO ofi_6_1: -6.536834071037884e-08 , std 7.6576674593799e-06 
2023-05-09 07:34:13,749 INFO ofi_7_1: -8.973344169201304e-08 , std 6.948573840384692e-06 
2023-05-09 07:34:13,749 INFO ofi_8_1: -3.279326451801599e-08 , std 7.262913694719504e-06 
2023-05-09 07:34:13,749 INFO ofi_9_1: -8.98976804815567e-08 , std 7.329108291250584e-06 
2023-05-09 07:34:13,749 INFO ofi_10_1: -5.1236141332247686e-08 , std 7.908821550052891e-06 
2023-05-09 07:34:13,749 INFO ofi_1_2: -3.170337192168048e-07 , std 1.0773787412578682e-05 
2023-05-09 07:34:13,749 INFO ofi_2_2: -2.961410333857732e-07 , std 1.0064765543059658e-05 
2023-05-09 07:34:13,749 INFO ofi_3_2: -2.1561079265471745e-07 , std 7.797278487756842e-06 
2023-05-09 07:34:13,749 INFO ofi_4_2: -1.9767876392343592e-07 , std 8.476425421949223e-06 
2023-05-09 07:34:13,749 INFO ofi_5_2: -1.5785010093957873e-07 , std 7.239657030423821e-06 
2023-05-09 07:34:13,749 INFO ofi_6_2: -2.1181319644457055e-07 , std 7.292276339565861e-06 
2023-05-09 07:34:13,749 INFO ofi_7_2: -1.3302325471862596e-07 , std 5.9213589496162315e-06 
2023-05-09 07:34:13,749 INFO ofi_8_2: -1.2913463655438836e-07 , std 7.88045581783964e-06 
2023-05-09 07:34:13,750 INFO ofi_9_2: -8.270538754038598e-08 , std 6.863815940828908e-06 
2023-05-09 07:34:13,750 INFO ofi_10_2: -1.3448294965604388e-07 , std 7.742727765978857e-06 
