2023-05-09 06:44:42,548 INFO Starting...
2023-05-09 06:44:42,548 INFO Tickers: ['IBM']
2023-05-09 06:46:03,289 INFO in_r2: 0.09806646508557981 , std 0.16097398693930945 
2023-05-09 06:46:03,289 INFO os_r2: -0.09132114004164203 , std 0.050923460079121616 
2023-05-09 06:46:03,289 INFO intercept: -5.906540778084256e-07 , std 0.00019954677276809912 
2023-05-09 06:46:03,289 INFO ofi_1_1: -4.720186959709511e-08 , std 7.029979383546086e-06 
2023-05-09 06:46:03,289 INFO ofi_2_1: -4.308259021776954e-08 , std 5.7073087547529926e-06 
2023-05-09 06:46:03,289 INFO ofi_3_1: -6.991955677990189e-08 , std 5.326255514929525e-06 
2023-05-09 06:46:03,289 INFO ofi_4_1: -1.0945137976534892e-07 , std 5.626213642709084e-06 
2023-05-09 06:46:03,289 INFO ofi_5_1: -1.5122496245203613e-07 , std 5.669155657262373e-06 
2023-05-09 06:46:03,289 INFO ofi_6_1: -9.634779904282032e-08 , std 6.1281485066761206e-06 
2023-05-09 06:46:03,289 INFO ofi_7_1: -9.786811885921988e-08 , std 5.673452174260181e-06 
2023-05-09 06:46:03,289 INFO ofi_8_1: -5.8973209395613255e-08 , std 5.6798607539733474e-06 
2023-05-09 06:46:03,289 INFO ofi_9_1: -5.974060729101673e-08 , std 5.33869960867442e-06 
2023-05-09 06:46:03,289 INFO ofi_10_1: -4.7121287160512185e-08 , std 5.328761281697201e-06 
2023-05-09 06:46:03,289 INFO ofi_1_2: -1.8121109763401584e-07 , std 8.070750291220626e-06 
2023-05-09 06:46:03,289 INFO ofi_2_2: -1.0580137843639445e-07 , std 6.686906800839453e-06 
2023-05-09 06:46:03,289 INFO ofi_3_2: -1.4923242195918634e-07 , std 6.272553304967508e-06 
2023-05-09 06:46:03,289 INFO ofi_4_2: -1.947847826237758e-07 , std 5.997658994849733e-06 
2023-05-09 06:46:03,289 INFO ofi_5_2: -1.9380614279715885e-07 , std 5.73039612238216e-06 
2023-05-09 06:46:03,289 INFO ofi_6_2: -1.5430179804985187e-07 , std 6.24245871982517e-06 
2023-05-09 06:46:03,289 INFO ofi_7_2: -1.58652601486902e-07 , std 5.790118254463127e-06 
2023-05-09 06:46:03,289 INFO ofi_8_2: -1.5300577589853027e-07 , std 6.537761681664494e-06 
2023-05-09 06:46:03,289 INFO ofi_9_2: -9.925749082031688e-08 , std 4.934332340369924e-06 
2023-05-09 06:46:03,289 INFO ofi_10_2: -7.618184215247595e-08 , std 5.479543595444635e-06 
2023-05-09 06:46:03,289 INFO ofi_1_3: -1.0569380606281478e-07 , std 7.264787611393048e-06 
2023-05-09 06:46:03,289 INFO ofi_2_3: -1.4424224816738345e-07 , std 7.363152477793465e-06 
2023-05-09 06:46:03,289 INFO ofi_3_3: -1.8335849013782287e-07 , std 6.4066680921922924e-06 
2023-05-09 06:46:03,289 INFO ofi_4_3: -2.711185225092046e-07 , std 7.038507420940996e-06 
