2023-05-09 05:58:59,287 INFO Starting...
2023-05-09 05:58:59,287 INFO Tickers: ['INTC']
2023-05-09 06:00:15,901 INFO in_r2: 0.09714233972589155 , std 0.16036042310247492 
2023-05-09 06:00:15,901 INFO os_r2: -0.095446397820545 , std 0.06513083282954432 
2023-05-09 06:00:15,901 INFO intercept: -5.7032071523921445e-06 , std 0.0003097670777272176 
2023-05-09 06:00:15,901 INFO ofi_1_1: -9.294044175779316e-08 , std 2.5156115458706643e-05 
2023-05-09 06:00:15,901 INFO ofi_2_1: -1.8619887054124205e-07 , std 1.8304502811204388e-05 
2023-05-09 06:00:15,901 INFO ofi_3_1: -4.719390973570845e-07 , std 1.9874535025140283e-05 
2023-05-09 06:00:15,901 INFO ofi_4_1: -2.23364452196936e-07 , std 1.734605460842172e-05 
2023-05-09 06:00:15,901 INFO ofi_5_1: -1.4412219861821483e-07 , std 1.4402613737376908e-05 
2023-05-09 06:00:15,901 INFO ofi_6_1: -1.2555482553443183e-07 , std 1.4248309392133147e-05 
2023-05-09 06:00:15,901 INFO ofi_7_1: -5.7176314315099985e-08 , std 1.133536487116842e-05 
2023-05-09 06:00:15,901 INFO ofi_8_1: -1.139962315357098e-07 , std 1.429211310818839e-05 
2023-05-09 06:00:15,901 INFO ofi_9_1: -9.331787316212719e-08 , std 1.4505092922808328e-05 
2023-05-09 06:00:15,901 INFO ofi_10_1: -5.866146730095765e-08 , std 1.598417481579475e-05 
2023-05-09 06:00:15,901 INFO ofi_1_2: -7.743774588303525e-07 , std 2.3768796211702083e-05 
2023-05-09 06:00:15,901 INFO ofi_2_2: -4.821101214189646e-07 , std 1.9366851431901702e-05 
2023-05-09 06:00:15,902 INFO ofi_3_2: -6.803378667210267e-07 , std 2.1810911424941344e-05 
2023-05-09 06:00:15,902 INFO ofi_4_2: -5.211435266997103e-07 , std 1.8595195385800452e-05 
2023-05-09 06:00:15,902 INFO ofi_5_2: -3.0939419635666325e-07 , std 1.5406959420392763e-05 
2023-05-09 06:00:15,902 INFO ofi_6_2: -1.8830651884528482e-07 , std 1.46167780797857e-05 
2023-05-09 06:00:15,902 INFO ofi_7_2: -1.4179843725218223e-07 , std 1.2267998429185817e-05 
2023-05-09 06:00:15,902 INFO ofi_8_2: -1.927967361321882e-07 , std 1.3031674500052983e-05 
2023-05-09 06:00:15,902 INFO ofi_9_2: -1.1174629928702308e-07 , std 1.1900837068682711e-05 
2023-05-09 06:00:15,902 INFO ofi_10_2: -1.9185438743220377e-07 , std 1.7152278048617057e-05 
2023-05-09 06:00:15,902 INFO ofi_1_3: -1.1552983790214966e-06 , std 2.7302781357100417e-05 
2023-05-09 06:00:15,902 INFO ofi_2_3: -6.257057871872426e-07 , std 1.984209566763665e-05 
2023-05-09 06:00:15,902 INFO ofi_3_3: -9.448309613891402e-07 , std 2.3580705357873832e-05 
2023-05-09 06:00:15,902 INFO ofi_4_3: -6.841016028703372e-07 , std 2.0441084140725335e-05 
2023-05-09 06:00:15,902 INFO ofi_5_3: -1.213933302339782e-07 , std 1.6483618676644174e-05 
2023-05-09 06:00:15,902 INFO ofi_6_3: -2.4177274281380487e-07 , std 1.4741005864107417e-05 
2023-05-09 06:00:15,902 INFO ofi_7_3: -1.6825687811943483e-07 , std 1.1400306116031724e-05 
2023-05-09 06:00:15,902 INFO ofi_8_3: -1.2526136027909586e-07 , std 1.2809100120690818e-05 
2023-05-09 06:00:15,902 INFO ofi_9_3: -1.7728705647485968e-07 , std 1.2517914884772338e-05 
2023-05-09 06:00:15,902 INFO ofi_10_3: -2.4290637171144464e-07 , std 1.8706804579396932e-05 
