2023-05-09 07:27:44,014 INFO Starting...
2023-05-09 07:27:44,014 INFO Tickers: ['INTU']
2023-05-09 07:29:02,223 INFO in_r2: 0.09373727796217315 , std 0.16047159798920738 
2023-05-09 07:29:02,223 INFO os_r2: -0.0940404982203354 , std 0.03688063203059963 
2023-05-09 07:29:02,223 INFO intercept: -4.2548660071344815e-06 , std 0.0003157125596081334 
2023-05-09 07:29:02,223 INFO ofi_1_1: -1.0950237647141514e-07 , std 9.068212211042575e-06 
2023-05-09 07:29:02,223 INFO ofi_2_1: -1.5181853341793182e-07 , std 6.707637423080387e-06 
2023-05-09 07:29:02,223 INFO ofi_3_1: -1.4768894459210316e-07 , std 6.450944981419939e-06 
2023-05-09 07:29:02,223 INFO ofi_4_1: -1.1609814090475445e-07 , std 5.9242312418879185e-06 
2023-05-09 07:29:02,223 INFO ofi_5_1: -1.0300496028964713e-07 , std 5.6340517849144165e-06 
2023-05-09 07:29:02,223 INFO ofi_6_1: -6.375277169436676e-08 , std 5.668918504095374e-06 
2023-05-09 07:29:02,223 INFO ofi_7_1: -3.085387298555807e-08 , std 5.036905772454652e-06 
2023-05-09 07:29:02,223 INFO ofi_8_1: -3.6370383428562435e-08 , std 4.376662571814508e-06 
2023-05-09 07:29:02,223 INFO ofi_9_1: -9.446313570097788e-09 , std 5.342443358514517e-06 
2023-05-09 07:29:02,223 INFO ofi_10_1: -5.1527595053934184e-08 , std 5.161845880338635e-06 
2023-05-09 07:29:02,223 INFO ofi_1_2: -2.0182218236283958e-07 , std 8.99447699307565e-06 
2023-05-09 07:29:02,223 INFO ofi_2_2: -2.567502758054204e-07 , std 7.888840036294107e-06 
2023-05-09 07:29:02,223 INFO ofi_3_2: -2.625577399653347e-07 , std 7.197099000377803e-06 
2023-05-09 07:29:02,223 INFO ofi_4_2: -1.2778126493284705e-07 , std 6.007301617370596e-06 
2023-05-09 07:29:02,223 INFO ofi_5_2: -2.065629478112384e-07 , std 7.171666937925803e-06 
2023-05-09 07:29:02,223 INFO ofi_6_2: -1.5946387637070329e-07 , std 6.135583616867403e-06 
2023-05-09 07:29:02,224 INFO ofi_7_2: -8.131464697177485e-08 , std 4.7983653628615045e-06 
2023-05-09 07:29:02,224 INFO ofi_8_2: -5.2493742562760025e-08 , std 4.991679437537481e-06 
2023-05-09 07:29:02,224 INFO ofi_9_2: -5.104148705799076e-08 , std 5.097199461189718e-06 
2023-05-09 07:29:02,224 INFO ofi_10_2: -1.044520452096249e-07 , std 4.841638154599754e-06 
2023-05-09 07:29:02,224 INFO ofi_1_3: -3.2544837812901824e-07 , std 9.331566550341584e-06 
2023-05-09 07:29:02,224 INFO ofi_2_3: -3.945748961373565e-07 , std 8.690733645467012e-06 
2023-05-09 07:29:02,224 INFO ofi_3_3: -2.932650395196851e-07 , std 7.8585891858861e-06 
2023-05-09 07:29:02,224 INFO ofi_4_3: -2.546730222467965e-07 , std 6.93660169423707e-06 
2023-05-09 07:29:02,224 INFO ofi_5_3: -2.064081411919647e-07 , std 6.983187832180421e-06 
2023-05-09 07:29:02,224 INFO ofi_6_3: -1.9951173388714256e-07 , std 6.503291205785901e-06 
2023-05-09 07:29:02,224 INFO ofi_7_3: -1.4052421741513912e-07 , std 6.133902468083498e-06 
2023-05-09 07:29:02,224 INFO ofi_8_3: -1.3339767603712212e-07 , std 6.023405786012033e-06 
2023-05-09 07:29:02,224 INFO ofi_9_3: -8.84913579635904e-08 , std 5.055909707481658e-06 
2023-05-09 07:29:02,224 INFO ofi_10_3: -8.838613378239496e-08 , std 5.7684308587059635e-06 
2023-05-09 07:29:02,224 INFO ofi_1_5: -5.179966648108619e-07 , std 1.0057809259893347e-05 
2023-05-09 07:29:02,224 INFO ofi_2_5: -5.435125809783926e-07 , std 8.409441920205298e-06 
2023-05-09 07:29:02,224 INFO ofi_3_5: -4.774537762644624e-07 , std 7.97757973545607e-06 
2023-05-09 07:29:02,224 INFO ofi_4_5: -3.841975248764166e-07 , std 7.261939488416981e-06 
2023-05-09 07:29:02,224 INFO ofi_5_5: -3.2459058889680104e-07 , std 7.096329830249006e-06 
2023-05-09 07:29:02,224 INFO ofi_6_5: -2.5558315283902755e-07 , std 6.398099759340553e-06 
2023-05-09 07:29:02,224 INFO ofi_7_5: -1.8882857123709414e-07 , std 5.964291306153714e-06 
2023-05-09 07:29:02,224 INFO ofi_8_5: -1.314712037792575e-07 , std 5.395445893369407e-06 
2023-05-09 07:29:02,224 INFO ofi_9_5: -1.3411723535046876e-07 , std 5.2443288395817685e-06 
2023-05-09 07:29:02,224 INFO ofi_10_5: -1.21045428141715e-07 , std 5.910474278507049e-06 
2023-05-09 07:29:02,224 INFO ofi_1_10: -7.320195589641006e-07 , std 1.0405332453862355e-05 
2023-05-09 07:29:02,224 INFO ofi_2_10: -6.174593925540313e-07 , std 8.792952837259738e-06 
2023-05-09 07:29:02,224 INFO ofi_3_10: -5.525834928526225e-07 , std 8.4009997315768e-06 
2023-05-09 07:29:02,224 INFO ofi_4_10: -5.854437344600886e-07 , std 7.716381166630179e-06 
2023-05-09 07:29:02,224 INFO ofi_5_10: -4.913032316649141e-07 , std 7.644074078901257e-06 
2023-05-09 07:29:02,224 INFO ofi_6_10: -4.515114247025371e-07 , std 7.528659929260783e-06 
2023-05-09 07:29:02,224 INFO ofi_7_10: -2.6493858661514597e-07 , std 6.102657558155652e-06 
2023-05-09 07:29:02,224 INFO ofi_8_10: -2.049355110033963e-07 , std 6.147545934525454e-06 
2023-05-09 07:29:02,224 INFO ofi_9_10: -1.5200653042028955e-07 , std 5.374876729336709e-06 
2023-05-09 07:29:02,224 INFO ofi_10_10: -1.6881458458898996e-07 , std 5.780418095559477e-06 
2023-05-09 07:29:02,224 INFO ofi_1_20: -1.0204089852158902e-06 , std 1.1051948794687905e-05 
2023-05-09 07:29:02,224 INFO ofi_2_20: -8.258019967314413e-07 , std 9.263414758992648e-06 
2023-05-09 07:29:02,224 INFO ofi_3_20: -7.933211080472875e-07 , std 9.410147776799474e-06 
2023-05-09 07:29:02,224 INFO ofi_4_20: -7.486437492718566e-07 , std 9.169752564936405e-06 
2023-05-09 07:29:02,224 INFO ofi_5_20: -6.620102069671268e-07 , std 8.740793632649429e-06 
2023-05-09 07:29:02,224 INFO ofi_6_20: -6.729822058322886e-07 , std 8.53059185492084e-06 
2023-05-09 07:29:02,224 INFO ofi_7_20: -3.481952721244262e-07 , std 6.49652234648218e-06 
2023-05-09 07:29:02,224 INFO ofi_8_20: -2.5457568600450734e-07 , std 6.167080126707587e-06 
2023-05-09 07:29:02,224 INFO ofi_9_20: -2.1053512387528692e-07 , std 7.220573414721481e-06 
2023-05-09 07:29:02,224 INFO ofi_10_20: -2.1426609793121558e-07 , std 6.54593798559645e-06 
2023-05-09 07:29:02,224 INFO ofi_1_30: -1.1690192297448142e-06 , std 1.1116871786698835e-05 
2023-05-09 07:29:02,224 INFO ofi_2_30: -1.0526466812890387e-06 , std 1.03363827556932e-05 
2023-05-09 07:29:02,224 INFO ofi_3_30: -9.112985060894041e-07 , std 9.546491152745844e-06 
2023-05-09 07:29:02,224 INFO ofi_4_30: -8.719258208786309e-07 , std 9.270830973879809e-06 
2023-05-09 07:29:02,224 INFO ofi_5_30: -8.450734729711933e-07 , std 9.31714598409688e-06 
2023-05-09 07:29:02,224 INFO ofi_6_30: -7.307928859145362e-07 , std 8.497125517421282e-06 
2023-05-09 07:29:02,224 INFO ofi_7_30: -4.229448914763917e-07 , std 7.218180184126797e-06 
2023-05-09 07:29:02,224 INFO ofi_8_30: -3.151654631286982e-07 , std 6.4106782487852836e-06 
2023-05-09 07:29:02,224 INFO ofi_9_30: -2.462444514828259e-07 , std 7.20140945844183e-06 
2023-05-09 07:29:02,224 INFO ofi_10_30: -2.990723846432544e-07 , std 6.7468978368554964e-06 
2023-05-09 07:29:02,225 INFO used_intercept: 0.9878118597083283 , std 0.1097250633533753 
2023-05-09 07:29:02,225 INFO used_ofi_1_1: 0.01999216584307581 , std 0.1399731372370383 
2023-05-09 07:29:02,225 INFO used_ofi_2_1: 0.008793338957856254 , std 0.09335960661779 
2023-05-09 07:29:02,225 INFO used_ofi_3_1: 0.006478245148848981 , std 0.08022641390863983 
2023-05-09 07:29:02,225 INFO used_ofi_4_1: 0.005237836969185649 , std 0.07218311459801303 
2023-05-09 07:29:02,225 INFO used_ofi_5_1: 0.004640231408942991 , std 0.06796101574737129 
2023-05-09 07:29:02,225 INFO used_ofi_6_1: 0.004720581736370575 , std 0.06854413063451034 
2023-05-09 07:29:02,225 INFO used_ofi_7_1: 0.0025059258366477845 , std 0.0499964615982872 
2023-05-09 07:29:02,225 INFO used_ofi_8_1: 0.0018982764854766783 , std 0.04352784203083544 
2023-05-09 07:29:02,225 INFO used_ofi_9_1: 0.002139327467759431 , std 0.046203362926794854 
2023-05-09 07:29:02,225 INFO used_ofi_10_1: 0.0026415170141818327 , std 0.05132776443646869 
2023-05-09 07:29:02,225 INFO used_ofi_1_2: 0.029538789120565668 , std 0.16931110140169903 
2023-05-09 07:29:02,225 INFO used_ofi_2_2: 0.013087059579767787 , std 0.11364765044347991 
2023-05-09 07:29:02,225 INFO used_ofi_3_2: 0.00990317785544976 , std 0.09902072976813033 
2023-05-09 07:29:02,225 INFO used_ofi_4_2: 0.0076383030010847295 , std 0.08706296186294347 
2023-05-09 07:29:02,225 INFO used_ofi_5_2: 0.007261660841267928 , std 0.08490541280209597 
2023-05-09 07:29:02,225 INFO used_ofi_6_2: 0.006046362138925716 , std 0.07752292334407083 
2023-05-09 07:29:02,225 INFO used_ofi_7_2: 0.003620786629705516 , std 0.060063937049511344 
2023-05-09 07:29:02,225 INFO used_ofi_8_2: 0.002706801655216745 , std 0.05195647101195442 
2023-05-09 07:29:02,225 INFO used_ofi_9_2: 0.002892611787393034 , std 0.05370516348025085 
2023-05-09 07:29:02,225 INFO used_ofi_10_2: 0.0032290787834960426 , std 0.05673316343820445 
2023-05-09 07:29:02,225 INFO used_ofi_1_3: 0.03885440520670122 , std 0.1932478729578535 
2023-05-09 07:29:02,225 INFO used_ofi_2_3: 0.01821943674420473 , std 0.13374411713764708 
2023-05-09 07:29:02,225 INFO used_ofi_3_3: 0.012569804346952713 , std 0.11140827781467606 
2023-05-09 07:29:02,225 INFO used_ofi_4_3: 0.010977863484793701 , std 0.10419860842690237 
2023-05-09 07:29:02,225 INFO used_ofi_5_3: 0.009079586999317022 , std 0.09485329777735119 
2023-05-09 07:29:02,225 INFO used_ofi_6_3: 0.008522156602788156 , std 0.09192132206199882 
2023-05-09 07:29:02,225 INFO used_ofi_7_3: 0.005709895142822707 , std 0.07534780846368842 
