2023-05-09 07:29:02,884 INFO Starting...
2023-05-09 07:29:02,884 INFO Tickers: ['ISRG']
2023-05-09 07:30:17,091 INFO in_r2: 0.08513723740769667 , std 0.15456763749377186 
2023-05-09 07:30:17,092 INFO os_r2: -0.10596085978583032 , std 0.04580772258422285 
2023-05-09 07:30:17,092 INFO intercept: -5.76174839285981e-06 , std 0.0003597595414467353 
2023-05-09 07:30:17,092 INFO ofi_1_1: -1.9665626171966074e-08 , std 1.0839899952030536e-05 
2023-05-09 07:30:17,092 INFO ofi_2_1: -1.368997441081839e-07 , std 7.663630882008267e-06 
2023-05-09 07:30:17,092 INFO ofi_3_1: -1.473115912214736e-07 , std 8.540370245285375e-06 
2023-05-09 07:30:17,092 INFO ofi_4_1: -5.535677604645159e-08 , std 6.936960062614343e-06 
2023-05-09 07:30:17,092 INFO ofi_5_1: -2.798162994809616e-08 , std 5.04044998599312e-06 
2023-05-09 07:30:17,092 INFO ofi_6_1: -1.5551828843010567e-08 , std 5.163454817744087e-06 
2023-05-09 07:30:17,092 INFO ofi_7_1: -2.9167817609817484e-08 , std 5.6556288821576795e-06 
2023-05-09 07:30:17,092 INFO ofi_8_1: -4.606604898585954e-08 , std 5.582622705136639e-06 
2023-05-09 07:30:17,092 INFO ofi_9_1: -2.2734064294229074e-08 , std 7.429492467137159e-06 
2023-05-09 07:30:17,092 INFO ofi_10_1: -1.6476132995631412e-08 , std 7.881288730649635e-06 
2023-05-09 07:30:17,092 INFO ofi_1_2: -4.9569493055226807e-08 , std 9.643304301722952e-06 
2023-05-09 07:30:17,092 INFO ofi_2_2: -3.1661036767721447e-07 , std 8.403360546354642e-06 
2023-05-09 07:30:17,092 INFO ofi_3_2: -2.2681102840440085e-07 , std 8.144881623774405e-06 
2023-05-09 07:30:17,092 INFO ofi_4_2: -1.7454552252988514e-07 , std 6.559935343717169e-06 
2023-05-09 07:30:17,092 INFO ofi_5_2: -1.0943342184945111e-07 , std 6.289860322752152e-06 
2023-05-09 07:30:17,092 INFO ofi_6_2: -9.57824183210172e-08 , std 5.988488600773524e-06 
2023-05-09 07:30:17,092 INFO ofi_7_2: -8.419915739097273e-08 , std 6.156968864092321e-06 
2023-05-09 07:30:17,092 INFO ofi_8_2: -8.730015313840441e-08 , std 5.325740335136143e-06 
