2023-05-09 05:43:11,495 INFO Starting...
2023-05-09 05:43:11,495 INFO Tickers: ['JPM']
2023-05-09 05:44:35,555 INFO in_r2: 0.09853938015242078 , std 0.15854899648389517 
2023-05-09 05:44:35,556 INFO os_r2: -0.0857545291732025 , std 0.03492180624749359 
2023-05-09 05:44:35,556 INFO intercept: -7.579972941692618e-06 , std 0.0002529590296344238 
2023-05-09 05:44:35,556 INFO ofi_1_1: -5.175665502525475e-08 , std 1.0564905001339222e-05 
2023-05-09 05:44:35,556 INFO ofi_2_1: -8.849914061819103e-08 , std 7.706211397081742e-06 
2023-05-09 05:44:35,556 INFO ofi_3_1: -1.7794668113890587e-07 , std 7.851772507823243e-06 
2023-05-09 05:44:35,556 INFO ofi_4_1: -1.445786173337688e-07 , std 7.220458877918699e-06 
2023-05-09 05:44:35,556 INFO ofi_5_1: -1.228630466540436e-07 , std 7.692644003633622e-06 
2023-05-09 05:44:35,556 INFO ofi_6_1: -1.605239169693292e-07 , std 8.415743440992778e-06 
2023-05-09 05:44:35,556 INFO ofi_7_1: -7.76662525725631e-08 , std 6.346269484573326e-06 
2023-05-09 05:44:35,556 INFO ofi_8_1: -6.542670324044726e-08 , std 6.865009349127626e-06 
2023-05-09 05:44:35,556 INFO ofi_9_1: -5.1167761709583957e-08 , std 6.204392654765683e-06 
2023-05-09 05:44:35,556 INFO ofi_10_1: -6.290591521619835e-08 , std 7.04955869774307e-06 
2023-05-09 05:44:35,556 INFO ofi_1_2: -8.751250023028687e-08 , std 1.0495222915506709e-05 
2023-05-09 05:44:35,556 INFO ofi_2_2: -1.2455121539140336e-07 , std 9.645130944464275e-06 
2023-05-09 05:44:35,556 INFO ofi_3_2: -1.982232033054657e-07 , std 7.851914393219728e-06 
2023-05-09 05:44:35,556 INFO ofi_4_2: -2.3552500733876536e-07 , std 7.742559184336789e-06 
2023-05-09 05:44:35,556 INFO ofi_5_2: -2.3442355077456077e-07 , std 8.320621460963245e-06 
2023-05-09 05:44:35,556 INFO ofi_6_2: -1.9659232559739058e-07 , std 7.184449371150127e-06 
2023-05-09 05:44:35,556 INFO ofi_7_2: -1.0054546980172879e-07 , std 6.531212584055943e-06 
2023-05-09 05:44:35,556 INFO ofi_8_2: -5.7437066184961563e-08 , std 5.209703908341869e-06 
2023-05-09 05:44:35,556 INFO ofi_9_2: -8.129520524112798e-08 , std 5.950868599896855e-06 
2023-05-09 05:44:35,556 INFO ofi_10_2: -8.515261411729572e-08 , std 5.8210389038648605e-06 
2023-05-09 05:44:35,556 INFO ofi_1_3: -1.421343562114932e-07 , std 1.1494253872369259e-05 
2023-05-09 05:44:35,556 INFO ofi_2_3: -2.6125781510722597e-07 , std 9.162738390980412e-06 
2023-05-09 05:44:35,556 INFO ofi_3_3: -2.47755928941602e-07 , std 7.967485328005959e-06 
2023-05-09 05:44:35,556 INFO ofi_4_3: -3.732200302027253e-07 , std 8.352648652172293e-06 
2023-05-09 05:44:35,556 INFO ofi_5_3: -4.013360480714723e-07 , std 8.42720120525718e-06 
2023-05-09 05:44:35,556 INFO ofi_6_3: -2.3166629516345056e-07 , std 8.797328839225219e-06 
2023-05-09 05:44:35,556 INFO ofi_7_3: -1.6270286536756048e-07 , std 7.906488625899748e-06 
2023-05-09 05:44:35,556 INFO ofi_8_3: -7.407245621253363e-08 , std 5.506410492689099e-06 
2023-05-09 05:44:35,556 INFO ofi_9_3: -6.71138265421704e-08 , std 5.9283633737522126e-06 
2023-05-09 05:44:35,556 INFO ofi_10_3: -4.930798912447375e-08 , std 5.977556596902976e-06 
2023-05-09 05:44:35,556 INFO ofi_1_5: -2.964323229866247e-07 , std 1.3336916517940537e-05 
2023-05-09 05:44:35,556 INFO ofi_2_5: -4.6786038814380077e-07 , std 9.867781052284003e-06 
2023-05-09 05:44:35,556 INFO ofi_3_5: -6.969299926770621e-07 , std 1.017843412063015e-05 
