2023-05-09 06:50:33,127 INFO Starting...
2023-05-09 06:50:33,127 INFO Tickers: ['LLY']
2023-05-09 06:51:52,154 INFO in_r2: 0.10066760734249809 , std 0.1646158330515654 
2023-05-09 06:51:52,155 INFO os_r2: -0.08942969912517934 , std 0.03854391730237235 
2023-05-09 06:51:52,155 INFO intercept: 6.05570431557009e-06 , std 0.00025162434115445325 
2023-05-09 06:51:52,155 INFO ofi_1_1: -2.0034527045313236e-07 , std 1.0710778141778376e-05 
2023-05-09 06:51:52,155 INFO ofi_2_1: -1.7234262794467977e-07 , std 8.826719987757785e-06 
2023-05-09 06:51:52,155 INFO ofi_3_1: -1.963738268869716e-07 , std 1.0060321368322963e-05 
2023-05-09 06:51:52,155 INFO ofi_4_1: -3.133998152516259e-07 , std 9.147702564722381e-06 
2023-05-09 06:51:52,155 INFO ofi_5_1: -2.467907244817082e-07 , std 9.378627113398636e-06 
2023-05-09 06:51:52,155 INFO ofi_6_1: -1.7689686164903735e-07 , std 9.030658822995665e-06 
2023-05-09 06:51:52,155 INFO ofi_7_1: -1.301095383021191e-07 , std 7.333096832604832e-06 
2023-05-09 06:51:52,155 INFO ofi_8_1: -7.482670804947763e-08 , std 6.634642082780921e-06 
2023-05-09 06:51:52,155 INFO ofi_9_1: -7.047863169759451e-08 , std 6.865586413502864e-06 
2023-05-09 06:51:52,155 INFO ofi_10_1: -7.638623408818814e-08 , std 7.279918405510029e-06 
2023-05-09 06:51:52,155 INFO ofi_1_2: -2.5000194257212093e-07 , std 1.209497953379207e-05 
2023-05-09 06:51:52,155 INFO ofi_2_2: -2.9960370420052033e-07 , std 9.82609773470993e-06 
2023-05-09 06:51:52,155 INFO ofi_3_2: -3.8721038643986046e-07 , std 9.958579850991661e-06 
2023-05-09 06:51:52,155 INFO ofi_4_2: -3.496526966558732e-07 , std 9.617766130887378e-06 
2023-05-09 06:51:52,155 INFO ofi_5_2: -3.7624262401468197e-07 , std 8.946398227813991e-06 
2023-05-09 06:51:52,155 INFO ofi_6_2: -2.5568781033209756e-07 , std 8.49674446972124e-06 
2023-05-09 06:51:52,155 INFO ofi_7_2: -1.9179375668131362e-07 , std 8.553203706034357e-06 
2023-05-09 06:51:52,155 INFO ofi_8_2: -1.6919811568108728e-07 , std 7.793260265586878e-06 
2023-05-09 06:51:52,155 INFO ofi_9_2: -1.3175096218797656e-07 , std 7.47575167749122e-06 
2023-05-09 06:51:52,155 INFO ofi_10_2: -9.771909830722223e-08 , std 8.106699731332479e-06 
2023-05-09 06:51:52,155 INFO ofi_1_3: -2.716004083253676e-07 , std 1.2587645575015686e-05 
2023-05-09 06:51:52,155 INFO ofi_2_3: -3.421674505138687e-07 , std 1.1355734975570073e-05 
2023-05-09 06:51:52,155 INFO ofi_3_3: -4.7491215531382506e-07 , std 1.095480112871634e-05 
2023-05-09 06:51:52,155 INFO ofi_4_3: -4.574232673877673e-07 , std 1.00580427625948e-05 
2023-05-09 06:51:52,155 INFO ofi_5_3: -4.203952275553224e-07 , std 9.176222880828146e-06 
2023-05-09 06:51:52,155 INFO ofi_6_3: -3.8050717547123225e-07 , std 8.982370963001892e-06 
2023-05-09 06:51:52,155 INFO ofi_7_3: -2.7971896212719704e-07 , std 9.19989639527973e-06 
