2023-05-09 07:02:12,408 INFO Starting...
2023-05-09 07:02:12,408 INFO Tickers: ['LOW']
2023-05-09 07:03:30,165 INFO in_r2: 0.10327033952968519 , std 0.1668363908106361 
2023-05-09 07:03:30,165 INFO os_r2: -0.08800841830106658 , std 0.036337997390504584 
2023-05-09 07:03:30,165 INFO intercept: -8.665901942488207e-07 , std 0.00028094113753629663 
2023-05-09 07:03:30,165 INFO ofi_1_1: -2.2203441918480006e-07 , std 1.0705237841314865e-05 
2023-05-09 07:03:30,165 INFO ofi_2_1: -1.3325587159723827e-07 , std 9.076488628176858e-06 
2023-05-09 07:03:30,165 INFO ofi_3_1: -1.7338614394316516e-07 , std 8.981308424473126e-06 
2023-05-09 07:03:30,165 INFO ofi_4_1: -3.647934514589422e-07 , std 9.318915705076996e-06 
2023-05-09 07:03:30,165 INFO ofi_5_1: -2.742373378642443e-07 , std 9.585191701620278e-06 
2023-05-09 07:03:30,165 INFO ofi_6_1: -1.8149545477710988e-07 , std 8.018222774662356e-06 
2023-05-09 07:03:30,165 INFO ofi_7_1: -1.0621924846642197e-07 , std 7.389918545730519e-06 
2023-05-09 07:03:30,165 INFO ofi_8_1: -9.29053082406359e-08 , std 6.471576029031644e-06 
2023-05-09 07:03:30,165 INFO ofi_9_1: -4.0920076728498286e-08 , std 7.273082668321436e-06 
2023-05-09 07:03:30,165 INFO ofi_10_1: -5.556574965306142e-08 , std 6.278570733204036e-06 
2023-05-09 07:03:30,165 INFO ofi_1_2: -1.6400453322465518e-07 , std 1.0065025866873182e-05 
2023-05-09 07:03:30,165 INFO ofi_2_2: -1.5923986971537874e-07 , std 9.577861008972126e-06 
2023-05-09 07:03:30,165 INFO ofi_3_2: -3.027296452043665e-07 , std 9.598716523007426e-06 
2023-05-09 07:03:30,165 INFO ofi_4_2: -3.989969090583107e-07 , std 1.0065526722259256e-05 
2023-05-09 07:03:30,165 INFO ofi_5_2: -3.08801589909224e-07 , std 9.751965494696244e-06 
2023-05-09 07:03:30,166 INFO ofi_6_2: -2.232868237041711e-07 , std 8.975370968080544e-06 
2023-05-09 07:03:30,166 INFO ofi_7_2: -1.872298399528008e-07 , std 8.110620597874058e-06 
2023-05-09 07:03:30,166 INFO ofi_8_2: -6.7204958436645e-08 , std 7.001737430581444e-06 
2023-05-09 07:03:30,166 INFO ofi_9_2: -1.2523151991183403e-07 , std 6.914476109295835e-06 
2023-05-09 07:03:30,166 INFO ofi_10_2: -7.998868525240005e-08 , std 7.06435554181222e-06 
2023-05-09 07:03:30,166 INFO ofi_1_3: -2.326312141566243e-07 , std 1.2215442865990202e-05 
2023-05-09 07:03:30,166 INFO ofi_2_3: -2.8627548381255026e-07 , std 1.050950618127847e-05 
2023-05-09 07:03:30,166 INFO ofi_3_3: -5.141417971126273e-07 , std 1.1327832402159621e-05 
2023-05-09 07:03:30,166 INFO ofi_4_3: -5.014976004949546e-07 , std 9.895721194787622e-06 
2023-05-09 07:03:30,166 INFO ofi_5_3: -4.5460544169126496e-07 , std 9.904899384867612e-06 
2023-05-09 07:03:30,166 INFO ofi_6_3: -3.601971439850483e-07 , std 9.813007879739845e-06 
2023-05-09 07:03:30,166 INFO ofi_7_3: -1.8557516810082966e-07 , std 7.877855352121483e-06 
2023-05-09 07:03:30,166 INFO ofi_8_3: -1.335975945526655e-07 , std 8.11724413681013e-06 
2023-05-09 07:03:30,166 INFO ofi_9_3: -8.114124116864025e-08 , std 7.650160118479281e-06 
