2023-05-09 05:57:39,788 INFO Starting...
2023-05-09 05:57:39,788 INFO Tickers: ['MA']
2023-05-09 05:58:58,654 INFO in_r2: 0.10065851926416816 , std 0.16481359230242348 
2023-05-09 05:58:58,655 INFO os_r2: -0.08915130310240289 , std 0.03493214785456613 
2023-05-09 05:58:58,655 INFO intercept: 4.097732187898256e-06 , std 0.00025470050260490356 
2023-05-09 05:58:58,655 INFO ofi_1_1: -1.753245790714574e-07 , std 7.741090969730022e-06 
2023-05-09 05:58:58,655 INFO ofi_2_1: -1.622729793259233e-07 , std 7.51585073335622e-06 
2023-05-09 05:58:58,655 INFO ofi_3_1: -1.2336139632608624e-07 , std 6.7472303337610364e-06 
2023-05-09 05:58:58,655 INFO ofi_4_1: -1.1518354270825573e-07 , std 6.062271798314187e-06 
2023-05-09 05:58:58,655 INFO ofi_5_1: -1.5318326131960279e-07 , std 7.320491601628804e-06 
2023-05-09 05:58:58,655 INFO ofi_6_1: -1.7986978673457363e-07 , std 7.368406972336419e-06 
2023-05-09 05:58:58,655 INFO ofi_7_1: -9.798638377554187e-08 , std 5.561423344698996e-06 
2023-05-09 05:58:58,655 INFO ofi_8_1: -3.749370005242733e-08 , std 4.935996317803613e-06 
2023-05-09 05:58:58,655 INFO ofi_9_1: -1.0550203020085818e-07 , std 6.242363188558547e-06 
2023-05-09 05:58:58,655 INFO ofi_10_1: -1.0455529766790338e-07 , std 6.257513387613609e-06 
2023-05-09 05:58:58,655 INFO ofi_1_2: -1.848245110763574e-07 , std 8.331584471217969e-06 
2023-05-09 05:58:58,655 INFO ofi_2_2: -1.7934227212371522e-07 , std 6.55816530533593e-06 
2023-05-09 05:58:58,655 INFO ofi_3_2: -1.6825751225480278e-07 , std 6.807259577646722e-06 
2023-05-09 05:58:58,655 INFO ofi_4_2: -2.40500776732921e-07 , std 7.655418433489393e-06 
2023-05-09 05:58:58,655 INFO ofi_5_2: -2.3247883397940117e-07 , std 6.88469020813336e-06 
2023-05-09 05:58:58,655 INFO ofi_6_2: -2.0107537263065956e-07 , std 5.5479934856469435e-06 
2023-05-09 05:58:58,655 INFO ofi_7_2: -2.0409344530071012e-07 , std 5.703992670803573e-06 
2023-05-09 05:58:58,655 INFO ofi_8_2: -1.5522614261650767e-07 , std 5.411952878523819e-06 
2023-05-09 05:58:58,655 INFO ofi_9_2: -8.971887187755655e-08 , std 5.53049269631126e-06 
2023-05-09 05:58:58,655 INFO ofi_10_2: -8.556450085943093e-08 , std 5.06603114203437e-06 
2023-05-09 05:58:58,655 INFO ofi_1_3: -2.2104679264651597e-07 , std 8.442601892065946e-06 
2023-05-09 05:58:58,655 INFO ofi_2_3: -1.706715096403268e-07 , std 7.3466140918377356e-06 
2023-05-09 05:58:58,655 INFO ofi_3_3: -2.2969702151094506e-07 , std 6.377795789656762e-06 
2023-05-09 05:58:58,655 INFO ofi_4_3: -2.629043410919321e-07 , std 6.699511934475443e-06 
2023-05-09 05:58:58,655 INFO ofi_5_3: -2.8375295567290416e-07 , std 6.65586819276852e-06 
2023-05-09 05:58:58,655 INFO ofi_6_3: -2.3683593641599394e-07 , std 6.705901132127328e-06 
2023-05-09 05:58:58,655 INFO ofi_7_3: -1.8115163862000174e-07 , std 6.074739141798191e-06 
2023-05-09 05:58:58,655 INFO ofi_8_3: -1.9209978348226566e-07 , std 6.4025892012642425e-06 
2023-05-09 05:58:58,655 INFO ofi_9_3: -1.1958632653921478e-07 , std 6.033528677468413e-06 
2023-05-09 05:58:58,655 INFO ofi_10_3: -1.5572883872538962e-07 , std 6.7826383501347516e-06 
2023-05-09 05:58:58,655 INFO ofi_1_5: -3.449793785216483e-07 , std 8.539012361249849e-06 
2023-05-09 05:58:58,655 INFO ofi_2_5: -3.5950823204749056e-07 , std 8.12258665813274e-06 
2023-05-09 05:58:58,655 INFO ofi_3_5: -3.824537100919406e-07 , std 6.9883969716743585e-06 
2023-05-09 05:58:58,655 INFO ofi_4_5: -4.6094924310662193e-07 , std 7.628668701020872e-06 
2023-05-09 05:58:58,655 INFO ofi_5_5: -5.227193971944318e-07 , std 7.704102924041863e-06 
2023-05-09 05:58:58,655 INFO ofi_6_5: -4.5842735483551043e-07 , std 7.127102099472744e-06 
2023-05-09 05:58:58,655 INFO ofi_7_5: -3.423846823717673e-07 , std 6.044593128503469e-06 
2023-05-09 05:58:58,655 INFO ofi_8_5: -2.454020215909769e-07 , std 5.688381893317126e-06 
2023-05-09 05:58:58,655 INFO ofi_9_5: -2.2510222842671488e-07 , std 5.666656072085645e-06 
2023-05-09 05:58:58,655 INFO ofi_10_5: -3.114271488959831e-07 , std 7.209210532803121e-06 
2023-05-09 05:58:58,655 INFO ofi_1_10: -4.2011866192656833e-07 , std 9.882746959387135e-06 
2023-05-09 05:58:58,655 INFO ofi_2_10: -4.844311615826518e-07 , std 8.378260420553106e-06 
2023-05-09 05:58:58,656 INFO ofi_3_10: -5.505324660985985e-07 , std 7.78310268110169e-06 
2023-05-09 05:58:58,656 INFO ofi_4_10: -5.894381179082845e-07 , std 7.379159828056099e-06 
2023-05-09 05:58:58,656 INFO ofi_5_10: -5.761065499689691e-07 , std 7.087063952723521e-06 
2023-05-09 05:58:58,656 INFO ofi_6_10: -5.402211560345886e-07 , std 7.138901760537421e-06 
2023-05-09 05:58:58,656 INFO ofi_7_10: -3.704574923386878e-07 , std 6.104478220767282e-06 
2023-05-09 05:58:58,656 INFO ofi_8_10: -3.4288039596628435e-07 , std 5.859379232095623e-06 
2023-05-09 05:58:58,656 INFO ofi_9_10: -2.8485238082061485e-07 , std 6.298813732534184e-06 
2023-05-09 05:58:58,656 INFO ofi_10_10: -2.975626478653377e-07 , std 6.2805964012425145e-06 
2023-05-09 05:58:58,656 INFO ofi_1_20: -6.184131672197937e-07 , std 9.966280577933148e-06 
2023-05-09 05:58:58,656 INFO ofi_2_20: -5.615046042703878e-07 , std 8.449683418272543e-06 
