2023-05-09 06:20:42,206 INFO Starting...
2023-05-09 06:20:42,206 INFO Tickers: ['MCD']
2023-05-09 06:22:01,823 INFO in_r2: 0.10146427121777515 , std 0.16421598060746204 
2023-05-09 06:22:01,823 INFO os_r2: -0.0921196422965067 , std 0.03807823153028744 
2023-05-09 06:22:01,823 INFO intercept: -4.788181679900951e-07 , std 0.0001857671699056144 
2023-05-09 06:22:01,823 INFO ofi_1_1: -2.5434074088757547e-08 , std 5.945166249543003e-06 
2023-05-09 06:22:01,823 INFO ofi_2_1: -5.430571642736171e-08 , std 5.899558669663337e-06 
2023-05-09 06:22:01,823 INFO ofi_3_1: -1.1663040026857273e-07 , std 5.277595963176574e-06 
2023-05-09 06:22:01,823 INFO ofi_4_1: -1.349491677980967e-07 , std 5.4079816240284976e-06 
2023-05-09 06:22:01,823 INFO ofi_5_1: -1.3967897791634717e-07 , std 4.857356183794551e-06 
2023-05-09 06:22:01,823 INFO ofi_6_1: -1.4612524104098207e-07 , std 5.741620577728897e-06 
2023-05-09 06:22:01,823 INFO ofi_7_1: -1.1382570387336054e-07 , std 5.436548760500439e-06 
2023-05-09 06:22:01,823 INFO ofi_8_1: -5.151942689555037e-08 , std 5.637395093604082e-06 
2023-05-09 06:22:01,823 INFO ofi_9_1: -6.867465743991938e-08 , std 5.142846410476707e-06 
2023-05-09 06:22:01,823 INFO ofi_10_1: -5.5017447468160565e-08 , std 4.498603245894818e-06 
2023-05-09 06:22:01,823 INFO ofi_1_2: -8.105995860129392e-08 , std 6.6519237519917935e-06 
2023-05-09 06:22:01,823 INFO ofi_2_2: -1.1788717624892048e-07 , std 6.052190369954289e-06 
2023-05-09 06:22:01,823 INFO ofi_3_2: -1.590294218657837e-07 , std 5.4655301604061935e-06 
2023-05-09 06:22:01,823 INFO ofi_4_2: -1.9641825641049176e-07 , std 6.101370991881558e-06 
2023-05-09 06:22:01,823 INFO ofi_5_2: -2.1457226011218564e-07 , std 5.964843671480136e-06 
2023-05-09 06:22:01,823 INFO ofi_6_2: -2.1147565289393635e-07 , std 5.615670051274759e-06 
2023-05-09 06:22:01,823 INFO ofi_7_2: -1.1904580892628692e-07 , std 4.694000061677401e-06 
2023-05-09 06:22:01,823 INFO ofi_8_2: -1.3056567695552365e-07 , std 5.362935532770664e-06 
2023-05-09 06:22:01,823 INFO ofi_9_2: -7.164164365794873e-08 , std 4.862785811775903e-06 
2023-05-09 06:22:01,823 INFO ofi_10_2: -1.0391615148593986e-07 , std 5.435751181640908e-06 
2023-05-09 06:22:01,823 INFO ofi_1_3: -1.5510461933562344e-07 , std 7.27905416110831e-06 
2023-05-09 06:22:01,823 INFO ofi_2_3: -1.2930085940232153e-07 , std 6.424266900791744e-06 
2023-05-09 06:22:01,823 INFO ofi_3_3: -1.9296112424456888e-07 , std 6.166356188924733e-06 
2023-05-09 06:22:01,823 INFO ofi_4_3: -2.3787512810094766e-07 , std 6.503335737906661e-06 
2023-05-09 06:22:01,823 INFO ofi_5_3: -3.3985135183090183e-07 , std 5.937680372935791e-06 
2023-05-09 06:22:01,823 INFO ofi_6_3: -3.136813053395723e-07 , std 6.169677176272379e-06 
2023-05-09 06:22:01,823 INFO ofi_7_3: -2.2199652770488528e-07 , std 5.794416165926457e-06 
2023-05-09 06:22:01,823 INFO ofi_8_3: -1.6679163293369894e-07 , std 5.9562196355598905e-06 
2023-05-09 06:22:01,823 INFO ofi_9_3: -7.746958767223302e-08 , std 5.383574008246433e-06 
2023-05-09 06:22:01,823 INFO ofi_10_3: -7.17216117972688e-08 , std 5.230922688470084e-06 
2023-05-09 06:22:01,823 INFO ofi_1_5: -1.4169702008091366e-07 , std 7.209832046744534e-06 
2023-05-09 06:22:01,824 INFO ofi_2_5: -1.948940702068687e-07 , std 6.45191486344351e-06 
2023-05-09 06:22:01,824 INFO ofi_3_5: -2.9513027954924044e-07 , std 6.3388226201136105e-06 
2023-05-09 06:22:01,824 INFO ofi_4_5: -3.599321223206034e-07 , std 6.234861954516146e-06 
2023-05-09 06:22:01,824 INFO ofi_5_5: -5.221985800067385e-07 , std 6.522989298176783e-06 
2023-05-09 06:22:01,824 INFO ofi_6_5: -4.4793484984531016e-07 , std 6.137584220534262e-06 
2023-05-09 06:22:01,824 INFO ofi_7_5: -3.1116598687036886e-07 , std 5.951792576349613e-06 
2023-05-09 06:22:01,824 INFO ofi_8_5: -2.048915578666801e-07 , std 5.376620757092743e-06 
2023-05-09 06:22:01,824 INFO ofi_9_5: -1.4563644363622843e-07 , std 5.6566637893780565e-06 
2023-05-09 06:22:01,824 INFO ofi_10_5: -1.2142208886422921e-07 , std 5.890897940572598e-06 
2023-05-09 06:22:01,824 INFO ofi_1_10: -1.805826230659524e-07 , std 7.826816341848154e-06 
2023-05-09 06:22:01,824 INFO ofi_2_10: -3.0264199651784895e-07 , std 7.731279701602702e-06 
2023-05-09 06:22:01,824 INFO ofi_3_10: -3.515174647646564e-07 , std 7.120903214634132e-06 
2023-05-09 06:22:01,824 INFO ofi_4_10: -5.795916568552582e-07 , std 6.699359188352343e-06 
2023-05-09 06:22:01,824 INFO ofi_5_10: -7.145979180951117e-07 , std 7.0274259151075596e-06 
2023-05-09 06:22:01,824 INFO ofi_6_10: -6.916989195788908e-07 , std 7.007252791370007e-06 
2023-05-09 06:22:01,824 INFO ofi_7_10: -4.0245021154504895e-07 , std 6.083940825662665e-06 
2023-05-09 06:22:01,824 INFO ofi_8_10: -2.6416908338960156e-07 , std 6.265231211776991e-06 
2023-05-09 06:22:01,824 INFO ofi_9_10: -1.7600607754532061e-07 , std 5.888335328257111e-06 
2023-05-09 06:22:01,824 INFO ofi_10_10: -1.8251162358153804e-07 , std 6.4987119243202485e-06 
2023-05-09 06:22:01,824 INFO ofi_1_20: -2.2277596945102644e-07 , std 8.256733339236086e-06 
2023-05-09 06:22:01,824 INFO ofi_2_20: -3.536080779284955e-07 , std 7.637468355771724e-06 
2023-05-09 06:22:01,824 INFO ofi_3_20: -5.469492933817241e-07 , std 7.419651517301884e-06 
2023-05-09 06:22:01,824 INFO ofi_4_20: -7.012035541417263e-07 , std 7.320941884569725e-06 
2023-05-09 06:22:01,824 INFO ofi_5_20: -8.899675076920112e-07 , std 7.2040950821035506e-06 
2023-05-09 06:22:01,824 INFO ofi_6_20: -8.026092154233306e-07 , std 7.117286578298641e-06 
2023-05-09 06:22:01,824 INFO ofi_7_20: -4.794584677510947e-07 , std 6.315442775296188e-06 
2023-05-09 06:22:01,824 INFO ofi_8_20: -3.8674141202642035e-07 , std 6.8362563855322905e-06 
2023-05-09 06:22:01,824 INFO ofi_9_20: -2.1229893687570093e-07 , std 6.274614850722638e-06 
2023-05-09 06:22:01,824 INFO ofi_10_20: -1.5404993879846272e-07 , std 5.804572280342595e-06 
2023-05-09 06:22:01,824 INFO ofi_1_30: -3.1930480247920255e-07 , std 8.611989035291517e-06 
2023-05-09 06:22:01,824 INFO ofi_2_30: -4.6822901406198357e-07 , std 8.15603986544273e-06 
2023-05-09 06:22:01,824 INFO ofi_3_30: -6.329721296459742e-07 , std 8.05478198074489e-06 
2023-05-09 06:22:01,824 INFO ofi_4_30: -9.904101441528408e-07 , std 8.033455696526885e-06 
2023-05-09 06:22:01,824 INFO ofi_5_30: -1.1751998739707597e-06 , std 8.554384898537555e-06 
2023-05-09 06:22:01,824 INFO ofi_6_30: -9.580028410841974e-07 , std 8.070475532725285e-06 
