2023-05-09 06:18:08,675 INFO Starting...
2023-05-09 06:18:08,675 INFO Tickers: ['MDT']
2023-05-09 06:19:26,181 INFO in_r2: 0.10187189991673734 , std 0.164651792688487 
2023-05-09 06:19:26,182 INFO os_r2: -0.09370523733258025 , std 0.04885291660271575 
2023-05-09 06:19:26,182 INFO intercept: -1.2346405787454382e-06 , std 0.00022045222585604044 
2023-05-09 06:19:26,182 INFO ofi_1_1: -8.453491421946697e-08 , std 1.1738907438849413e-05 
2023-05-09 06:19:26,182 INFO ofi_2_1: -1.3373833061211859e-07 , std 9.584783357303961e-06 
2023-05-09 06:19:26,182 INFO ofi_3_1: -2.1332169139551825e-07 , std 9.800352816583308e-06 
2023-05-09 06:19:26,182 INFO ofi_4_1: -3.147159076618489e-07 , std 9.222525229675449e-06 
2023-05-09 06:19:26,182 INFO ofi_5_1: -2.1283149607901661e-07 , std 9.168260014072074e-06 
2023-05-09 06:19:26,182 INFO ofi_6_1: -2.522067462956523e-07 , std 8.638639607494255e-06 
2023-05-09 06:19:26,182 INFO ofi_7_1: -1.0941914595062431e-07 , std 7.857702557558014e-06 
2023-05-09 06:19:26,182 INFO ofi_8_1: -5.390342547476239e-08 , std 6.424315782645094e-06 
2023-05-09 06:19:26,182 INFO ofi_9_1: -5.528829019786432e-08 , std 5.881957521256879e-06 
2023-05-09 06:19:26,182 INFO ofi_10_1: 1.1595576848433383e-08 , std 7.645185042486292e-06 
2023-05-09 06:19:26,182 INFO ofi_1_2: -1.7023480082430838e-07 , std 1.1569870267225792e-05 
2023-05-09 06:19:26,182 INFO ofi_2_2: -1.8627656192277386e-07 , std 1.0350736862115218e-05 
2023-05-09 06:19:26,182 INFO ofi_3_2: -3.2935225594763785e-07 , std 1.0640275963093195e-05 
2023-05-09 06:19:26,182 INFO ofi_4_2: -4.562391162866795e-07 , std 1.0931400849926493e-05 
2023-05-09 06:19:26,182 INFO ofi_5_2: -3.9067109485213583e-07 , std 1.0813790023450626e-05 
2023-05-09 06:19:26,182 INFO ofi_6_2: -3.1133808422159554e-07 , std 9.472715550173803e-06 
2023-05-09 06:19:26,182 INFO ofi_7_2: -1.6216029096671644e-07 , std 9.131746373702354e-06 
2023-05-09 06:19:26,182 INFO ofi_8_2: -1.433896107084339e-07 , std 8.518374676119837e-06 
2023-05-09 06:19:26,182 INFO ofi_9_2: -1.0454664065294687e-07 , std 7.543750655723665e-06 
2023-05-09 06:19:26,182 INFO ofi_10_2: 4.1042388594209775e-09 , std 9.014221227776416e-06 
2023-05-09 06:19:26,182 INFO ofi_1_3: -2.707427315320373e-07 , std 1.2085840957791246e-05 
2023-05-09 06:19:26,182 INFO ofi_2_3: -4.027446609804395e-07 , std 1.2557702230894033e-05 
2023-05-09 06:19:26,182 INFO ofi_3_3: -4.93602514839047e-07 , std 1.0832609342349096e-05 
2023-05-09 06:19:26,182 INFO ofi_4_3: -5.482631770876456e-07 , std 9.970488005589331e-06 
2023-05-09 06:19:26,182 INFO ofi_5_3: -4.183597659606822e-07 , std 9.37548052173025e-06 
2023-05-09 06:19:26,182 INFO ofi_6_3: -2.9223577598226806e-07 , std 9.50981145540442e-06 
2023-05-09 06:19:26,182 INFO ofi_7_3: -2.2242934200324102e-07 , std 9.782255326251783e-06 
2023-05-09 06:19:26,182 INFO ofi_8_3: -7.175868526530571e-08 , std 7.936410216612042e-06 
2023-05-09 06:19:26,182 INFO ofi_9_3: -7.472785071473503e-08 , std 7.574480472253631e-06 
2023-05-09 06:19:26,182 INFO ofi_10_3: -9.79792093119835e-08 , std 6.4908651684119e-06 
2023-05-09 06:19:26,182 INFO ofi_1_5: -3.8255550204829993e-07 , std 1.3611137255425987e-05 
2023-05-09 06:19:26,182 INFO ofi_2_5: -5.561788259817612e-07 , std 1.222786163728952e-05 
2023-05-09 06:19:26,182 INFO ofi_3_5: -7.415004028672263e-07 , std 1.1095566038978165e-05 
2023-05-09 06:19:26,182 INFO ofi_4_5: -9.142455046302429e-07 , std 1.151494960363089e-05 
2023-05-09 06:19:26,182 INFO ofi_5_5: -7.380514115957262e-07 , std 1.0968341185289315e-05 
2023-05-09 06:19:26,182 INFO ofi_6_5: -4.864617466572785e-07 , std 1.0048997602777195e-05 
2023-05-09 06:19:26,182 INFO ofi_7_5: -3.005385729314323e-07 , std 8.59001692124546e-06 
2023-05-09 06:19:26,182 INFO ofi_8_5: -1.6293793821292072e-07 , std 6.874129919421598e-06 
2023-05-09 06:19:26,182 INFO ofi_9_5: -1.0362231989324269e-07 , std 6.852920970122149e-06 
2023-05-09 06:19:26,182 INFO ofi_10_5: -1.0245427222032617e-07 , std 6.515792165907247e-06 
2023-05-09 06:19:26,182 INFO ofi_1_10: -5.417638505000182e-07 , std 1.4444095599734349e-05 
2023-05-09 06:19:26,182 INFO ofi_2_10: -7.37620069535061e-07 , std 1.3452481870807233e-05 
2023-05-09 06:19:26,183 INFO ofi_3_10: -1.0665791672212118e-06 , std 1.2807497180267894e-05 
2023-05-09 06:19:26,183 INFO ofi_4_10: -1.1849672266991425e-06 , std 1.2038473167355241e-05 
2023-05-09 06:19:26,183 INFO ofi_5_10: -9.335252312666019e-07 , std 1.1132832232998549e-05 
2023-05-09 06:19:26,183 INFO ofi_6_10: -6.189062193467052e-07 , std 9.982278213905649e-06 
2023-05-09 06:19:26,183 INFO ofi_7_10: -3.0157020182854456e-07 , std 8.889278251699092e-06 
2023-05-09 06:19:26,183 INFO ofi_8_10: -1.8319394375603622e-07 , std 8.343156044234816e-06 
