2023-05-09 06:51:52,794 INFO Starting...
2023-05-09 06:51:52,794 INFO Tickers: ['QCOM']
2023-05-09 06:53:12,087 INFO in_r2: 0.09882235010147092 , std 0.16189449641152773 
2023-05-09 06:53:12,087 INFO os_r2: -0.10349482383123118 , std 0.16346190863280655 
2023-05-09 06:53:12,087 INFO intercept: 9.666302650053008e-06 , std 0.0003696462276173562 
2023-05-09 06:53:12,087 INFO ofi_1_1: -9.977845868970293e-08 , std 1.8582364580123303e-05 
2023-05-09 06:53:12,087 INFO ofi_2_1: -2.3385482920532286e-07 , std 1.919317792382797e-05 
2023-05-09 06:53:12,087 INFO ofi_3_1: -1.788159376771919e-07 , std 1.5264170697499824e-05 
2023-05-09 06:53:12,087 INFO ofi_4_1: -2.0162074121038844e-07 , std 1.4482607971613528e-05 
2023-05-09 06:53:12,087 INFO ofi_5_1: -1.3644850705587198e-07 , std 1.0756167508886033e-05 
2023-05-09 06:53:12,087 INFO ofi_6_1: -1.3768313441657873e-07 , std 1.0135412525181062e-05 
2023-05-09 06:53:12,087 INFO ofi_7_1: -1.1812967199606463e-07 , std 1.0568131477090001e-05 
2023-05-09 06:53:12,087 INFO ofi_8_1: -3.7518646917422894e-08 , std 8.449291022605437e-06 
2023-05-09 06:53:12,087 INFO ofi_9_1: -4.97601465400167e-08 , std 9.451694238525135e-06 
2023-05-09 06:53:12,087 INFO ofi_10_1: -1.0356750340056333e-07 , std 1.2528607111410779e-05 
2023-05-09 06:53:12,087 INFO ofi_1_2: -5.15437774519318e-07 , std 1.9090134897034764e-05 
2023-05-09 06:53:12,087 INFO ofi_2_2: -3.413614420321473e-07 , std 1.5124214105484735e-05 
2023-05-09 06:53:12,087 INFO ofi_3_2: -2.0870770678906591e-07 , std 1.5037501431870591e-05 
2023-05-09 06:53:12,087 INFO ofi_4_2: -4.050653392649995e-07 , std 1.3709808058341658e-05 
2023-05-09 06:53:12,087 INFO ofi_5_2: -3.4278871757729416e-07 , std 1.2530980688249055e-05 
2023-05-09 06:53:12,087 INFO ofi_6_2: -2.1827307744030326e-07 , std 1.1343784117683652e-05 
2023-05-09 06:53:12,087 INFO ofi_7_2: -1.0896130015446519e-07 , std 1.3113758567093037e-05 
