2023-05-09 07:36:51,354 INFO Starting...
2023-05-09 07:36:51,354 INFO Tickers: ['SO']
2023-05-09 07:38:09,301 INFO in_r2: 0.09922018450119481 , std 0.16353725503087285 
2023-05-09 07:38:09,302 INFO os_r2: -0.09929982460196377 , std 0.1468189708302882 
2023-05-09 07:38:09,302 INFO intercept: 1.1674695967080036e-06 , std 0.0001981301984789032 
2023-05-09 07:38:09,302 INFO ofi_1_1: -1.37442633924512e-07 , std 2.665574846384649e-05 
2023-05-09 07:38:09,302 INFO ofi_2_1: -2.810500559821679e-07 , std 2.0816622014030477e-05 
2023-05-09 07:38:09,302 INFO ofi_3_1: -5.452565643800282e-07 , std 1.9210484948548814e-05 
2023-05-09 07:38:09,302 INFO ofi_4_1: -3.731011815679876e-07 , std 1.8055781238643102e-05 
2023-05-09 07:38:09,302 INFO ofi_5_1: -3.4294885357181204e-07 , std 1.4832218525489575e-05 
2023-05-09 07:38:09,302 INFO ofi_6_1: -3.054856457783702e-07 , std 1.6594073501541507e-05 
2023-05-09 07:38:09,302 INFO ofi_7_1: -1.921448965970433e-07 , std 1.2830706061084415e-05 
2023-05-09 07:38:09,302 INFO ofi_8_1: -1.3305134358089116e-07 , std 1.2850408697826386e-05 
2023-05-09 07:38:09,302 INFO ofi_9_1: -1.2559558061908137e-07 , std 1.5322563705703203e-05 
2023-05-09 07:38:09,302 INFO ofi_10_1: -1.3339731585210331e-08 , std 2.239641830858672e-05 
2023-05-09 07:38:09,302 INFO ofi_1_2: -3.2728453540651265e-07 , std 2.574298965809594e-05 
2023-05-09 07:38:09,302 INFO ofi_2_2: -6.072976174289011e-07 , std 2.1164857144035598e-05 
2023-05-09 07:38:09,302 INFO ofi_3_2: -5.632351312273026e-07 , std 1.919956269696994e-05 
2023-05-09 07:38:09,302 INFO ofi_4_2: -3.9248729406885226e-07 , std 1.7032427441458756e-05 
2023-05-09 07:38:09,302 INFO ofi_5_2: -3.936098205608016e-07 , std 1.8513436797016875e-05 
2023-05-09 07:38:09,302 INFO ofi_6_2: -3.1155562108252654e-07 , std 1.493957705198365e-05 
2023-05-09 07:38:09,302 INFO ofi_7_2: -2.3180885713476076e-07 , std 1.790603750054742e-05 
2023-05-09 07:38:09,302 INFO ofi_8_2: -1.3778920532116368e-07 , std 1.4099698411847815e-05 
2023-05-09 07:38:09,302 INFO ofi_9_2: -1.9031620306952888e-07 , std 1.3384044183049156e-05 
2023-05-09 07:38:09,302 INFO ofi_10_2: 2.864474655551191e-08 , std 2.366906908141608e-05 
2023-05-09 07:38:09,302 INFO ofi_1_3: -6.392998661743681e-07 , std 2.715152045647738e-05 
2023-05-09 07:38:09,302 INFO ofi_2_3: -6.750230733048623e-07 , std 2.3308247856286413e-05 
2023-05-09 07:38:09,302 INFO ofi_3_3: -8.307443100556477e-07 , std 2.179893711230914e-05 
2023-05-09 07:38:09,302 INFO ofi_4_3: -5.68569062214573e-07 , std 1.8392559726601083e-05 
2023-05-09 07:38:09,302 INFO ofi_5_3: -4.3014895213104635e-07 , std 1.7056756489612042e-05 
2023-05-09 07:38:09,302 INFO ofi_6_3: -4.040640794294929e-07 , std 1.633132651155168e-05 
2023-05-09 07:38:09,302 INFO ofi_7_3: -1.5535683209361006e-07 , std 1.813541244393042e-05 
2023-05-09 07:38:09,302 INFO ofi_8_3: -7.98205472706552e-08 , std 1.202201538099584e-05 
2023-05-09 07:38:09,302 INFO ofi_9_3: -1.5776196645748254e-07 , std 1.361424481343406e-05 
2023-05-09 07:38:09,302 INFO ofi_10_3: -6.911288678261259e-08 , std 1.635247071140251e-05 
2023-05-09 07:38:09,302 INFO ofi_1_5: -1.7329214494879636e-06 , std 2.8354275055265585e-05 
2023-05-09 07:38:09,302 INFO ofi_2_5: -1.056569434758128e-06 , std 2.468877759613482e-05 
2023-05-09 07:38:09,302 INFO ofi_3_5: -1.1561579181216082e-06 , std 2.1544329670800067e-05 
2023-05-09 07:38:09,302 INFO ofi_4_5: -7.345287945306375e-07 , std 1.817934227155214e-05 
2023-05-09 07:38:09,302 INFO ofi_5_5: -5.445593450960502e-07 , std 1.866630241204286e-05 
2023-05-09 07:38:09,302 INFO ofi_6_5: -4.489762088964993e-07 , std 1.8193851796844847e-05 
2023-05-09 07:38:09,302 INFO ofi_7_5: -2.651589462824208e-07 , std 1.844207304067892e-05 
2023-05-09 07:38:09,302 INFO ofi_8_5: -2.1398573386269997e-07 , std 1.505761699996347e-05 
2023-05-09 07:38:09,302 INFO ofi_9_5: -2.0456301960718786e-07 , std 1.5027078636679874e-05 
2023-05-09 07:38:09,302 INFO ofi_10_5: -1.6493103113281502e-07 , std 1.3976834460842022e-05 
2023-05-09 07:38:09,302 INFO ofi_1_10: -2.5700725634470173e-06 , std 3.131903808881381e-05 
2023-05-09 07:38:09,302 INFO ofi_2_10: -1.9114003547918062e-06 , std 2.5189735670281477e-05 
2023-05-09 07:38:09,302 INFO ofi_3_10: -1.546918782878771e-06 , std 2.1719866729662704e-05 
2023-05-09 07:38:09,302 INFO ofi_4_10: -1.0376905141937663e-06 , std 2.065591238878389e-05 
2023-05-09 07:38:09,302 INFO ofi_5_10: -5.941274563013653e-07 , std 1.896041911160289e-05 
2023-05-09 07:38:09,302 INFO ofi_6_10: -6.555452698782749e-07 , std 1.8217014784385e-05 
2023-05-09 07:38:09,302 INFO ofi_7_10: -3.0934968876458597e-07 , std 1.6155168078331374e-05 
2023-05-09 07:38:09,302 INFO ofi_8_10: -2.417785496965e-07 , std 1.5283516407043317e-05 
2023-05-09 07:38:09,302 INFO ofi_9_10: -1.7634292607022123e-07 , std 1.5263439091020433e-05 
2023-05-09 07:38:09,303 INFO ofi_10_10: -1.9709085829639222e-07 , std 1.4007390334921493e-05 
2023-05-09 07:38:09,303 INFO ofi_1_20: -3.375345173545464e-06 , std 3.2001999923892046e-05 
2023-05-09 07:38:09,303 INFO ofi_2_20: -2.259086654385265e-06 , std 2.7080491945785708e-05 
2023-05-09 07:38:09,303 INFO ofi_3_20: -1.9499311539724324e-06 , std 2.4331005545923168e-05 
2023-05-09 07:38:09,303 INFO ofi_4_20: -1.284369207703856e-06 , std 1.986700579340034e-05 
2023-05-09 07:38:09,303 INFO ofi_5_20: -1.001611701491362e-06 , std 2.039388801092047e-05 
2023-05-09 07:38:09,303 INFO ofi_6_20: -6.76099062311386e-07 , std 2.0250088345257827e-05 
2023-05-09 07:38:09,303 INFO ofi_7_20: -2.4449565512336623e-07 , std 1.8866258248029547e-05 
2023-05-09 07:38:09,303 INFO ofi_8_20: -3.5074575560908905e-07 , std 2.065970027466616e-05 
2023-05-09 07:38:09,303 INFO ofi_9_20: -2.8983552272565494e-07 , std 1.6472784783120627e-05 
2023-05-09 07:38:09,303 INFO ofi_10_20: -1.5447033608101334e-07 , std 1.3541053214528525e-05 
2023-05-09 07:38:09,303 INFO ofi_1_30: -4.433410247694964e-06 , std 3.2552375424786185e-05 
2023-05-09 07:38:09,303 INFO ofi_2_30: -3.0721960210537356e-06 , std 2.970571401855834e-05 
2023-05-09 07:38:09,303 INFO ofi_3_30: -2.425874225285043e-06 , std 2.5467511013781395e-05 
2023-05-09 07:38:09,303 INFO ofi_4_30: -1.6478252138245688e-06 , std 2.286922900943488e-05 
2023-05-09 07:38:09,303 INFO ofi_5_30: -9.366326518576248e-07 , std 2.1265469602992642e-05 
2023-05-09 07:38:09,303 INFO ofi_6_30: -9.114351789696872e-07 , std 2.034840449373173e-05 
2023-05-09 07:38:09,303 INFO ofi_7_30: -3.9128129614638517e-07 , std 2.0320938664999957e-05 
2023-05-09 07:38:09,303 INFO ofi_8_30: -2.399912224040419e-07 , std 1.4208298170782253e-05 
2023-05-09 07:38:09,303 INFO ofi_9_30: -3.648728084849392e-07 , std 2.0280808480488102e-05 
2023-05-09 07:38:09,303 INFO ofi_10_30: -2.5300619393300083e-07 , std 1.4821205756368907e-05 
2023-05-09 07:38:09,303 INFO used_intercept: 0.9799174400385682 , std 0.1402827528487638 
2023-05-09 07:38:09,303 INFO used_ofi_1_1: 0.032160218552890606 , std 0.17642544854844755 
2023-05-09 07:38:09,303 INFO used_ofi_2_1: 0.011294242899039814 , std 0.10567252706535084 
2023-05-09 07:38:09,303 INFO used_ofi_3_1: 0.008291149411433852 , std 0.09067748481773816 
2023-05-09 07:38:09,303 INFO used_ofi_4_1: 0.006583704953597686 , std 0.0808724908895581 
2023-05-09 07:38:09,303 INFO used_ofi_5_1: 0.004976698405046001 , std 0.07036995721208882 
2023-05-09 07:38:09,303 INFO used_ofi_6_1: 0.002983005905749066 , std 0.05453537917274743 
2023-05-09 07:38:09,303 INFO used_ofi_7_1: 0.0019484954401189185 , std 0.04409873927493567 
2023-05-09 07:38:09,303 INFO used_ofi_8_1: 0.0015668313848378932 , std 0.03955219872838145 
2023-05-09 07:38:09,303 INFO used_ofi_9_1: 0.001170101643164196 , std 0.03418672995928186 
2023-05-09 07:38:09,303 INFO used_ofi_10_1: 0.0014312402073038447 , std 0.037804652607487894 
2023-05-09 07:38:09,303 INFO used_ofi_1_2: 0.04226929412237355 , std 0.2012028849116479 
2023-05-09 07:38:09,303 INFO used_ofi_2_2: 0.0145534530553212 , std 0.11975662845741679 
2023-05-09 07:38:09,303 INFO used_ofi_3_2: 0.010792053352617412 , std 0.10332272226887788 
2023-05-09 07:38:09,303 INFO used_ofi_4_2: 0.007693543851191194 , std 0.08737478603236173 
2023-05-09 07:38:09,303 INFO used_ofi_5_2: 0.006362741553171829 , std 0.07951262209925773 
2023-05-09 07:38:09,303 INFO used_ofi_6_2: 0.003389779438351211 , std 0.058123049074446737 
2023-05-09 07:38:09,303 INFO used_ofi_7_2: 0.0021795026314732234 , std 0.04663424063660333 
2023-05-09 07:38:09,303 INFO used_ofi_8_2: 0.0016923787714434935 , std 0.04110370573971964 
2023-05-09 07:38:09,303 INFO used_ofi_9_2: 0.0015718532803021172 , std 0.03961543332550234 
2023-05-09 07:38:09,303 INFO used_ofi_10_2: 0.0015869189666947892 , std 0.03980453058243413 
2023-05-09 07:38:09,303 INFO used_ofi_1_3: 0.05321200433891768 , std 0.22445597994518365 
2023-05-09 07:38:09,303 INFO used_ofi_2_3: 0.019690852115222368 , std 0.13893567741296264 
2023-05-09 07:38:09,303 INFO used_ofi_3_3: 0.014282270700253103 , std 0.11865195929228389 
2023-05-09 07:38:09,303 INFO used_ofi_4_3: 0.01006387851030493 , std 0.09981280909600106 
2023-05-09 07:38:09,303 INFO used_ofi_5_3: 0.007070828813627416 , std 0.08379040633339711 
2023-05-09 07:38:09,303 INFO used_ofi_6_3: 0.0050168735687597926 , std 0.07065199606773238 
2023-05-09 07:38:09,303 INFO used_ofi_7_3: 0.0025260134185046803 , std 0.05019594281128919 
2023-05-09 07:38:09,303 INFO used_ofi_8_3: 0.0017275320396930617 , std 0.04152767357732546 
2023-05-09 07:38:09,303 INFO used_ofi_9_3: 0.001827969948977542 , std 0.042715670132202975 
2023-05-09 07:38:09,303 INFO used_ofi_10_3: 0.002053955244867623 , std 0.045274015866937446 
2023-05-09 07:38:09,303 INFO used_ofi_1_5: 0.07653870877023825 , std 0.26585811033335605 
2023-05-09 07:38:09,303 INFO used_ofi_2_5: 0.029965650235024708 , std 0.17049255127722407 
2023-05-09 07:38:09,304 INFO used_ofi_3_5: 0.022447872725081353 , std 0.14813495784317726 
2023-05-09 07:38:09,304 INFO used_ofi_4_5: 0.014317423968502671 , std 0.11879577155525707 
2023-05-09 07:38:09,304 INFO used_ofi_5_5: 0.009185046804065726 , std 0.09539749325465974 
2023-05-09 07:38:09,304 INFO used_ofi_6_5: 0.006423004298742517 , std 0.07988585177940367 
2023-05-09 07:38:09,304 INFO used_ofi_7_5: 0.0033797356474227634 , std 0.058037169420779834 
2023-05-09 07:38:09,304 INFO used_ofi_8_5: 0.0026364951187176086 , std 0.051279079673942934 
2023-05-09 07:38:09,304 INFO used_ofi_9_5: 0.002149371258687879 , std 0.04631146145264912 
2023-05-09 07:38:09,304 INFO used_ofi_10_5: 0.0019736049174400388 , std 0.04438141278812443 
2023-05-09 07:38:09,304 INFO used_ofi_1_10: 0.11090353943192319 , std 0.31401265002129297 
2023-05-09 07:38:09,304 INFO used_ofi_2_10: 0.04764774416455747 , std 0.21301980340002746 
2023-05-09 07:38:09,304 INFO used_ofi_3_10: 0.03430958981157848 , std 0.18202319044160203 
2023-05-09 07:38:09,304 INFO used_ofi_4_10: 0.02065505604435338 , std 0.14222666664222292 
2023-05-09 07:38:09,304 INFO used_ofi_5_10: 0.01174119159535575 , std 0.10771878209150389 
2023-05-09 07:38:09,304 INFO used_ofi_6_10: 0.009029368044674782 , std 0.09459301537316903 
2023-05-09 07:38:09,304 INFO used_ofi_7_10: 0.0040627134305572295 , std 0.06360980891449369 
2023-05-09 07:38:09,304 INFO used_ofi_8_10: 0.0028725242055361376 , std 0.05351890142953933 
2023-05-09 07:38:09,304 INFO used_ofi_9_10: 0.0022899843316861518 , std 0.04779895713764876 
