2023-05-09 07:31:38,741 INFO Starting...
2023-05-09 07:31:38,741 INFO Tickers: ['SPGI']
2023-05-09 07:32:54,405 INFO in_r2: 0.09082948456331803 , std 0.15941504671532009 
2023-05-09 07:32:54,405 INFO os_r2: -0.09473465835706475 , std 0.039605795444627154 
2023-05-09 07:32:54,405 INFO intercept: 4.9179154428670965e-06 , std 0.00023185660272000467 
2023-05-09 07:32:54,405 INFO ofi_1_1: -3.456118074470739e-07 , std 2.011810284453583e-05 
2023-05-09 07:32:54,405 INFO ofi_2_1: -5.962293108198796e-07 , std 1.742482830396836e-05 
2023-05-09 07:32:54,406 INFO ofi_3_1: -3.639069616403491e-07 , std 1.4807078847149178e-05 
2023-05-09 07:32:54,406 INFO ofi_4_1: -1.8823085898575932e-07 , std 1.1344572853216279e-05 
2023-05-09 07:32:54,406 INFO ofi_5_1: -1.3511490466012179e-07 , std 1.015752630905125e-05 
2023-05-09 07:32:54,406 INFO ofi_6_1: -2.048686157363569e-07 , std 1.3263149074654696e-05 
2023-05-09 07:32:54,406 INFO ofi_7_1: -9.574194304114692e-08 , std 1.0563665691966406e-05 
2023-05-09 07:32:54,406 INFO ofi_8_1: -2.2832726990896773e-07 , std 1.4200969666172675e-05 
2023-05-09 07:32:54,406 INFO ofi_9_1: -2.985191388577306e-07 , std 1.2809652249127417e-05 
2023-05-09 07:32:54,406 INFO ofi_10_1: -4.924861588341607e-07 , std 1.7201627365421413e-05 
2023-05-09 07:32:54,406 INFO ofi_1_2: -6.340540733200627e-07 , std 1.7383073848554577e-05 
2023-05-09 07:32:54,406 INFO ofi_2_2: -5.202479653348783e-07 , std 1.5037143288456543e-05 
2023-05-09 07:32:54,406 INFO ofi_3_2: -2.951215982875294e-07 , std 1.3561956896709982e-05 
2023-05-09 07:32:54,406 INFO ofi_4_2: -2.3787791077255842e-07 , std 1.042640134410593e-05 
2023-05-09 07:32:54,406 INFO ofi_5_2: -2.028009389667426e-07 , std 9.230828780912801e-06 
2023-05-09 07:32:54,406 INFO ofi_6_2: -2.5338987511540844e-07 , std 1.2661806954420924e-05 
2023-05-09 07:32:54,406 INFO ofi_7_2: -2.3971804649741267e-07 , std 1.1435855262544523e-05 
2023-05-09 07:32:54,406 INFO ofi_8_2: -1.213533160399353e-07 , std 8.374736501474672e-06 
2023-05-09 07:32:54,406 INFO ofi_9_2: -2.6031587519791074e-07 , std 1.333760238899264e-05 
2023-05-09 07:32:54,406 INFO ofi_10_2: -4.5322837048895745e-07 , std 1.6969691704869045e-05 
