2023-05-09 07:35:35,932 INFO Starting...
2023-05-09 07:35:35,932 INFO Tickers: ['SYK']
2023-05-09 07:36:50,724 INFO in_r2: 0.09140456588725208 , std 0.16044781858978965 
2023-05-09 07:36:50,724 INFO os_r2: -0.0968969688351075 , std 0.048324680706090216 
2023-05-09 07:36:50,724 INFO intercept: 2.6662905142982372e-06 , std 0.00020954687854350798 
2023-05-09 07:36:50,724 INFO ofi_1_1: -5.113141454125658e-07 , std 1.7725330730473553e-05 
2023-05-09 07:36:50,724 INFO ofi_2_1: -4.217890550099241e-07 , std 1.7647105130426726e-05 
2023-05-09 07:36:50,724 INFO ofi_3_1: -3.1201306820240674e-07 , std 1.5742630605812383e-05 
2023-05-09 07:36:50,724 INFO ofi_4_1: -1.9666395731237082e-07 , std 1.1395608079199264e-05 
2023-05-09 07:36:50,724 INFO ofi_5_1: -2.473184559519331e-07 , std 1.3133692438686772e-05 
2023-05-09 07:36:50,724 INFO ofi_6_1: -1.3015267171546495e-07 , std 9.54264891963831e-06 
2023-05-09 07:36:50,724 INFO ofi_7_1: -1.4753022743472942e-07 , std 1.0447048969428891e-05 
2023-05-09 07:36:50,724 INFO ofi_8_1: -1.2695462904558122e-07 , std 1.1215371934924953e-05 
2023-05-09 07:36:50,724 INFO ofi_9_1: -2.2211809154044248e-07 , std 1.2294837888332294e-05 
2023-05-09 07:36:50,724 INFO ofi_10_1: -1.89244642631246e-07 , std 1.5035669697818759e-05 
2023-05-09 07:36:50,724 INFO ofi_1_2: -4.50814147038189e-07 , std 1.4910790804716198e-05 
2023-05-09 07:36:50,724 INFO ofi_2_2: -5.251143326963622e-07 , std 1.4143032001903997e-05 
2023-05-09 07:36:50,724 INFO ofi_3_2: -3.662172656167893e-07 , std 1.1249440498767649e-05 
2023-05-09 07:36:50,724 INFO ofi_4_2: -3.650213652422957e-07 , std 1.2603478916685402e-05 
2023-05-09 07:36:50,724 INFO ofi_5_2: -2.654629496978647e-07 , std 9.521359675134115e-06 
2023-05-09 07:36:50,724 INFO ofi_6_2: -1.998804660739886e-07 , std 8.8353827437409e-06 
2023-05-09 07:36:50,724 INFO ofi_7_2: -2.443413259652303e-07 , std 1.119296352248247e-05 
2023-05-09 07:36:50,724 INFO ofi_8_2: -3.284144508513665e-07 , std 1.346665643997363e-05 
2023-05-09 07:36:50,724 INFO ofi_9_2: -2.398760113166856e-07 , std 1.230423003406466e-05 
2023-05-09 07:36:50,724 INFO ofi_10_2: -2.9874870585704727e-07 , std 1.5876248704094935e-05 
2023-05-09 07:36:50,724 INFO ofi_1_3: -6.314991517244675e-07 , std 1.4497018024927815e-05 
2023-05-09 07:36:50,724 INFO ofi_2_3: -7.28215088744921e-07 , std 1.465828786519194e-05 
2023-05-09 07:36:50,724 INFO ofi_3_3: -3.949963768625756e-07 , std 1.1045726185759387e-05 
2023-05-09 07:36:50,724 INFO ofi_4_3: -3.473299825930306e-07 , std 1.076724177148906e-05 
2023-05-09 07:36:50,724 INFO ofi_5_3: -2.9584685009748825e-07 , std 9.573709319059579e-06 
2023-05-09 07:36:50,724 INFO ofi_6_3: -2.822143571975986e-07 , std 1.1513605297897525e-05 
2023-05-09 07:36:50,725 INFO ofi_7_3: -1.6679209466071884e-07 , std 9.565568410178477e-06 
2023-05-09 07:36:50,725 INFO ofi_8_3: -2.1611689541846796e-07 , std 1.04290595967059e-05 
2023-05-09 07:36:50,725 INFO ofi_9_3: -2.2491365717489867e-07 , std 1.4427133403617835e-05 
