2023-05-09 07:18:55,799 INFO Starting...
2023-05-09 07:18:55,799 INFO Tickers: ['TJX']
2023-05-09 07:20:15,829 INFO in_r2: 0.0998671402766592 , std 0.1622727620674381 
2023-05-09 07:20:15,830 INFO os_r2: -0.0877382356215457 , std 0.03424848658900636 
2023-05-09 07:20:15,830 INFO intercept: 2.3248620651631067e-06 , std 0.0002635849612184051 
2023-05-09 07:20:15,830 INFO ofi_1_1: -2.754597271240457e-07 , std 1.6172634047707933e-05 
2023-05-09 07:20:15,830 INFO ofi_2_1: -2.068390636420461e-07 , std 1.3917809910923923e-05 
2023-05-09 07:20:15,830 INFO ofi_3_1: -2.3986346665408785e-07 , std 1.2347937223008529e-05 
2023-05-09 07:20:15,830 INFO ofi_4_1: -3.8347033149718506e-07 , std 1.3252208834950492e-05 
2023-05-09 07:20:15,830 INFO ofi_5_1: -3.0742793374669757e-07 , std 1.2598456311177e-05 
2023-05-09 07:20:15,830 INFO ofi_6_1: -2.3862436589139143e-07 , std 1.2027791945709084e-05 
2023-05-09 07:20:15,830 INFO ofi_7_1: -7.978833056765735e-08 , std 9.533872670919024e-06 
2023-05-09 07:20:15,830 INFO ofi_8_1: -5.97317010629378e-08 , std 9.632214125643384e-06 
2023-05-09 07:20:15,830 INFO ofi_9_1: -4.0754004955289763e-08 , std 6.7807205702855475e-06 
2023-05-09 07:20:15,830 INFO ofi_10_1: -8.502208224529776e-08 , std 9.145155413558099e-06 
2023-05-09 07:20:15,830 INFO ofi_1_2: -3.2001072959466e-07 , std 1.6353381106059296e-05 
2023-05-09 07:20:15,830 INFO ofi_2_2: -2.2598212552449635e-07 , std 1.2840164608158214e-05 
2023-05-09 07:20:15,830 INFO ofi_3_2: -3.2341280929277824e-07 , std 1.2975661069164255e-05 
2023-05-09 07:20:15,830 INFO ofi_4_2: -4.3768811016704514e-07 , std 1.1633138959009606e-05 
2023-05-09 07:20:15,830 INFO ofi_5_2: -3.218014680847312e-07 , std 1.2034829058414463e-05 
2023-05-09 07:20:15,830 INFO ofi_6_2: -2.86157194980432e-07 , std 1.2490720173779287e-05 
2023-05-09 07:20:15,830 INFO ofi_7_2: -1.4581525589124202e-07 , std 1.0012505969933735e-05 
2023-05-09 07:20:15,830 INFO ofi_8_2: -1.5357851776023912e-07 , std 1.0785371494243714e-05 
2023-05-09 07:20:15,830 INFO ofi_9_2: -1.3526890381343762e-07 , std 1.0201826304297497e-05 
2023-05-09 07:20:15,830 INFO ofi_10_2: -1.2711465202944246e-07 , std 9.025764704134358e-06 
2023-05-09 07:20:15,830 INFO ofi_1_3: -4.3250970357018296e-07 , std 1.8132833677983833e-05 
2023-05-09 07:20:15,830 INFO ofi_2_3: -4.906466679933007e-07 , std 1.530765853870144e-05 
2023-05-09 07:20:15,830 INFO ofi_3_3: -5.550649593343391e-07 , std 1.3437950663626862e-05 
2023-05-09 07:20:15,830 INFO ofi_4_3: -6.253898255579665e-07 , std 1.3042544002352688e-05 
2023-05-09 07:20:15,830 INFO ofi_5_3: -4.702616755318182e-07 , std 1.2020002175449826e-05 
2023-05-09 07:20:15,830 INFO ofi_6_3: -3.31341933855516e-07 , std 1.236178984143263e-05 
2023-05-09 07:20:15,830 INFO ofi_7_3: -2.0855544902063943e-07 , std 1.0269207253135578e-05 
2023-05-09 07:20:15,830 INFO ofi_8_3: -1.2428656809679273e-07 , std 1.014444243645551e-05 
2023-05-09 07:20:15,830 INFO ofi_9_3: -8.695966213281887e-08 , std 9.250496975535184e-06 
2023-05-09 07:20:15,830 INFO ofi_10_3: -6.886155028794916e-08 , std 1.072960842080183e-05 
2023-05-09 07:20:15,830 INFO ofi_1_5: -8.825893991573564e-07 , std 1.9371601278381216e-05 
2023-05-09 07:20:15,830 INFO ofi_2_5: -7.628960882839734e-07 , std 1.6165143297747002e-05 
2023-05-09 07:20:15,830 INFO ofi_3_5: -1.084660329345409e-06 , std 1.5841069705570746e-05 
