2023-05-09 07:09:35,197 INFO Starting...
2023-05-09 07:09:35,197 INFO Tickers: ['UPS']
2023-05-09 07:10:52,522 INFO in_r2: 0.10088780278655313 , std 0.16540632559046634 
2023-05-09 07:10:52,522 INFO os_r2: -0.08889928565833066 , std 0.03552783018810106 
2023-05-09 07:10:52,522 INFO intercept: 9.81379617402977e-07 , std 0.0002354489823224614 
2023-05-09 07:10:52,522 INFO ofi_1_1: -1.9588958055708362e-07 , std 8.952259636970543e-06 
2023-05-09 07:10:52,522 INFO ofi_2_1: -1.525276436811273e-07 , std 7.615205312666119e-06 
2023-05-09 07:10:52,522 INFO ofi_3_1: -2.5611324295276155e-07 , std 8.353624206346662e-06 
2023-05-09 07:10:52,522 INFO ofi_4_1: -2.5995601651224747e-07 , std 8.097786523827711e-06 
2023-05-09 07:10:52,523 INFO ofi_5_1: -1.9882454759053587e-07 , std 8.080538116522422e-06 
2023-05-09 07:10:52,523 INFO ofi_6_1: -2.1412839769291682e-07 , std 7.763525191361786e-06 
2023-05-09 07:10:52,523 INFO ofi_7_1: -9.50622262815474e-08 , std 7.086142217000174e-06 
2023-05-09 07:10:52,523 INFO ofi_8_1: -1.0145500863121571e-07 , std 6.293011587943569e-06 
2023-05-09 07:10:52,523 INFO ofi_9_1: -1.4915411003389234e-07 , std 6.5628961041807015e-06 
2023-05-09 07:10:52,523 INFO ofi_10_1: -1.2234519687059367e-07 , std 6.678798766756456e-06 
2023-05-09 07:10:52,523 INFO ofi_1_2: -1.7694323622073536e-07 , std 8.59395809890414e-06 
2023-05-09 07:10:52,523 INFO ofi_2_2: -1.8596691854601166e-07 , std 8.19949017664048e-06 
2023-05-09 07:10:52,523 INFO ofi_3_2: -2.1784654450854042e-07 , std 7.4046479032687306e-06 
2023-05-09 07:10:52,523 INFO ofi_4_2: -2.576394485144645e-07 , std 7.870381858771824e-06 
2023-05-09 07:10:52,523 INFO ofi_5_2: -2.217124273172586e-07 , std 7.5625110968199275e-06 
2023-05-09 07:10:52,523 INFO ofi_6_2: -2.535074973258453e-07 , std 7.389318417058257e-06 
2023-05-09 07:10:52,523 INFO ofi_7_2: -2.0203577766281732e-07 , std 7.227076332578055e-06 
2023-05-09 07:10:52,523 INFO ofi_8_2: -1.2420941646955157e-07 , std 6.712231580746172e-06 
2023-05-09 07:10:52,523 INFO ofi_9_2: -8.990672056610685e-08 , std 6.095045335877451e-06 
2023-05-09 07:10:52,523 INFO ofi_10_2: -1.8454028501282393e-07 , std 6.882490977848724e-06 
2023-05-09 07:10:52,523 INFO ofi_1_3: -2.1132848889490608e-07 , std 9.550128390096726e-06 
2023-05-09 07:10:52,523 INFO ofi_2_3: -2.938452556019968e-07 , std 8.70728138202165e-06 
2023-05-09 07:10:52,523 INFO ofi_3_3: -3.298665107588301e-07 , std 8.705171624298165e-06 
2023-05-09 07:10:52,523 INFO ofi_4_3: -4.750734255551531e-07 , std 8.518460733007839e-06 
2023-05-09 07:10:52,523 INFO ofi_5_3: -3.4710726444736423e-07 , std 7.979719704228913e-06 
2023-05-09 07:10:52,523 INFO ofi_6_3: -3.474070314041062e-07 , std 7.884095472944401e-06 
2023-05-09 07:10:52,523 INFO ofi_7_3: -2.224090164869274e-07 , std 6.837264001479817e-06 
2023-05-09 07:10:52,523 INFO ofi_8_3: -2.3534077846760296e-07 , std 7.913561018457395e-06 
2023-05-09 07:10:52,523 INFO ofi_9_3: -1.7958515245865076e-07 , std 7.933578257660312e-06 
2023-05-09 07:10:52,523 INFO ofi_10_3: -1.9897952381060642e-07 , std 7.283920080237333e-06 
2023-05-09 07:10:52,523 INFO ofi_1_5: -2.870246935093342e-07 , std 9.925176070823242e-06 
2023-05-09 07:10:52,523 INFO ofi_2_5: -3.809749528599102e-07 , std 8.416631846706097e-06 
2023-05-09 07:10:52,523 INFO ofi_3_5: -5.316610921025794e-07 , std 8.710025871158746e-06 
