2023-05-09 07:03:30,820 INFO Starting...
2023-05-09 07:03:30,820 INFO Tickers: ['USB']
2023-05-09 07:04:50,373 INFO in_r2: 0.0946800670700096 , std 0.1563474307273908 
2023-05-09 07:04:50,373 INFO os_r2: -0.09265597037067126 , std 0.06263031221141549 
2023-05-09 07:04:50,373 INFO intercept: -3.158206808199679e-06 , std 0.00023458879238556237 
2023-05-09 07:04:50,373 INFO ofi_1_1: 1.1442778517397108e-07 , std 2.760499778148421e-05 
2023-05-09 07:04:50,373 INFO ofi_2_1: -2.567670085691896e-07 , std 1.877026638476326e-05 
2023-05-09 07:04:50,373 INFO ofi_3_1: -3.8899099191582487e-07 , std 1.799132789087767e-05 
2023-05-09 07:04:50,373 INFO ofi_4_1: -3.231549707336227e-07 , std 1.944344322150953e-05 
2023-05-09 07:04:50,373 INFO ofi_5_1: -2.1606691290688768e-07 , std 1.6688905104639735e-05 
2023-05-09 07:04:50,373 INFO ofi_6_1: -2.2530922317862854e-07 , std 1.6455052435935813e-05 
2023-05-09 07:04:50,373 INFO ofi_7_1: -1.9648720531779248e-07 , std 1.359479198535921e-05 
2023-05-09 07:04:50,373 INFO ofi_8_1: -6.62306679348375e-08 , std 1.4741639864976515e-05 
2023-05-09 07:04:50,373 INFO ofi_9_1: -3.7305658168534946e-08 , std 1.1565378460527821e-05 
2023-05-09 07:04:50,373 INFO ofi_10_1: -1.3654381536338222e-08 , std 1.2676287099094693e-05 
2023-05-09 07:04:50,373 INFO ofi_1_2: -2.2878135058839214e-07 , std 2.6826811290031635e-05 
2023-05-09 07:04:50,373 INFO ofi_2_2: -3.849189101167339e-07 , std 2.0412362986395716e-05 
2023-05-09 07:04:50,373 INFO ofi_3_2: -5.523940213425481e-07 , std 1.7524029785258868e-05 
2023-05-09 07:04:50,373 INFO ofi_4_2: -4.6660871213210697e-07 , std 1.7791866152441965e-05 
2023-05-09 07:04:50,373 INFO ofi_5_2: -2.6492577886362337e-07 , std 1.52787905371234e-05 
2023-05-09 07:04:50,373 INFO ofi_6_2: -3.3624733069980127e-07 , std 1.5813570488234045e-05 
2023-05-09 07:04:50,373 INFO ofi_7_2: -1.292568406511398e-07 , std 1.3885390153497424e-05 
2023-05-09 07:04:50,373 INFO ofi_8_2: -8.710691033800822e-08 , std 1.1330743600137074e-05 
2023-05-09 07:04:50,373 INFO ofi_9_2: -1.6249311532179686e-07 , std 1.3566559205878496e-05 
2023-05-09 07:04:50,373 INFO ofi_10_2: -9.359121086603375e-09 , std 1.1645299080240738e-05 
2023-05-09 07:04:50,373 INFO ofi_1_3: -2.8307242449225035e-07 , std 2.9169244063455926e-05 
2023-05-09 07:04:50,373 INFO ofi_2_3: -6.390331339905732e-07 , std 2.5097101137005906e-05 
2023-05-09 07:04:50,373 INFO ofi_3_3: -6.099039565536916e-07 , std 2.019528448409179e-05 
2023-05-09 07:04:50,373 INFO ofi_4_3: -6.18461023239199e-07 , std 1.9655124526089053e-05 
2023-05-09 07:04:50,373 INFO ofi_5_3: -4.3496858862700343e-07 , std 1.8881128091345606e-05 
2023-05-09 07:04:50,373 INFO ofi_6_3: -2.983270735121925e-07 , std 1.4728269962177201e-05 
2023-05-09 07:04:50,373 INFO ofi_7_3: -1.8000775448546845e-07 , std 1.65460230022575e-05 
2023-05-09 07:04:50,373 INFO ofi_8_3: -5.627726936054171e-08 , std 1.0724136672331798e-05 
2023-05-09 07:04:50,373 INFO ofi_9_3: -1.2097072719963793e-07 , std 1.5995793072576268e-05 
2023-05-09 07:04:50,373 INFO ofi_10_3: -3.517766020651077e-08 , std 1.1823708365248933e-05 
2023-05-09 07:04:50,373 INFO ofi_1_5: -1.356135803006807e-06 , std 3.0523201348965935e-05 
2023-05-09 07:04:50,373 INFO ofi_2_5: -1.0464720978853006e-06 , std 2.4490605371929984e-05 
2023-05-09 07:04:50,373 INFO ofi_3_5: -9.907110064703316e-07 , std 2.2994729558428207e-05 
2023-05-09 07:04:50,373 INFO ofi_4_5: -8.295804241969551e-07 , std 1.9682631695098308e-05 
2023-05-09 07:04:50,373 INFO ofi_5_5: -5.967225100362557e-07 , std 1.8755998997052483e-05 
2023-05-09 07:04:50,373 INFO ofi_6_5: -4.7145972483302024e-07 , std 1.6981908580372338e-05 
2023-05-09 07:04:50,374 INFO ofi_7_5: -3.1679446151578245e-07 , std 1.8859066603376067e-05 
2023-05-09 07:04:50,374 INFO ofi_8_5: -1.52436936468103e-07 , std 1.3197080859718109e-05 
2023-05-09 07:04:50,374 INFO ofi_9_5: -1.4441751172282972e-07 , std 1.1616781586098893e-05 
2023-05-09 07:04:50,374 INFO ofi_10_5: -1.197050435476221e-07 , std 1.170002339647384e-05 
2023-05-09 07:04:50,374 INFO ofi_1_10: -2.5062543835765155e-06 , std 3.150384458302197e-05 
2023-05-09 07:04:50,374 INFO ofi_2_10: -1.6414468307905963e-06 , std 2.3793812374319064e-05 
2023-05-09 07:04:50,374 INFO ofi_3_10: -1.4638676837486656e-06 , std 2.2269751320530177e-05 
2023-05-09 07:04:50,374 INFO ofi_4_10: -1.132579627768699e-06 , std 2.06002734642634e-05 
2023-05-09 07:04:50,374 INFO ofi_5_10: -5.992622932277458e-07 , std 1.8767031013971544e-05 
2023-05-09 07:04:50,374 INFO ofi_6_10: -4.975115979096715e-07 , std 1.714881874496544e-05 
2023-05-09 07:04:50,374 INFO ofi_7_10: -1.7432400840621913e-07 , std 1.740426839227281e-05 
2023-05-09 07:04:50,374 INFO ofi_8_10: -6.079518501735501e-08 , std 1.0567780812263737e-05 
2023-05-09 07:04:50,374 INFO ofi_9_10: -1.1090737643918267e-07 , std 1.5771712881037688e-05 
2023-05-09 07:04:50,374 INFO ofi_10_10: -3.951673770207543e-08 , std 1.0478021111858447e-05 
2023-05-09 07:04:50,374 INFO ofi_1_20: -3.4737724570477757e-06 , std 3.264970437008421e-05 
2023-05-09 07:04:50,374 INFO ofi_2_20: -1.999774367636865e-06 , std 2.742674919809025e-05 
2023-05-09 07:04:50,374 INFO ofi_3_20: -1.727679933071934e-06 , std 2.3030774510585503e-05 
2023-05-09 07:04:50,374 INFO ofi_4_20: -1.4963432548827343e-06 , std 2.239492213289053e-05 
2023-05-09 07:04:50,374 INFO ofi_5_20: -8.293387799618729e-07 , std 1.927310778599968e-05 
