2023-05-09 06:42:06,133 INFO Starting...
2023-05-09 06:42:06,133 INFO Tickers: ['UTX']
2023-05-09 06:43:27,825 INFO in_r2: 0.10061338762894402 , std 0.16310423787156722 
2023-05-09 06:43:27,826 INFO os_r2: -0.09214922711176349 , std 0.052717084885111454 
2023-05-09 06:43:27,826 INFO intercept: 2.6723825218520775e-06 , std 0.000225976323458354 
2023-05-09 06:43:27,826 INFO ofi_1_1: -7.099201961317429e-08 , std 8.17762260439468e-06 
2023-05-09 06:43:27,826 INFO ofi_2_1: -9.43405756555813e-08 , std 8.346045844497248e-06 
2023-05-09 06:43:27,826 INFO ofi_3_1: -1.2362331175357373e-07 , std 7.140596398010781e-06 
2023-05-09 06:43:27,826 INFO ofi_4_1: -2.0705346687738094e-07 , std 7.844863972822096e-06 
2023-05-09 06:43:27,826 INFO ofi_5_1: -1.2144492751374135e-07 , std 7.403599313460778e-06 
2023-05-09 06:43:27,826 INFO ofi_6_1: -1.7311459890658656e-07 , std 6.7153701882722745e-06 
2023-05-09 06:43:27,826 INFO ofi_7_1: -1.1018247063098299e-07 , std 6.598621614075089e-06 
2023-05-09 06:43:27,826 INFO ofi_8_1: -1.2927162429543422e-07 , std 6.566445684172426e-06 
2023-05-09 06:43:27,826 INFO ofi_9_1: -1.191419360320612e-07 , std 5.939002217117898e-06 
2023-05-09 06:43:27,826 INFO ofi_10_1: -8.853140251527598e-08 , std 6.663740973294792e-06 
2023-05-09 06:43:27,826 INFO ofi_1_2: -1.1022408539518675e-07 , std 9.38803793265916e-06 
2023-05-09 06:43:27,826 INFO ofi_2_2: -1.2894793802828054e-07 , std 8.41612294161863e-06 
2023-05-09 06:43:27,826 INFO ofi_3_2: -1.6931906462196761e-07 , std 8.29844326152435e-06 
2023-05-09 06:43:27,826 INFO ofi_4_2: -2.4605252565161007e-07 , std 7.186954790024709e-06 
2023-05-09 06:43:27,826 INFO ofi_5_2: -2.886937668682831e-07 , std 6.801014451937405e-06 
2023-05-09 06:43:27,826 INFO ofi_6_2: -3.130312329968707e-07 , std 8.225659113229222e-06 
2023-05-09 06:43:27,826 INFO ofi_7_2: -1.3089302650419114e-07 , std 6.656192035391132e-06 
2023-05-09 06:43:27,826 INFO ofi_8_2: -1.1770745627739005e-07 , std 7.12482246786309e-06 
2023-05-09 06:43:27,826 INFO ofi_9_2: -1.335751095261576e-07 , std 6.787290931821685e-06 
2023-05-09 06:43:27,826 INFO ofi_10_2: -1.3524683275151446e-07 , std 7.139435226351818e-06 
2023-05-09 06:43:27,826 INFO ofi_1_3: -5.746351579963687e-08 , std 9.866871806708713e-06 
2023-05-09 06:43:27,826 INFO ofi_2_3: -1.5727334366531257e-07 , std 9.626467681448375e-06 
2023-05-09 06:43:27,826 INFO ofi_3_3: -2.870860752912281e-07 , std 8.043692899252515e-06 
2023-05-09 06:43:27,826 INFO ofi_4_3: -3.8103427038440785e-07 , std 7.927095529510159e-06 
2023-05-09 06:43:27,826 INFO ofi_5_3: -3.228798703731763e-07 , std 7.19977223976398e-06 
