2023-05-09 06:15:48,714 INFO Starting...
2023-05-09 06:15:48,714 INFO Tickers: ['WMT']
2023-05-09 06:17:06,081 INFO in_r2: 0.10262869459278683 , std 0.16485888051977182 
2023-05-09 06:17:06,082 INFO os_r2: -0.09088266357747359 , std 0.04112168383204801 
2023-05-09 06:17:06,082 INFO intercept: -2.2003199519665806e-06 , std 0.00022146805578205042 
2023-05-09 06:17:06,082 INFO ofi_1_1: -1.5560704716785873e-07 , std 1.0459037546461079e-05 
2023-05-09 06:17:06,082 INFO ofi_2_1: -1.495301670404424e-07 , std 8.781611275459223e-06 
2023-05-09 06:17:06,082 INFO ofi_3_1: -2.325520742319332e-07 , std 8.959155588950019e-06 
2023-05-09 06:17:06,082 INFO ofi_4_1: -2.8260392488888574e-07 , std 9.265096039885997e-06 
2023-05-09 06:17:06,082 INFO ofi_5_1: -2.3676989474537394e-07 , std 8.459207356552425e-06 
2023-05-09 06:17:06,082 INFO ofi_6_1: -1.4623773015247513e-07 , std 7.64379560654591e-06 
2023-05-09 06:17:06,082 INFO ofi_7_1: -8.472443830962403e-08 , std 7.612184857708608e-06 
2023-05-09 06:17:06,082 INFO ofi_8_1: -3.011856652588543e-08 , std 6.566532720263705e-06 
2023-05-09 06:17:06,082 INFO ofi_9_1: -2.9017768821764255e-08 , std 5.098455720839206e-06 
2023-05-09 06:17:06,082 INFO ofi_10_1: -5.338156407462737e-08 , std 4.797769177325984e-06 
2023-05-09 06:17:06,082 INFO ofi_1_2: -1.7132099926648607e-07 , std 1.1109922481828953e-05 
2023-05-09 06:17:06,082 INFO ofi_2_2: -2.186997517393446e-07 , std 9.988038923976946e-06 
2023-05-09 06:17:06,082 INFO ofi_3_2: -2.833759173967266e-07 , std 8.90761163610265e-06 
2023-05-09 06:17:06,082 INFO ofi_4_2: -3.435148968824747e-07 , std 1.0022472294352185e-05 
2023-05-09 06:17:06,082 INFO ofi_5_2: -3.2730175812812675e-07 , std 9.426709109214272e-06 
2023-05-09 06:17:06,082 INFO ofi_6_2: -1.9856503584798906e-07 , std 8.288007481897657e-06 
2023-05-09 06:17:06,082 INFO ofi_7_2: -1.15731276118078e-07 , std 7.00061001935253e-06 
2023-05-09 06:17:06,082 INFO ofi_8_2: -1.0273366381410371e-07 , std 6.125721156412008e-06 
2023-05-09 06:17:06,082 INFO ofi_9_2: -7.525638364598762e-08 , std 5.839882564505415e-06 
2023-05-09 06:17:06,082 INFO ofi_10_2: -5.755366416250851e-08 , std 5.590821937422624e-06 
2023-05-09 06:17:06,082 INFO ofi_1_3: -2.030697921704221e-07 , std 1.2081772492822563e-05 
2023-05-09 06:17:06,082 INFO ofi_2_3: -3.052397599990747e-07 , std 1.0777789430785919e-05 
2023-05-09 06:17:06,082 INFO ofi_3_3: -3.832572372817415e-07 , std 8.692670004537629e-06 
2023-05-09 06:17:06,082 INFO ofi_4_3: -5.860650421605282e-07 , std 9.926776506501776e-06 
2023-05-09 06:17:06,082 INFO ofi_5_3: -4.785852758083074e-07 , std 9.686307843442446e-06 
2023-05-09 06:17:06,082 INFO ofi_6_3: -2.8465961771322397e-07 , std 9.694124482038634e-06 
2023-05-09 06:17:06,082 INFO ofi_7_3: -1.5893721389111352e-07 , std 7.81471590622369e-06 
2023-05-09 06:17:06,082 INFO ofi_8_3: -6.31380130415729e-08 , std 6.807300781100013e-06 
2023-05-09 06:17:06,082 INFO ofi_9_3: -9.037829722607485e-08 , std 7.048566837822323e-06 
2023-05-09 06:17:06,082 INFO ofi_10_3: -7.03571004596459e-08 , std 5.441113738825555e-06 
2023-05-09 06:17:06,082 INFO ofi_1_5: -5.116132086829029e-07 , std 1.2572204578178676e-05 
2023-05-09 06:17:06,083 INFO ofi_2_5: -5.148303999374332e-07 , std 1.0890545214851018e-05 
2023-05-09 06:17:06,083 INFO ofi_3_5: -6.648935259390642e-07 , std 1.0311584312389323e-05 
2023-05-09 06:17:06,083 INFO ofi_4_5: -8.026871356792504e-07 , std 1.0862852546332698e-05 
2023-05-09 06:17:06,083 INFO ofi_5_5: -6.013211631487275e-07 , std 1.100868789504981e-05 
2023-05-09 06:17:06,083 INFO ofi_6_5: -4.1851944349777184e-07 , std 8.74679560903552e-06 
2023-05-09 06:17:06,083 INFO ofi_7_5: -1.9602692440325637e-07 , std 7.171273480501009e-06 
2023-05-09 06:17:06,083 INFO ofi_8_5: -1.0083368964326725e-07 , std 5.922080123595395e-06 
2023-05-09 06:17:06,083 INFO ofi_9_5: -8.09759465623171e-08 , std 4.553119851646744e-06 
2023-05-09 06:17:06,083 INFO ofi_10_5: -7.026515368354658e-08 , std 6.005870161760521e-06 
2023-05-09 06:17:06,083 INFO ofi_1_10: -6.411824385006315e-07 , std 1.402210796923758e-05 
2023-05-09 06:17:06,083 INFO ofi_2_10: -5.408146246346735e-07 , std 1.1662599071145802e-05 
2023-05-09 06:17:06,083 INFO ofi_3_10: -9.162063526591497e-07 , std 1.1677588184271869e-05 
2023-05-09 06:17:06,083 INFO ofi_4_10: -1.1427295406846323e-06 , std 1.1276622390651167e-05 
2023-05-09 06:17:06,083 INFO ofi_5_10: -9.033570692994737e-07 , std 1.1766478169073068e-05 
2023-05-09 06:17:06,083 INFO ofi_6_10: -5.49278703167414e-07 , std 9.437440132043344e-06 
2023-05-09 06:17:06,083 INFO ofi_7_10: -3.2713964470611073e-07 , std 8.310864909361784e-06 
2023-05-09 06:17:06,083 INFO ofi_8_10: -1.257505779932008e-07 , std 6.63198813068374e-06 
2023-05-09 06:17:06,083 INFO ofi_9_10: -9.266188515635035e-08 , std 5.966757572819512e-06 
2023-05-09 06:17:06,083 INFO ofi_10_10: -8.427336122826727e-08 , std 7.428443580300094e-06 
2023-05-09 06:17:06,083 INFO ofi_1_20: -9.360069053882021e-07 , std 1.5398657566044747e-05 
2023-05-09 06:17:06,083 INFO ofi_2_20: -9.56060449996064e-07 , std 1.2662942701806162e-05 
2023-05-09 06:17:06,083 INFO ofi_3_20: -1.2481414010856222e-06 , std 1.1942067584221773e-05 
2023-05-09 06:17:06,083 INFO ofi_4_20: -1.4372347418691406e-06 , std 1.2218063038699683e-05 
2023-05-09 06:17:06,083 INFO ofi_5_20: -1.0928424592817887e-06 , std 1.177413264453035e-05 
2023-05-09 06:17:06,083 INFO ofi_6_20: -7.764912891837726e-07 , std 1.145562972048302e-05 
2023-05-09 06:17:06,083 INFO ofi_7_20: -3.9200721379811127e-07 , std 9.706590435081149e-06 
2023-05-09 06:17:06,083 INFO ofi_8_20: -1.7450889876463855e-07 , std 6.836091501187906e-06 
2023-05-09 06:17:06,083 INFO ofi_9_20: -1.5023797993618208e-07 , std 6.9925852491505245e-06 
2023-05-09 06:17:06,083 INFO ofi_10_20: -1.0073241362170303e-07 , std 8.119018633309122e-06 
2023-05-09 06:17:06,083 INFO ofi_1_30: -9.723069851926276e-07 , std 1.4466602967985329e-05 
2023-05-09 06:17:06,083 INFO ofi_2_30: -1.2813886217709794e-06 , std 1.3818325246204371e-05 
2023-05-09 06:17:06,083 INFO ofi_3_30: -1.3670718745784937e-06 , std 1.2494780029624215e-05 
2023-05-09 06:17:06,083 INFO ofi_4_30: -1.941287586168532e-06 , std 1.3650571684998743e-05 
2023-05-09 06:17:06,083 INFO ofi_5_30: -1.4986696412779846e-06 , std 1.3249042705555795e-05 
2023-05-09 06:17:06,083 INFO ofi_6_30: -9.868172356535672e-07 , std 1.2494304185648037e-05 
2023-05-09 06:17:06,083 INFO ofi_7_30: -4.1979892819867863e-07 , std 9.362305014136267e-06 
2023-05-09 06:17:06,083 INFO ofi_8_30: -1.5962877359996093e-07 , std 8.004169712345443e-06 
2023-05-09 06:17:06,083 INFO ofi_9_30: -1.5010777073776696e-07 , std 9.197458204268353e-06 
2023-05-09 06:17:06,083 INFO ofi_10_30: -1.0448445501950747e-07 , std 8.334345987549922e-06 
2023-05-09 06:17:06,083 INFO used_intercept: 0.9854164155718934 , std 0.1198787032518071 
2023-05-09 06:17:06,083 INFO used_ofi_1_1: 0.010330038969908802 , std 0.1011104804893586 
2023-05-09 06:17:06,083 INFO used_ofi_2_1: 0.006257281748423125 , std 0.07885510873458977 
2023-05-09 06:17:06,083 INFO used_ofi_3_1: 0.008798360853320477 , std 0.09338602518372452 
2023-05-09 06:17:06,083 INFO used_ofi_4_1: 0.012233337350849706 , std 0.1099258059243143 
2023-05-09 06:17:06,083 INFO used_ofi_5_1: 0.010480695833835523 , std 0.10183737451777786 
2023-05-09 06:17:06,083 INFO used_ofi_6_1: 0.007517777509943353 , std 0.08637858838424221 
