2023-05-09 10:16:29,466 INFO Starting...
2023-05-09 10:16:29,466 INFO Tickers: ['ADP']
2023-05-09 10:17:47,611 INFO in_r2: 0.09005269363832388 , std 0.17438328490289645 
2023-05-09 10:17:47,612 INFO os_r2: -0.10181270011588592 , std 0.046684336342724904 
2023-05-09 10:17:47,612 INFO intercept: 7.404043172772509e-07 , std 0.0001115223511012374 
2023-05-09 10:17:47,612 INFO ofi_add_1_1: -2.6084999214091985e-07 , std 9.232231426188338e-06 
2023-05-09 10:17:47,612 INFO ofi_add_2_1: -3.8429150983773806e-07 , std 9.290710205534054e-06 
2023-05-09 10:17:47,612 INFO ofi_add_3_1: -3.688211787722218e-07 , std 9.136773037826543e-06 
2023-05-09 10:17:47,612 INFO ofi_add_4_1: -4.0356681017743485e-07 , std 9.255308532134102e-06 
2023-05-09 10:17:47,612 INFO ofi_add_5_1: -4.3762318775309333e-07 , std 9.182959733510413e-06 
2023-05-09 10:17:47,612 INFO ofi_add_6_1: -4.0663365525198384e-07 , std 9.093851684196095e-06 
2023-05-09 10:17:47,612 INFO ofi_add_7_1: -2.881374246399778e-07 , std 8.116886165162953e-06 
2023-05-09 10:17:47,612 INFO ofi_add_8_1: -2.765449815400574e-07 , std 7.767446111614133e-06 
2023-05-09 10:17:47,612 INFO ofi_add_9_1: -2.619972908077355e-07 , std 8.534950644866497e-06 
2023-05-09 10:17:47,612 INFO ofi_add_10_1: -2.321872193269695e-07 , std 9.06621748985949e-06 
2023-05-09 10:17:47,612 INFO ofi_cancel_1_1: -1.3758694894090598e-07 , std 7.962457636442423e-06 
2023-05-09 10:17:47,612 INFO ofi_cancel_2_1: -2.357006036965919e-07 , std 8.487432244860591e-06 
2023-05-09 10:17:47,612 INFO ofi_cancel_3_1: -2.2430223277041745e-07 , std 8.533166820478305e-06 
2023-05-09 10:17:47,612 INFO ofi_cancel_4_1: -3.122121083671345e-07 , std 9.005090831094563e-06 
2023-05-09 10:17:47,612 INFO ofi_cancel_5_1: -2.4311551204644466e-07 , std 8.445746014162728e-06 
2023-05-09 10:17:47,612 INFO ofi_cancel_6_1: -1.837309405105306e-07 , std 7.837059443387896e-06 
2023-05-09 10:17:47,612 INFO ofi_cancel_7_1: -1.766077525029284e-07 , std 7.652599506330784e-06 
2023-05-09 10:17:47,612 INFO ofi_cancel_8_1: -1.4709334861313e-07 , std 7.593229531642626e-06 
2023-05-09 10:17:47,612 INFO ofi_cancel_9_1: -1.575916935343342e-07 , std 6.941587762154097e-06 
2023-05-09 10:17:47,612 INFO ofi_cancel_10_1: -1.6105311769802755e-07 , std 7.429257068532317e-06 
2023-05-09 10:17:47,612 INFO ofi_trade_1_1: -4.154150327140725e-08 , std 4.3250286213410075e-06 
2023-05-09 10:17:47,612 INFO ofi_trade_2_1: -5.508574600678254e-08 , std 4.8435814141255695e-06 
2023-05-09 10:17:47,612 INFO ofi_trade_3_1: -9.277973148896378e-08 , std 5.42317613058493e-06 
2023-05-09 10:17:47,612 INFO ofi_trade_4_1: -9.668300164904376e-08 , std 5.6420953934004605e-06 
2023-05-09 10:17:47,612 INFO ofi_trade_5_1: -5.5232258013650324e-08 , std 4.104729313165872e-06 
2023-05-09 10:17:47,612 INFO ofi_trade_6_1: -8.368565310055764e-08 , std 4.891053796125465e-06 
2023-05-09 10:17:47,612 INFO ofi_trade_7_1: -8.667482673628432e-08 , std 4.689621153737668e-06 
2023-05-09 10:17:47,612 INFO ofi_trade_8_1: -6.92182055252982e-08 , std 4.37841766811261e-06 
2023-05-09 10:17:47,612 INFO ofi_trade_9_1: -5.8775314104184784e-08 , std 3.708204364515057e-06 
2023-05-09 10:17:47,612 INFO ofi_trade_10_1: -3.481198060779828e-08 , std 2.861981480763703e-06 
2023-05-09 10:17:47,612 INFO ofi_add_1_2: -2.9266675255796735e-07 , std 9.55256462058507e-06 
2023-05-09 10:17:47,612 INFO ofi_add_2_2: -4.021104808012658e-07 , std 9.892534903783496e-06 
2023-05-09 10:17:47,612 INFO ofi_add_3_2: -4.279459432728725e-07 , std 9.261578006351716e-06 
2023-05-09 10:17:47,612 INFO ofi_add_4_2: -4.856451558381506e-07 , std 9.389176096015165e-06 
2023-05-09 10:17:47,612 INFO ofi_add_5_2: -4.775829740427418e-07 , std 9.107875524554495e-06 
2023-05-09 10:17:47,612 INFO ofi_add_6_2: -4.7627013446898846e-07 , std 9.651691507697713e-06 
2023-05-09 10:17:47,612 INFO ofi_add_7_2: -3.025404164931146e-07 , std 8.615237631190034e-06 
2023-05-09 10:17:47,612 INFO ofi_add_8_2: -2.793217707742335e-07 , std 8.52308754214878e-06 
2023-05-09 10:17:47,612 INFO ofi_add_9_2: -2.142970467206206e-07 , std 8.388875096702884e-06 
2023-05-09 10:17:47,612 INFO ofi_add_10_2: -2.715981456663061e-07 , std 8.599662764784386e-06 
2023-05-09 10:17:47,612 INFO ofi_cancel_1_2: -1.3674938937234992e-07 , std 8.734749692453846e-06 
2023-05-09 10:17:47,612 INFO ofi_cancel_2_2: -2.85976893751816e-07 , std 9.147844465907186e-06 
2023-05-09 10:17:47,612 INFO ofi_cancel_3_2: -3.1814168318912137e-07 , std 8.485377514679811e-06 
2023-05-09 10:17:47,613 INFO ofi_cancel_4_2: -2.965445686629099e-07 , std 8.834985875056468e-06 
2023-05-09 10:17:47,613 INFO ofi_cancel_5_2: -2.5281870068161107e-07 , std 8.259350772473744e-06 
2023-05-09 10:17:47,613 INFO ofi_cancel_6_2: -2.2569479960206516e-07 , std 8.336443787959173e-06 
2023-05-09 10:17:47,613 INFO ofi_cancel_7_2: -2.610280116567944e-07 , std 8.295841024450392e-06 
2023-05-09 10:17:47,613 INFO ofi_cancel_8_2: -1.5101550415821306e-07 , std 7.420243933933576e-06 
2023-05-09 10:17:47,613 INFO ofi_cancel_9_2: -1.9485294693346114e-07 , std 7.301473355456428e-06 
2023-05-09 10:17:47,613 INFO ofi_cancel_10_2: -1.7554473491631843e-07 , std 7.2806730161848395e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_1_2: -4.741371445572797e-08 , std 3.624429489949244e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_2_2: -1.214198178328834e-07 , std 6.745678623021298e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_3_2: -1.5418934583874757e-07 , std 6.3705813306970694e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_4_2: -1.083809550795355e-07 , std 5.688532836116107e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_5_2: -9.845026038134657e-08 , std 5.658746485838431e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_6_2: -1.330358448515691e-07 , std 5.1315887942181685e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_7_2: -9.963148498865898e-08 , std 5.3413553432443365e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_8_2: -6.726829274657952e-08 , std 4.77110487209313e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_9_2: -8.790519654064663e-08 , std 5.124593776662118e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_10_2: -6.938722200407276e-08 , std 5.130068894137562e-06 
2023-05-09 10:17:47,613 INFO ofi_add_1_3: -1.0300809030843573e-07 , std 1.1563139343068038e-05 
2023-05-09 10:17:47,613 INFO ofi_add_2_3: -3.0719546654703486e-07 , std 1.0701968005911397e-05 
2023-05-09 10:17:47,613 INFO ofi_add_3_3: -3.431265823213669e-07 , std 1.0246923788187318e-05 
2023-05-09 10:17:47,613 INFO ofi_add_4_3: -5.322332722359474e-07 , std 1.0261092413804028e-05 
2023-05-09 10:17:47,613 INFO ofi_add_5_3: -5.327834072949069e-07 , std 1.0046764275159425e-05 
2023-05-09 10:17:47,613 INFO ofi_add_6_3: -4.7656913244327544e-07 , std 9.398071483434164e-06 
2023-05-09 10:17:47,613 INFO ofi_add_7_3: -4.2758770604949475e-07 , std 9.308055603305195e-06 
2023-05-09 10:17:47,613 INFO ofi_add_8_3: -2.698519359529048e-07 , std 9.655545848057854e-06 
2023-05-09 10:17:47,613 INFO ofi_add_9_3: -3.0049500782083736e-07 , std 9.122528350799567e-06 
2023-05-09 10:17:47,613 INFO ofi_add_10_3: -4.097263871871806e-07 , std 1.0646085090172658e-05 
2023-05-09 10:17:47,613 INFO ofi_cancel_1_3: -3.676208536695787e-07 , std 1.0329374659683083e-05 
2023-05-09 10:17:47,613 INFO ofi_cancel_2_3: -5.307298565946209e-07 , std 1.1046196351468358e-05 
2023-05-09 10:17:47,613 INFO ofi_cancel_3_3: -3.5593518249830947e-07 , std 9.899101576758919e-06 
2023-05-09 10:17:47,613 INFO ofi_cancel_4_3: -3.8505903483743207e-07 , std 1.0045125481258393e-05 
2023-05-09 10:17:47,613 INFO ofi_cancel_5_3: -3.8887541107824213e-07 , std 9.398145817689133e-06 
2023-05-09 10:17:47,613 INFO ofi_cancel_6_3: -2.8250851147299575e-07 , std 8.803156025616808e-06 
2023-05-09 10:17:47,613 INFO ofi_cancel_7_3: -2.6833212913615643e-07 , std 8.372386538908127e-06 
2023-05-09 10:17:47,613 INFO ofi_cancel_8_3: -2.803768970809143e-07 , std 8.703631084054399e-06 
2023-05-09 10:17:47,613 INFO ofi_cancel_9_3: -1.5573279798758733e-07 , std 8.83069052811633e-06 
2023-05-09 10:17:47,613 INFO ofi_cancel_10_3: -2.8479289101462996e-07 , std 9.226651169233619e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_1_3: -5.6003517699599826e-08 , std 5.47870199602871e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_2_3: -7.001132832328475e-08 , std 6.1044574600510905e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_3_3: -8.39611313579632e-08 , std 5.925703209099206e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_4_3: -5.016694867644428e-08 , std 5.804837001090123e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_5_3: -9.433359106001473e-08 , std 7.502423986880663e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_6_3: -9.06607326143672e-08 , std 6.351497660830738e-06 
2023-05-09 10:17:47,613 INFO ofi_trade_7_3: -1.073611415767679e-07 , std 6.0794880570730805e-06 
