2023-05-09 08:32:46,586 INFO Starting...
2023-05-09 08:32:46,586 INFO Tickers: ['AMZN']
2023-05-09 08:34:09,303 INFO in_r2: 0.0887976330722783 , std 0.1710572790409696 
2023-05-09 08:34:09,303 INFO os_r2: -0.11313754829307583 , std 0.10663294234910753 
2023-05-09 08:34:09,303 INFO intercept: -2.198175493638924e-06 , std 0.00013631500990879213 
2023-05-09 08:34:09,303 INFO ofi_add_1_1: -3.9118351175764375e-08 , std 2.254046233893617e-06 
2023-05-09 08:34:09,303 INFO ofi_add_2_1: -2.996375842650661e-08 , std 1.98964123264469e-06 
2023-05-09 08:34:09,303 INFO ofi_add_3_1: -6.34368180774979e-08 , std 2.2274459792247717e-06 
2023-05-09 08:34:09,303 INFO ofi_add_4_1: -7.55206134226487e-08 , std 2.3666246615904407e-06 
2023-05-09 08:34:09,303 INFO ofi_add_5_1: -5.213510651677668e-08 , std 2.252417286680894e-06 
2023-05-09 08:34:09,303 INFO ofi_add_6_1: -5.4315370291767684e-08 , std 2.2240498885053262e-06 
2023-05-09 08:34:09,303 INFO ofi_add_7_1: -5.248215239941442e-08 , std 2.1674396776813775e-06 
2023-05-09 08:34:09,303 INFO ofi_add_8_1: -6.804215951885648e-08 , std 2.4952329784619106e-06 
2023-05-09 08:34:09,303 INFO ofi_add_9_1: -9.325393435304642e-08 , std 2.490492350743874e-06 
2023-05-09 08:34:09,303 INFO ofi_add_10_1: -7.583617005904522e-08 , std 2.7578326468979063e-06 
2023-05-09 08:34:09,303 INFO ofi_cancel_1_1: -9.454151702609987e-09 , std 1.1470451597421768e-06 
2023-05-09 08:34:09,303 INFO ofi_cancel_2_1: -1.6627775755285256e-08 , std 1.8007400009847027e-06 
2023-05-09 08:34:09,303 INFO ofi_cancel_3_1: -2.547082669978248e-08 , std 1.9714106281065795e-06 
2023-05-09 08:34:09,303 INFO ofi_cancel_4_1: -2.260647924279145e-08 , std 1.9747282813919835e-06 
2023-05-09 08:34:09,303 INFO ofi_cancel_5_1: -4.394502913880067e-08 , std 1.9083005892335167e-06 
2023-05-09 08:34:09,303 INFO ofi_cancel_6_1: -3.668847454313781e-08 , std 1.8358789927630233e-06 
2023-05-09 08:34:09,303 INFO ofi_cancel_7_1: -4.814608587797252e-08 , std 2.1190011646144495e-06 
2023-05-09 08:34:09,304 INFO ofi_cancel_8_1: -5.051818438793089e-08 , std 1.9833615536905475e-06 
2023-05-09 08:34:09,304 INFO ofi_cancel_9_1: -5.035526902052416e-08 , std 2.081224469375578e-06 
2023-05-09 08:34:09,304 INFO ofi_cancel_10_1: -4.78968052378483e-08 , std 2.117785556094027e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_1_1: -2.7265258618489564e-08 , std 1.9230702200942636e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_2_1: -2.7120453265098144e-08 , std 1.6674355357787068e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_3_1: -1.425384446994184e-08 , std 1.102764897195774e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_4_1: -1.1145706766940402e-08 , std 1.1107294579011196e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_5_1: -1.0935807722438647e-08 , std 9.152923304329861e-07 
2023-05-09 08:34:09,304 INFO ofi_trade_6_1: -1.3866759411361753e-08 , std 1.3381610513166595e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_7_1: -5.464216832952991e-09 , std 7.139283005867217e-07 
2023-05-09 08:34:09,304 INFO ofi_trade_8_1: -1.610415557015581e-08 , std 1.234086523770453e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_9_1: -1.0654152203360548e-08 , std 1.0350566766342413e-06 
2023-05-09 08:34:09,304 INFO ofi_trade_10_1: -1.4681876697285692e-08 , std 1.1180206683025154e-06 
2023-05-09 08:34:09,304 INFO ofi_add_1_2: -6.398216167799626e-08 , std 2.239054499024316e-06 
2023-05-09 08:34:09,304 INFO ofi_add_2_2: -6.47226859073147e-08 , std 2.2481303631853366e-06 
2023-05-09 08:34:09,304 INFO ofi_add_3_2: -7.478059686970577e-08 , std 2.394856423987599e-06 
2023-05-09 08:34:09,304 INFO ofi_add_4_2: -6.811090829353337e-08 , std 2.236434974809444e-06 
2023-05-09 08:34:09,304 INFO ofi_add_5_2: -5.097152624133877e-08 , std 2.2133125075365007e-06 
2023-05-09 08:34:09,304 INFO ofi_add_6_2: -5.482627390904566e-08 , std 2.183882126571215e-06 
2023-05-09 08:34:09,304 INFO ofi_add_7_2: -5.954648388275743e-08 , std 2.3671758781038064e-06 
2023-05-09 08:34:09,304 INFO ofi_add_8_2: -6.195994028919641e-08 , std 2.1741838209964056e-06 
2023-05-09 08:34:09,304 INFO ofi_add_9_2: -8.13097738312913e-08 , std 2.2332514989615593e-06 
2023-05-09 08:34:09,304 INFO ofi_add_10_2: -8.141192288851984e-08 , std 2.4695588908997343e-06 
2023-05-09 08:34:09,304 INFO ofi_cancel_1_2: -1.2598512138173807e-08 , std 1.623288786865327e-06 
2023-05-09 08:34:09,304 INFO ofi_cancel_2_2: -2.4739161527380364e-08 , std 1.9040962422769027e-06 
2023-05-09 08:34:09,304 INFO ofi_cancel_3_2: -3.370178636888194e-08 , std 2.548124688671279e-06 
2023-05-09 08:34:09,304 INFO ofi_cancel_4_2: -3.850972979825645e-08 , std 1.8702365288383287e-06 
2023-05-09 08:34:09,304 INFO ofi_cancel_5_2: -5.067102848649669e-08 , std 1.9187348453259976e-06 
