2023-05-09 10:11:11,207 INFO Starting...
2023-05-09 10:11:11,207 INFO Tickers: ['ANTM']
2023-05-09 10:12:29,682 INFO in_r2: 0.08458460738727305 , std 0.16799131066057543 
2023-05-09 10:12:29,682 INFO os_r2: -0.11175275417046653 , std 0.07916009439590736 
2023-05-09 10:12:29,682 INFO intercept: -5.562376491853528e-08 , std 0.00014029254338074925 
2023-05-09 10:12:29,682 INFO ofi_add_1_1: -4.039181625936178e-07 , std 1.3939340848230159e-05 
2023-05-09 10:12:29,682 INFO ofi_add_2_1: -7.424481610106644e-07 , std 1.499396624143584e-05 
2023-05-09 10:12:29,682 INFO ofi_add_3_1: -5.535517469453052e-07 , std 1.2508975239536345e-05 
2023-05-09 10:12:29,682 INFO ofi_add_4_1: -5.996392165836074e-07 , std 1.608683201067557e-05 
2023-05-09 10:12:29,682 INFO ofi_add_5_1: -4.068596779443228e-07 , std 1.2461927371535206e-05 
2023-05-09 10:12:29,682 INFO ofi_add_6_1: -3.449573215440287e-07 , std 1.2068128551377094e-05 
2023-05-09 10:12:29,682 INFO ofi_add_7_1: -3.678873274731562e-07 , std 1.3025853998501185e-05 
2023-05-09 10:12:29,682 INFO ofi_add_8_1: -3.0871171115597776e-07 , std 1.1394810106669294e-05 
2023-05-09 10:12:29,682 INFO ofi_add_9_1: -2.6369374617529525e-07 , std 1.30901818865758e-05 
2023-05-09 10:12:29,683 INFO ofi_add_10_1: -2.1146716965444908e-07 , std 1.3663294216794624e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_1_1: -2.1186252710412182e-07 , std 1.0263328244695844e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_2_1: -2.1635309258322866e-07 , std 1.0282691708521205e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_3_1: -2.1112357267357268e-07 , std 1.1813040333218241e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_4_1: -1.7616846267813926e-07 , std 1.072877109310392e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_5_1: -2.0459465056934287e-07 , std 1.1683372480165965e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_6_1: -1.533261674825769e-07 , std 1.0992234964312319e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_7_1: -2.740495857925159e-07 , std 1.3282804133384357e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_8_1: -2.0739041843008962e-07 , std 1.1757635933802763e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_9_1: -3.97803084811126e-07 , std 1.4766080893013735e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_10_1: -3.410311125355043e-07 , std 1.3417984330420303e-05 
2023-05-09 10:12:29,683 INFO ofi_trade_1_1: -8.440354087926144e-08 , std 7.069125391853021e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_2_1: -5.5169973582100766e-08 , std 5.3004142343443975e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_3_1: -3.4100390924097295e-08 , std 4.231932868047821e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_4_1: -3.239180606154984e-08 , std 2.9579048467718178e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_5_1: -3.8354560170009796e-08 , std 3.953387379386169e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_6_1: -4.2162378888916866e-08 , std 5.2620780369089124e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_7_1: -4.794611811244353e-08 , std 3.8113807768098264e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_8_1: -9.32145668653695e-08 , std 9.487670735308336e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_9_1: -7.858718069960486e-08 , std 6.566446490940816e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_10_1: -1.0545186595190624e-07 , std 8.508474915069746e-06 
2023-05-09 10:12:29,683 INFO ofi_add_1_2: -3.033850408138653e-07 , std 1.140406736381859e-05 
2023-05-09 10:12:29,683 INFO ofi_add_2_2: -4.1835620924644377e-07 , std 1.2871937573163278e-05 
2023-05-09 10:12:29,683 INFO ofi_add_3_2: -5.213697548121952e-07 , std 1.193340751627348e-05 
2023-05-09 10:12:29,683 INFO ofi_add_4_2: -3.846487877653657e-07 , std 1.1075339337754512e-05 
2023-05-09 10:12:29,683 INFO ofi_add_5_2: -3.7934732365424655e-07 , std 1.058357175308626e-05 
2023-05-09 10:12:29,683 INFO ofi_add_6_2: -3.641200926458239e-07 , std 1.0631600042548383e-05 
2023-05-09 10:12:29,683 INFO ofi_add_7_2: -3.9643227593445284e-07 , std 1.0637106616788326e-05 
2023-05-09 10:12:29,683 INFO ofi_add_8_2: -2.3653020068188722e-07 , std 1.1001196866447259e-05 
2023-05-09 10:12:29,683 INFO ofi_add_9_2: -2.2363770324199185e-07 , std 1.1865502074824724e-05 
2023-05-09 10:12:29,683 INFO ofi_add_10_2: -2.983065838815894e-07 , std 1.2943994594947598e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_1_2: -2.6432248595437726e-07 , std 1.0622983498467109e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_2_2: -2.563860025121098e-07 , std 1.1009631459807765e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_3_2: -3.246147880483926e-07 , std 1.1465961736412613e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_4_2: -2.8819379058581225e-07 , std 1.0952469740867494e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_5_2: -2.00279439207792e-07 , std 9.842712290442608e-06 
2023-05-09 10:12:29,683 INFO ofi_cancel_6_2: -2.060998000376093e-07 , std 1.0609050031534787e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_7_2: -2.3261336624921123e-07 , std 1.0112062551637222e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_8_2: -2.5428465370401966e-07 , std 1.0389491300599697e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_9_2: -2.4998217093790725e-07 , std 1.0182548992315321e-05 
2023-05-09 10:12:29,683 INFO ofi_cancel_10_2: -3.8711391487682393e-07 , std 1.3179503415987116e-05 
2023-05-09 10:12:29,683 INFO ofi_trade_1_2: -9.85293349526136e-08 , std 6.737265700339215e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_2_2: -6.591435406383986e-08 , std 4.418318169169525e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_3_2: -2.9420857721684422e-08 , std 4.586160189169654e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_4_2: -5.60319987014428e-08 , std 6.1466105488314106e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_5_2: -5.533877484554827e-08 , std 6.078778599024579e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_6_2: -5.097912162115693e-08 , std 4.517689435659778e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_7_2: -3.520034541335772e-08 , std 5.146170237873638e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_8_2: -1.0316047173615265e-07 , std 6.162930505994715e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_9_2: -1.0833612244692668e-07 , std 8.620768183514702e-06 
2023-05-09 10:12:29,683 INFO ofi_trade_10_2: -7.754175240650541e-08 , std 7.300129519157841e-06 
2023-05-09 10:12:29,684 INFO ofi_add_1_3: -2.8343471375678756e-07 , std 1.3850490388326171e-05 
2023-05-09 10:12:29,684 INFO ofi_add_2_3: -5.095581476290779e-07 , std 1.2400143820773316e-05 
2023-05-09 10:12:29,684 INFO ofi_add_3_3: -6.37009352901419e-07 , std 1.1979470018363262e-05 
2023-05-09 10:12:29,684 INFO ofi_add_4_3: -3.7735435599239396e-07 , std 1.0558309803478174e-05 
2023-05-09 10:12:29,684 INFO ofi_add_5_3: -4.2409944019044977e-07 , std 1.1146491143992006e-05 
2023-05-09 10:12:29,684 INFO ofi_add_6_3: -3.988734234163207e-07 , std 1.1140502082897732e-05 
2023-05-09 10:12:29,684 INFO ofi_add_7_3: -3.9567893582312683e-07 , std 1.0891774556576758e-05 
2023-05-09 10:12:29,684 INFO ofi_add_8_3: -2.1850668375324708e-07 , std 1.1495635886927521e-05 
2023-05-09 10:12:29,684 INFO ofi_add_9_3: -1.683878622771891e-07 , std 1.1454696453029319e-05 
2023-05-09 10:12:29,684 INFO ofi_add_10_3: 5.415002159452531e-08 , std 1.2144585046202579e-05 
2023-05-09 10:12:29,684 INFO ofi_cancel_1_3: -3.3987416033400615e-07 , std 1.126306256897005e-05 
2023-05-09 10:12:29,684 INFO ofi_cancel_2_3: -2.9650930516652553e-07 , std 1.240130371085143e-05 
2023-05-09 10:12:29,684 INFO ofi_cancel_3_3: -2.0939518752986677e-07 , std 1.084375316874529e-05 
2023-05-09 10:12:29,684 INFO ofi_cancel_4_3: -2.400947817807765e-07 , std 1.0799114581755231e-05 
2023-05-09 10:12:29,684 INFO ofi_cancel_5_3: -2.0047222957114252e-07 , std 9.384706815489047e-06 
2023-05-09 10:12:29,684 INFO ofi_cancel_6_3: -1.7916813592584054e-07 , std 1.0825792025078403e-05 
2023-05-09 10:12:29,684 INFO ofi_cancel_7_3: -2.0292985834162246e-07 , std 1.094729372371164e-05 
2023-05-09 10:12:29,684 INFO ofi_cancel_8_3: -2.458716434011624e-07 , std 1.0197248070694999e-05 
2023-05-09 10:12:29,684 INFO ofi_cancel_9_3: -2.1055257409915766e-07 , std 1.0553896413389004e-05 
2023-05-09 10:12:29,684 INFO ofi_cancel_10_3: -3.850589674704547e-07 , std 1.1907558118070204e-05 
2023-05-09 10:12:29,684 INFO ofi_trade_1_3: -5.778922829982227e-08 , std 7.069620849448168e-06 
2023-05-09 10:12:29,684 INFO ofi_trade_2_3: -4.0180864636062296e-08 , std 7.686167866841932e-06 
2023-05-09 10:12:29,684 INFO ofi_trade_3_3: -2.3932674671138332e-08 , std 5.8296605362322686e-06 
2023-05-09 10:12:29,684 INFO ofi_trade_4_3: -3.198761854632896e-08 , std 4.787467283119031e-06 
2023-05-09 10:12:29,684 INFO ofi_trade_5_3: -3.411799101083753e-08 , std 5.1975003451209365e-06 
2023-05-09 10:12:29,684 INFO ofi_trade_6_3: -5.158939315119648e-08 , std 5.134747993512306e-06 
2023-05-09 10:12:29,684 INFO ofi_trade_7_3: -1.5337585268481454e-08 , std 5.587003869056813e-06 
2023-05-09 10:12:29,684 INFO ofi_trade_8_3: -9.800260710058806e-08 , std 5.889327046198901e-06 
2023-05-09 10:12:29,684 INFO ofi_trade_9_3: -8.071205138646962e-08 , std 5.591173193640037e-06 
2023-05-09 10:12:29,684 INFO ofi_trade_10_3: -8.556417720732283e-08 , std 6.779831413526825e-06 
2023-05-09 10:12:29,684 INFO used_intercept: 0.9877189937704379 , std 0.11013711052842978 
2023-05-09 10:12:29,684 INFO used_ofi_add_1_1: 0.013733352819744606 , std 0.11638190512306033 
2023-05-09 10:12:29,684 INFO used_ofi_add_2_1: 0.019172801841465865 , std 0.13713207323968288 
2023-05-09 10:12:29,684 INFO used_ofi_add_3_1: 0.01733681652934836 , std 0.13052299154545943 
2023-05-09 10:12:29,684 INFO used_ofi_add_4_1: 0.01707649025374961 , std 0.12955648858456767 
2023-05-09 10:12:29,684 INFO used_ofi_add_5_1: 0.016364018341584612 , std 0.12687094720739214 
2023-05-09 10:12:29,684 INFO used_ofi_add_6_1: 0.01615849759769086 , std 0.12608489423034103 
2023-05-09 10:12:29,684 INFO used_ofi_add_7_1: 0.014834030581486692 , std 0.12088830430688573 
2023-05-09 10:12:29,684 INFO used_ofi_add_8_1: 0.01569265057819836 , std 0.12428351176253805 
2023-05-09 10:12:29,684 INFO used_ofi_add_9_1: 0.01758344142202086 , std 0.13143159441237567 
2023-05-09 10:12:29,684 INFO used_ofi_add_10_1: 0.02392261458923254 , std 0.15280812511266403 
2023-05-09 10:12:29,684 INFO used_ofi_cancel_1_1: 0.004037340835601673 , std 0.06341167648453128 
2023-05-09 10:12:29,684 INFO used_ofi_cancel_2_1: 0.008412649116717514 , std 0.09133387351665594 
2023-05-09 10:12:29,684 INFO used_ofi_cancel_3_1: 0.008636438371179597 , std 0.09253026695865744 
2023-05-09 10:12:29,684 INFO used_ofi_cancel_4_1: 0.0096503407077221 , std 0.09776099238421722 
2023-05-09 10:12:29,684 INFO used_ofi_cancel_5_1: 0.009193627943513765 , std 0.09544163215677952 
2023-05-09 10:12:29,684 INFO used_ofi_cancel_6_1: 0.00879172071101043 , std 0.09335109189479263 
2023-05-09 10:12:29,684 INFO used_ofi_cancel_7_1: 0.009997442408520433 , std 0.09948614754732817 
2023-05-09 10:12:29,684 INFO used_ofi_cancel_8_1: 0.0104176181515921 , std 0.101533695804101 
2023-05-09 10:12:29,684 INFO used_ofi_cancel_9_1: 0.013189864630336688 , std 0.1140872126987511 
2023-05-09 10:12:29,684 INFO used_ofi_cancel_10_1: 0.018674984928478782 , std 0.13537440624578884 
2023-05-09 10:12:29,684 INFO used_ofi_trade_1_1: 0.001150916165805002 , std 0.033905627228887694 
2023-05-09 10:12:29,685 INFO used_ofi_trade_2_1: 0.0007581431885858346 , std 0.02752396060692275 
2023-05-09 10:12:29,685 INFO used_ofi_trade_3_1: 0.0005571895723341676 , std 0.023598286211389367 
2023-05-09 10:12:29,685 INFO used_ofi_trade_4_1: 0.00039277297721916735 , std 0.019814608414186075 
2023-05-09 10:12:29,685 INFO used_ofi_trade_5_1: 0.0004886826577029175 , std 0.022100765755126633 
2023-05-09 10:12:29,685 INFO used_ofi_trade_6_1: 0.0003379674455141672 , std 0.018380784083382836 
2023-05-09 10:12:29,685 INFO used_ofi_trade_7_1: 0.0004795484024187508 , std 0.02189334226993422 
2023-05-09 10:12:29,685 INFO used_ofi_trade_8_1: 0.0005526224446920843 , std 0.023501426618946067 
2023-05-09 10:12:29,685 INFO used_ofi_trade_9_1: 0.0005252196788395842 , std 0.02291165256214715 
2023-05-09 10:12:29,685 INFO used_ofi_trade_10_1: 0.0008860227625641682 , std 0.029752944832879758 
2023-05-09 10:12:29,685 INFO used_ofi_add_1_2: 0.02152943970478087 , std 0.14514104495551586 
2023-05-09 10:12:29,685 INFO used_ofi_add_2_2: 0.028672427336999214 , std 0.1668841491802134 
2023-05-09 10:12:29,685 INFO used_ofi_add_3_2: 0.025352125541204626 , std 0.15719222395445528 
2023-05-09 10:12:29,685 INFO used_ofi_add_4_2: 0.024050494163210874 , std 0.15320596559441227 
2023-05-09 10:12:29,685 INFO used_ofi_add_5_2: 0.022177971829956705 , std 0.14726204329516265 
2023-05-09 10:12:29,685 INFO used_ofi_add_6_2: 0.024717294798955042 , std 0.15526219802893618 
2023-05-09 10:12:29,685 INFO used_ofi_add_7_2: 0.022232777361661703 , std 0.14743975370451645 
2023-05-09 10:12:29,685 INFO used_ofi_add_8_2: 0.023004621933173788 , std 0.14991800860098672 
2023-05-09 10:12:29,685 INFO used_ofi_add_9_2: 0.02569922724200296 , std 0.15823645901361308 
2023-05-09 10:12:29,685 INFO used_ofi_add_10_2: 0.03629039624399423 , std 0.187011773384587 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_1_2: 0.007229763057417929 , std 0.0847200896101481 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_2_2: 0.013660278777471273 , std 0.11607616276046105 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_3_2: 0.013450190905935439 , std 0.115192375053774 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_4_2: 0.01451889877418294 , std 0.11961647191155561 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_5_2: 0.014322512285573357 , std 0.11881657261259038 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_6_2: 0.013769889840881273 , std 0.11653445831448853 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_7_2: 0.014888836113191691 , std 0.12110804544862497 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_8_2: 0.014354482179067941 , std 0.11894717743788104 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_9_2: 0.016683717276530445 , std 0.12808345269537064 
2023-05-09 10:12:29,685 INFO used_ofi_cancel_10_2: 0.02465792213960796 , std 0.155080330846194 
2023-05-09 10:12:29,685 INFO used_ofi_trade_1_2: 0.001676135844644586 , std 0.04090631263356406 
2023-05-09 10:12:29,685 INFO used_ofi_trade_2_2: 0.001434078079614169 , std 0.037842059929075474 
2023-05-09 10:12:29,685 INFO used_ofi_trade_3_2: 0.0009225597837008349 , std 0.030359655254075805 
2023-05-09 10:12:29,685 INFO used_ofi_trade_4_2: 0.0008083815926487513 , std 0.028420557908834552 
2023-05-09 10:12:29,685 INFO used_ofi_trade_5_2: 0.0007901130820804179 , std 0.02809784339407463 
2023-05-09 10:12:29,685 INFO used_ofi_trade_6_2: 0.0006805020186704178 , std 0.0260775561675745 
2023-05-09 10:12:29,685 INFO used_ofi_trade_7_2: 0.0008357843585012514 , std 0.028897851529263125 
2023-05-09 10:12:29,685 INFO used_ofi_trade_8_2: 0.0009225597837008349 , std 0.030359655254075805 
2023-05-09 10:12:29,685 INFO used_ofi_trade_9_2: 0.0011280805275945853 , std 0.03356796034789494 
2023-05-09 10:12:29,685 INFO used_ofi_trade_10_2: 0.0012696614844991687 , std 0.03560968188869353 
2023-05-09 10:12:29,685 INFO used_ofi_add_1_3: 0.04177551654213632 , std 0.2000757925381629 
2023-05-09 10:12:29,685 INFO used_ofi_add_2_3: 0.04570781344197008 , std 0.20885068645404098 
2023-05-09 10:12:29,685 INFO used_ofi_add_3_3: 0.0408209868649409 , std 0.1978752988533769 
2023-05-09 10:12:29,685 INFO used_ofi_add_4_3: 0.04031860282431173 , std 0.19670539669924444 
2023-05-09 10:12:29,685 INFO used_ofi_add_5_3: 0.039843621549535066 , std 0.19559168533287016 
2023-05-09 10:12:29,685 INFO used_ofi_add_6_3: 0.038985001552823396 , std 0.1935592188627288 
2023-05-09 10:12:29,685 INFO used_ofi_add_7_3: 0.03798023347156506 , std 0.19114846412412123 
2023-05-09 10:12:29,685 INFO used_ofi_add_8_3: 0.038720108149582565 , std 0.19292708823404553 
2023-05-09 10:12:29,685 INFO used_ofi_add_9_3: 0.04104934324704507 , std 0.1984043715900215 
