2023-05-09 09:08:13,823 INFO Starting...
2023-05-09 09:08:13,823 INFO Tickers: ['BA']
2023-05-09 09:09:34,507 INFO in_r2: 0.08984072808063073 , std 0.17502085759618058 
2023-05-09 09:09:34,507 INFO os_r2: -0.11779576617583054 , std 0.14122208986090645 
2023-05-09 09:09:34,507 INFO intercept: 5.481229703159099e-07 , std 0.00014585510368993963 
2023-05-09 09:09:34,507 INFO ofi_add_1_1: -1.0525071242605705e-07 , std 6.558083130185071e-06 
2023-05-09 09:09:34,507 INFO ofi_add_2_1: -2.495361043717169e-07 , std 7.204513056844612e-06 
2023-05-09 09:09:34,507 INFO ofi_add_3_1: -2.542042510556637e-07 , std 6.222879021804037e-06 
2023-05-09 09:09:34,507 INFO ofi_add_4_1: -2.1283365812111307e-07 , std 6.483292031702648e-06 
2023-05-09 09:09:34,507 INFO ofi_add_5_1: -2.4908838133204323e-07 , std 6.453534282173477e-06 
2023-05-09 09:09:34,507 INFO ofi_add_6_1: -2.865750026255439e-07 , std 6.595953422673259e-06 
2023-05-09 09:09:34,507 INFO ofi_add_7_1: -3.220825060539459e-07 , std 7.045226434756333e-06 
2023-05-09 09:09:34,507 INFO ofi_add_8_1: -3.301068034270483e-07 , std 6.83775011583953e-06 
2023-05-09 09:09:34,508 INFO ofi_add_9_1: -3.0007020868705264e-07 , std 6.5149234066019165e-06 
2023-05-09 09:09:34,508 INFO ofi_add_10_1: -3.5157313267267476e-07 , std 7.64146771224695e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_1_1: -4.488565968453677e-08 , std 5.350441449819116e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_2_1: -1.4231962637462937e-07 , std 6.429027537696636e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_3_1: -1.8178062499295482e-07 , std 6.713118681152486e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_4_1: -9.921215571448358e-08 , std 6.536544402611258e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_5_1: -2.0513239523444267e-07 , std 6.7577111468223336e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_6_1: -1.8436209337680093e-07 , std 6.155896306478965e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_7_1: -1.6455163036281445e-07 , std 6.170038437355304e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_8_1: -1.805858735626423e-07 , std 6.287571271258752e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_9_1: -1.9981571983333447e-07 , std 5.931593346683063e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_10_1: -1.8793603965221265e-07 , std 6.7752245387257e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_1_1: -1.2399146809607365e-08 , std 3.3479008247015036e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_2_1: -3.951200343872749e-08 , std 3.958908470744903e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_3_1: -1.7596796769676032e-08 , std 2.1867593931678247e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_4_1: -2.9653900131230884e-08 , std 3.1985593349323493e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_5_1: -6.8332412272812e-08 , std 4.514388104889834e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_6_1: -3.2162710404762716e-08 , std 3.3205738333409056e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_7_1: -2.4178844173071e-08 , std 3.8002023964514023e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_8_1: -4.580472527607691e-08 , std 3.506088087162316e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_9_1: -3.433501001230496e-08 , std 2.83111301978346e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_10_1: -5.198835211295741e-08 , std 3.7346448281126166e-06 
2023-05-09 09:09:34,508 INFO ofi_add_1_2: -1.0348743755393427e-07 , std 6.773658646521568e-06 
2023-05-09 09:09:34,508 INFO ofi_add_2_2: -2.006878610821267e-07 , std 7.5239609572371015e-06 
2023-05-09 09:09:34,508 INFO ofi_add_3_2: -1.8531309209882003e-07 , std 6.3583190789568e-06 
2023-05-09 09:09:34,508 INFO ofi_add_4_2: -1.8266224917769486e-07 , std 6.5668083303579035e-06 
2023-05-09 09:09:34,508 INFO ofi_add_5_2: -2.476648382937238e-07 , std 6.4841703782645085e-06 
2023-05-09 09:09:34,508 INFO ofi_add_6_2: -2.934962884026092e-07 , std 6.675956760045642e-06 
2023-05-09 09:09:34,508 INFO ofi_add_7_2: -2.9401600879740005e-07 , std 6.748195802286285e-06 
2023-05-09 09:09:34,508 INFO ofi_add_8_2: -2.766256075500448e-07 , std 6.632164338155865e-06 
2023-05-09 09:09:34,508 INFO ofi_add_9_2: -2.966322121127613e-07 , std 6.991603582382018e-06 
2023-05-09 09:09:34,508 INFO ofi_add_10_2: -3.0870849147724266e-07 , std 7.289721898816199e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_1_2: -4.303840247540139e-08 , std 5.3941073803754565e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_2_2: -1.3421252151766617e-07 , std 6.3638746303654946e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_3_2: -1.5355541316756664e-07 , std 6.485902026037926e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_4_2: -2.1137720188488295e-07 , std 6.574972900457801e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_5_2: -2.335692430169612e-07 , std 6.933407240264896e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_6_2: -1.8081311911348023e-07 , std 6.431666950473159e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_7_2: -2.179017068428424e-07 , std 7.229481748746238e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_8_2: -2.2304563139656906e-07 , std 6.3068428690623525e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_9_2: -1.8953303911152472e-07 , std 6.747341198046521e-06 
2023-05-09 09:09:34,508 INFO ofi_cancel_10_2: -2.223727730191629e-07 , std 6.818445474705758e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_1_2: -3.073550535579631e-08 , std 4.603691520582842e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_2_2: -4.0716016539056404e-08 , std 4.076546660976844e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_3_2: -4.3121585597924545e-08 , std 3.7287668629648223e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_4_2: -4.6437232552449164e-08 , std 3.2120403594438113e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_5_2: -3.452114507270396e-08 , std 3.29851967487852e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_6_2: -6.113878511209176e-08 , std 4.2079035097030195e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_7_2: -4.656129812811543e-08 , std 3.1746901722387593e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_8_2: -7.262599405931488e-08 , std 3.7330408296308272e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_9_2: -5.1284868516848906e-08 , std 4.165863070036594e-06 
2023-05-09 09:09:34,508 INFO ofi_trade_10_2: -6.519835601058085e-08 , std 4.041832706592275e-06 
2023-05-09 09:09:34,509 INFO ofi_add_1_3: -1.95748156913189e-07 , std 9.079482406796036e-06 
2023-05-09 09:09:34,509 INFO ofi_add_2_3: -3.793045650256457e-07 , std 8.171393626264294e-06 
2023-05-09 09:09:34,509 INFO ofi_add_3_3: -3.0825427067995136e-07 , std 7.728077403438037e-06 
2023-05-09 09:09:34,509 INFO ofi_add_4_3: -2.7834569291444543e-07 , std 7.132691659268726e-06 
2023-05-09 09:09:34,509 INFO ofi_add_5_3: -3.15681770603134e-07 , std 7.287687891854539e-06 
2023-05-09 09:09:34,509 INFO ofi_add_6_3: -3.2168438412876587e-07 , std 7.2503366790538455e-06 
2023-05-09 09:09:34,509 INFO ofi_add_7_3: -2.7605586078546685e-07 , std 7.542077477196596e-06 
2023-05-09 09:09:34,509 INFO ofi_add_8_3: -2.7402708023053285e-07 , std 7.464757095745164e-06 
2023-05-09 09:09:34,509 INFO ofi_add_9_3: -2.532248552864639e-07 , std 7.2813218301425445e-06 
2023-05-09 09:09:34,509 INFO ofi_add_10_3: -3.1832594417197323e-07 , std 7.809596188799371e-06 
2023-05-09 09:09:34,509 INFO ofi_cancel_1_3: -4.126562994950719e-08 , std 7.141411820581489e-06 
2023-05-09 09:09:34,509 INFO ofi_cancel_2_3: -8.923457764509132e-08 , std 7.184994554444413e-06 
2023-05-09 09:09:34,509 INFO ofi_cancel_3_3: -1.2074877646573405e-07 , std 6.491891503876747e-06 
2023-05-09 09:09:34,509 INFO ofi_cancel_4_3: -1.502722578809797e-07 , std 6.506081752048193e-06 
2023-05-09 09:09:34,509 INFO ofi_cancel_5_3: -1.8059375501906925e-07 , std 7.370597575297389e-06 
2023-05-09 09:09:34,509 INFO ofi_cancel_6_3: -2.3951667620775667e-07 , std 7.305641901019226e-06 
2023-05-09 09:09:34,509 INFO ofi_cancel_7_3: -2.524600294998864e-07 , std 7.26521507025701e-06 
2023-05-09 09:09:34,509 INFO ofi_cancel_8_3: -2.517131700644935e-07 , std 7.545598510505826e-06 
2023-05-09 09:09:34,509 INFO ofi_cancel_9_3: -2.9031547847983826e-07 , std 7.563241405133193e-06 
2023-05-09 09:09:34,509 INFO ofi_cancel_10_3: -2.2350400561684121e-07 , std 7.1714915019316755e-06 
2023-05-09 09:09:34,509 INFO ofi_trade_1_3: -3.9333824264477915e-08 , std 4.837357131553276e-06 
2023-05-09 09:09:34,509 INFO ofi_trade_2_3: -5.649854794167564e-08 , std 4.774424640784986e-06 
2023-05-09 09:09:34,509 INFO ofi_trade_3_3: -4.360749685412878e-08 , std 4.663038252520932e-06 
2023-05-09 09:09:34,509 INFO ofi_trade_4_3: -2.7930726515271813e-08 , std 3.990871586742844e-06 
2023-05-09 09:09:34,509 INFO ofi_trade_5_3: -6.15330438259789e-08 , std 3.800980050709152e-06 
2023-05-09 09:09:34,509 INFO ofi_trade_6_3: -7.621351411379465e-08 , std 4.642167248009424e-06 
2023-05-09 09:09:34,509 INFO ofi_trade_7_3: -8.292568618403945e-08 , std 5.272477980862752e-06 
2023-05-09 09:09:34,509 INFO ofi_trade_8_3: -1.0232343118541712e-07 , std 5.6089654692552966e-06 
2023-05-09 09:09:34,509 INFO ofi_trade_9_3: -1.0551501403721681e-07 , std 6.171024187996696e-06 
2023-05-09 09:09:34,509 INFO ofi_trade_10_3: -6.700969689899846e-08 , std 3.919463567334726e-06 
2023-05-09 09:09:34,509 INFO used_intercept: 0.9873683056815223 , std 0.11167871156635971 
2023-05-09 09:09:34,509 INFO used_ofi_add_1_1: 0.00619254428628187 , std 0.07844868820792547 
2023-05-09 09:09:34,509 INFO used_ofi_add_2_1: 0.013791654678887351 , std 0.11662523286195695 
2023-05-09 09:09:34,509 INFO used_ofi_add_3_1: 0.012453590168650929 , std 0.11089859449317747 
2023-05-09 09:09:34,509 INFO used_ofi_add_4_1: 0.01361811730213314 , std 0.11589937093564609 
2023-05-09 09:09:34,509 INFO used_ofi_add_5_1: 0.015796468057705744 , std 0.12468736766251674 
2023-05-09 09:09:34,509 INFO used_ofi_add_6_1: 0.01691532746046316 , std 0.12895425218800835 
2023-05-09 09:09:34,509 INFO used_ofi_add_7_1: 0.018710069277947508 , std 0.13549908702851807 
2023-05-09 09:09:34,509 INFO used_ofi_add_8_1: 0.02135879765998548 , std 0.14457731295920975 
2023-05-09 09:09:34,509 INFO used_ofi_add_9_1: 0.022610093481844794 , std 0.14865691088740896 
2023-05-09 09:09:34,509 INFO used_ofi_add_10_1: 0.029044676740968063 , std 0.16793178226286032 
2023-05-09 09:09:34,509 INFO used_ofi_cancel_1_1: 0.002187484301717563 , std 0.04671936658546757 
2023-05-09 09:09:34,509 INFO used_ofi_cancel_2_1: 0.006658355139674755 , std 0.08132663429964823 
2023-05-09 09:09:34,509 INFO used_ofi_cancel_3_1: 0.008261292488114974 , std 0.09051543257666499 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_4_1: 0.008539865645536208 , std 0.0920159569873204 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_5_1: 0.009462353806177017 , std 0.0968133134781769 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_6_1: 0.01011996912861403 , std 0.10008773827722318 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_7_1: 0.010110835582469072 , std 0.10004302367628315 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_8_1: 0.011060724381544757 , std 0.10458673318208317 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_9_1: 0.011672671973256978 , std 0.10740773111029633 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_10_1: 0.014019993332511313 , std 0.11757309692045904 
2023-05-09 09:09:34,510 INFO used_ofi_trade_1_1: 0.0005754134071323862 , std 0.023980873765217108 
2023-05-09 09:09:34,510 INFO used_ofi_trade_2_1: 0.0007169833723792431 , std 0.02676694430118938 
2023-05-09 09:09:34,510 INFO used_ofi_trade_3_1: 0.0005160453571901558 , std 0.02271076956819118 
2023-05-09 09:09:34,510 INFO used_ofi_trade_4_1: 0.0006484817762920543 , std 0.025457047112300183 
2023-05-09 09:09:34,510 INFO used_ofi_trade_5_1: 0.0009909897567279985 , std 0.03146438774281265 
2023-05-09 09:09:34,510 INFO used_ofi_trade_6_1: 0.0006119475917122202 , std 0.024730004283404758 
2023-05-09 09:09:34,510 INFO used_ofi_trade_7_1: 0.0007352504646691601 , std 0.027105532118432286 
2023-05-09 09:09:34,510 INFO used_ofi_trade_8_1: 0.0009498887990756851 , std 0.030805624654356156 
2023-05-09 09:09:34,510 INFO used_ofi_trade_9_1: 0.0010046900759454363 , std 0.031680919711977014 
2023-05-09 09:09:34,510 INFO used_ofi_trade_10_1: 0.0010823252181775835 , std 0.0328809031247574 
2023-05-09 09:09:34,510 INFO used_ofi_add_1_2: 0.012417055984071095 , std 0.11073785578906405 
2023-05-09 09:09:34,510 INFO used_ofi_add_2_2: 0.022920634050773384 , std 0.14965052150087518 
2023-05-09 09:09:34,510 INFO used_ofi_add_3_2: 0.02140903216378275 , std 0.14474351628170729 
2023-05-09 09:09:34,510 INFO used_ofi_add_4_2: 0.021746973371146214 , std 0.14585623922321894 
2023-05-09 09:09:34,510 INFO used_ofi_add_5_2: 0.024925447429591775 , std 0.15589794578513996 
2023-05-09 09:09:34,510 INFO used_ofi_add_6_2: 0.026793257616235792 , std 0.16147872603704125 
2023-05-09 09:09:34,510 INFO used_ofi_add_7_2: 0.028039986665022627 , std 0.16508708554229182 
2023-05-09 09:09:34,510 INFO used_ofi_add_8_2: 0.02931411635224434 , std 0.16868550303666113 
2023-05-09 09:09:34,510 INFO used_ofi_add_9_2: 0.031177359765815878 , std 0.17379681240991954 
2023-05-09 09:09:34,510 INFO used_ofi_add_10_2: 0.04392322341110548 , std 0.2049243125065535 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_1_2: 0.004653541760856361 , std 0.06805796286942717 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_2_2: 0.012101948642070027 , std 0.10934117011050652 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_3_2: 0.013197974179465048 , std 0.11412181061051925 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_4_2: 0.01386472304804702 , std 0.11692943386011913 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_5_2: 0.014216364574627922 , std 0.11838183793517137 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_6_2: 0.016047640576692102 , std 0.1256587195884687 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_7_2: 0.017394838633073485 , std 0.1307373635270454 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_8_2: 0.01717563352559448 , std 0.12992548302234228 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_9_2: 0.018436062893598754 , std 0.13452202228104523 
2023-05-09 09:09:34,510 INFO used_ofi_cancel_10_2: 0.022916067277700902 , std 0.1496359620486492 
2023-05-09 09:09:34,510 INFO used_ofi_trade_1_2: 0.0008676868837710585 , std 0.02944374302365088 
2023-05-09 09:09:34,510 INFO used_ofi_trade_2_2: 0.001214761637279482 , std 0.03483225504391119 
2023-05-09 09:09:34,510 INFO used_ofi_trade_3_2: 0.0010914587643225421 , std 0.033019198689373516 
2023-05-09 09:09:34,510 INFO used_ofi_trade_4_2: 0.0011325597219748553 , std 0.033634461946804146 
2023-05-09 09:09:34,510 INFO used_ofi_trade_5_2: 0.0010960255373950213 , std 0.03308812876873516 
2023-05-09 09:09:34,510 INFO used_ofi_trade_6_2: 0.0014431002909034447 , std 0.03796073961942573 
2023-05-09 09:09:34,510 INFO used_ofi_trade_7_2: 0.0013152306448740256 , std 0.03624225176813398 
2023-05-09 09:09:34,510 INFO used_ofi_trade_8_2: 0.0017308069944696378 , std 0.04156694963089705 
2023-05-09 09:09:34,510 INFO used_ofi_trade_9_2: 0.0014385335178309655 , std 0.037900714230064886 
2023-05-09 09:09:34,510 INFO used_ofi_trade_10_2: 0.001735373767542117 , std 0.04162165596692477 
2023-05-09 09:09:34,510 INFO used_ofi_add_1_3: 0.025875336228667462 , std 0.15876335598531818 
2023-05-09 09:09:34,510 INFO used_ofi_add_2_3: 0.04182250779776502 , std 0.20018338002759095 
2023-05-09 09:09:34,510 INFO used_ofi_add_3_3: 0.03637434752229727 , std 0.18721980227696108 
2023-05-09 09:09:34,510 INFO used_ofi_add_4_3: 0.039520854169235474 , std 0.19483058346925283 
2023-05-09 09:09:34,510 INFO used_ofi_add_5_3: 0.040443342329876286 , std 0.196996645634043 
2023-05-09 09:09:34,510 INFO used_ofi_add_6_3: 0.04353048092687226 , std 0.20404798003692043 
2023-05-09 09:09:34,511 INFO used_ofi_add_7_3: 0.04328387518095838 , std 0.20349540862210527 
2023-05-09 09:09:34,511 INFO used_ofi_add_8_3: 0.04802418563019185 , std 0.21381735950279795 
2023-05-09 09:09:34,511 INFO used_ofi_add_9_3: 0.051435565115333856 , std 0.22088446698806163 
2023-05-09 09:09:34,511 INFO used_ofi_add_10_3: 0.07323277299027733 , std 0.2605182027237864 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_1_3: 0.010215871363136094 , std 0.1005559910469185 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_2_3: 0.022372621282075872 , std 0.14789214684710164 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_3_3: 0.021504934398304813 , std 0.14506023643586624 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_4_3: 0.024464203349271373 , std 0.15448529413428605 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_5_3: 0.027446306165600325 , std 0.16337994504670536 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_6_3: 0.027679211592296766 , std 0.1640520430775723 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_7_3: 0.030460376393436635 , std 0.17185034728916554 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_8_3: 0.031072323985148854 , std 0.1735132117946953 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_9_3: 0.034885579500669034 , std 0.18348998840146985 
2023-05-09 09:09:34,511 INFO used_ofi_cancel_10_3: 0.04158960237106858 , std 0.19964946117053503 
2023-05-09 09:09:34,511 INFO used_ofi_trade_1_3: 0.0016303379868750942 , std 0.04034451616916041 
2023-05-09 09:09:34,511 INFO used_ofi_trade_2_3: 0.0026167609705306134 , std 0.051087312833557025 
2023-05-09 09:09:34,511 INFO used_ofi_trade_3_3: 0.0020367807903257477 , std 0.04508472373584991 
2023-05-09 09:09:34,511 INFO used_ofi_trade_4_3: 0.0021189827056303746 , std 0.045983612493187324 
