2023-05-09 10:00:53,165 INFO Starting...
2023-05-09 10:00:53,165 INFO Tickers: ['BKNG']
2023-05-09 10:01:44,213 INFO in_r2: 0.08845838411395741 , std 0.16938245787688755 
2023-05-09 10:01:44,213 INFO os_r2: -0.11635450445556297 , std 0.08476193316736663 
2023-05-09 10:01:44,213 INFO intercept: -8.489126709579022e-07 , std 0.0001283932256723665 
2023-05-09 10:01:44,213 INFO ofi_add_1_1: -3.8696262963389766e-08 , std 6.942184330080574e-06 
2023-05-09 10:01:44,213 INFO ofi_add_2_1: -1.4541966739054211e-07 , std 6.023026873008911e-06 
2023-05-09 10:01:44,213 INFO ofi_add_3_1: -1.8822226513866502e-07 , std 7.299959572891764e-06 
2023-05-09 10:01:44,213 INFO ofi_add_4_1: -8.942123175333473e-08 , std 5.678449688227355e-06 
2023-05-09 10:01:44,213 INFO ofi_add_5_1: -6.418822109241222e-08 , std 5.574245435441476e-06 
2023-05-09 10:01:44,213 INFO ofi_add_6_1: -1.2977018521619318e-07 , std 5.377149904975964e-06 
2023-05-09 10:01:44,213 INFO ofi_add_7_1: -9.931978523790663e-08 , std 5.728864001321054e-06 
2023-05-09 10:01:44,213 INFO ofi_add_8_1: -1.2808355508666468e-07 , std 5.860609932407788e-06 
2023-05-09 10:01:44,213 INFO ofi_add_9_1: -7.826035428886821e-08 , std 5.328290319007412e-06 
2023-05-09 10:01:44,213 INFO ofi_add_10_1: -4.2915704536008944e-08 , std 5.8897647496268e-06 
2023-05-09 10:01:44,213 INFO ofi_cancel_1_1: -7.955956970448677e-08 , std 4.1293738640697005e-06 
2023-05-09 10:01:44,213 INFO ofi_cancel_2_1: -9.540514700075865e-08 , std 4.456828659619754e-06 
2023-05-09 10:01:44,213 INFO ofi_cancel_3_1: -9.173933947500652e-08 , std 5.233389261409239e-06 
2023-05-09 10:01:44,213 INFO ofi_cancel_4_1: -1.1301798978690128e-07 , std 4.5198908559092815e-06 
2023-05-09 10:01:44,213 INFO ofi_cancel_5_1: -1.244972193854216e-07 , std 4.585167210882042e-06 
2023-05-09 10:01:44,213 INFO ofi_cancel_6_1: -1.4351006713058175e-07 , std 5.561974866254925e-06 
2023-05-09 10:01:44,213 INFO ofi_cancel_7_1: -1.110679133547431e-07 , std 5.214461672302084e-06 
2023-05-09 10:01:44,213 INFO ofi_cancel_8_1: -1.2156190393645917e-07 , std 4.701229733650462e-06 
2023-05-09 10:01:44,213 INFO ofi_cancel_9_1: -1.4868790215765737e-07 , std 5.1238879516233385e-06 
2023-05-09 10:01:44,213 INFO ofi_cancel_10_1: -1.7957243705393454e-07 , std 5.832936582076207e-06 
2023-05-09 10:01:44,213 INFO ofi_trade_1_1: -2.762428239929156e-08 , std 2.4560305059154854e-06 
2023-05-09 10:01:44,213 INFO ofi_trade_2_1: -1.2824037059506468e-08 , std 2.051333641557435e-06 
2023-05-09 10:01:44,213 INFO ofi_trade_3_1: 7.036060326831326e-09 , std 2.6554905240882623e-06 
2023-05-09 10:01:44,213 INFO ofi_trade_4_1: 9.12155685675172e-09 , std 3.0220799100587663e-06 
2023-05-09 10:01:44,213 INFO ofi_trade_5_1: -9.954176524418445e-09 , std 1.276038172981272e-06 
2023-05-09 10:01:44,214 INFO ofi_trade_6_1: -1.0364117609459602e-08 , std 1.9288341340064925e-06 
2023-05-09 10:01:44,214 INFO ofi_trade_7_1: -1.2945271814590968e-08 , std 2.0269956478486015e-06 
2023-05-09 10:01:44,214 INFO ofi_trade_8_1: 5.769415056192066e-09 , std 1.4684663038855738e-06 
2023-05-09 10:01:44,214 INFO ofi_trade_9_1: -3.728636651268859e-09 , std 9.378259709225903e-07 
2023-05-09 10:01:44,214 INFO ofi_trade_10_1: -1.0443065559394156e-08 , std 1.655475639096093e-06 
2023-05-09 10:01:44,214 INFO ofi_add_1_2: -6.105028090527917e-08 , std 5.477097937643114e-06 
2023-05-09 10:01:44,214 INFO ofi_add_2_2: -2.6014351901786393e-07 , std 5.082659712731285e-06 
2023-05-09 10:01:44,214 INFO ofi_add_3_2: -2.132014263047968e-07 , std 5.640691548288994e-06 
2023-05-09 10:01:44,214 INFO ofi_add_4_2: -1.6244990534085636e-07 , std 5.733781801821406e-06 
2023-05-09 10:01:44,214 INFO ofi_add_5_2: -1.3102143541544982e-07 , std 5.584335125799565e-06 
2023-05-09 10:01:44,214 INFO ofi_add_6_2: -1.5240164208219128e-07 , std 4.978688516947551e-06 
2023-05-09 10:01:44,214 INFO ofi_add_7_2: -1.249012209072205e-07 , std 5.630916102719423e-06 
2023-05-09 10:01:44,214 INFO ofi_add_8_2: -7.981681915246549e-08 , std 5.802383561195823e-06 
2023-05-09 10:01:44,214 INFO ofi_add_9_2: -1.2519031480315643e-07 , std 5.485448412543855e-06 
2023-05-09 10:01:44,214 INFO ofi_add_10_2: -8.924889096361219e-08 , std 5.439411265712656e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_1_2: -7.017811041887747e-08 , std 4.1909901297048e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_2_2: -3.8056695498834895e-08 , std 5.191770066872403e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_3_2: -6.689926615245892e-08 , std 4.309703435480564e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_4_2: -4.553735062188295e-08 , std 4.6981397526563796e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_5_2: -1.2170849003826675e-07 , std 4.445838046223158e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_6_2: -7.044103616078886e-08 , std 4.440963142374633e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_7_2: -1.246029227776287e-07 , std 4.756470312377584e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_8_2: -1.3155510696680534e-07 , std 4.919566344031196e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_9_2: -7.090516029845683e-08 , std 5.1550375170228735e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_10_2: -8.052749559741226e-08 , std 4.841618901225099e-06 
2023-05-09 10:01:44,214 INFO ofi_trade_1_2: -3.1960099030744945e-08 , std 3.6833094953094095e-06 
2023-05-09 10:01:44,214 INFO ofi_trade_2_2: -1.527048061929491e-08 , std 2.1903479768188737e-06 
2023-05-09 10:01:44,214 INFO ofi_trade_3_2: -9.311283528366463e-09 , std 2.092422881347031e-06 
2023-05-09 10:01:44,214 INFO ofi_trade_4_2: -2.0660632632898274e-08 , std 1.5809539268563278e-06 
2023-05-09 10:01:44,214 INFO ofi_trade_5_2: -1.0846998263959862e-08 , std 1.535267032924917e-06 
2023-05-09 10:01:44,214 INFO ofi_trade_6_2: -2.901692408444603e-09 , std 5.206154433036168e-07 
2023-05-09 10:01:44,214 INFO ofi_trade_7_2: -1.1973756557377597e-08 , std 2.9334822959513237e-06 
2023-05-09 10:01:44,214 INFO ofi_trade_8_2: -8.255556494694172e-10 , std 1.124289741679276e-06 
2023-05-09 10:01:44,214 INFO ofi_trade_9_2: -3.771861910378038e-09 , std 8.023298466498349e-07 
2023-05-09 10:01:44,214 INFO ofi_trade_10_2: -2.054460204305841e-08 , std 2.603125494357284e-06 
2023-05-09 10:01:44,214 INFO ofi_add_1_3: -1.6227295939790937e-07 , std 6.4158031631239465e-06 
2023-05-09 10:01:44,214 INFO ofi_add_2_3: -2.750463661827045e-07 , std 6.347947170843178e-06 
2023-05-09 10:01:44,214 INFO ofi_add_3_3: -2.908425606237063e-07 , std 6.064913504556317e-06 
2023-05-09 10:01:44,214 INFO ofi_add_4_3: -2.4918428979125515e-07 , std 5.596948647993418e-06 
2023-05-09 10:01:44,214 INFO ofi_add_5_3: -2.0496414743403915e-07 , std 6.173577225545999e-06 
2023-05-09 10:01:44,214 INFO ofi_add_6_3: -1.572898114647872e-07 , std 5.72930169181991e-06 
2023-05-09 10:01:44,214 INFO ofi_add_7_3: -1.21582033372461e-07 , std 6.196627761212498e-06 
2023-05-09 10:01:44,214 INFO ofi_add_8_3: -2.6357686353113004e-08 , std 5.609109974310715e-06 
2023-05-09 10:01:44,214 INFO ofi_add_9_3: -7.226591741874787e-08 , std 6.169287687707661e-06 
2023-05-09 10:01:44,214 INFO ofi_add_10_3: 3.4103674498067107e-08 , std 5.9533769957342515e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_1_3: -9.618107758020862e-08 , std 4.559897928132365e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_2_3: -5.2328452910124556e-08 , std 5.527903677605622e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_3_3: 3.976640734841426e-09 , std 4.779782342303095e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_4_3: -3.934844390624121e-08 , std 4.9989632311616554e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_5_3: -6.965649611863717e-08 , std 5.184555692376987e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_6_3: -1.9321582358718994e-08 , std 5.067884746673856e-06 
2023-05-09 10:01:44,214 INFO ofi_cancel_7_3: -1.284194923300515e-07 , std 5.573671128453085e-06 
2023-05-09 10:01:44,215 INFO ofi_cancel_8_3: -6.250027741842059e-08 , std 5.472242810179544e-06 
2023-05-09 10:01:44,215 INFO ofi_cancel_9_3: -9.780861171358742e-08 , std 4.7917755784771995e-06 
2023-05-09 10:01:44,215 INFO ofi_cancel_10_3: -1.576712016587987e-07 , std 5.608827686989348e-06 
2023-05-09 10:01:44,215 INFO ofi_trade_1_3: -3.159106013787617e-08 , std 3.410162825846867e-06 
2023-05-09 10:01:44,215 INFO ofi_trade_2_3: -1.243485468468734e-08 , std 3.0956295798269285e-06 
2023-05-09 10:01:44,215 INFO ofi_trade_3_3: -1.2395996465419999e-08 , std 2.2834800248733445e-06 
2023-05-09 10:01:44,215 INFO ofi_trade_4_3: -3.7103392818409793e-09 , std 2.9189879476713824e-06 
2023-05-09 10:01:44,215 INFO ofi_trade_5_3: 5.549508490859185e-09 , std 1.2006165299375102e-06 
2023-05-09 10:01:44,215 INFO ofi_trade_6_3: -7.104094174455128e-09 , std 2.1198719056716246e-06 
2023-05-09 10:01:44,215 INFO ofi_trade_7_3: -7.033123358393155e-09 , std 1.6572481575003196e-06 
2023-05-09 10:01:44,215 INFO ofi_trade_8_3: -4.0987115786229836e-09 , std 2.215917772352007e-06 
2023-05-09 10:01:44,215 INFO ofi_trade_9_3: -1.289662445316899e-08 , std 2.225169828748064e-06 
2023-05-09 10:01:44,215 INFO ofi_trade_10_3: -1.8782818289185897e-08 , std 2.3979774620376323e-06 
2023-05-09 10:01:44,215 INFO used_intercept: 0.9891201655594379 , std 0.1037374746324009 
2023-05-09 10:01:44,215 INFO used_ofi_add_1_1: 0.0332918434983429 , std 0.17939759378214842 
2023-05-09 10:01:44,215 INFO used_ofi_add_2_1: 0.01993011712130528 , std 0.13976017870923152 
2023-05-09 10:01:44,215 INFO used_ofi_add_3_1: 0.016578438282620758 , std 0.12768552645750456 
2023-05-09 10:01:44,215 INFO used_ofi_add_4_1: 0.014441461841848748 , std 0.11930174358205822 
2023-05-09 10:01:44,215 INFO used_ofi_add_5_1: 0.012754375178081371 , std 0.11221274923954994 
2023-05-09 10:01:44,215 INFO used_ofi_add_6_1: 0.012169518467975347 , std 0.10964224226197197 
2023-05-09 10:01:44,215 INFO used_ofi_add_7_1: 0.012806862318731911 , std 0.11244041353659703 
2023-05-09 10:01:44,215 INFO used_ofi_add_8_1: 0.012911836600032991 , std 0.112894291599031 
2023-05-09 10:01:44,215 INFO used_ofi_add_9_1: 0.01411154267204535 , std 0.11795086703988396 
2023-05-09 10:01:44,215 INFO used_ofi_add_10_1: 0.018842883493544082 , std 0.13596995710521056 
2023-05-09 10:01:44,215 INFO used_ofi_cancel_1_1: 0.0068833135881708985 , std 0.08267970477824531 
2023-05-09 10:01:44,215 INFO used_ofi_cancel_2_1: 0.00788056926053117 , std 0.08842208937059305 
2023-05-09 10:01:44,215 INFO used_ofi_cancel_3_1: 0.007520657438927463 , std 0.0863950065143453 
2023-05-09 10:01:44,215 INFO used_ofi_cancel_4_1: 0.007663122534978931 , std 0.08720320572084966 
2023-05-09 10:01:44,215 INFO used_ofi_cancel_5_1: 0.007700613349729316 , std 0.0874146092124611 
2023-05-09 10:01:44,215 INFO used_ofi_cancel_6_1: 0.008053027008382946 , std 0.0893765951711364 
2023-05-09 10:01:44,215 INFO used_ofi_cancel_7_1: 0.008442931481786962 , std 0.09149671245340354 
2023-05-09 10:01:44,215 INFO used_ofi_cancel_8_1: 0.00877285065159036 , std 0.093251743914177 
2023-05-09 10:01:44,215 INFO used_ofi_cancel_9_1: 0.010414948337657274 , std 0.1015208214544248 
2023-05-09 10:01:44,215 INFO used_ofi_cancel_10_1: 0.012476943148928513 , std 0.11100121187891113 
2023-05-09 10:01:44,215 INFO used_ofi_trade_1_1: 0.0006898309914071053 , std 0.026255573210470947 
2023-05-09 10:01:44,215 INFO used_ofi_trade_2_1: 0.00048738059175502 , std 0.022071317403222684 
2023-05-09 10:01:44,215 INFO used_ofi_trade_3_1: 0.00044988977700463384 , std 0.021205833541579556 
2023-05-09 10:01:44,215 INFO used_ofi_trade_4_1: 0.0001199706072012357 , std 0.010952452431060519 
2023-05-09 10:01:44,215 INFO used_ofi_trade_5_1: 0.00011247244425115846 , std 0.010604706228860969 
2023-05-09 10:01:44,215 INFO used_ofi_trade_6_1: 0.00010497428130108124 , std 0.010245157963708838 
2023-05-09 10:01:44,215 INFO used_ofi_trade_7_1: 0.00014996325900154463 , std 0.012245030421460546 
2023-05-09 10:01:44,215 INFO used_ofi_trade_8_1: 0.0002699338662027803 , std 0.016427446603494326 
2023-05-09 10:01:44,215 INFO used_ofi_trade_9_1: 0.00011247244425115846 , std 0.01060470622886097 
2023-05-09 10:01:44,215 INFO used_ofi_trade_10_1: 0.0002624357032527031 , std 0.016197741532521175 
2023-05-09 10:01:44,215 INFO used_ofi_add_1_2: 0.05061259991302131 , std 0.21920530249760325 
2023-05-09 10:01:44,215 INFO used_ofi_add_2_2: 0.02889042184664757 , std 0.1674985533435149 
2023-05-09 10:01:44,215 INFO used_ofi_add_3_2: 0.027143349879279577 , std 0.16250104134008062 
2023-05-09 10:01:44,215 INFO used_ofi_add_4_2: 0.022824408020035093 , std 0.14934341103165566 
2023-05-09 10:01:44,215 INFO used_ofi_add_5_2: 0.02280191353118486 , std 0.14927151861792398 
2023-05-09 10:01:44,215 INFO used_ofi_add_6_2: 0.021812156021774665 , std 0.14606979794418976 
2023-05-09 10:01:44,215 INFO used_ofi_add_7_2: 0.018970352263695395 , std 0.13642022576834675 
2023-05-09 10:01:44,216 INFO used_ofi_add_8_2: 0.021894635814225516 , std 0.1463395392120255 
2023-05-09 10:01:44,216 INFO used_ofi_add_9_2: 0.021872141325375283 , std 0.14626602735843375 
2023-05-09 10:01:44,216 INFO used_ofi_add_10_2: 0.029985153637358847 , std 0.17054631100877798 
2023-05-09 10:01:44,216 INFO used_ofi_cancel_1_2: 0.010444940989457583 , std 0.10166535396674882 
2023-05-09 10:01:44,216 INFO used_ofi_cancel_2_2: 0.012896840274132838 , std 0.11282956963968419 
2023-05-09 10:01:44,216 INFO used_ofi_cancel_3_2: 0.01156216726901909 , std 0.10690408578282831 
2023-05-09 10:01:44,216 INFO used_ofi_cancel_4_2: 0.011299731565766387 , std 0.1056979074168832 
2023-05-09 10:01:44,216 INFO used_ofi_cancel_5_2: 0.011442196661817854 , std 0.10635446768881003 
2023-05-09 10:01:44,216 INFO used_ofi_cancel_6_2: 0.012162020305025268 , std 0.10960887540306866 
2023-05-09 10:01:44,216 INFO used_ofi_cancel_7_2: 0.013279246584586776 , std 0.11446793522525214 
2023-05-09 10:01:44,216 INFO used_ofi_cancel_8_2: 0.015213772625706702 , std 0.12240226202239893 
2023-05-09 10:01:44,216 INFO used_ofi_cancel_9_2: 0.01567865872861149 , std 0.12422897564209094 
2023-05-09 10:01:44,216 INFO used_ofi_cancel_10_2: 0.02095736544546586 , std 0.14324159409560844 
2023-05-09 10:01:44,216 INFO used_ofi_trade_1_2: 0.0012521932126628977 , std 0.03536417996816918 
2023-05-09 10:01:44,216 INFO used_ofi_trade_2_2: 0.0008397942504086499 , std 0.02896703291719106 
2023-05-09 10:01:44,216 INFO used_ofi_trade_3_2: 0.0005548640583057151 , std 0.02354901662877913 
2023-05-09 10:01:44,216 INFO used_ofi_trade_4_2: 0.00038240631045393877 , std 0.019551472473132655 
2023-05-09 10:01:44,216 INFO used_ofi_trade_5_2: 0.00024743937735254864 , std 0.01572825963376381 
2023-05-09 10:01:44,216 INFO used_ofi_trade_6_2: 0.00015746142195162185 , std 0.012547375337185815 
2023-05-09 10:01:44,216 INFO used_ofi_trade_7_2: 0.00028493019210293477 , std 0.016877470393650906 
2023-05-09 10:01:44,216 INFO used_ofi_trade_8_2: 0.00024743937735254864 , std 0.01572825963376381 
