2023-05-09 09:09:35,219 INFO Starting...
2023-05-09 09:09:35,219 INFO Tickers: ['C']
2023-05-09 09:10:57,152 INFO in_r2: 0.09175989564189617 , std 0.17522130459554242 
2023-05-09 09:10:57,153 INFO os_r2: -0.11459702045430617 , std 0.15560351076181242 
2023-05-09 09:10:57,153 INFO intercept: -2.020713988722198e-06 , std 0.00013667395434438897 
2023-05-09 09:10:57,153 INFO ofi_add_1_1: -1.656660496264133e-06 , std 1.7034683082511222e-05 
2023-05-09 09:10:57,153 INFO ofi_add_2_1: -6.587216062191655e-07 , std 1.2806639839136795e-05 
2023-05-09 09:10:57,153 INFO ofi_add_3_1: -3.2301018536123077e-07 , std 1.2245917911712243e-05 
2023-05-09 09:10:57,153 INFO ofi_add_4_1: -3.528263196793863e-07 , std 1.2589709323973191e-05 
2023-05-09 09:10:57,153 INFO ofi_add_5_1: -3.59368780612094e-07 , std 1.4320133835590915e-05 
2023-05-09 09:10:57,153 INFO ofi_add_6_1: -4.3725347806139834e-07 , std 1.2600004116085554e-05 
2023-05-09 09:10:57,153 INFO ofi_add_7_1: -2.975303272203745e-07 , std 1.1160689516739485e-05 
2023-05-09 09:10:57,153 INFO ofi_add_8_1: -2.2474359544710452e-07 , std 9.835798830019626e-06 
2023-05-09 09:10:57,153 INFO ofi_add_9_1: -1.683205166074781e-07 , std 1.121686570760216e-05 
2023-05-09 09:10:57,153 INFO ofi_add_10_1: -1.9065218041723644e-07 , std 1.1837275022560749e-05 
2023-05-09 09:10:57,153 INFO ofi_cancel_1_1: -7.958779999778992e-08 , std 1.1262214310761606e-05 
2023-05-09 09:10:57,153 INFO ofi_cancel_2_1: -2.882305094790165e-07 , std 1.23973390847584e-05 
2023-05-09 09:10:57,153 INFO ofi_cancel_3_1: -5.05543596880217e-07 , std 1.2223638603822849e-05 
2023-05-09 09:10:57,153 INFO ofi_cancel_4_1: -4.611955525124024e-07 , std 1.2485734065335754e-05 
2023-05-09 09:10:57,153 INFO ofi_cancel_5_1: -4.5403965968478176e-07 , std 1.2009223084144229e-05 
2023-05-09 09:10:57,153 INFO ofi_cancel_6_1: -2.766222218006671e-07 , std 1.0363707242686872e-05 
2023-05-09 09:10:57,153 INFO ofi_cancel_7_1: -1.5017786539246183e-07 , std 9.724880168625048e-06 
2023-05-09 09:10:57,153 INFO ofi_cancel_8_1: -2.0325888199268545e-07 , std 7.483270763297946e-06 
2023-05-09 09:10:57,153 INFO ofi_cancel_9_1: -8.859722244606595e-08 , std 7.0739553352473826e-06 
2023-05-09 09:10:57,153 INFO ofi_cancel_10_1: -5.686145333871513e-08 , std 6.743687402928732e-06 
2023-05-09 09:10:57,153 INFO ofi_trade_1_1: -2.9452774140481906e-08 , std 4.798802002885171e-06 
2023-05-09 09:10:57,153 INFO ofi_trade_2_1: -1.1771054843732722e-07 , std 8.164815700756457e-06 
2023-05-09 09:10:57,153 INFO ofi_trade_3_1: -2.468804266401412e-07 , std 1.007331998000015e-05 
2023-05-09 09:10:57,153 INFO ofi_trade_4_1: -3.062132932684376e-07 , std 1.0093428217464968e-05 
2023-05-09 09:10:57,153 INFO ofi_trade_5_1: -2.836124405402498e-07 , std 9.723273949359452e-06 
2023-05-09 09:10:57,153 INFO ofi_trade_6_1: -1.6898274424222098e-07 , std 8.918917269648992e-06 
2023-05-09 09:10:57,153 INFO ofi_trade_7_1: -9.971270329468559e-08 , std 6.277499695583674e-06 
2023-05-09 09:10:57,153 INFO ofi_trade_8_1: -7.966538138698422e-08 , std 5.030955583440793e-06 
2023-05-09 09:10:57,153 INFO ofi_trade_9_1: -4.988792074258651e-08 , std 5.486772538724028e-06 
2023-05-09 09:10:57,153 INFO ofi_trade_10_1: -8.182135104963104e-08 , std 5.916525927095893e-06 
2023-05-09 09:10:57,153 INFO ofi_add_1_2: -2.1235388750804217e-06 , std 1.734448578314579e-05 
2023-05-09 09:10:57,153 INFO ofi_add_2_2: -6.570317995272354e-07 , std 1.4258047976758466e-05 
2023-05-09 09:10:57,153 INFO ofi_add_3_2: -4.316674358520165e-07 , std 1.3493055158141071e-05 
2023-05-09 09:10:57,154 INFO ofi_add_4_2: -4.6939691930783983e-07 , std 1.2903145956155404e-05 
2023-05-09 09:10:57,154 INFO ofi_add_5_2: -6.504945353976373e-07 , std 1.4157074599719492e-05 
2023-05-09 09:10:57,154 INFO ofi_add_6_2: -5.403158837249063e-07 , std 1.309255874442163e-05 
2023-05-09 09:10:57,154 INFO ofi_add_7_2: -4.738410165669837e-07 , std 1.1740075484261773e-05 
2023-05-09 09:10:57,154 INFO ofi_add_8_2: -4.303659238144496e-07 , std 1.2111257640550031e-05 
2023-05-09 09:10:57,154 INFO ofi_add_9_2: -3.336807180098954e-07 , std 1.2126176612740405e-05 
2023-05-09 09:10:57,154 INFO ofi_add_10_2: -4.6644246890484664e-07 , std 1.2624133144947402e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_1_2: -1.0483884020288737e-07 , std 1.3329730701670893e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_2_2: -3.344654514177517e-07 , std 1.2071100699868642e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_3_2: -5.484081045109623e-07 , std 1.2509591943904036e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_4_2: -5.266266049064517e-07 , std 1.226805567447912e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_5_2: -5.089232528515708e-07 , std 1.1823663443826456e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_6_2: -3.143877162133797e-07 , std 1.078744911943688e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_7_2: -1.7337036668577842e-07 , std 8.61443976780695e-06 
2023-05-09 09:10:57,154 INFO ofi_cancel_8_2: -1.4003132534946145e-07 , std 8.356097250807597e-06 
2023-05-09 09:10:57,154 INFO ofi_cancel_9_2: -1.7926339708587696e-07 , std 8.194466266599923e-06 
2023-05-09 09:10:57,154 INFO ofi_cancel_10_2: -1.011925200562922e-07 , std 6.309004103925157e-06 
2023-05-09 09:10:57,154 INFO ofi_trade_1_2: -1.4767719908958562e-08 , std 2.8357392257929775e-06 
2023-05-09 09:10:57,154 INFO ofi_trade_2_2: -1.1855546057703458e-07 , std 7.470048690705822e-06 
2023-05-09 09:10:57,154 INFO ofi_trade_3_2: -3.280305604901324e-07 , std 1.034105529826824e-05 
2023-05-09 09:10:57,154 INFO ofi_trade_4_2: -3.032175182849006e-07 , std 1.0608053304872481e-05 
2023-05-09 09:10:57,154 INFO ofi_trade_5_2: -3.251439529080178e-07 , std 1.1025283588932314e-05 
2023-05-09 09:10:57,154 INFO ofi_trade_6_2: -1.8220740383251977e-07 , std 8.685554678509853e-06 
2023-05-09 09:10:57,154 INFO ofi_trade_7_2: -1.1163460193448477e-07 , std 7.005257829693081e-06 
2023-05-09 09:10:57,154 INFO ofi_trade_8_2: -9.481465145371375e-08 , std 6.7215439384862374e-06 
2023-05-09 09:10:57,154 INFO ofi_trade_9_2: -1.176182326876813e-07 , std 7.5279352197706224e-06 
2023-05-09 09:10:57,154 INFO ofi_trade_10_2: -6.649038325084852e-08 , std 5.770305696334783e-06 
2023-05-09 09:10:57,154 INFO ofi_add_1_3: -2.337311202524719e-06 , std 1.783898877587957e-05 
2023-05-09 09:10:57,154 INFO ofi_add_2_3: -5.557885497399614e-07 , std 1.5624076145064732e-05 
2023-05-09 09:10:57,154 INFO ofi_add_3_3: -2.686235329249566e-07 , std 1.4323780768391908e-05 
2023-05-09 09:10:57,154 INFO ofi_add_4_3: -5.803595688868132e-07 , std 1.596444600681815e-05 
2023-05-09 09:10:57,154 INFO ofi_add_5_3: -7.315544818948172e-07 , std 1.602690094423716e-05 
2023-05-09 09:10:57,154 INFO ofi_add_6_3: -6.912691553068761e-07 , std 1.5230433204484993e-05 
2023-05-09 09:10:57,154 INFO ofi_add_7_3: -6.411738814084759e-07 , std 1.4912269562330132e-05 
2023-05-09 09:10:57,154 INFO ofi_add_8_3: -4.6435106367406473e-07 , std 1.3161046576454699e-05 
2023-05-09 09:10:57,154 INFO ofi_add_9_3: -5.419747310432788e-07 , std 1.4735059093638403e-05 
2023-05-09 09:10:57,154 INFO ofi_add_10_3: -7.973681939456507e-07 , std 1.601332373027552e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_1_3: -1.1125524507871029e-07 , std 1.7420026971544365e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_2_3: -7.69171644179829e-07 , std 1.5588527028722276e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_3_3: -7.467472793484405e-07 , std 1.4100364217200908e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_4_3: -7.739479656800489e-07 , std 1.3166582053714956e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_5_3: -6.331946568361616e-07 , std 1.3088235953497064e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_6_3: -3.0498900622998477e-07 , std 1.0815989755961506e-05 
2023-05-09 09:10:57,154 INFO ofi_cancel_7_3: -2.6530110454590904e-07 , std 9.733197274087063e-06 
2023-05-09 09:10:57,154 INFO ofi_cancel_8_3: -1.841773165180027e-07 , std 9.32471442077597e-06 
2023-05-09 09:10:57,154 INFO ofi_cancel_9_3: -2.0674771572885803e-07 , std 9.05366079568532e-06 
2023-05-09 09:10:57,154 INFO ofi_cancel_10_3: -1.1632235996402014e-07 , std 7.516267189742101e-06 
2023-05-09 09:10:57,154 INFO ofi_trade_1_3: 9.679646001329197e-09 , std 5.766508608331696e-06 
2023-05-09 09:10:57,154 INFO ofi_trade_2_3: -1.7986366231327587e-07 , std 9.433375468348478e-06 
2023-05-09 09:10:57,154 INFO ofi_trade_3_3: -3.524909598023256e-07 , std 1.142805999267228e-05 
2023-05-09 09:10:57,154 INFO ofi_trade_4_3: -4.3749840335994953e-07 , std 1.2559839085096172e-05 
2023-05-09 09:10:57,154 INFO ofi_trade_5_3: -3.316561143210088e-07 , std 1.2685102616318195e-05 
2023-05-09 09:10:57,155 INFO ofi_trade_6_3: -1.1012793568646248e-07 , std 9.744159271932235e-06 
2023-05-09 09:10:57,155 INFO ofi_trade_7_3: -8.433621314266449e-08 , std 8.296021759913302e-06 
2023-05-09 09:10:57,155 INFO ofi_trade_8_3: -1.0415920786747896e-07 , std 7.533256767150629e-06 
2023-05-09 09:10:57,155 INFO ofi_trade_9_3: -1.0463852388766647e-07 , std 8.440713635020718e-06 
2023-05-09 09:10:57,155 INFO ofi_trade_10_3: -6.44806421021082e-08 , std 7.893526835619725e-06 
2023-05-09 09:10:57,155 INFO used_intercept: 0.9884232302612651 , std 0.10697078171702414 
2023-05-09 09:10:57,155 INFO used_ofi_add_1_1: 0.044631073237339766 , std 0.2064924709015391 
2023-05-09 09:10:57,155 INFO used_ofi_add_2_1: 0.018541098674265778 , std 0.13489746600369085 
2023-05-09 09:10:57,155 INFO used_ofi_add_3_1: 0.012649961410767538 , std 0.11175839962648725 
2023-05-09 09:10:57,155 INFO used_ofi_add_4_1: 0.016664154941476803 , std 0.12800961245767153 
2023-05-09 09:10:57,155 INFO used_ofi_add_5_1: 0.021596269859754397 , std 0.14536117427944456 
2023-05-09 09:10:57,155 INFO used_ofi_add_6_1: 0.014568006101208824 , std 0.11981560540866104 
2023-05-09 09:10:57,155 INFO used_ofi_add_7_1: 0.009476054125394455 , std 0.09688270497672456 
2023-05-09 09:10:57,155 INFO used_ofi_add_8_1: 0.008078621565215802 , std 0.08951735831011678 
2023-05-09 09:10:57,155 INFO used_ofi_add_9_1: 0.008042087380635969 , std 0.0893163602661807 
2023-05-09 09:10:57,155 INFO used_ofi_add_10_1: 0.008101455430578199 , std 0.0896427456656954 
2023-05-09 09:10:57,155 INFO used_ofi_cancel_1_1: 0.0060509743210350134 , std 0.07755230512886892 
2023-05-09 09:10:57,155 INFO used_ofi_cancel_2_1: 0.00778634808857713 , std 0.0878960799582134 
2023-05-09 09:10:57,155 INFO used_ofi_cancel_3_1: 0.01085978636635567 , std 0.10364290330955024 
2023-05-09 09:10:57,155 INFO used_ofi_cancel_4_1: 0.01318884063332009 , std 0.11408284321522223 
2023-05-09 09:10:57,155 INFO used_ofi_cancel_5_1: 0.013745986948162559 , std 0.1164346803619244 
2023-05-09 09:10:57,155 INFO used_ofi_cancel_6_1: 0.00680905865106657 , std 0.0822356089012108 
2023-05-09 09:10:57,155 INFO used_ofi_cancel_7_1: 0.004123796084448767 , std 0.06408424447789528 
2023-05-09 09:10:57,155 INFO used_ofi_cancel_8_1: 0.0033657117544172114 , std 0.057917041868550144 
2023-05-09 09:10:57,155 INFO used_ofi_cancel_9_1: 0.002877067035661931 , std 0.053561082148648166 
2023-05-09 09:10:57,155 INFO used_ofi_cancel_10_1: 0.0024934580975736736 , std 0.04987224442803149 
2023-05-09 09:10:57,155 INFO used_ofi_trade_1_1: 0.0001324364191018984 , std 0.011507340252933946 
2023-05-09 09:10:57,155 INFO used_ofi_trade_2_1: 0.0016120708945851772 , std 0.040118226805480925 
2023-05-09 09:10:57,155 INFO used_ofi_trade_3_1: 0.003036904093198705 , std 0.055024370116589415 
2023-05-09 09:10:57,155 INFO used_ofi_trade_4_1: 0.0034342133505044 , std 0.05850144894930054 
2023-05-09 09:10:57,155 INFO used_ofi_trade_5_1: 0.0039913596653468695 , std 0.06305100089109379 
2023-05-09 09:10:57,155 INFO used_ofi_trade_6_1: 0.0018678101866440155 , std 0.043177789102160885 
2023-05-09 09:10:57,155 INFO used_ofi_trade_7_1: 0.0009864229836555193 , std 0.0313918771874642 
2023-05-09 09:10:57,155 INFO used_ofi_trade_8_1: 0.0008859539760609755 , std 0.029751790897579213 
2023-05-09 09:10:57,155 INFO used_ofi_trade_9_1: 0.0007215501454517223 , std 0.026851992679116407 
2023-05-09 09:10:57,155 INFO used_ofi_trade_10_1: 0.0009224881606408096 , std 0.030358477831312406 
2023-05-09 09:10:57,155 INFO used_ofi_add_1_2: 0.0653596562133231 , std 0.24715940514776963 
2023-05-09 09:10:57,155 INFO used_ofi_add_2_2: 0.02998543199389879 , std 0.17054707813984402 
2023-05-09 09:10:57,155 INFO used_ofi_add_3_2: 0.02097518872189722 , std 0.1433011869454612 
2023-05-09 09:10:57,155 INFO used_ofi_add_4_2: 0.026939394354555127 , std 0.16190634140256796 
2023-05-09 09:10:57,155 INFO used_ofi_add_5_2: 0.0355751622346134 , std 0.18522842672385448 
2023-05-09 09:10:57,155 INFO used_ofi_add_6_2: 0.02263292734720719 , std 0.1487302186742937 
2023-05-09 09:10:57,155 INFO used_ofi_add_7_2: 0.016138976038141687 , std 0.12600995790246886 
2023-05-09 09:10:57,155 INFO used_ofi_add_8_2: 0.01502468340845675 , std 0.12165090339546351 
2023-05-09 09:10:57,155 INFO used_ofi_add_9_2: 0.014376201632164696 , std 0.11903582006604586 
2023-05-09 09:10:57,155 INFO used_ofi_add_10_2: 0.016266845684171107 , std 0.12649994235436818 
2023-05-09 09:10:57,155 INFO used_ofi_cancel_1_2: 0.013197974179465048 , std 0.11412181061051925 
