2023-05-09 10:07:04,367 INFO Starting...
2023-05-09 10:07:04,367 INFO Tickers: ['CAT']
2023-05-09 10:08:22,655 INFO in_r2: 0.09346246801108671 , std 0.1777960914352887 
2023-05-09 10:08:22,656 INFO os_r2: -0.13470843093517157 , std 0.6674739879438927 
2023-05-09 10:08:22,656 INFO intercept: -8.046072871912292e-07 , std 0.00015006058715314897 
2023-05-09 10:08:22,656 INFO ofi_add_1_1: -3.299698541497356e-07 , std 9.266310177130261e-06 
2023-05-09 10:08:22,656 INFO ofi_add_2_1: -3.7147293019353333e-07 , std 1.0080315750667557e-05 
2023-05-09 10:08:22,656 INFO ofi_add_3_1: -2.9605111070782304e-07 , std 8.97419074487202e-06 
2023-05-09 10:08:22,656 INFO ofi_add_4_1: -3.544794727817531e-07 , std 8.947739228303573e-06 
2023-05-09 10:08:22,656 INFO ofi_add_5_1: -4.3105298928840575e-07 , std 1.0047635891900158e-05 
2023-05-09 10:08:22,656 INFO ofi_add_6_1: -4.622818779718065e-07 , std 9.702662556541897e-06 
2023-05-09 10:08:22,656 INFO ofi_add_7_1: -4.319495812559882e-07 , std 9.545740515835076e-06 
2023-05-09 10:08:22,656 INFO ofi_add_8_1: -4.6009750165088297e-07 , std 9.465464623088806e-06 
2023-05-09 10:08:22,656 INFO ofi_add_9_1: -3.229258382865962e-07 , std 9.038214348464688e-06 
2023-05-09 10:08:22,656 INFO ofi_add_10_1: -3.898909241879582e-07 , std 9.203011425362057e-06 
2023-05-09 10:08:22,656 INFO ofi_cancel_1_1: -4.257548844898194e-08 , std 5.61465669605522e-06 
2023-05-09 10:08:22,656 INFO ofi_cancel_2_1: -1.8423597801292152e-07 , std 7.570150788919291e-06 
2023-05-09 10:08:22,656 INFO ofi_cancel_3_1: -2.926147950512141e-07 , std 8.518983898578883e-06 
2023-05-09 10:08:22,656 INFO ofi_cancel_4_1: -3.642044049687245e-07 , std 9.258315814582666e-06 
2023-05-09 10:08:22,656 INFO ofi_cancel_5_1: -4.080621181319898e-07 , std 8.898285774235846e-06 
2023-05-09 10:08:22,656 INFO ofi_cancel_6_1: -3.352333016292059e-07 , std 9.642401502485523e-06 
2023-05-09 10:08:22,656 INFO ofi_cancel_7_1: -2.7119947635605003e-07 , std 9.453132522380996e-06 
2023-05-09 10:08:22,656 INFO ofi_cancel_8_1: -1.7366326597544213e-07 , std 7.840007614444338e-06 
2023-05-09 10:08:22,656 INFO ofi_cancel_9_1: -1.774440942603662e-07 , std 7.743260780810343e-06 
2023-05-09 10:08:22,656 INFO ofi_cancel_10_1: -2.1499427392656866e-07 , std 7.5895463899518825e-06 
2023-05-09 10:08:22,656 INFO ofi_trade_1_1: -1.3166550742176488e-09 , std 2.640850307125209e-06 
2023-05-09 10:08:22,656 INFO ofi_trade_2_1: -2.707524759113263e-08 , std 2.7833237722223664e-06 
2023-05-09 10:08:22,656 INFO ofi_trade_3_1: -5.125976500288599e-08 , std 4.1339510028205535e-06 
2023-05-09 10:08:22,656 INFO ofi_trade_4_1: -7.230227710959769e-08 , std 4.562327689864973e-06 
2023-05-09 10:08:22,656 INFO ofi_trade_5_1: -7.473850268717578e-08 , std 5.499847810785086e-06 
2023-05-09 10:08:22,656 INFO ofi_trade_6_1: -1.1798455951168328e-07 , std 5.687744302687121e-06 
2023-05-09 10:08:22,656 INFO ofi_trade_7_1: -1.0358047564463361e-07 , std 6.29090314944223e-06 
2023-05-09 10:08:22,656 INFO ofi_trade_8_1: -5.448819224037009e-08 , std 5.4068603405439895e-06 
2023-05-09 10:08:22,656 INFO ofi_trade_9_1: -6.148672938605469e-08 , std 3.915892573251414e-06 
2023-05-09 10:08:22,656 INFO ofi_trade_10_1: -6.522233288122662e-08 , std 6.237282253402085e-06 
2023-05-09 10:08:22,656 INFO ofi_add_1_2: -3.569613941449983e-07 , std 1.032397270327761e-05 
2023-05-09 10:08:22,656 INFO ofi_add_2_2: -3.4408906588773786e-07 , std 1.0133046587566566e-05 
2023-05-09 10:08:22,656 INFO ofi_add_3_2: -3.495128214630655e-07 , std 9.405118309479898e-06 
2023-05-09 10:08:22,656 INFO ofi_add_4_2: -4.387297635103958e-07 , std 9.645652899916577e-06 
2023-05-09 10:08:22,656 INFO ofi_add_5_2: -5.097463878963671e-07 , std 1.004157213613958e-05 
2023-05-09 10:08:22,656 INFO ofi_add_6_2: -4.546057140097226e-07 , std 9.269599121658137e-06 
2023-05-09 10:08:22,656 INFO ofi_add_7_2: -4.631013457060668e-07 , std 9.534329342382756e-06 
2023-05-09 10:08:22,656 INFO ofi_add_8_2: -4.394090614841416e-07 , std 9.49114352464302e-06 
2023-05-09 10:08:22,656 INFO ofi_add_9_2: -4.3925279352229157e-07 , std 9.711427511019714e-06 
2023-05-09 10:08:22,656 INFO ofi_add_10_2: -4.071622347632049e-07 , std 9.530972004855517e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_1_2: -1.1341347455922377e-07 , std 7.223255014776096e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_2_2: -3.0642698105249935e-07 , std 8.08939571413198e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_3_2: -3.875124173550662e-07 , std 9.705118621301676e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_4_2: -4.6335971174859914e-07 , std 8.97798905285576e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_5_2: -4.029818353630479e-07 , std 9.084438381325613e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_6_2: -4.3569546410087927e-07 , std 9.849005810483403e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_7_2: -3.255572421073691e-07 , std 9.162309125129787e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_8_2: -2.643949114138046e-07 , std 7.850982406576347e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_9_2: -1.5855973473824782e-07 , std 7.72769160281794e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_10_2: -3.431058024004798e-07 , std 9.259955791938971e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_1_2: -4.937600936131209e-09 , std 2.3106266071726177e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_2_2: -3.401193677996044e-08 , std 3.18880648544507e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_3_2: -7.787453078770245e-08 , std 4.31511304974013e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_4_2: -9.175167220565297e-08 , std 5.095910744553575e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_5_2: -1.4214113672321478e-07 , std 5.85739265711448e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_6_2: -1.381019434519271e-07 , std 6.168993803985393e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_7_2: -1.157437700948113e-07 , std 6.042724161999984e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_8_2: -8.721724004710511e-08 , std 4.8286680978235556e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_9_2: -7.131091752047981e-08 , std 4.878656072686816e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_10_2: -7.541525577318401e-08 , std 4.4135846019070765e-06 
2023-05-09 10:08:22,657 INFO ofi_add_1_3: -2.2692341604155427e-07 , std 1.1285816602556016e-05 
2023-05-09 10:08:22,657 INFO ofi_add_2_3: -3.393232790080362e-07 , std 1.1180027878424415e-05 
2023-05-09 10:08:22,657 INFO ofi_add_3_3: -3.861309241207634e-07 , std 1.0152714253214706e-05 
2023-05-09 10:08:22,657 INFO ofi_add_4_3: -4.3899898878958297e-07 , std 1.03789681938612e-05 
2023-05-09 10:08:22,657 INFO ofi_add_5_3: -5.220216317749588e-07 , std 1.0636650293041672e-05 
2023-05-09 10:08:22,657 INFO ofi_add_6_3: -5.311599473772275e-07 , std 1.0282627592702502e-05 
2023-05-09 10:08:22,657 INFO ofi_add_7_3: -4.4648500875602923e-07 , std 1.0217649557995425e-05 
2023-05-09 10:08:22,657 INFO ofi_add_8_3: -3.909347605847252e-07 , std 9.879506954006106e-06 
2023-05-09 10:08:22,657 INFO ofi_add_9_3: -3.859681441867539e-07 , std 1.0171561864033836e-05 
2023-05-09 10:08:22,657 INFO ofi_add_10_3: -3.5979983462863436e-07 , std 1.1316268061760206e-05 
2023-05-09 10:08:22,657 INFO ofi_cancel_1_3: -2.1597502888067484e-07 , std 1.0098254001458178e-05 
2023-05-09 10:08:22,657 INFO ofi_cancel_2_3: -3.5465991794032287e-07 , std 1.0214243033016157e-05 
2023-05-09 10:08:22,657 INFO ofi_cancel_3_3: -4.195791204132396e-07 , std 1.0301940628724193e-05 
2023-05-09 10:08:22,657 INFO ofi_cancel_4_3: -4.7654034735385124e-07 , std 9.554678122373593e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_5_3: -4.733309174352809e-07 , std 9.76446095285001e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_6_3: -3.587568200793044e-07 , std 1.0469010444384777e-05 
2023-05-09 10:08:22,657 INFO ofi_cancel_7_3: -4.219052234035512e-07 , std 1.0241068828264967e-05 
2023-05-09 10:08:22,657 INFO ofi_cancel_8_3: -4.422769171490836e-07 , std 9.650281393205145e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_9_3: -3.2443429226140544e-07 , std 9.861006773955599e-06 
2023-05-09 10:08:22,657 INFO ofi_cancel_10_3: -3.709968832753958e-07 , std 9.690228744458632e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_1_3: -4.930002543466404e-09 , std 3.9234496171196556e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_2_3: -1.5159434291732106e-08 , std 4.167620182605512e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_3_3: -9.948749726349955e-08 , std 6.301008679230039e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_4_3: -1.5424558954035e-07 , std 7.558471624038674e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_5_3: -2.188998401768244e-07 , std 8.286620356323558e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_6_3: -2.2947174089201536e-07 , std 8.132931318786221e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_7_3: -1.358788225562269e-07 , std 6.899246849968648e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_8_3: -1.024501588525259e-07 , std 5.47127207819407e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_9_3: -1.2160980816214459e-07 , std 5.9498120690542065e-06 
2023-05-09 10:08:22,657 INFO ofi_trade_10_3: -9.091624687225332e-08 , std 5.489107050204149e-06 
2023-05-09 10:08:22,657 INFO used_intercept: 0.9883090609344531 , std 0.10749074848242784 
2023-05-09 10:08:22,657 INFO used_ofi_add_1_1: 0.009133546144958512 , std 0.09513214220113211 
2023-05-09 10:08:22,657 INFO used_ofi_add_2_1: 0.011732040023199207 , std 0.10767729222121654 
2023-05-09 10:08:22,657 INFO used_ofi_add_3_1: 0.011969512222968128 , std 0.10874853102507798 
