2023-05-09 10:20:26,936 INFO Starting...
2023-05-09 10:20:26,936 INFO Tickers: ['CB']
2023-05-09 10:21:43,139 INFO in_r2: 0.08887313770253871 , std 0.17357253546272175 
2023-05-09 10:21:43,139 INFO os_r2: -0.13471002993107295 , std 0.8135447703530213 
2023-05-09 10:21:43,139 INFO intercept: -5.332146855240521e-07 , std 0.00010647288766913501 
2023-05-09 10:21:43,139 INFO ofi_add_1_1: -3.271133525174298e-07 , std 1.1500114071825697e-05 
2023-05-09 10:21:43,139 INFO ofi_add_2_1: -5.026532856614057e-07 , std 1.1000325175081504e-05 
2023-05-09 10:21:43,139 INFO ofi_add_3_1: -6.362350647945026e-07 , std 1.3339347580601895e-05 
2023-05-09 10:21:43,139 INFO ofi_add_4_1: -3.7664454681359245e-07 , std 1.0099193964095815e-05 
2023-05-09 10:21:43,139 INFO ofi_add_5_1: -4.410493730632568e-07 , std 1.0149584209891056e-05 
2023-05-09 10:21:43,139 INFO ofi_add_6_1: -2.790289712694851e-07 , std 1.0313600601627542e-05 
2023-05-09 10:21:43,139 INFO ofi_add_7_1: -2.635554542681498e-07 , std 1.0949507000357243e-05 
2023-05-09 10:21:43,139 INFO ofi_add_8_1: -1.9301588163638777e-07 , std 9.937235621174491e-06 
2023-05-09 10:21:43,139 INFO ofi_add_9_1: -2.864967034212393e-07 , std 1.1860944438283613e-05 
2023-05-09 10:21:43,139 INFO ofi_add_10_1: -2.421558135248479e-07 , std 1.1295462501590187e-05 
2023-05-09 10:21:43,139 INFO ofi_cancel_1_1: -1.6565102361399114e-07 , std 8.013977490419608e-06 
2023-05-09 10:21:43,140 INFO ofi_cancel_2_1: -2.6375462220803436e-07 , std 1.0390253181171678e-05 
2023-05-09 10:21:43,140 INFO ofi_cancel_3_1: -1.7670788028910027e-07 , std 9.144219869106265e-06 
2023-05-09 10:21:43,140 INFO ofi_cancel_4_1: -2.520351857620862e-07 , std 1.0300072403343867e-05 
2023-05-09 10:21:43,140 INFO ofi_cancel_5_1: -2.8223501291473505e-07 , std 8.544946469879389e-06 
2023-05-09 10:21:43,140 INFO ofi_cancel_6_1: -1.8597331302222248e-07 , std 9.28505446827087e-06 
2023-05-09 10:21:43,140 INFO ofi_cancel_7_1: -1.8420465206800392e-07 , std 8.72155884405622e-06 
