2023-05-09 09:28:12,233 INFO Starting...
2023-05-09 09:28:12,233 INFO Tickers: ['COST']
2023-05-09 09:29:31,441 INFO in_r2: 0.0926541482379159 , std 0.17664828691486198 
2023-05-09 09:29:31,441 INFO os_r2: -0.11142792901340659 , std 0.06981723578282022 
2023-05-09 09:29:31,441 INFO intercept: 9.952272146536058e-07 , std 0.0001033030042271215 
2023-05-09 09:29:31,441 INFO ofi_add_1_1: -9.615422580402887e-08 , std 5.135412051489195e-06 
2023-05-09 09:29:31,441 INFO ofi_add_2_1: -2.9901203240113955e-07 , std 6.931304908541189e-06 
2023-05-09 09:29:31,441 INFO ofi_add_3_1: -1.862495484276518e-07 , std 5.0289151715335676e-06 
2023-05-09 09:29:31,441 INFO ofi_add_4_1: -2.1208804717880397e-07 , std 6.1613396106419655e-06 
2023-05-09 09:29:31,441 INFO ofi_add_5_1: -2.0514992551601334e-07 , std 5.943728850253784e-06 
2023-05-09 09:29:31,441 INFO ofi_add_6_1: -3.0159228583816543e-07 , std 6.291014105747678e-06 
2023-05-09 09:29:31,441 INFO ofi_add_7_1: -2.0844510284752032e-07 , std 5.696796614934742e-06 
2023-05-09 09:29:31,441 INFO ofi_add_8_1: -2.447426854569502e-07 , std 6.031633475655783e-06 
2023-05-09 09:29:31,441 INFO ofi_add_9_1: -2.0689844706089e-07 , std 5.779340510221349e-06 
2023-05-09 09:29:31,441 INFO ofi_add_10_1: -2.7123362421488505e-07 , std 6.786472412365876e-06 
2023-05-09 09:29:31,441 INFO ofi_cancel_1_1: -2.421028573571993e-08 , std 4.721778427193138e-06 
2023-05-09 09:29:31,441 INFO ofi_cancel_2_1: -8.797736418797835e-08 , std 5.13544740403955e-06 
2023-05-09 09:29:31,441 INFO ofi_cancel_3_1: -7.848948951700508e-08 , std 5.263883898352771e-06 
2023-05-09 09:29:31,441 INFO ofi_cancel_4_1: -1.5805311323378991e-07 , std 5.553912274488303e-06 
2023-05-09 09:29:31,442 INFO ofi_cancel_5_1: -1.3491174658710936e-07 , std 5.250472029670817e-06 
2023-05-09 09:29:31,442 INFO ofi_cancel_6_1: -1.2113811925491313e-07 , std 5.294026819039346e-06 
2023-05-09 09:29:31,442 INFO ofi_cancel_7_1: -1.0998743440082924e-07 , std 4.994470101311326e-06 
2023-05-09 09:29:31,442 INFO ofi_cancel_8_1: -1.1547357743185617e-07 , std 5.712157699804304e-06 
2023-05-09 09:29:31,442 INFO ofi_cancel_9_1: -1.1238152632115381e-07 , std 4.726165967363347e-06 
2023-05-09 09:29:31,442 INFO ofi_cancel_10_1: -1.3003688516810374e-07 , std 5.434755040457878e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_1_1: -2.3156914823739335e-08 , std 2.0295389301496497e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_2_1: -6.091857680669418e-08 , std 3.149929727402222e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_3_1: -5.586079888736566e-08 , std 3.2376244153870173e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_4_1: -5.733320085011854e-08 , std 3.3807384075208886e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_5_1: -6.421344244280627e-08 , std 3.5493268365216944e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_6_1: -5.196649381918262e-08 , std 3.1833503348464967e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_7_1: -6.216954199494304e-08 , std 3.4285619694731476e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_8_1: -4.729007484562325e-08 , std 2.7628390535365566e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_9_1: -5.021853146932198e-08 , std 3.150630872778329e-06 
2023-05-09 09:29:31,442 INFO ofi_trade_10_1: -4.9723834181196046e-08 , std 3.814129702881499e-06 
2023-05-09 09:29:31,442 INFO ofi_add_1_2: -2.1302976696847534e-07 , std 5.9105404175449115e-06 
2023-05-09 09:29:31,442 INFO ofi_add_2_2: -3.247375609624608e-07 , std 6.280988718152076e-06 
