2023-05-09 09:05:32,307 INFO Starting...
2023-05-09 09:05:32,307 INFO Tickers: ['CSCO']
2023-05-09 09:06:53,085 INFO in_r2: 0.08902321299338505 , std 0.17215821319945185 
2023-05-09 09:06:53,085 INFO os_r2: -0.18890495993014697 , std 1.8777228704484403 
2023-05-09 09:06:53,086 INFO intercept: 1.7721773986675283e-07 , std 0.00013418661199376562 
2023-05-09 09:06:53,086 INFO ofi_add_1_1: -4.94268649144355e-07 , std 2.7376717121470293e-05 
2023-05-09 09:06:53,086 INFO ofi_add_2_1: -1.8129842232756642e-06 , std 3.0288711364640247e-05 
2023-05-09 09:06:53,086 INFO ofi_add_3_1: -4.701572704693023e-07 , std 2.8728463832110805e-05 
2023-05-09 09:06:53,086 INFO ofi_add_4_1: -6.001203959796712e-07 , std 2.620367893002181e-05 
2023-05-09 09:06:53,086 INFO ofi_add_5_1: -4.0350202966212834e-07 , std 1.928706381093664e-05 
2023-05-09 09:06:53,086 INFO ofi_add_6_1: -3.0816743213827515e-07 , std 2.08720462494851e-05 
2023-05-09 09:06:53,086 INFO ofi_add_7_1: -1.8847285243502761e-07 , std 1.585621258058755e-05 
2023-05-09 09:06:53,086 INFO ofi_add_8_1: -2.6506169322954574e-07 , std 1.7299752553793307e-05 
2023-05-09 09:06:53,086 INFO ofi_add_9_1: -2.8748312126175226e-07 , std 1.4343498113289693e-05 
2023-05-09 09:06:53,086 INFO ofi_add_10_1: -2.2405265934998703e-07 , std 1.7125800068501372e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_1_1: -1.0559255413683053e-06 , std 3.0291246867378057e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_2_1: 3.2863921457715802e-09 , std 2.6262174578505003e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_3_1: -5.271998346488564e-07 , std 3.377908953202668e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_4_1: -4.5800470749044375e-07 , std 2.2359020734092896e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_5_1: -1.9340505968008342e-07 , std 1.2061736257470621e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_6_1: -8.022040902716032e-08 , std 1.0996379483543841e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_7_1: -4.019121533230296e-08 , std 4.92498205575942e-06 
2023-05-09 09:06:53,086 INFO ofi_cancel_8_1: 9.828479564146658e-09 , std 8.050897731723502e-06 
2023-05-09 09:06:53,086 INFO ofi_cancel_9_1: -3.6039685216308974e-08 , std 9.250390095722644e-06 
2023-05-09 09:06:53,086 INFO ofi_cancel_10_1: -5.6870884038991107e-08 , std 7.179189152743952e-06 
2023-05-09 09:06:53,086 INFO ofi_trade_1_1: -4.934703404184364e-08 , std 1.036607224189488e-05 
2023-05-09 09:06:53,086 INFO ofi_trade_2_1: -5.029769316446614e-07 , std 2.148835276454709e-05 
2023-05-09 09:06:53,086 INFO ofi_trade_3_1: -7.88057516952637e-07 , std 2.5577431460240097e-05 
2023-05-09 09:06:53,086 INFO ofi_trade_4_1: -5.940649746607614e-07 , std 2.1779052729784493e-05 
2023-05-09 09:06:53,086 INFO ofi_trade_5_1: -3.5120841734825914e-07 , std 1.8444132573859173e-05 
2023-05-09 09:06:53,086 INFO ofi_trade_6_1: -2.55693733524753e-07 , std 1.5528139120979474e-05 
2023-05-09 09:06:53,086 INFO ofi_trade_7_1: -2.3396124342571915e-07 , std 1.3545249330452135e-05 
2023-05-09 09:06:53,086 INFO ofi_trade_8_1: -2.395461245791473e-07 , std 1.4414451036747291e-05 
2023-05-09 09:06:53,086 INFO ofi_trade_9_1: -2.780621736809663e-07 , std 1.4418979268134273e-05 
2023-05-09 09:06:53,086 INFO ofi_trade_10_1: -1.2398866896314888e-07 , std 1.3921812290992476e-05 
2023-05-09 09:06:53,086 INFO ofi_add_1_2: -1.921924353423782e-06 , std 2.5079136096682597e-05 
2023-05-09 09:06:53,086 INFO ofi_add_2_2: -2.192342626066729e-06 , std 2.9749751925621498e-05 
2023-05-09 09:06:53,086 INFO ofi_add_3_2: -3.837280640660829e-07 , std 2.789967065615703e-05 
2023-05-09 09:06:53,086 INFO ofi_add_4_2: -8.63785756212689e-07 , std 2.721889081614223e-05 
2023-05-09 09:06:53,086 INFO ofi_add_5_2: -5.879423204744663e-07 , std 2.280444516960478e-05 
2023-05-09 09:06:53,086 INFO ofi_add_6_2: -6.150637704242794e-07 , std 2.275270850685316e-05 
2023-05-09 09:06:53,086 INFO ofi_add_7_2: -4.978269150001728e-07 , std 1.984293701249482e-05 
2023-05-09 09:06:53,086 INFO ofi_add_8_2: -1.9863568729431987e-07 , std 2.0814035678745393e-05 
2023-05-09 09:06:53,086 INFO ofi_add_9_2: -2.8185221698130005e-07 , std 1.9090933641066773e-05 
2023-05-09 09:06:53,086 INFO ofi_add_10_2: -1.676108548410201e-07 , std 2.031916452036811e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_1_2: -3.015668366343418e-07 , std 2.6710437028759407e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_2_2: 2.6296254945946117e-07 , std 2.8069687807325602e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_3_2: -6.794489294794676e-07 , std 2.8446614678649883e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_4_2: -5.1942705367296e-07 , std 2.6333248696358778e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_5_2: -1.0886524505109225e-07 , std 1.3780516877260472e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_6_2: -7.149443720293401e-08 , std 1.1811731371301037e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_7_2: -8.551848071732933e-08 , std 1.113716445540306e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_8_2: -4.169887759497291e-10 , std 1.5357181477448495e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_9_2: -8.246542201610374e-09 , std 1.1336807301605463e-05 
2023-05-09 09:06:53,086 INFO ofi_cancel_10_2: -3.89616544924292e-08 , std 7.790165752970738e-06 
2023-05-09 09:06:53,086 INFO ofi_trade_1_2: -7.026731433712699e-08 , std 1.6802968477971772e-05 
2023-05-09 09:06:53,086 INFO ofi_trade_2_2: -6.121462270728647e-07 , std 2.1284094819710384e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_3_2: -9.908028161098743e-07 , std 2.687667418868292e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_4_2: -6.41325045792752e-07 , std 2.2612716944529853e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_5_2: -4.816594705979599e-07 , std 1.9477406363797755e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_6_2: -2.840702963602729e-07 , std 1.7354108954692572e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_7_2: -4.1768075290359335e-07 , std 2.2681341225913856e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_8_2: -3.855526127914171e-07 , std 1.8366017675524317e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_9_2: -2.471896082098646e-07 , std 1.4230388039533707e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_10_2: -3.038285116646079e-07 , std 1.7613339344710998e-05 
2023-05-09 09:06:53,087 INFO ofi_add_1_3: -2.6460503272343523e-06 , std 2.5120778866996177e-05 
2023-05-09 09:06:53,087 INFO ofi_add_2_3: -1.8335210603258714e-06 , std 3.0308564365031262e-05 
2023-05-09 09:06:53,087 INFO ofi_add_3_3: -9.004697281415916e-07 , std 3.5255312514962375e-05 
2023-05-09 09:06:53,087 INFO ofi_add_4_3: -1.1084694843881142e-06 , std 3.180414339385988e-05 
2023-05-09 09:06:53,087 INFO ofi_add_5_3: -7.100071076684989e-07 , std 2.973672704955881e-05 
2023-05-09 09:06:53,087 INFO ofi_add_6_3: -7.875116979489579e-07 , std 2.3221753198529578e-05 
2023-05-09 09:06:53,087 INFO ofi_add_7_3: -5.848026878960694e-07 , std 2.4014636398116016e-05 
2023-05-09 09:06:53,087 INFO ofi_add_8_3: -6.928991420402656e-07 , std 2.410265256230189e-05 
2023-05-09 09:06:53,087 INFO ofi_add_9_3: -7.585521490318818e-07 , std 2.679503970845124e-05 
2023-05-09 09:06:53,087 INFO ofi_add_10_3: -3.9186192389083853e-07 , std 2.2602077915801637e-05 
2023-05-09 09:06:53,087 INFO ofi_cancel_1_3: 6.093976706931853e-07 , std 2.9888983196132994e-05 
2023-05-09 09:06:53,087 INFO ofi_cancel_2_3: -3.2212503475560747e-07 , std 3.1590773941820944e-05 
2023-05-09 09:06:53,087 INFO ofi_cancel_3_3: -1.2231091128443404e-06 , std 3.648420625951489e-05 
2023-05-09 09:06:53,087 INFO ofi_cancel_4_3: -6.781283580165165e-07 , std 3.24740885266094e-05 
2023-05-09 09:06:53,087 INFO ofi_cancel_5_3: -1.9329666674377224e-07 , std 2.1319334070092668e-05 
2023-05-09 09:06:53,087 INFO ofi_cancel_6_3: -9.577521798366175e-08 , std 1.3084266894255545e-05 
2023-05-09 09:06:53,087 INFO ofi_cancel_7_3: -6.911706002780411e-08 , std 1.4702714279350896e-05 
2023-05-09 09:06:53,087 INFO ofi_cancel_8_3: -6.792648216841835e-08 , std 1.5396021382823375e-05 
2023-05-09 09:06:53,087 INFO ofi_cancel_9_3: 2.1393973567351348e-08 , std 1.3392722731275226e-05 
2023-05-09 09:06:53,087 INFO ofi_cancel_10_3: -8.831646657759534e-08 , std 1.4556373155431848e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_1_3: -1.2230033070131393e-07 , std 2.2794867829041456e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_2_3: -8.311275485605981e-07 , std 2.792955080653593e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_3_3: -8.543188747809216e-07 , std 2.8843118407943374e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_4_3: -5.843833894212664e-07 , std 2.675393146677711e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_5_3: -3.6683397788009903e-07 , std 2.468136620797843e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_6_3: -2.916112634208707e-07 , std 2.2393416996542376e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_7_3: -2.1354207473575134e-07 , std 1.7863598644370663e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_8_3: -1.570262488067076e-07 , std 1.9244088942130723e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_9_3: -3.6897479878346227e-07 , std 1.9012281438455793e-05 
2023-05-09 09:06:53,087 INFO ofi_trade_10_3: -2.8575226271357325e-07 , std 1.716401048619884e-05 
2023-05-09 09:06:53,087 INFO used_intercept: 0.9753491856141921 , std 0.15505854293112747 
2023-05-09 09:06:53,087 INFO used_ofi_add_1_1: 0.10571942741780778 , std 0.3074781782245021 
2023-05-09 09:06:53,087 INFO used_ofi_add_2_1: 0.027414153778695338 , std 0.16328691910650214 
2023-05-09 09:06:53,087 INFO used_ofi_add_3_1: 0.015049922809197125 , std 0.12175147897514155 
2023-05-09 09:06:53,087 INFO used_ofi_add_4_1: 0.018114717408581425 , std 0.13336631666874757 
2023-05-09 09:06:53,087 INFO used_ofi_add_5_1: 0.007262329974696033 , std 0.08490929594593671 
2023-05-09 09:06:53,087 INFO used_ofi_add_6_1: 0.004279750431629046 , std 0.0652796612113759 
2023-05-09 09:06:53,087 INFO used_ofi_add_7_1: 0.003489572390357087 , std 0.05896944356944149 
2023-05-09 09:06:53,087 INFO used_ofi_add_8_1: 0.004046807772063324 , std 0.06348567648626965 
2023-05-09 09:06:53,087 INFO used_ofi_add_9_1: 0.003421059843425993 , std 0.058389692523370014 
2023-05-09 09:06:53,087 INFO used_ofi_add_10_1: 0.004800445788305365 , std 0.0691187493270741 
2023-05-09 09:06:53,087 INFO used_ofi_cancel_1_1: 0.03193598187614759 , std 0.17582967593029897 
2023-05-09 09:06:53,087 INFO used_ofi_cancel_2_1: 0.007664270250025121 , std 0.08720968530822536 
2023-05-09 09:06:53,087 INFO used_ofi_cancel_3_1: 0.008468150800683298 , std 0.09163209712049694 
2023-05-09 09:06:53,087 INFO used_ofi_cancel_4_1: 0.008239775644246316 , std 0.09039846094695861 
2023-05-09 09:06:53,087 INFO used_ofi_cancel_5_1: 0.0016351661200887922 , std 0.04040411305608014 
2023-05-09 09:06:53,087 INFO used_ofi_cancel_6_1: 0.000717097991212124 , std 0.026769082197249935 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_7_1: 0.0004932903379038815 , std 0.022204661730060464 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_8_1: 0.00046588531913144363 , std 0.021579348229287677 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_9_1: 0.0003288602252692543 , std 0.018131521619033798 
2023-05-09 09:06:53,088 INFO used_ofi_cancel_10_1: 0.00045675031287396433 , std 0.021366836266177868 
2023-05-09 09:06:53,088 INFO used_ofi_trade_1_1: 0.00038367026281413 , std 0.01958374478856284 
