2023-05-09 09:51:33,260 INFO Starting...
2023-05-09 09:51:33,260 INFO Tickers: ['CVS']
2023-05-09 09:52:53,301 INFO in_r2: 0.09496354071871924 , std 0.1781862994232681 
2023-05-09 09:52:53,301 INFO os_r2: -0.10834697394058027 , std 0.08873336808855067 
2023-05-09 09:52:53,301 INFO intercept: 2.0155281965112456e-07 , std 0.00014507239617230657 
2023-05-09 09:52:53,301 INFO ofi_add_1_1: -1.3093649666152785e-06 , std 1.635965975334682e-05 
2023-05-09 09:52:53,301 INFO ofi_add_2_1: -6.862689177339755e-07 , std 1.3124347124157647e-05 
2023-05-09 09:52:53,301 INFO ofi_add_3_1: -3.10477793903908e-07 , std 1.163601722251234e-05 
2023-05-09 09:52:53,301 INFO ofi_add_4_1: -3.91935271541026e-07 , std 1.2282322205510489e-05 
2023-05-09 09:52:53,301 INFO ofi_add_5_1: -3.911965350582366e-07 , std 1.2801731131843502e-05 
2023-05-09 09:52:53,301 INFO ofi_add_6_1: -3.873678631495723e-07 , std 1.2368142357155792e-05 
2023-05-09 09:52:53,301 INFO ofi_add_7_1: -4.5484902496827823e-07 , std 1.1205618721155365e-05 
2023-05-09 09:52:53,301 INFO ofi_add_8_1: -3.652139020601231e-07 , std 1.0574587544522934e-05 
2023-05-09 09:52:53,301 INFO ofi_add_9_1: -2.502700546552817e-07 , std 1.0793163613912921e-05 
2023-05-09 09:52:53,301 INFO ofi_add_10_1: -3.600614594855322e-07 , std 1.2009783420276049e-05 
2023-05-09 09:52:53,301 INFO ofi_cancel_1_1: -1.607385174925037e-07 , std 1.0802108510309017e-05 
2023-05-09 09:52:53,301 INFO ofi_cancel_2_1: -3.373381167310278e-07 , std 1.1766464425996942e-05 
2023-05-09 09:52:53,301 INFO ofi_cancel_3_1: -3.4196047347916844e-07 , std 1.0644173095223061e-05 
2023-05-09 09:52:53,301 INFO ofi_cancel_4_1: -4.2022526240694567e-07 , std 1.1204234383013853e-05 
2023-05-09 09:52:53,301 INFO ofi_cancel_5_1: -4.078755873050761e-07 , std 1.1310505217300456e-05 
2023-05-09 09:52:53,301 INFO ofi_cancel_6_1: -3.1508468145312533e-07 , std 1.0683409577323586e-05 
2023-05-09 09:52:53,301 INFO ofi_cancel_7_1: -1.7154093915429608e-07 , std 9.664491369671593e-06 
2023-05-09 09:52:53,301 INFO ofi_cancel_8_1: -1.9087337856994794e-07 , std 8.747443279270965e-06 
2023-05-09 09:52:53,301 INFO ofi_cancel_9_1: -1.6899175383378955e-07 , std 8.190760889263486e-06 
2023-05-09 09:52:53,302 INFO ofi_cancel_10_1: -1.6190117059180593e-07 , std 7.934787079948995e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_1_1: -3.783454586778537e-08 , std 3.865590332199382e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_2_1: -1.2192281926472565e-07 , std 8.156942251998903e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_3_1: -1.8356409473300247e-07 , std 8.38356780955417e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_4_1: -2.393452135566198e-07 , std 9.254655485428246e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_5_1: -2.3649994233988712e-07 , std 8.504942822055376e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_6_1: -1.4875383194788313e-07 , std 8.11030640613391e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_7_1: -1.1357551015558053e-07 , std 6.308715127684817e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_8_1: -1.0191024357696779e-07 , std 6.097906114201952e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_9_1: -8.394604981879728e-08 , std 5.302321540023798e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_10_1: -1.5202750412649314e-07 , std 7.358880681713463e-06 
2023-05-09 09:52:53,302 INFO ofi_add_1_2: -1.3996797575224648e-06 , std 1.5554997311454704e-05 
2023-05-09 09:52:53,302 INFO ofi_add_2_2: -7.213745161174221e-07 , std 1.4056903583089528e-05 
2023-05-09 09:52:53,302 INFO ofi_add_3_2: -5.479920105928081e-07 , std 1.298635776996267e-05 
2023-05-09 09:52:53,302 INFO ofi_add_4_2: -5.234613178870523e-07 , std 1.1788028653968214e-05 
2023-05-09 09:52:53,302 INFO ofi_add_5_2: -5.087088708983888e-07 , std 1.3178381922741601e-05 
2023-05-09 09:52:53,302 INFO ofi_add_6_2: -6.335596782290786e-07 , std 1.2667019650896146e-05 
2023-05-09 09:52:53,302 INFO ofi_add_7_2: -5.540423544819951e-07 , std 1.211655876997394e-05 
2023-05-09 09:52:53,302 INFO ofi_add_8_2: -4.008366800714277e-07 , std 1.192451029889868e-05 
2023-05-09 09:52:53,302 INFO ofi_add_9_2: -3.9757648524006105e-07 , std 1.0879523705540623e-05 
2023-05-09 09:52:53,302 INFO ofi_add_10_2: -4.579037619370552e-07 , std 1.3003132694349043e-05 
2023-05-09 09:52:53,302 INFO ofi_cancel_1_2: -1.892924530663979e-07 , std 1.2079709734409343e-05 
2023-05-09 09:52:53,302 INFO ofi_cancel_2_2: -3.87368374984543e-07 , std 1.2158827779557928e-05 
2023-05-09 09:52:53,302 INFO ofi_cancel_3_2: -4.3856280721616566e-07 , std 1.2313768221576765e-05 
2023-05-09 09:52:53,302 INFO ofi_cancel_4_2: -4.514004439214993e-07 , std 1.0480560297343081e-05 
2023-05-09 09:52:53,302 INFO ofi_cancel_5_2: -5.155320394286148e-07 , std 1.2099522247200537e-05 
2023-05-09 09:52:53,302 INFO ofi_cancel_6_2: -3.3221226540515025e-07 , std 1.1140481646980242e-05 
2023-05-09 09:52:53,302 INFO ofi_cancel_7_2: -2.1189863197922763e-07 , std 1.0348081935404977e-05 
2023-05-09 09:52:53,302 INFO ofi_cancel_8_2: -1.8983814645916283e-07 , std 8.25818802418062e-06 
2023-05-09 09:52:53,302 INFO ofi_cancel_9_2: -1.3522626074182768e-07 , std 8.138181118623421e-06 
2023-05-09 09:52:53,302 INFO ofi_cancel_10_2: -2.5036314349879445e-07 , std 8.014671220516575e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_1_2: -4.4690045088799106e-08 , std 3.924845403110782e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_2_2: -1.7168367834638313e-07 , std 7.633416605265816e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_3_2: -1.948641312595156e-07 , std 9.179057393872337e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_4_2: -3.462398925120152e-07 , std 1.0623702469677142e-05 
2023-05-09 09:52:53,302 INFO ofi_trade_5_2: -3.3082679505455006e-07 , std 1.0491178203693904e-05 
2023-05-09 09:52:53,302 INFO ofi_trade_6_2: -2.492278189188018e-07 , std 9.100963717221106e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_7_2: -1.5444564004461706e-07 , std 7.387635329118709e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_8_2: -1.4314029233758977e-07 , std 6.924714862755036e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_9_2: -5.728828992496957e-08 , std 6.374145688903672e-06 
2023-05-09 09:52:53,302 INFO ofi_trade_10_2: -1.0640857816002685e-07 , std 5.9703815125062465e-06 
2023-05-09 09:52:53,302 INFO ofi_add_1_3: -1.1481150050017934e-06 , std 1.5948953478634026e-05 
2023-05-09 09:52:53,302 INFO ofi_add_2_3: -2.9526942987431235e-07 , std 1.5036454688674027e-05 
2023-05-09 09:52:53,302 INFO ofi_add_3_3: -5.355893245645909e-07 , std 1.4062883248400866e-05 
2023-05-09 09:52:53,302 INFO ofi_add_4_3: -5.869528486840587e-07 , std 1.4112865307645878e-05 
2023-05-09 09:52:53,302 INFO ofi_add_5_3: -5.234272534720161e-07 , std 1.4837214022429459e-05 
2023-05-09 09:52:53,302 INFO ofi_add_6_3: -5.29913017733746e-07 , std 1.3615943115691836e-05 
2023-05-09 09:52:53,302 INFO ofi_add_7_3: -8.037611229110842e-07 , std 1.4738917206537641e-05 
2023-05-09 09:52:53,302 INFO ofi_add_8_3: -3.9758781917430136e-07 , std 1.3941323925363972e-05 
2023-05-09 09:52:53,302 INFO ofi_add_9_3: -3.262845281154167e-07 , std 1.3011472307720692e-05 
2023-05-09 09:52:53,302 INFO ofi_add_10_3: -5.354018212182028e-07 , std 1.5792316053354448e-05 
2023-05-09 09:52:53,302 INFO ofi_cancel_1_3: -3.5447656979997326e-07 , std 1.4997706462621986e-05 
2023-05-09 09:52:53,302 INFO ofi_cancel_2_3: -6.851536802508194e-07 , std 1.4997118290137141e-05 
2023-05-09 09:52:53,302 INFO ofi_cancel_3_3: -4.769698132253311e-07 , std 1.2851982225883083e-05 
2023-05-09 09:52:53,302 INFO ofi_cancel_4_3: -3.7117412090124975e-07 , std 1.2573640472819175e-05 
2023-05-09 09:52:53,303 INFO ofi_cancel_5_3: -3.909797197248737e-07 , std 1.2439076261602399e-05 
2023-05-09 09:52:53,303 INFO ofi_cancel_6_3: -2.637684645836264e-07 , std 1.1818827916535997e-05 
2023-05-09 09:52:53,303 INFO ofi_cancel_7_3: -1.7271880009497456e-07 , std 1.1114678453767077e-05 
2023-05-09 09:52:53,303 INFO ofi_cancel_8_3: -2.1934859523569827e-07 , std 1.0033163666491045e-05 
2023-05-09 09:52:53,303 INFO ofi_cancel_9_3: -1.7227843713783918e-07 , std 9.453360713159252e-06 
2023-05-09 09:52:53,303 INFO ofi_cancel_10_3: -2.0518692992918366e-07 , std 1.0189953711062579e-05 
2023-05-09 09:52:53,303 INFO ofi_trade_1_3: -3.8035563027093745e-08 , std 4.55198635342549e-06 
2023-05-09 09:52:53,303 INFO ofi_trade_2_3: -3.3635474490392335e-07 , std 1.1410860664317283e-05 
2023-05-09 09:52:53,303 INFO ofi_trade_3_3: -1.7786476898686842e-07 , std 9.221182367491748e-06 
2023-05-09 09:52:53,303 INFO ofi_trade_4_3: -4.311063625375852e-07 , std 1.1413725830138598e-05 
2023-05-09 09:52:53,303 INFO ofi_trade_5_3: -3.359165121415781e-07 , std 1.0892198108393612e-05 
2023-05-09 09:52:53,303 INFO ofi_trade_6_3: -2.8309271607238615e-07 , std 1.0548980384153986e-05 
2023-05-09 09:52:53,303 INFO ofi_trade_7_3: -1.3815093696199012e-07 , std 8.452162847816835e-06 
2023-05-09 09:52:53,303 INFO ofi_trade_8_3: -1.102072056563678e-07 , std 8.077911022165925e-06 
2023-05-09 09:52:53,303 INFO ofi_trade_9_3: -9.337568122738541e-08 , std 7.596079564291773e-06 
2023-05-09 09:52:53,303 INFO ofi_trade_10_3: -1.2479334603774742e-07 , std 7.754060154136603e-06 
2023-05-09 09:52:53,303 INFO used_intercept: 0.988669836007179 , std 0.10583851556364919 
2023-05-09 09:52:53,303 INFO used_ofi_add_1_1: 0.03785398199778055 , std 0.1908430193763771 
2023-05-09 09:52:53,303 INFO used_ofi_add_2_1: 0.02132683024847812 , std 0.14447143856150504 
2023-05-09 09:52:53,303 INFO used_ofi_add_3_1: 0.015243888515935755 , std 0.12252147721460707 
2023-05-09 09:52:53,303 INFO used_ofi_add_4_1: 0.01612527571892425 , std 0.12595733881720794 
2023-05-09 09:52:53,303 INFO used_ofi_add_5_1: 0.017773880798089264 , std 0.13212861143395316 
2023-05-09 09:52:53,303 INFO used_ofi_add_6_1: 0.01673722331063647 , std 0.12828518490646673 
2023-05-09 09:52:53,303 INFO used_ofi_add_7_1: 0.014316833582222466 , std 0.1187933578042199 
2023-05-09 09:52:53,303 INFO used_ofi_add_8_1: 0.011722906477054248 , std 0.10763586735277647 
2023-05-09 09:52:53,303 INFO used_ofi_add_9_1: 0.012234385061171926 , std 0.10993045475821021 
2023-05-09 09:52:53,303 INFO used_ofi_add_10_1: 0.015860402880720454 , std 0.12493538530449125 
2023-05-09 09:52:53,303 INFO used_ofi_cancel_1_1: 0.006795358331849132 , std 0.08215340185890602 
2023-05-09 09:52:53,303 INFO used_ofi_cancel_2_1: 0.008859539760609755 , std 0.09370724793653866 
2023-05-09 09:52:53,303 INFO used_ofi_cancel_3_1: 0.00815625670744795 , std 0.08994293848863379 
2023-05-09 09:52:53,303 INFO used_ofi_cancel_4_1: 0.010215871363136094 , std 0.1005559910469185 
2023-05-09 09:52:53,303 INFO used_ofi_cancel_5_1: 0.010197604270846178 , std 0.10046697535997287 
2023-05-09 09:52:53,303 INFO used_ofi_cancel_6_1: 0.008110588976723157 , std 0.08969284989994361 
2023-05-09 09:52:53,303 INFO used_ofi_cancel_7_1: 0.006064674640252451 , std 0.07763951546577509 
2023-05-09 09:52:53,303 INFO used_ofi_cancel_8_1: 0.0049686491028574295 , std 0.0703133104678631 
2023-05-09 09:52:53,303 INFO used_ofi_cancel_9_1: 0.0053431244948007285 , std 0.0729011352136151 
2023-05-09 09:52:53,303 INFO used_ofi_cancel_10_1: 0.007073931489270367 , std 0.08380865696666112 
2023-05-09 09:52:53,303 INFO used_ofi_trade_1_1: 0.00031510734200106865 , std 0.0177484661129937 
2023-05-09 09:52:53,303 INFO used_ofi_trade_2_1: 0.0015116018869906335 , std 0.038849928529224864 
2023-05-09 09:52:53,303 INFO used_ofi_trade_3_1: 0.0021326830248478124 , std 0.04613171022153133 
2023-05-09 09:52:53,303 INFO used_ofi_trade_4_1: 0.002644161608965489 , std 0.05135338370887707 
2023-05-09 09:52:53,303 INFO used_ofi_trade_5_1: 0.0029958031355463914 , std 0.05465188285063418 
2023-05-09 09:52:53,303 INFO used_ofi_trade_6_1: 0.0019180446904412873 , std 0.0437534660913482 
2023-05-09 09:52:53,303 INFO used_ofi_trade_7_1: 0.0013380645102364218 , std 0.03655508300637365 
2023-05-09 09:52:53,303 INFO used_ofi_trade_8_1: 0.0010275239413078325 , std 0.03203854141277146 
2023-05-09 09:52:53,303 INFO used_ofi_trade_9_1: 0.0007763514223214735 , std 0.02785226563119296 
2023-05-09 09:52:53,303 INFO used_ofi_trade_10_1: 0.0011508268142647723 , std 0.033904312585692424 
2023-05-09 09:52:53,303 INFO used_ofi_add_1_2: 0.05132139578852187 , std 0.22065246457458787 
2023-05-09 09:52:53,303 INFO used_ofi_add_2_2: 0.03166600448457116 , std 0.17510930484858386 
2023-05-09 09:52:53,303 INFO used_ofi_add_3_2: 0.025299922821535075 , std 0.15703450807628064 
2023-05-09 09:52:53,303 INFO used_ofi_add_4_2: 0.025003082571823924 , std 0.15613432817202783 
2023-05-09 09:52:53,303 INFO used_ofi_add_5_2: 0.02973882624798491 , std 0.16986591318265437 
2023-05-09 09:52:53,303 INFO used_ofi_add_6_2: 0.027450872938672804 , std 0.16339315320287337 
2023-05-09 09:52:53,303 INFO used_ofi_add_7_2: 0.02421303083028501 , std 0.1537099865600693 
2023-05-09 09:52:53,303 INFO used_ofi_add_8_2: 0.02073314974905582 , std 0.14248960049961207 
2023-05-09 09:52:53,304 INFO used_ofi_add_9_2: 0.021427299256072667 , std 0.1448039022356213 
2023-05-09 09:52:53,304 INFO used_ofi_add_10_2: 0.02803085311887767 , std 0.16506097174167364 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_1_2: 0.012846332652884146 , std 0.11261129779136544 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_2_2: 0.014038260424801231 , std 0.11764857699541752 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_3_2: 0.014211797801555444 , std 0.11836309646508554 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_4_2: 0.015709699369328638 , std 0.1243499284883347 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_5_2: 0.016033940257474667 , std 0.12560594339956369 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_6_2: 0.013097505171870505 , std 0.11369239433727892 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_7_2: 0.010380275193745347 , std 0.10135346605147484 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_8_2: 0.008074054792143324 , std 0.08949225905829393 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_9_2: 0.008247592168897535 , std 0.09044097186736261 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_10_2: 0.011485434277285328 , std 0.10655289332884153 
2023-05-09 09:52:53,304 INFO used_ofi_trade_1_2: 0.0006576153224370128 , std 0.025635578100068435 
2023-05-09 09:52:53,304 INFO used_ofi_trade_2_2: 0.003466180762011755 , std 0.05877215627265018 
2023-05-09 09:52:53,304 INFO used_ofi_trade_3_2: 0.0035301155850264642 , std 0.05930981258596942 
2023-05-09 09:52:53,304 INFO used_ofi_trade_4_2: 0.004790544953030739 , std 0.06904777789388833 
2023-05-09 09:52:53,304 INFO used_ofi_trade_5_2: 0.0049275481452051165 , std 0.07002333478549706 
2023-05-09 09:52:53,304 INFO used_ofi_trade_6_2: 0.0035301155850264642 , std 0.05930981258596943 
2023-05-09 09:52:53,304 INFO used_ofi_trade_7_2: 0.0020139469249633515 , std 0.04483180726612281 
2023-05-09 09:52:53,304 INFO used_ofi_trade_8_2: 0.001790175044411868 , std 0.04227257169515754 
2023-05-09 09:52:53,304 INFO used_ofi_trade_9_2: 0.0016668721714549282 , std 0.04079330470333284 
2023-05-09 09:52:53,304 INFO used_ofi_trade_10_2: 0.0016760057175998868 , std 0.040904727384917995 
2023-05-09 09:52:53,304 INFO used_ofi_add_1_3: 0.07932028149589218 , std 0.2702379959208264 
2023-05-09 09:52:53,304 INFO used_ofi_add_2_3: 0.056459015495061035 , std 0.23080596843320472 
2023-05-09 09:52:53,304 INFO used_ofi_add_3_3: 0.04511971795609505 , std 0.20756668568837697 
2023-05-09 09:52:53,304 INFO used_ofi_add_4_3: 0.047763879565060535 , std 0.21326624527560595 
2023-05-09 09:52:53,304 INFO used_ofi_add_5_3: 0.052289551679887476 , std 0.22261031976304213 
2023-05-09 09:52:53,304 INFO used_ofi_add_6_3: 0.047512707046074174 , std 0.21273281297258334 
2023-05-09 09:52:53,304 INFO used_ofi_add_7_3: 0.04806528658784416 , std 0.21390421878278273 
2023-05-09 09:52:53,304 INFO used_ofi_add_8_3: 0.0398679289227439 , std 0.19564886190866262 
2023-05-09 09:52:53,304 INFO used_ofi_add_9_3: 0.0422015499627808 , std 0.20104869843776588 
2023-05-09 09:52:53,304 INFO used_ofi_add_10_3: 0.05927214770770826 , std 0.23613335260785134 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_1_3: 0.02819525694948692 , std 0.16553031273769567 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_2_3: 0.030040233270768543 , std 0.17069803061490293 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_3_3: 0.025975805236262004 , std 0.15906307798665847 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_4_3: 0.028432729149255844 , std 0.1662056228362353 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_5_3: 0.028062820530385026 , std 0.1651523497691281 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_6_3: 0.023299676215789163 , std 0.15085357570846158 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_7_3: 0.01747704054837811 , std 0.13104042735754665 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_8_3: 0.015924337703735164 , std 0.12518287891094598 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_9_3: 0.015568129404081782 , std 0.12379726471509596 
2023-05-09 09:52:53,304 INFO used_ofi_cancel_10_3: 0.023043936923730322 , std 0.1500430401411057 
2023-05-09 09:52:53,304 INFO used_ofi_trade_1_3: 0.0008722536568435378 , std 0.029521057406564227 
2023-05-09 09:52:53,304 INFO used_ofi_trade_2_3: 0.006324980705383769 , std 0.079277836275092 
2023-05-09 09:52:53,304 INFO used_ofi_trade_3_3: 0.007252035639097058 , std 0.08484953516776812 
2023-05-09 09:52:53,304 INFO used_ofi_trade_4_3: 0.008640334653130752 , std 0.0925509549935205 
2023-05-09 09:52:53,304 INFO used_ofi_trade_5_3: 0.008818438802957441 , std 0.09349157149195825 
2023-05-09 09:52:53,304 INFO used_ofi_trade_6_3: 0.0066446548204573165 , std 0.08124348209409965 
2023-05-09 09:52:53,304 INFO used_ofi_trade_7_3: 0.004174030588246039 , std 0.06447176170149553 
2023-05-09 09:52:53,304 INFO used_ofi_trade_8_3: 0.0035118484927365475 , std 0.05915670218073867 
2023-05-09 09:52:53,304 INFO used_ofi_trade_9_3: 0.0027628977088499495 , std 0.05249060968497491 
2023-05-09 09:52:53,304 INFO used_ofi_trade_10_3: 0.003215008243025396 , std 0.056609822160316625 
2023-05-09 09:52:53,996 INFO Grouping by horizont:
2023-05-09 09:52:53,996 INFO 1: 0.27079137610572984
2023-05-09 09:52:53,996 INFO 2: 0.43705845012855477
2023-05-09 09:52:53,996 INFO 3: 0.806108515661748
2023-05-09 09:52:53,996 INFO Grouping by ofi type:
2023-05-09 09:52:53,996 INFO add: 0.981952112817562
2023-05-09 09:52:53,996 INFO cancel: 0.4359304571796523
2023-05-09 09:52:53,996 INFO trade: 0.09607577189881857
2023-05-09 09:52:53,996 INFO Grouping by ofi type and horizont:
2023-05-09 09:52:53,996 INFO add_1: 0.1791956085910135
2023-05-09 09:52:53,996 INFO cancel_1: 0.07578559913779324
2023-05-09 09:52:53,996 INFO trade_1: 0.015810168376923183
2023-05-09 09:52:53,996 INFO add_2: 0.28488443780740086
2023-05-09 09:52:53,996 INFO cancel_2: 0.12412489210998615
2023-05-09 09:52:53,996 INFO trade_2: 0.02804912021116759
2023-05-09 09:52:53,996 INFO add_3: 0.5178720664191475
2023-05-09 09:52:53,996 INFO cancel_3: 0.23601996593187288
2023-05-09 09:52:53,996 INFO trade_3: 0.05221648331072781
2023-05-09 09:52:53,996 INFO Grouping by level:
2023-05-09 09:52:53,996 INFO 1: 0.21817758353769642
2023-05-09 09:52:53,996 INFO 2: 0.173692647038676
2023-05-09 09:52:53,996 INFO 3: 0.1469222232878026
2023-05-09 09:52:53,996 INFO 4: 0.15932557895265625
2023-05-09 09:52:53,996 INFO 5: 0.17083841386837648
2023-05-09 09:52:53,996 INFO 6: 0.14830138875569132
2023-05-09 09:52:53,996 INFO 7: 0.12804318340617335
2023-05-09 09:52:53,996 INFO 8: 0.10762057422604614
2023-05-09 09:52:53,996 INFO 9: 0.11022820165043179
2023-05-09 09:52:53,997 INFO 10: 0.15080854717248246
2023-05-09 09:52:53,997 INFO Grouping by level and horizont:
2023-05-09 09:52:53,997 INFO 1_1: 0.04496444767163075
2023-05-09 09:52:53,997 INFO 2_1: 0.03169797189607851
2023-05-09 09:52:53,997 INFO 3_1: 0.025532828248231516
2023-05-09 09:52:53,997 INFO 4_1: 0.028985308691025835
2023-05-09 09:52:53,997 INFO 5_1: 0.030967288204481833
2023-05-09 09:52:53,997 INFO 6_1: 0.026765856977800914
2023-05-09 09:52:53,997 INFO 7_1: 0.02171957273271134
2023-05-09 09:52:53,997 INFO 8_1: 0.01771907952121951
2023-05-09 09:52:53,997 INFO 9_1: 0.01835386097829413
2023-05-09 09:52:53,997 INFO 10_1: 0.02408516118425559
2023-05-09 09:52:53,997 INFO 1_2: 0.06482534376384302
2023-05-09 09:52:53,997 INFO 2_2: 0.04917044567138415
2023-05-09 09:52:53,997 INFO 3_2: 0.04304183620811698
2023-05-09 09:52:53,997 INFO 4_2: 0.0455033268941833
2023-05-09 09:52:53,997 INFO 5_2: 0.05070031465066469
2023-05-09 09:52:53,997 INFO 6_2: 0.04407849369556977
2023-05-09 09:52:53,997 INFO 7_2: 0.03660725294899371
2023-05-09 09:52:53,997 INFO 8_2: 0.030597379585611012
2023-05-09 09:52:53,997 INFO 9_2: 0.031341763596425126
2023-05-09 09:52:53,997 INFO 10_2: 0.04119229311376288
2023-05-09 09:52:53,997 INFO 1_3: 0.10838779210222264
2023-05-09 09:52:53,997 INFO 2_3: 0.09282422947121335
2023-05-09 09:52:53,997 INFO 3_3: 0.07834755883145411
2023-05-09 09:52:53,997 INFO 4_3: 0.08483694336744714
2023-05-09 09:52:53,997 INFO 5_3: 0.08917081101322993
2023-05-09 09:52:53,997 INFO 6_3: 0.07745703808232066
2023-05-09 09:52:53,997 INFO 7_3: 0.06971635772446831
2023-05-09 09:52:53,997 INFO 8_3: 0.059304115119215614
2023-05-09 09:52:53,997 INFO 9_3: 0.06053257707571253
2023-05-09 09:52:53,997 INFO 10_3: 0.08553109287446398
2023-05-09 09:52:54,008 INFO Non empty regressions: 0.39913139976161444 --- 87399 / 218973
