2023-05-09 08:58:49,722 INFO Starting...
2023-05-09 08:58:49,722 INFO Tickers: ['CVX']
2023-05-09 09:00:10,424 INFO in_r2: 0.09357114624650736 , std 0.17740608423385826 
2023-05-09 09:00:10,424 INFO os_r2: -0.10214931729388972 , std 0.052188206229251126 
2023-05-09 09:00:10,424 INFO intercept: -2.266596442247509e-06 , std 0.00011817241993074712 
2023-05-09 09:00:10,424 INFO ofi_add_1_1: -4.593564921083462e-07 , std 9.291096235582664e-06 
2023-05-09 09:00:10,424 INFO ofi_add_2_1: -3.4336128165624424e-07 , std 8.451521992535379e-06 
2023-05-09 09:00:10,424 INFO ofi_add_3_1: -4.1141667172905805e-07 , std 8.816099849666538e-06 
2023-05-09 09:00:10,424 INFO ofi_add_4_1: -4.616642599889722e-07 , std 8.25852186715504e-06 
2023-05-09 09:00:10,424 INFO ofi_add_5_1: -3.540636174689917e-07 , std 9.030390924290506e-06 
2023-05-09 09:00:10,424 INFO ofi_add_6_1: -3.724341627345263e-07 , std 7.890036963466278e-06 
2023-05-09 09:00:10,424 INFO ofi_add_7_1: -3.54227926561e-07 , std 8.519983887522494e-06 
2023-05-09 09:00:10,424 INFO ofi_add_8_1: -3.064071895675943e-07 , std 7.821727972584923e-06 
2023-05-09 09:00:10,424 INFO ofi_add_9_1: -2.1568182270283967e-07 , std 7.0008805253530625e-06 
2023-05-09 09:00:10,424 INFO ofi_add_10_1: -1.8175228857971727e-07 , std 7.890575163921763e-06 
2023-05-09 09:00:10,424 INFO ofi_cancel_1_1: -1.1493061859328545e-07 , std 7.397043763342546e-06 
2023-05-09 09:00:10,424 INFO ofi_cancel_2_1: -2.7136125059703514e-07 , std 8.418928504290577e-06 
2023-05-09 09:00:10,424 INFO ofi_cancel_3_1: -2.9041216894789704e-07 , std 8.192469947055009e-06 
2023-05-09 09:00:10,425 INFO ofi_cancel_4_1: -3.3543792970802176e-07 , std 7.867733576646667e-06 
2023-05-09 09:00:10,425 INFO ofi_cancel_5_1: -3.350166051771387e-07 , std 8.363935718165169e-06 
2023-05-09 09:00:10,425 INFO ofi_cancel_6_1: -2.77688481993048e-07 , std 7.951359597417148e-06 
2023-05-09 09:00:10,425 INFO ofi_cancel_7_1: -2.2439056238167587e-07 , std 7.3545867314268895e-06 
2023-05-09 09:00:10,425 INFO ofi_cancel_8_1: -1.7851741032442123e-07 , std 6.417198939329941e-06 
2023-05-09 09:00:10,425 INFO ofi_cancel_9_1: -1.1049962511719367e-07 , std 5.923106479201588e-06 
2023-05-09 09:00:10,425 INFO ofi_cancel_10_1: -1.4378643468357361e-07 , std 6.180062892142174e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_1_1: -7.92719562220656e-09 , std 1.4189249626610133e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_2_1: -4.571396027016167e-08 , std 4.966909860423755e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_3_1: -1.1859594480165196e-07 , std 5.584602371024709e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_4_1: -1.0977329363305074e-07 , std 5.11292406124449e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_5_1: -1.4196273212150655e-07 , std 5.644116422646294e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_6_1: -9.986852381957993e-08 , std 4.9332792623134846e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_7_1: -8.42857385765499e-08 , std 5.0705614690274905e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_8_1: -5.053628421449695e-08 , std 3.2376007474891094e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_9_1: -2.1553997894653303e-08 , std 2.3241798387215205e-06 
2023-05-09 09:00:10,425 INFO ofi_trade_10_1: -3.005615840673059e-08 , std 2.7492818529711545e-06 
2023-05-09 09:00:10,425 INFO ofi_add_1_2: -5.193175191848489e-07 , std 9.288701424354856e-06 
2023-05-09 09:00:10,425 INFO ofi_add_2_2: -4.592960836632292e-07 , std 9.39790877382204e-06 
2023-05-09 09:00:10,425 INFO ofi_add_3_2: -3.973604838070793e-07 , std 9.01504297002626e-06 
2023-05-09 09:00:10,425 INFO ofi_add_4_2: -4.678503421886196e-07 , std 8.8241174858009e-06 
2023-05-09 09:00:10,425 INFO ofi_add_5_2: -4.3425096854885356e-07 , std 8.203711310622658e-06 
2023-05-09 09:00:10,425 INFO ofi_add_6_2: -4.078959895370746e-07 , std 8.671319828150538e-06 
