2023-05-09 09:52:54,012 INFO Starting...
2023-05-09 09:52:54,012 INFO Tickers: ['DHR']
2023-05-09 09:54:12,469 INFO in_r2: 0.09274420046971756 , std 0.17761430541803294 
2023-05-09 09:54:12,469 INFO os_r2: -0.12128924297971164 , std 0.4467109868148327 
2023-05-09 09:54:12,469 INFO intercept: -3.6818220746505467e-07 , std 0.00010800820815020007 
2023-05-09 09:54:12,469 INFO ofi_add_1_1: -8.143747384571548e-07 , std 1.3254518381287552e-05 
2023-05-09 09:54:12,469 INFO ofi_add_2_1: -4.678984864755075e-07 , std 1.0735780495250877e-05 
2023-05-09 09:54:12,469 INFO ofi_add_3_1: -4.832203635314841e-07 , std 1.1530096035476065e-05 
2023-05-09 09:54:12,469 INFO ofi_add_4_1: -4.5118542616003775e-07 , std 1.0127053979492273e-05 
2023-05-09 09:54:12,469 INFO ofi_add_5_1: -5.765979044393649e-07 , std 1.1905447562997912e-05 
2023-05-09 09:54:12,469 INFO ofi_add_6_1: -5.479154499306033e-07 , std 1.0777233206850505e-05 
2023-05-09 09:54:12,469 INFO ofi_add_7_1: -4.0818043107952805e-07 , std 1.070114999307303e-05 
2023-05-09 09:54:12,469 INFO ofi_add_8_1: -3.1537286287298975e-07 , std 9.415655911031933e-06 
2023-05-09 09:54:12,469 INFO ofi_add_9_1: -2.733383081198392e-07 , std 9.025294310208566e-06 
2023-05-09 09:54:12,469 INFO ofi_add_10_1: -3.63459201961366e-07 , std 1.105266779984351e-05 
2023-05-09 09:54:12,469 INFO ofi_cancel_1_1: -1.3190827208533635e-07 , std 9.16730757365667e-06 
2023-05-09 09:54:12,469 INFO ofi_cancel_2_1: -3.4665491810931685e-07 , std 9.008607890699826e-06 
2023-05-09 09:54:12,469 INFO ofi_cancel_3_1: -5.121882327093055e-07 , std 1.1444175280838747e-05 
2023-05-09 09:54:12,469 INFO ofi_cancel_4_1: -3.1816820045616264e-07 , std 9.377778946151496e-06 
2023-05-09 09:54:12,469 INFO ofi_cancel_5_1: -4.1699521543277496e-07 , std 1.044290864773515e-05 
2023-05-09 09:54:12,469 INFO ofi_cancel_6_1: -2.2460746346619892e-07 , std 8.550331990956254e-06 
2023-05-09 09:54:12,469 INFO ofi_cancel_7_1: -2.4783626659014255e-07 , std 9.286225028004852e-06 
2023-05-09 09:54:12,469 INFO ofi_cancel_8_1: -1.5488180427353714e-07 , std 7.2334546660679e-06 
2023-05-09 09:54:12,469 INFO ofi_cancel_9_1: -1.519330759517066e-07 , std 7.450554364396508e-06 
2023-05-09 09:54:12,469 INFO ofi_cancel_10_1: -2.1226194239690998e-07 , std 1.0159662932360036e-05 
2023-05-09 09:54:12,469 INFO ofi_trade_1_1: -5.358460047782371e-08 , std 4.689604851883434e-06 
2023-05-09 09:54:12,469 INFO ofi_trade_2_1: -3.4091976189432146e-08 , std 5.348611815595118e-06 
2023-05-09 09:54:12,469 INFO ofi_trade_3_1: -9.606167000790618e-08 , std 5.676315237216084e-06 
2023-05-09 09:54:12,469 INFO ofi_trade_4_1: -1.2372508454224044e-07 , std 6.522244825262223e-06 
2023-05-09 09:54:12,469 INFO ofi_trade_5_1: -1.3742501469266646e-07 , std 5.8605300461951615e-06 
2023-05-09 09:54:12,469 INFO ofi_trade_6_1: -1.2809407288638166e-07 , std 6.723959447402732e-06 
2023-05-09 09:54:12,469 INFO ofi_trade_7_1: -9.22703850501803e-08 , std 6.197349427956733e-06 
2023-05-09 09:54:12,469 INFO ofi_trade_8_1: -5.3659834267095686e-08 , std 5.311368920939702e-06 
2023-05-09 09:54:12,469 INFO ofi_trade_9_1: -1.985830090288451e-08 , std 2.989918112234734e-06 
2023-05-09 09:54:12,469 INFO ofi_trade_10_1: -2.51940120847698e-08 , std 3.860350337976607e-06 
2023-05-09 09:54:12,469 INFO ofi_add_1_2: -6.565935194171688e-07 , std 1.2744551108606062e-05 
2023-05-09 09:54:12,470 INFO ofi_add_2_2: -4.89771191911749e-07 , std 1.079849400199397e-05 
2023-05-09 09:54:12,470 INFO ofi_add_3_2: -4.220932503348466e-07 , std 1.0304868113292213e-05 
2023-05-09 09:54:12,470 INFO ofi_add_4_2: -5.998200961105237e-07 , std 1.1128656989387676e-05 
2023-05-09 09:54:12,470 INFO ofi_add_5_2: -6.244019234708771e-07 , std 1.0976958418058603e-05 
2023-05-09 09:54:12,470 INFO ofi_add_6_2: -5.868439914737583e-07 , std 1.0948971240754125e-05 
2023-05-09 09:54:12,470 INFO ofi_add_7_2: -5.438927150654124e-07 , std 1.083568158425734e-05 
2023-05-09 09:54:12,470 INFO ofi_add_8_2: -4.408436133246101e-07 , std 1.0656534271805275e-05 
2023-05-09 09:54:12,470 INFO ofi_add_9_2: -3.237560003271901e-07 , std 1.004798409886678e-05 
2023-05-09 09:54:12,470 INFO ofi_add_10_2: -3.9236406289358214e-07 , std 1.0912110890163488e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_1_2: -1.0629767381879973e-07 , std 1.0196349030665481e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_2_2: -4.623856166899831e-07 , std 1.1256349845680268e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_3_2: -4.496838189981609e-07 , std 1.054547116655996e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_4_2: -4.539878277084322e-07 , std 1.1226882513454598e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_5_2: -4.098409294520122e-07 , std 1.0695451407938113e-05 
2023-05-09 09:54:12,470 INFO ofi_cancel_6_2: -3.1806499765452226e-07 , std 9.689974842907733e-06 
2023-05-09 09:54:12,470 INFO ofi_cancel_7_2: -2.615353199245443e-07 , std 9.997446689792174e-06 
2023-05-09 09:54:12,470 INFO ofi_cancel_8_2: -2.6045836271436845e-07 , std 8.708513743301817e-06 
2023-05-09 09:54:12,470 INFO ofi_cancel_9_2: -1.6704898255973718e-07 , std 8.53875947342541e-06 
2023-05-09 09:54:12,470 INFO ofi_cancel_10_2: -2.0933977919218954e-07 , std 9.707338926006972e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_1_2: -3.418988113006344e-08 , std 2.9881334597427523e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_2_2: -9.918249722230416e-08 , std 6.749941502683749e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_3_2: -1.104487171778149e-07 , std 7.171469651979825e-06 
2023-05-09 09:54:12,470 INFO ofi_trade_4_2: -1.4083293740259832e-07 , std 6.106609828835217e-06 
