2023-05-09 10:04:26,913 INFO Starting...
2023-05-09 10:04:26,913 INFO Tickers: ['GILD']
2023-05-09 10:05:46,814 INFO in_r2: 0.09858423417501275 , std 0.18367558077409743 
2023-05-09 10:05:46,814 INFO os_r2: -0.11799409357693702 , std 0.1277132633934911 
2023-05-09 10:05:46,814 INFO intercept: -6.568413481219623e-07 , std 0.0001375556397848659 
2023-05-09 10:05:46,814 INFO ofi_add_1_1: -8.684502169384697e-07 , std 1.47512564956203e-05 
2023-05-09 10:05:46,814 INFO ofi_add_2_1: -6.116542071007968e-07 , std 1.3421102377223704e-05 
2023-05-09 10:05:46,814 INFO ofi_add_3_1: -5.082211940854553e-07 , std 1.2935036781408059e-05 
2023-05-09 10:05:46,814 INFO ofi_add_4_1: -4.3511046847735816e-07 , std 1.2997247356873385e-05 
2023-05-09 10:05:46,814 INFO ofi_add_5_1: -6.084025447728854e-07 , std 1.2726676694585498e-05 
2023-05-09 10:05:46,814 INFO ofi_add_6_1: -6.071140567156302e-07 , std 1.2656671395341054e-05 
2023-05-09 10:05:46,814 INFO ofi_add_7_1: -4.931685952423223e-07 , std 1.2976682061819442e-05 
2023-05-09 10:05:46,814 INFO ofi_add_8_1: -3.480988594165428e-07 , std 1.153168204649644e-05 
2023-05-09 10:05:46,814 INFO ofi_add_9_1: -3.229379175337652e-07 , std 1.2319265896890059e-05 
2023-05-09 10:05:46,814 INFO ofi_add_10_1: -1.737646030063703e-07 , std 1.3359423434825841e-05 
2023-05-09 10:05:46,814 INFO ofi_cancel_1_1: -1.6934705977296668e-07 , std 1.0540943100499106e-05 
2023-05-09 10:05:46,814 INFO ofi_cancel_2_1: -2.90469295834698e-07 , std 1.1791319980373501e-05 
2023-05-09 10:05:46,814 INFO ofi_cancel_3_1: -4.587329420737326e-07 , std 1.126981710542263e-05 
2023-05-09 10:05:46,814 INFO ofi_cancel_4_1: -5.93079177641316e-07 , std 1.2892814676558117e-05 
2023-05-09 10:05:46,814 INFO ofi_cancel_5_1: -4.5124006032645625e-07 , std 1.1449996596496722e-05 
2023-05-09 10:05:46,814 INFO ofi_cancel_6_1: -2.647835961144196e-07 , std 9.131637793282547e-06 
2023-05-09 10:05:46,814 INFO ofi_cancel_7_1: -2.2621696221699225e-07 , std 9.512972486249694e-06 
2023-05-09 10:05:46,814 INFO ofi_cancel_8_1: -2.0572608820824694e-07 , std 8.937278946998632e-06 
2023-05-09 10:05:46,814 INFO ofi_cancel_9_1: -2.076112138682941e-07 , std 9.203488357189342e-06 
2023-05-09 10:05:46,814 INFO ofi_cancel_10_1: -2.5578607381613735e-07 , std 8.89527465034457e-06 
2023-05-09 10:05:46,814 INFO ofi_trade_1_1: -1.4549453846014862e-08 , std 3.6058257323770423e-06 
2023-05-09 10:05:46,814 INFO ofi_trade_2_1: -2.2467353080697436e-07 , std 9.501986142514864e-06 
2023-05-09 10:05:46,814 INFO ofi_trade_3_1: -2.3954556891472513e-07 , std 8.89368407772444e-06 
2023-05-09 10:05:46,814 INFO ofi_trade_4_1: -2.6405576147065293e-07 , std 9.802084069247934e-06 
2023-05-09 10:05:46,814 INFO ofi_trade_5_1: -2.7641666478533126e-07 , std 1.0338273837546563e-05 
2023-05-09 10:05:46,814 INFO ofi_trade_6_1: -2.3804040339054554e-07 , std 8.411336317140371e-06 
2023-05-09 10:05:46,814 INFO ofi_trade_7_1: -1.236715112415955e-07 , std 6.390168201148398e-06 
2023-05-09 10:05:46,814 INFO ofi_trade_8_1: -1.2601798889622046e-07 , std 7.429844029224513e-06 
2023-05-09 10:05:46,814 INFO ofi_trade_9_1: -1.08783841092436e-07 , std 5.887556740661164e-06 
2023-05-09 10:05:46,814 INFO ofi_trade_10_1: -1.5923104878219773e-07 , std 6.809920325234568e-06 
2023-05-09 10:05:46,814 INFO ofi_add_1_2: -1.2257510330309045e-06 , std 1.6014584138278068e-05 
2023-05-09 10:05:46,814 INFO ofi_add_2_2: -5.936340166036221e-07 , std 1.432653477418706e-05 
2023-05-09 10:05:46,814 INFO ofi_add_3_2: -6.899262007573096e-07 , std 1.3955794082236843e-05 
2023-05-09 10:05:46,814 INFO ofi_add_4_2: -5.629520121675075e-07 , std 1.364143092257101e-05 
2023-05-09 10:05:46,814 INFO ofi_add_5_2: -5.251211317127879e-07 , std 1.3659733509801763e-05 
2023-05-09 10:05:46,814 INFO ofi_add_6_2: -7.005351156484015e-07 , std 1.3632638841686178e-05 
2023-05-09 10:05:46,814 INFO ofi_add_7_2: -5.569745526565363e-07 , std 1.2465874270359545e-05 
2023-05-09 10:05:46,815 INFO ofi_add_8_2: -3.348130103118602e-07 , std 1.1453868978742936e-05 
2023-05-09 10:05:46,815 INFO ofi_add_9_2: -3.1371646451853215e-07 , std 1.1742305903670244e-05 
2023-05-09 10:05:46,815 INFO ofi_add_10_2: -2.812591962681831e-07 , std 1.3203525536171095e-05 
2023-05-09 10:05:46,815 INFO ofi_cancel_1_2: -1.684829966565599e-07 , std 1.2649683796901416e-05 
2023-05-09 10:05:46,815 INFO ofi_cancel_2_2: -4.7241479798832987e-07 , std 1.2812277761370672e-05 
2023-05-09 10:05:46,815 INFO ofi_cancel_3_2: -5.480502890017614e-07 , std 1.290967903899313e-05 
