2023-05-09 08:39:46,962 INFO Starting...
2023-05-09 08:39:46,962 INFO Tickers: ['GOOGL']
2023-05-09 08:41:13,445 INFO in_r2: 0.08451618829139228 , std 0.16330866780861739 
2023-05-09 08:41:13,445 INFO os_r2: -0.10843396782332518 , std 0.05818846210848186 
2023-05-09 08:41:13,445 INFO intercept: -1.1975978454860835e-06 , std 0.00013377508171568873 
2023-05-09 08:41:13,445 INFO ofi_add_1_1: -3.418586154914535e-08 , std 2.2288409665352582e-06 
2023-05-09 08:41:13,445 INFO ofi_add_2_1: -5.069809167163764e-08 , std 2.0914382269312593e-06 
2023-05-09 08:41:13,445 INFO ofi_add_3_1: -5.818484259499535e-08 , std 1.8658304564521008e-06 
2023-05-09 08:41:13,445 INFO ofi_add_4_1: -6.149372694094385e-08 , std 1.9670597920049293e-06 
2023-05-09 08:41:13,445 INFO ofi_add_5_1: -5.069384043238917e-08 , std 1.8261595149444177e-06 
2023-05-09 08:41:13,445 INFO ofi_add_6_1: -4.6964572426060597e-08 , std 2.026352998745019e-06 
2023-05-09 08:41:13,445 INFO ofi_add_7_1: -6.135378627012717e-08 , std 1.883647294770487e-06 
2023-05-09 08:41:13,445 INFO ofi_add_8_1: -3.896332920133403e-08 , std 1.889277060223385e-06 
2023-05-09 08:41:13,445 INFO ofi_add_9_1: -4.3944725357889766e-08 , std 1.686980002462815e-06 
2023-05-09 08:41:13,445 INFO ofi_add_10_1: -7.833824195086125e-08 , std 2.121417074711886e-06 
2023-05-09 08:41:13,445 INFO ofi_cancel_1_1: -7.587995295178154e-09 , std 1.1575928585212087e-06 
2023-05-09 08:41:13,445 INFO ofi_cancel_2_1: -1.0373106800368642e-08 , std 2.101615915287972e-06 
2023-05-09 08:41:13,445 INFO ofi_cancel_3_1: -2.9812658296861636e-08 , std 1.6193093515392263e-06 
2023-05-09 08:41:13,445 INFO ofi_cancel_4_1: -2.4777147775561265e-08 , std 1.6625033950796737e-06 
2023-05-09 08:41:13,445 INFO ofi_cancel_5_1: -3.136371408245963e-08 , std 1.5089089318130057e-06 
2023-05-09 08:41:13,445 INFO ofi_cancel_6_1: -5.3096180037892865e-08 , std 1.910055426765824e-06 
2023-05-09 08:41:13,445 INFO ofi_cancel_7_1: -4.7800519547998475e-08 , std 1.8606341120593915e-06 
2023-05-09 08:41:13,445 INFO ofi_cancel_8_1: -6.717750994141854e-08 , std 1.7434058934423805e-06 
2023-05-09 08:41:13,445 INFO ofi_cancel_9_1: -5.611613437608432e-08 , std 1.674793877740233e-06 
2023-05-09 08:41:13,445 INFO ofi_cancel_10_1: -7.104648197106759e-08 , std 1.905852852912992e-06 
2023-05-09 08:41:13,445 INFO ofi_trade_1_1: -7.506459091252378e-09 , std 8.526918633092784e-07 
2023-05-09 08:41:13,445 INFO ofi_trade_2_1: -2.769671051185894e-09 , std 5.570369399157716e-07 
2023-05-09 08:41:13,445 INFO ofi_trade_3_1: -2.158604805807827e-09 , std 4.196072190182861e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_4_1: -2.0242662392458188e-09 , std 5.395675677275773e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_5_1: 1.5965727484839827e-10 , std 1.206844307268029e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_6_1: -1.4242397420300928e-09 , std 2.8420519143788734e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_7_1: -1.8590904019287217e-09 , std 3.9106699958056336e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_8_1: -2.245417804684689e-09 , std 4.6105529053320426e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_9_1: -2.497426642866388e-09 , std 4.1227222697121295e-07 
2023-05-09 08:41:13,446 INFO ofi_trade_10_1: -1.7336084167274119e-09 , std 2.674645849800367e-07 
2023-05-09 08:41:13,446 INFO ofi_add_1_2: -4.994842576324844e-08 , std 2.0760743135112642e-06 
2023-05-09 08:41:13,446 INFO ofi_add_2_2: -6.528103936853911e-08 , std 2.029258634831357e-06 
2023-05-09 08:41:13,446 INFO ofi_add_3_2: -5.912946528946083e-08 , std 1.7744697022299698e-06 
2023-05-09 08:41:13,446 INFO ofi_add_4_2: -6.324886359351554e-08 , std 1.8509071590144438e-06 
2023-05-09 08:41:13,446 INFO ofi_add_5_2: -5.7798527319558285e-08 , std 1.885833740377422e-06 
2023-05-09 08:41:13,446 INFO ofi_add_6_2: -5.269028653624191e-08 , std 1.8137539129853092e-06 
2023-05-09 08:41:13,446 INFO ofi_add_7_2: -5.4751749813761515e-08 , std 1.8212036089709647e-06 
