2023-05-09 08:56:06,613 INFO Starting...
2023-05-09 08:56:06,613 INFO Tickers: ['HD']
2023-05-09 08:57:25,699 INFO in_r2: 0.09238197893120038 , std 0.17742103934817333 
2023-05-09 08:57:25,699 INFO os_r2: -0.10979546309131616 , std 0.17859015830683728 
2023-05-09 08:57:25,699 INFO intercept: 9.207880095018934e-07 , std 0.00010997173481635889 
2023-05-09 08:57:25,699 INFO ofi_add_1_1: -1.2070649363806884e-07 , std 6.560367250704037e-06 
2023-05-09 08:57:25,699 INFO ofi_add_2_1: -2.5779840120544606e-07 , std 7.031656397749237e-06 
2023-05-09 08:57:25,699 INFO ofi_add_3_1: -2.9993594347783614e-07 , std 7.20335644804028e-06 
2023-05-09 08:57:25,699 INFO ofi_add_4_1: -3.0353776276868225e-07 , std 6.524211592009288e-06 
2023-05-09 08:57:25,699 INFO ofi_add_5_1: -3.004425782869229e-07 , std 7.064622822821618e-06 
2023-05-09 08:57:25,699 INFO ofi_add_6_1: -4.253352197640324e-07 , std 7.4346470173353045e-06 
2023-05-09 08:57:25,699 INFO ofi_add_7_1: -3.634538818350783e-07 , std 7.072972214393643e-06 
2023-05-09 08:57:25,699 INFO ofi_add_8_1: -2.7879186332899755e-07 , std 7.04552104435912e-06 
2023-05-09 08:57:25,700 INFO ofi_add_9_1: -2.8354403263421716e-07 , std 6.799829293286512e-06 
2023-05-09 08:57:25,700 INFO ofi_add_10_1: -2.9222593090745337e-07 , std 7.196341483349756e-06 
2023-05-09 08:57:25,700 INFO ofi_cancel_1_1: -8.236436899649209e-08 , std 5.160655376220194e-06 
2023-05-09 08:57:25,700 INFO ofi_cancel_2_1: -1.1210562758192124e-07 , std 6.080980259838176e-06 
2023-05-09 08:57:25,700 INFO ofi_cancel_3_1: -1.8546864924116825e-07 , std 6.172317143739244e-06 
2023-05-09 08:57:25,700 INFO ofi_cancel_4_1: -2.5584620350896145e-07 , std 6.954455698835912e-06 
2023-05-09 08:57:25,700 INFO ofi_cancel_5_1: -2.654507838621901e-07 , std 7.39154347882434e-06 
2023-05-09 08:57:25,700 INFO ofi_cancel_6_1: -2.23716188452964e-07 , std 6.80789238327073e-06 
2023-05-09 08:57:25,700 INFO ofi_cancel_7_1: -1.9189846231100765e-07 , std 6.280992998696962e-06 
2023-05-09 08:57:25,700 INFO ofi_cancel_8_1: -1.5200446453341223e-07 , std 6.10926974573583e-06 
2023-05-09 08:57:25,700 INFO ofi_cancel_9_1: -1.614613005752122e-07 , std 6.093768422127411e-06 
2023-05-09 08:57:25,700 INFO ofi_cancel_10_1: -1.6064626507279322e-07 , std 6.536454691819934e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_1_1: -2.659833326244036e-09 , std 1.7898114668919986e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_2_1: -1.5156201673243804e-08 , std 3.235044562980872e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_3_1: -2.4222758126245847e-08 , std 2.9991299994626234e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_4_1: -6.848958472630543e-08 , std 4.118803520533548e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_5_1: -7.315238293704313e-08 , std 3.95711184920563e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_6_1: -6.645131253956881e-08 , std 3.976197343252568e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_7_1: -5.450225029135898e-08 , std 4.160288949138803e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_8_1: -4.2394967395516426e-08 , std 4.011811068682843e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_9_1: -5.575029732434549e-08 , std 3.992590471799189e-06 
2023-05-09 08:57:25,700 INFO ofi_trade_10_1: -3.4822149501667793e-08 , std 3.08115494954527e-06 
2023-05-09 08:57:25,700 INFO ofi_add_1_2: -2.414111213194071e-07 , std 7.471037861790892e-06 
2023-05-09 08:57:25,700 INFO ofi_add_2_2: -2.5233085153908565e-07 , std 6.881587211988981e-06 
2023-05-09 08:57:25,700 INFO ofi_add_3_2: -2.7356916921639197e-07 , std 6.941288320368819e-06 
2023-05-09 08:57:25,700 INFO ofi_add_4_2: -2.770388003211919e-07 , std 7.277695147020136e-06 
2023-05-09 08:57:25,700 INFO ofi_add_5_2: -3.197369613055374e-07 , std 7.5619030896539205e-06 
2023-05-09 08:57:25,700 INFO ofi_add_6_2: -3.728263708974548e-07 , std 7.375097719010523e-06 
2023-05-09 08:57:25,700 INFO ofi_add_7_2: -2.77292989599361e-07 , std 6.70527824516985e-06 
2023-05-09 08:57:25,700 INFO ofi_add_8_2: -2.585088081183504e-07 , std 7.115738695218085e-06 
2023-05-09 08:57:25,700 INFO ofi_add_9_2: -2.878006097263395e-07 , std 7.202359577929189e-06 
