2023-05-09 09:33:38,030 INFO Starting...
2023-05-09 09:33:38,030 INFO Tickers: ['HON']
2023-05-09 09:34:56,436 INFO in_r2: 0.09276395038220714 , std 0.17861703603400636 
2023-05-09 09:34:56,437 INFO os_r2: -0.11206126005687886 , std 0.1812331308411419 
2023-05-09 09:34:56,437 INFO intercept: -5.770786632161778e-08 , std 0.00010214272007756127 
2023-05-09 09:34:56,437 INFO ofi_add_1_1: -2.572817271792185e-07 , std 7.999744619553177e-06 
2023-05-09 09:34:56,437 INFO ofi_add_2_1: -3.548525147481985e-07 , std 8.959534573069074e-06 
2023-05-09 09:34:56,437 INFO ofi_add_3_1: -4.2170951554699257e-07 , std 8.80164906086145e-06 
2023-05-09 09:34:56,437 INFO ofi_add_4_1: -4.61696532890944e-07 , std 8.790033767093375e-06 
2023-05-09 09:34:56,437 INFO ofi_add_5_1: -5.370840566562066e-07 , std 9.337764922460695e-06 
2023-05-09 09:34:56,437 INFO ofi_add_6_1: -4.415791647821276e-07 , std 8.566731822665865e-06 
2023-05-09 09:34:56,437 INFO ofi_add_7_1: -3.881448633606986e-07 , std 8.118855873922496e-06 
2023-05-09 09:34:56,437 INFO ofi_add_8_1: -3.9061974454224075e-07 , std 7.999474564112973e-06 
2023-05-09 09:34:56,437 INFO ofi_add_9_1: -3.6213278666070886e-07 , std 8.268700462282945e-06 
2023-05-09 09:34:56,437 INFO ofi_add_10_1: -4.268482421608969e-07 , std 9.294535578015723e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_1_1: -1.3524822681594665e-07 , std 8.15461405033197e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_2_1: -2.140026630149664e-07 , std 7.5512904501887705e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_3_1: -2.4983330105698204e-07 , std 7.5107149144576625e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_4_1: -3.139764141978566e-07 , std 8.522609130070262e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_5_1: -3.2464034123415256e-07 , std 8.263308962133549e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_6_1: -2.2189849540483692e-07 , std 8.158459737651366e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_7_1: -2.7952028728805223e-07 , std 7.831459439970604e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_8_1: -1.597515727571173e-07 , std 7.847193794299613e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_9_1: -2.013098334134118e-07 , std 7.827736684816415e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_10_1: -1.6847032478529543e-07 , std 7.977073559507225e-06 
2023-05-09 09:34:56,437 INFO ofi_trade_1_1: -3.239521578276527e-08 , std 3.0093072224576924e-06 
2023-05-09 09:34:56,437 INFO ofi_trade_2_1: -5.0372848495967266e-08 , std 3.7464336371776997e-06 
2023-05-09 09:34:56,437 INFO ofi_trade_3_1: -5.85862482781329e-08 , std 4.898970166758969e-06 
2023-05-09 09:34:56,437 INFO ofi_trade_4_1: -7.769430653628562e-08 , std 3.930296076377636e-06 
2023-05-09 09:34:56,437 INFO ofi_trade_5_1: -1.2239879934269232e-07 , std 5.2835399625567355e-06 
2023-05-09 09:34:56,437 INFO ofi_trade_6_1: -1.0551721743324193e-07 , std 6.789538955346737e-06 
2023-05-09 09:34:56,437 INFO ofi_trade_7_1: -9.521214851670439e-08 , std 4.59095864276143e-06 
2023-05-09 09:34:56,437 INFO ofi_trade_8_1: -6.854247058130117e-08 , std 3.819818592747768e-06 
2023-05-09 09:34:56,437 INFO ofi_trade_9_1: -5.2503613022790544e-08 , std 4.285815052287545e-06 
2023-05-09 09:34:56,437 INFO ofi_trade_10_1: -5.406519983313012e-08 , std 3.869621580760487e-06 
2023-05-09 09:34:56,437 INFO ofi_add_1_2: -2.237934140608554e-07 , std 9.304667069048575e-06 
2023-05-09 09:34:56,437 INFO ofi_add_2_2: -3.1821935604900567e-07 , std 8.571924884204916e-06 
2023-05-09 09:34:56,437 INFO ofi_add_3_2: -3.054657805571385e-07 , std 8.662955814641047e-06 
2023-05-09 09:34:56,437 INFO ofi_add_4_2: -4.0442283556228194e-07 , std 8.368566956065666e-06 
2023-05-09 09:34:56,437 INFO ofi_add_5_2: -5.039623209808735e-07 , std 8.433351670598646e-06 
2023-05-09 09:34:56,437 INFO ofi_add_6_2: -4.26525127856602e-07 , std 8.613445595605438e-06 
2023-05-09 09:34:56,437 INFO ofi_add_7_2: -4.013939034910683e-07 , std 8.417066011087043e-06 
2023-05-09 09:34:56,437 INFO ofi_add_8_2: -3.567943029432192e-07 , std 8.866947789304437e-06 
2023-05-09 09:34:56,437 INFO ofi_add_9_2: -3.544770718831982e-07 , std 7.892716096070232e-06 
2023-05-09 09:34:56,437 INFO ofi_add_10_2: -4.0481106083190363e-07 , std 8.940703441652051e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_1_2: -1.3026606741185253e-07 , std 7.485194885406022e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_2_2: -2.427602718960763e-07 , std 8.736574207716556e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_3_2: -2.847824520235685e-07 , std 8.384289875691001e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_4_2: -3.5057637004404843e-07 , std 8.77241475775188e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_5_2: -3.938335880317996e-07 , std 8.906073832531166e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_6_2: -3.9354117525289703e-07 , std 9.13712434627505e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_7_2: -2.8883503074794355e-07 , std 8.304951693174615e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_8_2: -2.2829959421355835e-07 , std 7.827960482578708e-06 
2023-05-09 09:34:56,437 INFO ofi_cancel_9_2: -2.6725261075221434e-07 , std 7.714333639600093e-06 
2023-05-09 09:34:56,438 INFO ofi_cancel_10_2: -1.630482356758203e-07 , std 8.184118396231707e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_1_2: -3.9843481698958955e-08 , std 3.1869186127801043e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_2_2: -6.642024616273615e-08 , std 5.1877515002625255e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_3_2: -6.569860305464247e-08 , std 4.267583674596739e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_4_2: -1.2417484954642336e-07 , std 5.63132696265141e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_5_2: -8.929760981856177e-08 , std 5.3997324360231796e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_6_2: -1.3424834226393295e-07 , std 5.463377466425335e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_7_2: -1.1208637231216034e-07 , std 5.7722106694147734e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_8_2: -7.749695490199754e-08 , std 5.020414118675326e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_9_2: -6.485300882963372e-08 , std 4.204898967332896e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_10_2: -5.906111713972234e-08 , std 4.036911153617572e-06 
2023-05-09 09:34:56,438 INFO ofi_add_1_3: -2.2208376888520327e-07 , std 1.1174966904336245e-05 
2023-05-09 09:34:56,438 INFO ofi_add_2_3: -4.1722049457667365e-07 , std 1.0072725602840578e-05 
2023-05-09 09:34:56,438 INFO ofi_add_3_3: -4.945003923757235e-07 , std 9.86032870417127e-06 
2023-05-09 09:34:56,438 INFO ofi_add_4_3: -5.224584197387091e-07 , std 9.78019891856301e-06 
2023-05-09 09:34:56,438 INFO ofi_add_5_3: -6.772478901765616e-07 , std 1.0255765569221897e-05 
2023-05-09 09:34:56,438 INFO ofi_add_6_3: -5.536833112307349e-07 , std 9.75432808760038e-06 
2023-05-09 09:34:56,438 INFO ofi_add_7_3: -4.0453293026186603e-07 , std 9.043405422351789e-06 
2023-05-09 09:34:56,438 INFO ofi_add_8_3: -3.6260056956772206e-07 , std 9.551775346342064e-06 
2023-05-09 09:34:56,438 INFO ofi_add_9_3: -4.357132455531859e-07 , std 8.860863438666743e-06 
2023-05-09 09:34:56,438 INFO ofi_add_10_3: -4.955103225602463e-07 , std 1.0424851365338444e-05 
2023-05-09 09:34:56,438 INFO ofi_cancel_1_3: -2.2480608089300186e-07 , std 9.826841871033933e-06 
2023-05-09 09:34:56,438 INFO ofi_cancel_2_3: -4.743291483312826e-07 , std 9.777909141874784e-06 
2023-05-09 09:34:56,438 INFO ofi_cancel_3_3: -4.91133118479929e-07 , std 9.876024855482298e-06 
2023-05-09 09:34:56,438 INFO ofi_cancel_4_3: -4.287094347819175e-07 , std 8.930568518474388e-06 
2023-05-09 09:34:56,438 INFO ofi_cancel_5_3: -3.994697366395868e-07 , std 9.445876164353402e-06 
2023-05-09 09:34:56,438 INFO ofi_cancel_6_3: -3.911829958830096e-07 , std 9.279653074227821e-06 
2023-05-09 09:34:56,438 INFO ofi_cancel_7_3: -4.2035268971515753e-07 , std 9.24278124294462e-06 
2023-05-09 09:34:56,438 INFO ofi_cancel_8_3: -3.324077732682621e-07 , std 8.673607097468224e-06 
2023-05-09 09:34:56,438 INFO ofi_cancel_9_3: -2.2138600609264724e-07 , std 8.415810435540171e-06 
2023-05-09 09:34:56,438 INFO ofi_cancel_10_3: -2.720003168696829e-07 , std 9.749752630552471e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_1_3: -1.7304765698915353e-08 , std 4.276342816797713e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_2_3: -4.613717392514584e-09 , std 4.4747560829510855e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_3_3: -4.694094476636121e-08 , std 4.883337584906733e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_4_3: -9.745667173215901e-08 , std 6.203148562918694e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_5_3: -9.877119020097287e-08 , std 5.452572402057724e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_6_3: -1.504162238839967e-07 , std 6.393837044053285e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_7_3: -1.6931113596536757e-07 , std 6.6655224799644206e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_8_3: -1.1770611341904657e-07 , std 5.8698801583709485e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_9_3: -5.199703277052607e-08 , std 4.658759867188715e-06 
2023-05-09 09:34:56,438 INFO ofi_trade_10_3: -4.719209132526792e-08 , std 4.74118540652573e-06 
2023-05-09 09:34:56,438 INFO used_intercept: 0.9823494220748676 , std 0.1316777696653507 
2023-05-09 09:34:56,438 INFO used_ofi_add_1_1: 0.010266105866933366 , std 0.10080036179132633 
2023-05-09 09:34:56,438 INFO used_ofi_add_2_1: 0.01514798628141369 , std 0.12214141309577105 
2023-05-09 09:34:56,438 INFO used_ofi_add_3_1: 0.016170943449649044 , std 0.1261326446150928 
2023-05-09 09:34:56,438 INFO used_ofi_add_4_1: 0.018203157466902313 , std 0.1336854611584127 
2023-05-09 09:34:56,438 INFO used_ofi_add_5_1: 0.020459143364707066 , std 0.1415647089407859 
2023-05-09 09:34:56,438 INFO used_ofi_add_6_1: 0.01993396446137195 , std 0.1397733934703766 
2023-05-09 09:34:56,438 INFO used_ofi_add_7_1: 0.01963255743858832 , std 0.1387339905250651 
2023-05-09 09:34:56,438 INFO used_ofi_add_8_1: 0.017947418174843473 , std 0.13276034180319352 
2023-05-09 09:34:56,438 INFO used_ofi_add_9_1: 0.016609353664607054 , std 0.12780251576338808 
2023-05-09 09:34:56,438 INFO used_ofi_add_10_1: 0.01815748973617752 , std 0.13352076730852816 
2023-05-09 09:34:56,438 INFO used_ofi_cancel_1_1: 0.0037630210117229066 , std 0.06122794039152581 
2023-05-09 09:34:56,438 INFO used_ofi_cancel_2_1: 0.008055787699853406 , std 0.08939178924480869 
2023-05-09 09:34:56,438 INFO used_ofi_cancel_3_1: 0.00907417809501628 , std 0.09482529929779397 
2023-05-09 09:34:56,438 INFO used_ofi_cancel_4_1: 0.010078868170961717 , std 0.09988635836466406 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_5_1: 0.010964822147022692 , std 0.10413738436463083 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_6_1: 0.011152059842994342 , std 0.10501281542865429 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_7_1: 0.010480744201339891 , std 0.10183760701394139 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_8_1: 0.009476054125394455 , std 0.09688270497672459 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_9_1: 0.00919748096797322 , std 0.09546144411131119 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_10_1: 0.010229571682353533 , std 0.1006226989577855 
2023-05-09 09:34:56,439 INFO used_ofi_trade_1_1: 0.000589113726349824 , std 0.02426451465344506 
2023-05-09 09:34:56,439 INFO used_ofi_trade_2_1: 0.0007946185146113905 , std 0.028177776633858592 
2023-05-09 09:34:56,439 INFO used_ofi_trade_3_1: 0.0012193284103519612 , std 0.03489758800518555 
2023-05-09 09:34:56,439 INFO used_ofi_trade_4_1: 0.001360898375598818 , std 0.036865245573712256 
2023-05-09 09:34:56,439 INFO used_ofi_trade_5_1: 0.0018997775981513703 , std 0.04354501628463277 
2023-05-09 09:34:56,439 INFO used_ofi_trade_6_1: 0.0016897060368173246 , std 0.04107129082858814 
2023-05-09 09:34:56,439 INFO used_ofi_trade_7_1: 0.0016531718522374904 , std 0.040625593842606895 
2023-05-09 09:34:56,439 INFO used_ofi_trade_8_1: 0.0011645271334822101 , std 0.0341052929915225 
2023-05-09 09:34:56,439 INFO used_ofi_trade_9_1: 0.0010138236220903947 , std 0.03182445260729061 
2023-05-09 09:34:56,439 INFO used_ofi_trade_10_1: 0.0006484817762920543 , std 0.025457047112300183 
2023-05-09 09:34:56,439 INFO used_ofi_add_1_2: 0.019276349138934938 , std 0.1374946235414637 
2023-05-09 09:34:56,439 INFO used_ofi_add_2_2: 0.02415822955341526 , std 0.15354025367394622 
2023-05-09 09:34:56,439 INFO used_ofi_add_3_2: 0.024066894091965677 , std 0.15325690425142935 
2023-05-09 09:34:56,439 INFO used_ofi_add_4_2: 0.025546528567448955 , std 0.15777801952617315 
2023-05-09 09:34:56,439 INFO used_ofi_add_5_2: 0.030565412174103655 , std 0.17213706095065875 
2023-05-09 09:34:56,439 INFO used_ofi_add_6_2: 0.029117745110127734 , std 0.1681365576840128 
2023-05-09 09:34:56,439 INFO used_ofi_add_7_2: 0.02791668379206569 , std 0.16473415722951784 
2023-05-09 09:34:56,439 INFO used_ofi_add_8_2: 0.026875459531540417 , std 0.16171941505740414 
2023-05-09 09:34:56,439 INFO used_ofi_add_9_2: 0.024445936256981455 , std 0.15442905315225192 
2023-05-09 09:34:56,439 INFO used_ofi_add_10_2: 0.0294556863174912 , std 0.16908000727778777 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_1_2: 0.007023696985473095 , std 0.08351266171143962 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_2_2: 0.01454060546277395 , std 0.11970453732231663 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_3_2: 0.015216487877500878 , std 0.12241301554236277 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_4_2: 0.01642668274170788 , std 0.1271095859320262 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_5_2: 0.018111822005452728 , std 0.13335585442377673 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_6_2: 0.017874349805683806 , std 0.13249474489468577 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_7_2: 0.016901627141245726 , std 0.12890291750470206 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_8_2: 0.014864846350919976 , std 0.12101191137191215 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_9_2: 0.015070351139181542 , std 0.12183281846745282 
2023-05-09 09:34:56,439 INFO used_ofi_cancel_10_2: 0.017024930014202664 , std 0.12936414407483307 
2023-05-09 09:34:56,439 INFO used_ofi_trade_1_2: 0.0008083188338288282 , std 0.02841945556290101 
2023-05-09 09:34:56,439 INFO used_ofi_trade_2_2: 0.0014568006101208825 , std 0.03814024570061439 
2023-05-09 09:34:56,439 INFO used_ofi_trade_3_2: 0.0016531718522374904 , std 0.0406255938426069 
