2023-05-09 09:40:16,624 INFO Starting...
2023-05-09 09:40:16,624 INFO Tickers: ['IBM']
2023-05-09 09:41:34,324 INFO in_r2: 0.0914220645310441 , std 0.17752190849295554 
2023-05-09 09:41:34,324 INFO os_r2: -0.10196915713356348 , std 0.10153648825718031 
2023-05-09 09:41:34,324 INFO intercept: -1.8292439300888185e-06 , std 9.7811917312574e-05 
2023-05-09 09:41:34,324 INFO ofi_add_1_1: -1.5728307214086625e-07 , std 6.242407541722705e-06 
2023-05-09 09:41:34,324 INFO ofi_add_2_1: -3.344378546529858e-07 , std 7.586657403576977e-06 
2023-05-09 09:41:34,324 INFO ofi_add_3_1: -2.3193336269183264e-07 , std 6.5759306212084404e-06 
2023-05-09 09:41:34,324 INFO ofi_add_4_1: -2.963441482736612e-07 , std 6.98091608358796e-06 
2023-05-09 09:41:34,324 INFO ofi_add_5_1: -3.786895767050433e-07 , std 7.614077974441711e-06 
2023-05-09 09:41:34,324 INFO ofi_add_6_1: -3.749357735687008e-07 , std 7.736691924189878e-06 
2023-05-09 09:41:34,324 INFO ofi_add_7_1: -3.368845529009686e-07 , std 7.394604773070103e-06 
2023-05-09 09:41:34,324 INFO ofi_add_8_1: -3.571551882435245e-07 , std 7.415391884242831e-06 
2023-05-09 09:41:34,325 INFO ofi_add_9_1: -3.329736153559609e-07 , std 7.12304622927976e-06 
2023-05-09 09:41:34,325 INFO ofi_add_10_1: -3.2885515685698707e-07 , std 7.925075561592346e-06 
2023-05-09 09:41:34,325 INFO ofi_cancel_1_1: -7.129060663592911e-08 , std 5.27430175433992e-06 
2023-05-09 09:41:34,325 INFO ofi_cancel_2_1: -1.1417432078760998e-07 , std 5.965734992708129e-06 
2023-05-09 09:41:34,325 INFO ofi_cancel_3_1: -2.116504597314299e-07 , std 6.549932330328133e-06 
2023-05-09 09:41:34,325 INFO ofi_cancel_4_1: -2.6714724231011317e-07 , std 6.435244839623595e-06 
2023-05-09 09:41:34,325 INFO ofi_cancel_5_1: -2.8161210915961877e-07 , std 7.299705686007163e-06 
2023-05-09 09:41:34,325 INFO ofi_cancel_6_1: -2.5994162778746367e-07 , std 6.8964202863638174e-06 
2023-05-09 09:41:34,325 INFO ofi_cancel_7_1: -1.7784305577484954e-07 , std 7.24829360476253e-06 
2023-05-09 09:41:34,325 INFO ofi_cancel_8_1: -1.3542184829231926e-07 , std 6.673153355007462e-06 
2023-05-09 09:41:34,325 INFO ofi_cancel_9_1: -1.8654617867526988e-07 , std 6.464855753700721e-06 
2023-05-09 09:41:34,325 INFO ofi_cancel_10_1: -1.2483057122028563e-07 , std 7.211765169141503e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_1_1: -1.588182839055999e-08 , std 1.7844069905343113e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_2_1: -6.477786052583725e-09 , std 3.182611616327562e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_3_1: -5.7223983614845945e-08 , std 4.2236801090962615e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_4_1: -4.533338376234286e-08 , std 3.6531036919618226e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_5_1: -8.171206764742442e-08 , std 4.473865875826882e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_6_1: -1.113004172578177e-07 , std 5.567488730534472e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_7_1: -9.161139715989856e-08 , std 4.282452400913944e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_8_1: -8.045603141050418e-08 , std 4.588400274730016e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_9_1: -7.385635093605e-08 , std 4.643232517069316e-06 
2023-05-09 09:41:34,325 INFO ofi_trade_10_1: -3.707264855253761e-08 , std 3.581704791586028e-06 
2023-05-09 09:41:34,325 INFO ofi_add_1_2: -2.7312048283112424e-07 , std 7.70251541694154e-06 
2023-05-09 09:41:34,325 INFO ofi_add_2_2: -2.2467296640722424e-07 , std 7.633625707234582e-06 
2023-05-09 09:41:34,325 INFO ofi_add_3_2: -3.3186804750571014e-07 , std 7.682852089905411e-06 
2023-05-09 09:41:34,325 INFO ofi_add_4_2: -3.759496353607246e-07 , std 7.359758159674537e-06 
