2023-05-09 08:41:14,158 INFO Starting...
2023-05-09 08:41:14,159 INFO Tickers: ['JNJ']
2023-05-09 08:42:33,271 INFO in_r2: 0.09478575431904528 , std 0.18009413352336928 
2023-05-09 08:42:33,271 INFO os_r2: -0.11190295382964277 , std 0.19043125973636718 
2023-05-09 08:42:33,271 INFO intercept: 3.679000739919663e-07 , std 0.00010879295116193753 
2023-05-09 08:42:33,271 INFO ofi_add_1_1: -3.056886411621537e-07 , std 7.289203973822781e-06 
2023-05-09 08:42:33,271 INFO ofi_add_2_1: -2.7133630663870354e-07 , std 6.9542721005708634e-06 
2023-05-09 08:42:33,271 INFO ofi_add_3_1: -2.5793156363715876e-07 , std 7.170744014066157e-06 
2023-05-09 08:42:33,271 INFO ofi_add_4_1: -3.626006686103272e-07 , std 7.223471581401562e-06 
2023-05-09 08:42:33,271 INFO ofi_add_5_1: -3.6512185011155336e-07 , std 7.635276368624106e-06 
2023-05-09 08:42:33,271 INFO ofi_add_6_1: -4.408694431331402e-07 , std 7.650196813812406e-06 
2023-05-09 08:42:33,271 INFO ofi_add_7_1: -4.541629182963866e-07 , std 8.120761691998427e-06 
2023-05-09 08:42:33,271 INFO ofi_add_8_1: -4.032447345544724e-07 , std 7.657274996597169e-06 
2023-05-09 08:42:33,271 INFO ofi_add_9_1: -3.1008841240195917e-07 , std 7.068630362360816e-06 
2023-05-09 08:42:33,271 INFO ofi_add_10_1: -2.7989018658913173e-07 , std 6.852761093404623e-06 
2023-05-09 08:42:33,271 INFO ofi_cancel_1_1: -5.635006121002861e-08 , std 5.9896569335210955e-06 
2023-05-09 08:42:33,271 INFO ofi_cancel_2_1: -2.340753490541619e-07 , std 6.844035085526813e-06 
2023-05-09 08:42:33,271 INFO ofi_cancel_3_1: -3.13554609335827e-07 , std 7.5187036939817115e-06 
2023-05-09 08:42:33,271 INFO ofi_cancel_4_1: -3.9012754770603463e-07 , std 7.77300206017547e-06 
2023-05-09 08:42:33,272 INFO ofi_cancel_5_1: -2.777842881113731e-07 , std 6.844410470403041e-06 
2023-05-09 08:42:33,272 INFO ofi_cancel_6_1: -2.048840851324698e-07 , std 6.507878711622716e-06 
2023-05-09 08:42:33,272 INFO ofi_cancel_7_1: -1.559616126051608e-07 , std 6.181639365717939e-06 
2023-05-09 08:42:33,272 INFO ofi_cancel_8_1: -1.372404498572303e-07 , std 6.165261929592743e-06 
2023-05-09 08:42:33,272 INFO ofi_cancel_9_1: -8.718580216076133e-08 , std 5.547688044986293e-06 
2023-05-09 08:42:33,272 INFO ofi_cancel_10_1: -1.0474933384977377e-07 , std 5.78742292311428e-06 
2023-05-09 08:42:33,272 INFO ofi_trade_1_1: 5.002261699351718e-09 , std 6.034423031008531e-06 
