2023-05-09 09:44:14,837 INFO Starting...
2023-05-09 09:44:14,838 INFO Tickers: ['LIN']
2023-05-09 09:44:45,681 INFO in_r2: 0.09694888582878021 , std 0.1812760018752174 
2023-05-09 09:44:45,681 INFO os_r2: -0.12953922819358377 , std 0.09442845402179048 
2023-05-09 09:44:45,681 INFO intercept: 9.688462092794634e-07 , std 0.00011792539043971175 
2023-05-09 09:44:45,681 INFO ofi_add_1_1: -1.716480298168547e-07 , std 9.104636836857321e-06 
2023-05-09 09:44:45,682 INFO ofi_add_2_1: -2.924754329482198e-07 , std 9.079679199931468e-06 
2023-05-09 09:44:45,682 INFO ofi_add_3_1: -4.778977184489356e-07 , std 9.980993273614758e-06 
2023-05-09 09:44:45,682 INFO ofi_add_4_1: -2.931864324221558e-07 , std 8.293083166235302e-06 
2023-05-09 09:44:45,682 INFO ofi_add_5_1: -1.7541829603122786e-07 , std 7.486243552230448e-06 
2023-05-09 09:44:45,682 INFO ofi_add_6_1: -1.457042101871806e-07 , std 8.005834434792209e-06 
2023-05-09 09:44:45,682 INFO ofi_add_7_1: -1.9299465777834812e-07 , std 8.952677450257389e-06 
2023-05-09 09:44:45,682 INFO ofi_add_8_1: -9.970535375864919e-08 , std 9.518399729694756e-06 
2023-05-09 09:44:45,682 INFO ofi_add_9_1: -5.661536379466989e-08 , std 9.751550012942963e-06 
2023-05-09 09:44:45,682 INFO ofi_add_10_1: -6.936782344179119e-08 , std 9.73571216141734e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_1_1: -1.3696257354407247e-07 , std 6.51979960996285e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_2_1: -2.570045679674722e-07 , std 7.768874829834079e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_3_1: -1.6369666601395745e-07 , std 7.859423158667722e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_4_1: -1.231853456229586e-07 , std 7.310818702946886e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_5_1: -2.203567204806691e-07 , std 8.102654706626545e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_6_1: -6.412942643743763e-08 , std 8.749849336518522e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_7_1: -6.448900598942576e-08 , std 6.49840575153649e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_8_1: -7.051974005054992e-08 , std 7.246208244370048e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_9_1: -1.92257251804227e-07 , std 8.362682111481246e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_10_1: -1.2292591350956033e-07 , std 7.709060904667025e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_1_1: -5.293896392753598e-08 , std 5.447275614133461e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_2_1: -1.3804603509120787e-08 , std 3.0324715128405224e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_3_1: -5.8924412537440166e-08 , std 3.580073638905965e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_4_1: -4.418804400571276e-08 , std 3.6333254034833555e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_5_1: -4.995994652298437e-08 , std 6.2139303291653105e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_6_1: -2.802995124248571e-08 , std 2.1674680038888587e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_7_1: -1.5006011230258835e-08 , std 2.8268418143234887e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_8_1: -2.42110480747887e-08 , std 2.2223434098257463e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_9_1: -2.5428817811922926e-08 , std 3.4325126291356618e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_10_1: -2.4177737022783666e-08 , std 4.433892089922706e-06 
2023-05-09 09:44:45,682 INFO ofi_add_1_2: -1.1279640665295368e-07 , std 8.87221237410289e-06 
2023-05-09 09:44:45,682 INFO ofi_add_2_2: -3.8731135265637994e-07 , std 8.887560564275123e-06 
2023-05-09 09:44:45,682 INFO ofi_add_3_2: -2.945589931522301e-07 , std 8.60322092225936e-06 
2023-05-09 09:44:45,682 INFO ofi_add_4_2: -2.690916910393366e-07 , std 8.454282799706266e-06 
2023-05-09 09:44:45,682 INFO ofi_add_5_2: -2.4842300250287195e-07 , std 7.898240677035101e-06 
2023-05-09 09:44:45,682 INFO ofi_add_6_2: -3.3998115967351637e-07 , std 7.81950780177113e-06 
2023-05-09 09:44:45,682 INFO ofi_add_7_2: -2.547962190714999e-07 , std 8.06530757064744e-06 
2023-05-09 09:44:45,682 INFO ofi_add_8_2: -1.8471624163760265e-07 , std 8.118247434677634e-06 
2023-05-09 09:44:45,682 INFO ofi_add_9_2: -1.5988331050031331e-07 , std 7.598350799345949e-06 
2023-05-09 09:44:45,682 INFO ofi_add_10_2: -1.6504452186403254e-07 , std 8.751802582200173e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_1_2: -1.7472660641788492e-07 , std 7.922338613108105e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_2_2: -1.974509555498879e-07 , std 7.621673869096719e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_3_2: -2.094621766734796e-07 , std 8.479673612389992e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_4_2: -1.6103235518382907e-07 , std 7.934637941895474e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_5_2: -9.412163056950383e-08 , std 7.113557443597424e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_6_2: -9.510735190446689e-08 , std 8.000974654098651e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_7_2: -4.740922696347632e-08 , std 8.028143607174685e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_8_2: -3.332491676203934e-08 , std 7.756164620549526e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_9_2: -1.271874231191443e-07 , std 7.5992973158749765e-06 
2023-05-09 09:44:45,682 INFO ofi_cancel_10_2: -1.7564656298838642e-07 , std 7.842529920044942e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_1_2: -7.379955679675926e-08 , std 5.911657493763121e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_2_2: -6.99613039608049e-08 , std 4.279697396316318e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_3_2: -3.2068406411966316e-08 , std 4.312913152587468e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_4_2: -2.324661037121167e-08 , std 3.4431039991243422e-06 
2023-05-09 09:44:45,682 INFO ofi_trade_5_2: -4.418700205114282e-08 , std 3.3065188553850916e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_6_2: -3.8385547995610184e-08 , std 2.7323951136040444e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_7_2: -2.667120732754936e-08 , std 2.994735579612563e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_8_2: -1.0251096472837696e-08 , std 1.868241778564605e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_9_2: -2.9264299754271106e-08 , std 4.21701440108987e-06 
2023-05-09 09:44:45,683 INFO ofi_trade_10_2: -8.864610214952048e-08 , std 5.350437950786332e-06 
2023-05-09 09:44:45,683 INFO ofi_add_1_3: -2.026087196186939e-07 , std 1.0178462665020561e-05 
2023-05-09 09:44:45,683 INFO ofi_add_2_3: -4.2281724265643007e-07 , std 1.0667542493348656e-05 
2023-05-09 09:44:45,683 INFO ofi_add_3_3: -4.280572868095149e-07 , std 9.700712471262484e-06 
2023-05-09 09:44:45,683 INFO ofi_add_4_3: -4.89443895409351e-07 , std 1.0816077545031493e-05 
2023-05-09 09:44:45,683 INFO ofi_add_5_3: -4.20841402114423e-07 , std 9.337129564780585e-06 
2023-05-09 09:44:45,683 INFO ofi_add_6_3: -3.068616324128693e-07 , std 8.553247980400064e-06 
2023-05-09 09:44:45,683 INFO ofi_add_7_3: -1.8153071119792645e-07 , std 8.942465212577989e-06 
2023-05-09 09:44:45,683 INFO ofi_add_8_3: -2.226957685259287e-07 , std 7.755915940152526e-06 
2023-05-09 09:44:45,683 INFO ofi_add_9_3: -1.3385835078772694e-07 , std 8.17644072618373e-06 
2023-05-09 09:44:45,683 INFO ofi_add_10_3: 4.170058450143024e-08 , std 9.117280255434656e-06 
2023-05-09 09:44:45,683 INFO ofi_cancel_1_3: -1.9103376097560666e-07 , std 9.064547686333819e-06 
2023-05-09 09:44:45,683 INFO ofi_cancel_2_3: -2.0639640423264236e-07 , std 1.0446496627953813e-05 
