2023-05-09 09:54:13,173 INFO Starting...
2023-05-09 09:54:13,173 INFO Tickers: ['LMT']
2023-05-09 09:55:32,387 INFO in_r2: 0.08414114909247424 , std 0.16704852866245226 
2023-05-09 09:55:32,387 INFO os_r2: -0.1290240666280343 , std 0.5122367270583082 
2023-05-09 09:55:32,387 INFO intercept: -4.959098459824367e-07 , std 0.00011438412172696871 
2023-05-09 09:55:32,387 INFO ofi_add_1_1: -2.6355790396339667e-07 , std 8.187404019055742e-06 
2023-05-09 09:55:32,387 INFO ofi_add_2_1: -3.7636749206323973e-07 , std 8.518761484370614e-06 
2023-05-09 09:55:32,387 INFO ofi_add_3_1: -3.4396493563389656e-07 , std 7.777627729409568e-06 
2023-05-09 09:55:32,387 INFO ofi_add_4_1: -2.262048864556238e-07 , std 7.632555444968131e-06 
2023-05-09 09:55:32,387 INFO ofi_add_5_1: -2.3468989226295537e-07 , std 7.539730058960731e-06 
2023-05-09 09:55:32,387 INFO ofi_add_6_1: -1.9701110201542785e-07 , std 6.943849957495361e-06 
2023-05-09 09:55:32,387 INFO ofi_add_7_1: -1.9466897247376134e-07 , std 6.870502979181376e-06 
2023-05-09 09:55:32,387 INFO ofi_add_8_1: -2.006301618637147e-07 , std 8.61715042243839e-06 
2023-05-09 09:55:32,387 INFO ofi_add_9_1: -1.8952391635098008e-07 , std 7.430177792482448e-06 
2023-05-09 09:55:32,387 INFO ofi_add_10_1: -1.9380716243793476e-07 , std 8.165436950928325e-06 
2023-05-09 09:55:32,387 INFO ofi_cancel_1_1: -1.1788519127135238e-07 , std 6.148635729039984e-06 
2023-05-09 09:55:32,387 INFO ofi_cancel_2_1: -1.847512239331092e-07 , std 6.713253380126836e-06 
2023-05-09 09:55:32,387 INFO ofi_cancel_3_1: -1.2496219762374122e-07 , std 7.396889607379923e-06 
2023-05-09 09:55:32,387 INFO ofi_cancel_4_1: -1.6227493086465753e-07 , std 6.593996272950095e-06 
2023-05-09 09:55:32,387 INFO ofi_cancel_5_1: -8.970006261608373e-08 , std 6.549853274102532e-06 
2023-05-09 09:55:32,387 INFO ofi_cancel_6_1: -9.480648307550113e-08 , std 6.604133653830025e-06 
2023-05-09 09:55:32,387 INFO ofi_cancel_7_1: -1.2795022185482804e-07 , std 7.414718757383974e-06 
2023-05-09 09:55:32,387 INFO ofi_cancel_8_1: -1.3377237894684695e-07 , std 8.014622818568857e-06 
2023-05-09 09:55:32,387 INFO ofi_cancel_9_1: -1.5549975224651023e-07 , std 8.135098064866626e-06 
2023-05-09 09:55:32,387 INFO ofi_cancel_10_1: -1.4714559776108656e-07 , std 7.562217018149836e-06 
2023-05-09 09:55:32,387 INFO ofi_trade_1_1: -5.0578723544832854e-08 , std 4.186427732650928e-06 
2023-05-09 09:55:32,387 INFO ofi_trade_2_1: -3.448373166994496e-08 , std 2.840977345636516e-06 
2023-05-09 09:55:32,387 INFO ofi_trade_3_1: -1.397985159933408e-08 , std 2.3816003453591247e-06 
2023-05-09 09:55:32,387 INFO ofi_trade_4_1: -4.286692342483709e-09 , std 1.9427394283952297e-06 
2023-05-09 09:55:32,387 INFO ofi_trade_5_1: -1.4684798600772463e-08 , std 2.4671185936193374e-06 
2023-05-09 09:55:32,387 INFO ofi_trade_6_1: -3.931023925889132e-09 , std 1.0436043815261269e-06 
2023-05-09 09:55:32,387 INFO ofi_trade_7_1: -1.438842117648418e-08 , std 2.0596344360356323e-06 
2023-05-09 09:55:32,387 INFO ofi_trade_8_1: -7.00856575762682e-09 , std 1.768004207502144e-06 
2023-05-09 09:55:32,387 INFO ofi_trade_9_1: -1.3478482475266294e-08 , std 2.099283668620165e-06 
2023-05-09 09:55:32,387 INFO ofi_trade_10_1: -3.631634461341321e-08 , std 3.617551353576928e-06 
2023-05-09 09:55:32,388 INFO ofi_add_1_2: -2.5454596458517926e-07 , std 7.393494161871374e-06 
2023-05-09 09:55:32,388 INFO ofi_add_2_2: -3.0640508299734207e-07 , std 6.946925641605425e-06 
2023-05-09 09:55:32,388 INFO ofi_add_3_2: -3.115758103537583e-07 , std 7.247041548761184e-06 
2023-05-09 09:55:32,388 INFO ofi_add_4_2: -2.773784715930333e-07 , std 6.957592984906891e-06 
2023-05-09 09:55:32,388 INFO ofi_add_5_2: -2.3392587461984253e-07 , std 6.7311016441321366e-06 
2023-05-09 09:55:32,388 INFO ofi_add_6_2: -2.2392936203083362e-07 , std 7.200989226625685e-06 
2023-05-09 09:55:32,388 INFO ofi_add_7_2: -2.128351873571601e-07 , std 6.652332634246428e-06 
2023-05-09 09:55:32,388 INFO ofi_add_8_2: -1.7521766149793365e-07 , std 6.411113501062873e-06 
2023-05-09 09:55:32,388 INFO ofi_add_9_2: -1.4995249415007882e-07 , std 7.068052156048134e-06 
2023-05-09 09:55:32,388 INFO ofi_add_10_2: -2.4480745827561883e-07 , std 7.567490738793046e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_1_2: -1.6487290403299492e-07 , std 6.303458563634429e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_2_2: -1.975497806882434e-07 , std 6.6198404253545825e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_3_2: -1.358379955601507e-07 , std 6.498331389895845e-06 
2023-05-09 09:55:32,388 INFO ofi_cancel_4_2: -1.873901193257907e-07 , std 6.265898556301534e-06 
