2023-05-09 08:52:04,313 INFO Starting...
2023-05-09 08:52:04,313 INFO Tickers: ['MA']
2023-05-09 08:53:24,817 INFO in_r2: 0.08933566406621024 , std 0.17209304737492057 
2023-05-09 08:53:24,817 INFO os_r2: -0.1342587127736677 , std 0.7398847950339631 
2023-05-09 08:53:24,817 INFO intercept: 1.212715202455971e-07 , std 0.00012327821664047587 
2023-05-09 08:53:24,817 INFO ofi_add_1_1: -2.3861077518804703e-07 , std 7.071397832617269e-06 
2023-05-09 08:53:24,817 INFO ofi_add_2_1: -3.3156962234152543e-07 , std 7.342950505059825e-06 
2023-05-09 08:53:24,817 INFO ofi_add_3_1: -2.771399858265663e-07 , std 6.640219310220906e-06 
2023-05-09 08:53:24,817 INFO ofi_add_4_1: -2.752185544036555e-07 , std 6.580141639245295e-06 
2023-05-09 08:53:24,817 INFO ofi_add_5_1: -2.957759249103168e-07 , std 6.466159254906565e-06 
2023-05-09 08:53:24,817 INFO ofi_add_6_1: -3.359974508084266e-07 , std 7.182058962050815e-06 
2023-05-09 08:53:24,817 INFO ofi_add_7_1: -2.9115113012333025e-07 , std 6.517123038822596e-06 
2023-05-09 08:53:24,817 INFO ofi_add_8_1: -2.6549166509917637e-07 , std 6.595646928255297e-06 
2023-05-09 08:53:24,817 INFO ofi_add_9_1: -3.2749892262366284e-07 , std 6.884941078968118e-06 
2023-05-09 08:53:24,817 INFO ofi_add_10_1: -3.025660507985111e-07 , std 6.941023837193258e-06 
2023-05-09 08:53:24,817 INFO ofi_cancel_1_1: -5.5962203858717016e-08 , std 5.450514910086818e-06 
2023-05-09 08:53:24,817 INFO ofi_cancel_2_1: -1.850683732236953e-07 , std 6.297259850584781e-06 
2023-05-09 08:53:24,817 INFO ofi_cancel_3_1: -1.977004400949268e-07 , std 6.217230740184644e-06 
2023-05-09 08:53:24,818 INFO ofi_cancel_4_1: -2.2888506612938516e-07 , std 6.124744374680394e-06 
2023-05-09 08:53:24,818 INFO ofi_cancel_5_1: -2.4032841429718257e-07 , std 6.646370831143547e-06 
2023-05-09 08:53:24,818 INFO ofi_cancel_6_1: -2.1046959093116217e-07 , std 6.883424669135678e-06 
2023-05-09 08:53:24,818 INFO ofi_cancel_7_1: -1.6653777273168906e-07 , std 5.619849095973763e-06 
2023-05-09 08:53:24,818 INFO ofi_cancel_8_1: -1.4679418827636904e-07 , std 5.968810205830651e-06 
2023-05-09 08:53:24,818 INFO ofi_cancel_9_1: -1.298905719848935e-07 , std 6.371110136600912e-06 
2023-05-09 08:53:24,818 INFO ofi_cancel_10_1: -1.8491356030559104e-07 , std 6.218258482435523e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_1_1: -1.215558751337591e-08 , std 2.188716714840881e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_2_1: -1.255552987409281e-08 , std 1.920449844275531e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_3_1: -3.8029483590846933e-08 , std 2.7809320083181705e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_4_1: -3.351126218167384e-08 , std 2.9889096691701203e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_5_1: -6.032813712239436e-08 , std 3.3935166352244397e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_6_1: -6.770531290364457e-08 , std 4.0132047095194065e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_7_1: -6.11897608967186e-08 , std 3.5879790376539716e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_8_1: -5.0454729960416805e-08 , std 3.3977237890549054e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_9_1: -3.0462338120342524e-08 , std 3.173008655586213e-06 
2023-05-09 08:53:24,818 INFO ofi_trade_10_1: -3.127809911192675e-08 , std 2.8776213312524287e-06 
