2023-05-09 09:16:01,012 INFO Starting...
2023-05-09 09:16:01,012 INFO Tickers: ['MCD']
2023-05-09 09:17:19,213 INFO in_r2: 0.09237764853634638 , std 0.17741411617177322 
2023-05-09 09:17:19,213 INFO os_r2: -0.1119907547613249 , std 0.21417125294563832 
2023-05-09 09:17:19,213 INFO intercept: -5.906000241731992e-07 , std 9.069550116595533e-05 
2023-05-09 09:17:19,213 INFO ofi_add_1_1: -2.426584191440167e-07 , std 6.410822501352037e-06 
2023-05-09 09:17:19,213 INFO ofi_add_2_1: -3.104533707887323e-07 , std 7.12994815310283e-06 
2023-05-09 09:17:19,213 INFO ofi_add_3_1: -2.535530520037476e-07 , std 7.691764437902483e-06 
2023-05-09 09:17:19,213 INFO ofi_add_4_1: -3.378262706088647e-07 , std 7.495896719456605e-06 
2023-05-09 09:17:19,213 INFO ofi_add_5_1: -3.9987840180619863e-07 , std 7.266265732412919e-06 
2023-05-09 09:17:19,213 INFO ofi_add_6_1: -3.659835019252062e-07 , std 6.995374634990731e-06 
2023-05-09 09:17:19,213 INFO ofi_add_7_1: -3.9065147934798404e-07 , std 7.744967882478353e-06 
2023-05-09 09:17:19,213 INFO ofi_add_8_1: -3.192093948251539e-07 , std 7.432415539686266e-06 
2023-05-09 09:17:19,213 INFO ofi_add_9_1: -3.2855657013422536e-07 , std 6.878731652224007e-06 
2023-05-09 09:17:19,213 INFO ofi_add_10_1: -2.9641237108118177e-07 , std 7.219728496847663e-06 
2023-05-09 09:17:19,213 INFO ofi_cancel_1_1: -8.100827829172342e-08 , std 4.881652068310008e-06 
2023-05-09 09:17:19,213 INFO ofi_cancel_2_1: -1.9292353828287767e-07 , std 6.5726233786999155e-06 
2023-05-09 09:17:19,213 INFO ofi_cancel_3_1: -2.2898111367989788e-07 , std 6.49861942703965e-06 
2023-05-09 09:17:19,213 INFO ofi_cancel_4_1: -2.559032361052532e-07 , std 6.949468805074483e-06 
2023-05-09 09:17:19,213 INFO ofi_cancel_5_1: -2.9355208446946745e-07 , std 7.368508209706362e-06 
2023-05-09 09:17:19,213 INFO ofi_cancel_6_1: -2.8430283793565196e-07 , std 6.9516632342687315e-06 
2023-05-09 09:17:19,213 INFO ofi_cancel_7_1: -1.6044093363067016e-07 , std 6.762517495939729e-06 
2023-05-09 09:17:19,213 INFO ofi_cancel_8_1: -1.8780016985451188e-07 , std 6.899007158962297e-06 
2023-05-09 09:17:19,213 INFO ofi_cancel_9_1: -8.76965571663007e-08 , std 6.032467776730624e-06 
2023-05-09 09:17:19,213 INFO ofi_cancel_10_1: -1.3082662818929173e-07 , std 6.207291685646704e-06 
2023-05-09 09:17:19,213 INFO ofi_trade_1_1: -1.0738709595457855e-08 , std 1.4542256409625458e-06 
2023-05-09 09:17:19,213 INFO ofi_trade_2_1: -1.2851642674755012e-08 , std 2.8955671072463444e-06 
2023-05-09 09:17:19,213 INFO ofi_trade_3_1: -3.657702194501937e-08 , std 4.19166032553423e-06 
2023-05-09 09:17:19,213 INFO ofi_trade_4_1: -7.91743019942385e-08 , std 3.9802413482244215e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_5_1: -8.719193002394536e-08 , std 4.478683520746688e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_6_1: -6.302115839035105e-08 , std 4.645705425791129e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_7_1: -7.347294137924517e-08 , std 3.8380789457840526e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_8_1: -5.470946540512828e-08 , std 3.459874947484186e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_9_1: -5.437335695816028e-08 , std 3.6811280733018667e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_10_1: -4.3240793037410904e-08 , std 3.3658436426500094e-06 
2023-05-09 09:17:19,214 INFO ofi_add_1_2: -1.8854571605450858e-07 , std 6.581485099701512e-06 
2023-05-09 09:17:19,214 INFO ofi_add_2_2: -3.7568001640419586e-07 , std 7.746382510070066e-06 
2023-05-09 09:17:19,214 INFO ofi_add_3_2: -3.2389907341764146e-07 , std 7.642118639321624e-06 
2023-05-09 09:17:19,214 INFO ofi_add_4_2: -3.561417228547992e-07 , std 7.60238431042163e-06 
2023-05-09 09:17:19,214 INFO ofi_add_5_2: -3.248386785289741e-07 , std 7.589377263457573e-06 
2023-05-09 09:17:19,214 INFO ofi_add_6_2: -3.9501946289901727e-07 , std 8.860649606629e-06 
2023-05-09 09:17:19,214 INFO ofi_add_7_2: -3.307738275256036e-07 , std 7.218283537186139e-06 
2023-05-09 09:17:19,214 INFO ofi_add_8_2: -2.7385254838430955e-07 , std 7.254580838398038e-06 
2023-05-09 09:17:19,214 INFO ofi_add_9_2: -2.9043272285944147e-07 , std 7.481377158190736e-06 
2023-05-09 09:17:19,214 INFO ofi_add_10_2: -2.8024214071611427e-07 , std 7.827741999425682e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_1_2: -4.919874257549967e-08 , std 5.71756203313408e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_2_2: -1.769609843160371e-07 , std 7.473346741904306e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_3_2: -2.9619201020101065e-07 , std 7.34960701474165e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_4_2: -3.145868543053501e-07 , std 7.606784695851987e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_5_2: -3.5710365229920915e-07 , std 7.871315235939438e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_6_2: -3.292805700166904e-07 , std 7.190992731395493e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_7_2: -2.5518535110878753e-07 , std 7.565894680087936e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_8_2: -2.4366977217847215e-07 , std 7.044712916643796e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_9_2: -1.0714845011151982e-07 , std 7.246476150764327e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_10_2: -1.918919586676474e-07 , std 7.089322236844177e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_1_2: -2.639753019064269e-09 , std 2.306141722182798e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_2_2: -1.7026272439531978e-08 , std 2.9047560213265576e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_3_2: -4.128360931949602e-08 , std 3.873596524954228e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_4_2: -9.69582932215445e-08 , std 5.173394734889851e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_5_2: -1.1708420162574042e-07 , std 4.692701560056513e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_6_2: -1.4122080978994207e-07 , std 6.126501006841863e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_7_2: -1.1028919963967398e-07 , std 4.934123888221015e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_8_2: -9.098636006007269e-08 , std 5.050682685576362e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_9_2: -5.2113846856407766e-08 , std 4.362163868346504e-06 
2023-05-09 09:17:19,214 INFO ofi_trade_10_2: -2.205054395424259e-08 , std 3.5660772818592236e-06 
2023-05-09 09:17:19,214 INFO ofi_add_1_3: -2.08034365103205e-07 , std 8.700905265547862e-06 
2023-05-09 09:17:19,214 INFO ofi_add_2_3: -3.062346154740415e-07 , std 8.779718404963785e-06 
2023-05-09 09:17:19,214 INFO ofi_add_3_3: -3.097900957966966e-07 , std 8.117651571763753e-06 
2023-05-09 09:17:19,214 INFO ofi_add_4_3: -4.4951480224852503e-07 , std 8.84970450187845e-06 
2023-05-09 09:17:19,214 INFO ofi_add_5_3: -4.961115852746566e-07 , std 8.454481292865014e-06 
2023-05-09 09:17:19,214 INFO ofi_add_6_3: -5.013304006379091e-07 , std 8.121988632580704e-06 
2023-05-09 09:17:19,214 INFO ofi_add_7_3: -3.8076178677258854e-07 , std 8.359892907598201e-06 
2023-05-09 09:17:19,214 INFO ofi_add_8_3: -2.8306744633806997e-07 , std 8.341303037553928e-06 
2023-05-09 09:17:19,214 INFO ofi_add_9_3: -4.4832272374009066e-07 , std 8.811338595718235e-06 
2023-05-09 09:17:19,214 INFO ofi_add_10_3: -3.628808676532886e-07 , std 8.917692460776673e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_1_3: -1.4656271035659425e-07 , std 7.087861230407264e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_2_3: -2.7373690729758974e-07 , std 8.472520371263515e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_3_3: -3.203591754764023e-07 , std 8.230709060587144e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_4_3: -3.58859144364994e-07 , std 8.313816771913084e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_5_3: -3.9382175962170253e-07 , std 8.001067229235512e-06 
2023-05-09 09:17:19,214 INFO ofi_cancel_6_3: -3.751259297312569e-07 , std 8.320023158587446e-06 
2023-05-09 09:17:19,215 INFO ofi_cancel_7_3: -3.438750509419e-07 , std 8.221887687510573e-06 
2023-05-09 09:17:19,215 INFO ofi_cancel_8_3: -2.927669388807322e-07 , std 7.6754757432471e-06 
2023-05-09 09:17:19,215 INFO ofi_cancel_9_3: -1.7725627353264007e-07 , std 7.552325389143375e-06 
2023-05-09 09:17:19,215 INFO ofi_cancel_10_3: -1.8528744042565753e-07 , std 7.472981314697967e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_1_3: 2.50311046443469e-09 , std 2.279223775294325e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_2_3: -3.3166525460756396e-08 , std 3.749820791176223e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_3_3: -3.742074160383774e-08 , std 4.790162981309555e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_4_3: -1.139210048780921e-07 , std 5.503011867826821e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_5_3: -1.5675720578655501e-07 , std 6.982952528004407e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_6_3: -1.3563103030141205e-07 , std 6.272229733564432e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_7_3: -1.3911609803323193e-07 , std 6.306930228636335e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_8_3: -1.2383833312723832e-07 , std 5.954820026088894e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_9_3: -2.3827391263688097e-08 , std 5.23912468512045e-06 
2023-05-09 09:17:19,215 INFO ofi_trade_10_3: -4.01438514383404e-08 , std 3.822527434254291e-06 
2023-05-09 09:17:19,215 INFO used_intercept: 0.9824866010847068 , std 0.13117423441258225 
2023-05-09 09:17:19,215 INFO used_ofi_add_1_1: 0.009023992397000836 , std 0.09456510962410876 
2023-05-09 09:17:19,215 INFO used_ofi_add_2_1: 0.012103572587167197 , std 0.10934841616500154 
2023-05-09 09:17:19,215 INFO used_ofi_add_3_1: 0.014310452753117275 , std 0.11876726693461495 
