2023-05-09 09:13:21,105 INFO Starting...
2023-05-09 09:13:21,105 INFO Tickers: ['MDT']
2023-05-09 09:14:40,541 INFO in_r2: 0.09518240746290292 , std 0.1800695880215601 
2023-05-09 09:14:40,541 INFO os_r2: -0.10791891339316573 , std 0.09686549285923295 
2023-05-09 09:14:40,541 INFO intercept: -9.32427508399608e-07 , std 0.00010666601233304627 
2023-05-09 09:14:40,541 INFO ofi_add_1_1: -7.907882031967803e-07 , std 1.324462396202781e-05 
2023-05-09 09:14:40,541 INFO ofi_add_2_1: -4.896405849168618e-07 , std 1.1944627379234421e-05 
2023-05-09 09:14:40,541 INFO ofi_add_3_1: -3.3990288163661915e-07 , std 1.0514407501695952e-05 
2023-05-09 09:14:40,541 INFO ofi_add_4_1: -6.652968470830045e-07 , std 1.1648322302271512e-05 
2023-05-09 09:14:40,541 INFO ofi_add_5_1: -5.751380771019354e-07 , std 1.119397486481097e-05 
2023-05-09 09:14:40,541 INFO ofi_add_6_1: -5.733448799867232e-07 , std 1.1695341169774424e-05 
2023-05-09 09:14:40,541 INFO ofi_add_7_1: -4.80955216671947e-07 , std 1.0704079255883197e-05 
2023-05-09 09:14:40,541 INFO ofi_add_8_1: -4.2549810617381476e-07 , std 9.947585414897566e-06 
2023-05-09 09:14:40,541 INFO ofi_add_9_1: -2.543250896759763e-07 , std 9.393768508613297e-06 
2023-05-09 09:14:40,541 INFO ofi_add_10_1: -3.911642796539265e-07 , std 8.900398134711466e-06 
2023-05-09 09:14:40,541 INFO ofi_cancel_1_1: -1.5295047572813888e-07 , std 9.133098557297291e-06 
2023-05-09 09:14:40,541 INFO ofi_cancel_2_1: -4.005580134293986e-07 , std 1.0373594712567806e-05 
2023-05-09 09:14:40,541 INFO ofi_cancel_3_1: -4.434218535626369e-07 , std 1.0814804389461261e-05 
2023-05-09 09:14:40,541 INFO ofi_cancel_4_1: -5.13431627987112e-07 , std 1.135791711392314e-05 
2023-05-09 09:14:40,541 INFO ofi_cancel_5_1: -3.9573332109337187e-07 , std 9.684258728299326e-06 
2023-05-09 09:14:40,541 INFO ofi_cancel_6_1: -3.42060700662937e-07 , std 1.0117421028177562e-05 
