2023-05-09 08:31:25,095 INFO Starting...
2023-05-09 08:31:25,095 INFO Tickers: ['MSFT']
2023-05-09 08:32:45,858 INFO in_r2: 0.09800767552420714 , std 0.18191548693905552 
2023-05-09 08:32:45,859 INFO os_r2: -0.1266588338968808 , std 0.3235601118759922 
2023-05-09 08:32:45,859 INFO intercept: -2.8376174796896493e-06 , std 0.00012471139453969153 
2023-05-09 08:32:45,859 INFO ofi_add_1_1: -1.118614241395913e-06 , std 1.3470404072819007e-05 
2023-05-09 08:32:45,859 INFO ofi_add_2_1: -5.911515886546512e-07 , std 1.1929334412571896e-05 
2023-05-09 08:32:45,859 INFO ofi_add_3_1: -2.2364275873335788e-07 , std 9.717656706983905e-06 
2023-05-09 08:32:45,859 INFO ofi_add_4_1: -2.0184317917586506e-07 , std 9.893203923553272e-06 
2023-05-09 08:32:45,859 INFO ofi_add_5_1: -3.2017850807063597e-07 , std 1.3014272225914597e-05 
2023-05-09 08:32:45,859 INFO ofi_add_6_1: -2.6114649241054e-07 , std 9.75348593649332e-06 
2023-05-09 08:32:45,859 INFO ofi_add_7_1: -3.044668660724547e-07 , std 1.0398757431310292e-05 
2023-05-09 08:32:45,859 INFO ofi_add_8_1: -2.3706899925849425e-07 , std 8.589168152284454e-06 
2023-05-09 08:32:45,859 INFO ofi_add_9_1: -1.832684459839723e-07 , std 7.841757321214386e-06 
2023-05-09 08:32:45,859 INFO ofi_add_10_1: -1.412613507672011e-07 , std 8.204834103016146e-06 
2023-05-09 08:32:45,859 INFO ofi_cancel_1_1: -1.350593242044291e-07 , std 1.0971578842307332e-05 
2023-05-09 08:32:45,859 INFO ofi_cancel_2_1: -1.0048141237645578e-07 , std 9.228342129610362e-06 
2023-05-09 08:32:45,859 INFO ofi_cancel_3_1: -1.9340440837138726e-07 , std 8.886110188814964e-06 
2023-05-09 08:32:45,859 INFO ofi_cancel_4_1: -2.1408228161612037e-07 , std 1.0083581263726486e-05 
2023-05-09 08:32:45,859 INFO ofi_cancel_5_1: -2.1368376253296102e-07 , std 1.007580386367614e-05 
2023-05-09 08:32:45,859 INFO ofi_cancel_6_1: -1.6700317464467453e-07 , std 9.088353840433375e-06 
2023-05-09 08:32:45,859 INFO ofi_cancel_7_1: -1.0374241738515411e-07 , std 5.1264066606732995e-06 
2023-05-09 08:32:45,859 INFO ofi_cancel_8_1: -6.503005698237789e-08 , std 4.0981688824616435e-06 
2023-05-09 08:32:45,859 INFO ofi_cancel_9_1: -5.668040716665834e-08 , std 4.021719235311525e-06 
