2023-05-09 09:47:25,376 INFO Starting...
2023-05-09 09:47:25,376 INFO Tickers: ['QCOM']
2023-05-09 09:48:47,122 INFO in_r2: 0.09824034092543296 , std 0.18216353984631817 
2023-05-09 09:48:47,122 INFO os_r2: -1.0188301984098054 , std 24.410151993054782 
2023-05-09 09:48:47,122 INFO intercept: 3.7309045279504097e-07 , std 0.00016161874136775276 
2023-05-09 09:48:47,122 INFO ofi_add_1_1: -1.3719498455862036e-06 , std 1.97000043305104e-05 
2023-05-09 09:48:47,122 INFO ofi_add_2_1: -8.217705342633429e-07 , std 1.6033311278553965e-05 
2023-05-09 09:48:47,122 INFO ofi_add_3_1: -5.113040791077976e-07 , std 1.6576336113801314e-05 
2023-05-09 09:48:47,122 INFO ofi_add_4_1: -4.1091258377691574e-07 , std 1.644674783673313e-05 
2023-05-09 09:48:47,122 INFO ofi_add_5_1: -5.133352594350805e-07 , std 1.555134712556862e-05 
2023-05-09 09:48:47,122 INFO ofi_add_6_1: -4.4038464804378287e-07 , std 1.436274729091059e-05 
2023-05-09 09:48:47,122 INFO ofi_add_7_1: -3.9164881243618414e-07 , std 1.2577853808838126e-05 
2023-05-09 09:48:47,122 INFO ofi_add_8_1: -3.6200853493659596e-07 , std 1.1877768750767566e-05 
2023-05-09 09:48:47,122 INFO ofi_add_9_1: -2.843942206884378e-07 , std 1.2062146173323819e-05 
2023-05-09 09:48:47,122 INFO ofi_add_10_1: -3.5971183867940887e-07 , std 1.4308238300789907e-05 
2023-05-09 09:48:47,122 INFO ofi_cancel_1_1: -1.9041945193220478e-07 , std 1.637690877947984e-05 
2023-05-09 09:48:47,122 INFO ofi_cancel_2_1: -3.2954467107264126e-07 , std 1.3686349712870828e-05 
2023-05-09 09:48:47,122 INFO ofi_cancel_3_1: -3.765521077356819e-07 , std 1.3863320937356422e-05 
2023-05-09 09:48:47,122 INFO ofi_cancel_4_1: -3.9623963690791896e-07 , std 1.335968324171653e-05 
2023-05-09 09:48:47,122 INFO ofi_cancel_5_1: -2.4091689679294474e-07 , std 1.0655042453257508e-05 
2023-05-09 09:48:47,122 INFO ofi_cancel_6_1: -2.1306130419098848e-07 , std 9.425727152082388e-06 
2023-05-09 09:48:47,123 INFO ofi_cancel_7_1: -1.5974261044372146e-07 , std 7.901754088784935e-06 
2023-05-09 09:48:47,123 INFO ofi_cancel_8_1: -1.1300970683542025e-07 , std 7.040029896934781e-06 
2023-05-09 09:48:47,123 INFO ofi_cancel_9_1: -1.259425479897709e-07 , std 7.225413062059606e-06 
2023-05-09 09:48:47,123 INFO ofi_cancel_10_1: -1.5819688221510089e-07 , std 8.676056698122557e-06 
2023-05-09 09:48:47,123 INFO ofi_trade_1_1: 1.0262650699877771e-08 , std 6.856958094440908e-06 
2023-05-09 09:48:47,123 INFO ofi_trade_2_1: -2.4527198287731365e-07 , std 1.119476160955095e-05 
2023-05-09 09:48:47,123 INFO ofi_trade_3_1: -2.461657833638076e-07 , std 1.0753948006385099e-05 
2023-05-09 09:48:47,123 INFO ofi_trade_4_1: -2.582210068360514e-07 , std 1.2402044349392942e-05 
2023-05-09 09:48:47,123 INFO ofi_trade_5_1: -2.237711623670338e-07 , std 9.443902974205186e-06 
2023-05-09 09:48:47,123 INFO ofi_trade_6_1: -1.959695826775683e-07 , std 9.476092826724489e-06 
2023-05-09 09:48:47,123 INFO ofi_trade_7_1: -1.821948489498036e-07 , std 7.713717941533266e-06 
2023-05-09 09:48:47,123 INFO ofi_trade_8_1: -1.9413541679242345e-07 , std 8.74058508070804e-06 
2023-05-09 09:48:47,123 INFO ofi_trade_9_1: -1.4202546054691393e-07 , std 9.047517239348688e-06 
2023-05-09 09:48:47,123 INFO ofi_trade_10_1: -2.504078966662294e-07 , std 1.0538053050166353e-05 
2023-05-09 09:48:47,123 INFO ofi_add_1_2: -1.8278775846937127e-06 , std 1.9099195153644233e-05 
2023-05-09 09:48:47,123 INFO ofi_add_2_2: -8.155721273326354e-07 , std 1.7216411159003575e-05 
2023-05-09 09:48:47,123 INFO ofi_add_3_2: -4.4050974223858894e-07 , std 1.6075832154602443e-05 
2023-05-09 09:48:47,123 INFO ofi_add_4_2: -7.150291867727965e-07 , std 1.7467819532742772e-05 
2023-05-09 09:48:47,123 INFO ofi_add_5_2: -6.447955745626662e-07 , std 1.6364546474556722e-05 
2023-05-09 09:48:47,123 INFO ofi_add_6_2: -5.308229756512553e-07 , std 1.418033088881282e-05 
2023-05-09 09:48:47,123 INFO ofi_add_7_2: -4.7174997373752687e-07 , std 1.4929194371860857e-05 
2023-05-09 09:48:47,123 INFO ofi_add_8_2: -3.607976936680255e-07 , std 1.2631784859434227e-05 
2023-05-09 09:48:47,123 INFO ofi_add_9_2: -2.901842312885729e-07 , std 1.3518955056895582e-05 
2023-05-09 09:48:47,123 INFO ofi_add_10_2: -4.028382672193308e-07 , std 1.3316666902808547e-05 
2023-05-09 09:48:47,123 INFO ofi_cancel_1_2: -1.247659746893473e-07 , std 1.6625082866653922e-05 
2023-05-09 09:48:47,123 INFO ofi_cancel_2_2: -3.3738439487734426e-07 , std 1.690230206451124e-05 
2023-05-09 09:48:47,123 INFO ofi_cancel_3_2: -3.953483272557157e-07 , std 1.6269547053475578e-05 
2023-05-09 09:48:47,123 INFO ofi_cancel_4_2: -2.737955724201173e-07 , std 1.547480463982072e-05 
2023-05-09 09:48:47,123 INFO ofi_cancel_5_2: -2.747235169263234e-07 , std 1.0853132475158946e-05 
2023-05-09 09:48:47,123 INFO ofi_cancel_6_2: -1.3787424785864426e-07 , std 1.0762767912508885e-05 
2023-05-09 09:48:47,123 INFO ofi_cancel_7_2: -2.1490493322933102e-07 , std 9.964537361463267e-06 
2023-05-09 09:48:47,123 INFO ofi_cancel_8_2: -1.852326926854647e-07 , std 8.810339771030549e-06 
2023-05-09 09:48:47,123 INFO ofi_cancel_9_2: -1.5991959997309278e-07 , std 7.5221981316894465e-06 
2023-05-09 09:48:47,123 INFO ofi_cancel_10_2: -1.826980843505152e-07 , std 9.464428939847987e-06 
2023-05-09 09:48:47,123 INFO ofi_trade_1_2: -5.936145779276602e-08 , std 7.041554200673359e-06 
2023-05-09 09:48:47,123 INFO ofi_trade_2_2: -4.4857415234093227e-07 , std 1.5854824551929404e-05 
2023-05-09 09:48:47,123 INFO ofi_trade_3_2: -3.7124469862723523e-07 , std 1.4262611688311426e-05 
2023-05-09 09:48:47,123 INFO ofi_trade_4_2: -5.07187669483082e-07 , std 1.500018653492388e-05 
2023-05-09 09:48:47,123 INFO ofi_trade_5_2: -3.041052015455086e-07 , std 1.1368102551920322e-05 
2023-05-09 09:48:47,123 INFO ofi_trade_6_2: -3.267032418292177e-07 , std 1.1513238971401615e-05 
2023-05-09 09:48:47,123 INFO ofi_trade_7_2: -3.7603235072773176e-07 , std 1.2658203120758186e-05 
2023-05-09 09:48:47,123 INFO ofi_trade_8_2: -1.9050012063128397e-07 , std 9.291752310223215e-06 
2023-05-09 09:48:47,123 INFO ofi_trade_9_2: -1.9712285205097283e-07 , std 9.475834942455254e-06 
2023-05-09 09:48:47,123 INFO ofi_trade_10_2: -2.8399029251992517e-07 , std 1.1030574451560497e-05 
2023-05-09 09:48:47,123 INFO ofi_add_1_3: -2.1138291987546376e-06 , std 1.860646967281968e-05 
2023-05-09 09:48:47,123 INFO ofi_add_2_3: -7.588886392688448e-07 , std 1.8656532559693884e-05 
2023-05-09 09:48:47,123 INFO ofi_add_3_3: -5.937807308825686e-07 , std 1.921060708886294e-05 
2023-05-09 09:48:47,123 INFO ofi_add_4_3: -8.142200223108781e-07 , std 2.1552356301740888e-05 
2023-05-09 09:48:47,123 INFO ofi_add_5_3: -9.25195646915843e-07 , std 1.8747601709570317e-05 
2023-05-09 09:48:47,123 INFO ofi_add_6_3: -6.442939311323901e-07 , std 1.682549044964788e-05 
