2023-05-09 10:39:37,617 INFO Starting...
2023-05-09 10:39:37,617 INFO Tickers: ['RTN']
2023-05-09 10:40:54,852 INFO in_r2: 0.08910463102984557 , std 0.1741768038029282 
2023-05-09 10:40:54,852 INFO os_r2: -0.13976024783569135 , std 0.9088207224408502 
2023-05-09 10:40:54,852 INFO intercept: 1.703598039526671e-07 , std 0.00011834839859312584 
2023-05-09 10:40:54,852 INFO ofi_add_1_1: -2.1682275094101832e-07 , std 9.339809787619142e-06 
2023-05-09 10:40:54,852 INFO ofi_add_2_1: -5.323540362144953e-07 , std 1.1709870839636543e-05 
2023-05-09 10:40:54,852 INFO ofi_add_3_1: -4.4224759202184e-07 , std 1.0076871809454394e-05 
2023-05-09 10:40:54,852 INFO ofi_add_4_1: -4.511241057100434e-07 , std 9.78371283886119e-06 
2023-05-09 10:40:54,852 INFO ofi_add_5_1: -3.2221720576443586e-07 , std 8.976668139060366e-06 
2023-05-09 10:40:54,852 INFO ofi_add_6_1: -3.736283418788132e-07 , std 9.285629716367706e-06 
2023-05-09 10:40:54,852 INFO ofi_add_7_1: -2.5020490795615823e-07 , std 1.1045580190819052e-05 
2023-05-09 10:40:54,852 INFO ofi_add_8_1: -1.9512703468395037e-07 , std 8.983071613443076e-06 
2023-05-09 10:40:54,852 INFO ofi_add_9_1: -2.47408489136883e-07 , std 1.0203791545495018e-05 
2023-05-09 10:40:54,852 INFO ofi_add_10_1: -2.298850962007178e-07 , std 1.1891475933485217e-05 
2023-05-09 10:40:54,852 INFO ofi_cancel_1_1: -1.8568846375209014e-07 , std 8.444833651869788e-06 
2023-05-09 10:40:54,852 INFO ofi_cancel_2_1: -2.0929350900643937e-07 , std 9.56694690632233e-06 
2023-05-09 10:40:54,852 INFO ofi_cancel_3_1: -2.0627334175498223e-07 , std 8.976834686530895e-06 
2023-05-09 10:40:54,852 INFO ofi_cancel_4_1: -1.978174785321306e-07 , std 8.615527935263205e-06 
2023-05-09 10:40:54,852 INFO ofi_cancel_5_1: -2.5109260149067837e-07 , std 9.084606230894762e-06 
2023-05-09 10:40:54,852 INFO ofi_cancel_6_1: -1.4901948148278323e-07 , std 8.069407943662546e-06 
2023-05-09 10:40:54,852 INFO ofi_cancel_7_1: -2.679435857413362e-07 , std 9.783104768889547e-06 
2023-05-09 10:40:54,852 INFO ofi_cancel_8_1: -1.571447405678099e-07 , std 8.314954336756176e-06 
2023-05-09 10:40:54,852 INFO ofi_cancel_9_1: -1.4547616216544362e-07 , std 8.813716616389071e-06 
2023-05-09 10:40:54,852 INFO ofi_cancel_10_1: -2.5975532789140364e-07 , std 9.716787255780944e-06 
2023-05-09 10:40:54,852 INFO ofi_trade_1_1: -6.142442831709855e-08 , std 6.111575574876176e-06 
2023-05-09 10:40:54,852 INFO ofi_trade_2_1: -6.360738926611089e-08 , std 4.60459515314625e-06 
2023-05-09 10:40:54,852 INFO ofi_trade_3_1: -2.8166367254803985e-08 , std 3.4032198062807515e-06 
2023-05-09 10:40:54,852 INFO ofi_trade_4_1: -4.182348709173605e-08 , std 4.145939034571159e-06 
2023-05-09 10:40:54,852 INFO ofi_trade_5_1: -4.367491277314427e-08 , std 3.908498252098385e-06 
2023-05-09 10:40:54,852 INFO ofi_trade_6_1: -3.1832513579524264e-08 , std 3.2360293945468366e-06 
2023-05-09 10:40:54,852 INFO ofi_trade_7_1: -6.231816590823074e-08 , std 4.39006090884807e-06 
2023-05-09 10:40:54,852 INFO ofi_trade_8_1: -3.7500133613662034e-08 , std 4.180171058304722e-06 
2023-05-09 10:40:54,852 INFO ofi_trade_9_1: -4.647230520880697e-08 , std 5.456443619008055e-06 
2023-05-09 10:40:54,852 INFO ofi_trade_10_1: -5.85480510310336e-08 , std 4.941394196936094e-06 
2023-05-09 10:40:54,852 INFO ofi_add_1_2: -2.4113446909369e-07 , std 9.009990280332823e-06 
2023-05-09 10:40:54,853 INFO ofi_add_2_2: -3.7173728027960563e-07 , std 9.62660287821951e-06 
2023-05-09 10:40:54,853 INFO ofi_add_3_2: -4.873501300658183e-07 , std 1.0274883791461524e-05 
